date|rank|team|home_gms|home_total|home_avg|home_pct|road_gms|road_avg|road_pct|overall_gms|overall_avg|overall_pct
2020|1|76ers|31|639,491|20,628|102.4|34|17,706|94.5|65|19,122|98.5
2020|2|Mavericks|34|682,096|20,061|104.5|33|18,249|97.8|67|19,169|101.2
2020|3|Raptors|32|633,456|19,795|100.0|32|17,789|94.9|64|18,792|97.5
2020|4|Heat|32|629,771|19,680|100.4|33|18,127|96.8|65|18,891|98.6
2020|5|Trail Blazers|32|608,634|19,633|101.0|34|17,941|96.6|66|18,748|98.8
2020|6|Nuggets|33|633,153|19,186|98.3|32|17,163|92.8|65|18,190|95.7
2020|7|Celtics|32|610,864|19,089|102.5|32|18,409|97.7|64|18,749|100.1
2020|8|Clippers|32|610,176|19,068|100.0|32|17,855|96.2|64|18,461|98.1
2020|9|Lakers|31|588,907|18,997|99.6|32|18,877|101.9|63|18,936|100.8
2020|10|NY Knicks|33|620,789|18,811|95.0|33|17,767|94.1|66|18,289|94.5
2020|11|Bulls|34|639,352|18,804|89.9|31|17,767|94.3|65|18,310|91.9
2020|12|Spurs|30|550,515|18,350|100.0|33|17,588|93.7|63|17,951|96.7
2020|13|Jazz|31|567,486|18,306|100.0|33|17,261|92.2|64|17,767|95.9
2020|14|Thunder|33|600,699|18,203|100.0|31|17,855|95.6|64|18,034|97.8
2020|15|Rockets|32|578,458|18,076|100.1|32|18,072|96.9|64|18,074|98.5
2020|16|Warriors|34|614,176|18,064|100.0|31|17,454|93.6|65|17,773|96.9
2020|17|Cavaliers|36|623,576|17,816|91.7|29|18,254|94.9|65|18,014|93.1
2020|18|Bucks|31|549,036|17,710|102.1|34|17,892|94.9|65|17,805|98.2
2020|19|Magic|31|529,870|17,092|90.7|34|17,243|92.2|65|17,171|91.5
2020|20|Kings|31|520,663|16,795|95.5|33|17,739|94.3|64|17,282|94.9
2020|21|Wizards|32|532,702|16,646|81.8|32|17,587|92.3|64|17,117|86.9
2020|22|Pacers|32|529,002|16,531|92.2|33|17,297|91.8|65|16,914|92.0
2020|23|Pelicans|32|528,172|16,505|97.9|32|18,234|96.8|64|17,369|97.3
2020|24|Nets|32|524,907|16,403|92.5|32|17,910|93.9|64|17,157|93.2
2020|25|Hawks|34|545,453|16,042|95.0|33|17,786|92.9|67|16,901|93.9
2020|26|Grizzlies|33|523,297|15,857|89.1|32|17,508|93.3|65|16,670|91.3
2020|27|Suns|35|550,633|15,732|87.1|30|17,660|94.7|65|16,622|90.7
2020|28|Pistons|33|509,463|15,438|75.9|33|17,641|93.7|66|16,539|84.5
2020||Hornets|31|478,591|15,438|80.9|34|17,564|92.4|65|16,550|86.9
2020|30|Timberwolves|32|482,112|15,066|79.4|32|17,463|93.4|64|16,264|86.4
2020|31|Leb|0|0|0|--|1|0|--|0|0|--
2020||World|0|0|0|--|1|0|--|0|0|--
2020||Usa|1|0|0|--|0|0|--|0|0|--
2020||Gia|1|17,808|0|--|0|0|--|0|0|--
2019|1|76ers|41|838,092|20,441|100.6|41|17,895|94.3|82|19,168|97.5
2019|2|Bulls|41|823,475|20,084|96.0|41|17,822|94.1|82|18,953|95.1
2019|3|Mavericks|41|820,569|20,013|104.2|41|18,073|95.9|82|19,043|100.1
2019|4|Raptors|41|812,822|19,824|100.1|41|18,239|95.7|82|19,032|98.0
2019|5|Heat|41|805,264|19,640|100.2|41|18,176|95.5|82|18,908|97.9
2019|6|Warriors|41|803,436|19,596|100.0|41|18,790|99.7|82|19,193|99.8
2019|7|Trail Blazers|41|799,345|19,496|100.3|41|17,992|95.4|82|18,753|97.9
2019|8|Cavaliers|41|793,337|19,349|99.6|41|17,632|92.6|82|18,490|96.1
2019|9|NY Knicks|41|779,087|19,002|95.9|41|17,566|92.6|82|18,284|94.3
2019|10|Lakers|41|778,877|18,997|99.7|41|18,862|100.3|82|18,929|100.0
2019|11|Celtics|41|763,584|18,624|100.0|41|18,671|97.5|82|18,647|98.8
2019|12|Nuggets|41|756,457|18,450|96.3|41|17,474|92.8|82|17,962|94.6
2019|13|Spurs|41|750,616|18,307|98.5|41|17,381|92.3|82|17,844|95.4
2019|14|Jazz|41|750,546|18,306|100.0|41|17,517|93.0|82|17,911|96.4
2019|15|Thunder|41|746,323|18,203|100.0|41|17,866|94.7|82|18,034|97.3
2019|16|Rockets|41|740,392|18,058|100.1|41|17,921|95.0|82|17,989|97.5
2019|17|Bucks|41|721,692|17,602|101.5|41|18,185|95.1|82|17,893|98.1
2019|18|Magic|41|720,024|17,561|93.2|41|17,659|92.4|82|17,610|92.8
2019|19|Wizards|41|716,996|17,487|86.2|41|17,509|91.8|82|17,498|89.0
2019|20|Clippers|41|710,327|17,325|90.9|41|17,233|91.4|82|17,279|91.2
2019|21|Kings|41|700,975|17,096|97.7|41|17,199|91.1|82|17,148|94.3
2019|22|Pacers|41|689,310|16,812|92.6|41|17,957|93.7|82|17,377|93.1
2019|23|Hornets|41|676,570|16,501|86.5|41|17,648|92.8|82|17,074|89.7
2019|24|Pistons|41|675,963|16,486|78.5|41|17,819|94.1|82|17,153|85.9
2019|25|Pelicans|41|656,183|16,004|93.1|41|17,667|93.4|82|16,835|93.3
2019|26|Grizzlies|41|607,564|15,578|86.0|41|17,579|93.3|82|16,604|89.8
2019|27|Hawks|41|628,440|15,327|81.8|41|17,786|93.7|82|16,557|87.8
2019|28|Timberwolves|41|627,543|15,305|80.7|41|17,641|93.7|82|16,473|87.1
2019|29|Suns|41|627,023|15,293|83.0|41|17,982|95.3|82|16,638|89.2
2019|30|Nets|41|612,597|14,941|84.3|41|18,085|94.7|82|16,513|89.7
2019|31|Leb|0|0|0|--|1|0|--|0|0|--
2019||World|0|0|0|--|1|0|--|0|0|--
2019||Usa|1|0|0|--|0|0|--|0|0|--
2019||Gia|1|0|0|--|0|0|--|0|0|--
2018|1|Bulls|41|851,824|20,776|99.3|41|18,030|94.4|82|19,403|97.0
2018|2|Cavaliers|41|843,042|20,562|100.0|41|19,071|99.5|82|19,825|99.8
2018|3|76ers|41|833,503|20,329|100.0|41|18,012|93.6|82|19,185|96.9
2018|4|Raptors|41|813,431|19,839|100.2|41|17,673|92.0|82|18,756|96.2
2018|5|Mavericks|41|811,453|19,791|103.1|41|17,374|91.5|82|18,597|97.4
2018|6|Heat|41|785,250|19,631|100.2|41|18,177|94.5|82|18,895|97.3
2018|7|Warriors|41|803,436|19,596|100.0|41|18,884|99.6|82|19,240|99.8
2018|8|Trail Blazers|41|795,328|19,398|99.8|41|17,556|92.7|82|18,477|96.3
