date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Sun, Feb 1, 2004|12:00p|Cleveland Cavaliers|104|Washington Wizards|100|Box Score|15,541|
Sun, Feb 1, 2004|12:30p|Los Angeles Lakers|84|Toronto Raptors|83|Box Score|20,116|
Sun, Feb 1, 2004|2:00p|Philadelphia 76ers|101|Minnesota Timberwolves|106|Box Score|16,987|
Mon, Feb 2, 2004|7:00p|Los Angeles Lakers|72|Indiana Pacers|85|Box Score|18,345|
Mon, Feb 2, 2004|7:30p|Los Angeles Clippers|101|Atlanta Hawks|95|Box Score|8,508|
Mon, Feb 2, 2004|7:30p|Detroit Pistons|102|Miami Heat|100|Box Score|OT|15,438
Mon, Feb 2, 2004|8:00p|Golden State Warriors|101|Memphis Grizzlies|106|Box Score|10,229|
Mon, Feb 2, 2004|8:00p|New Jersey Nets|91|New Orleans Hornets|70|Box Score|12,107|
Mon, Feb 2, 2004|9:00p|Portland Trail Blazers|97|Denver Nuggets|116|Box Score|15,866|
Mon, Feb 2, 2004|9:00p|Houston Rockets|79|Phoenix Suns|99|Box Score|16,446|
Mon, Feb 2, 2004|9:00p|San Antonio Spurs|83|Utah Jazz|65|Box Score|19,911|
Mon, Feb 2, 2004|10:00p|Chicago Bulls|97|Seattle SuperSonics|109|Box Score|14,372|
Tue, Feb 3, 2004|7:00p|Toronto Raptors|93|Philadelphia 76ers|80|Box Score|19,049|
Tue, Feb 3, 2004|7:30p|Cleveland Cavaliers|85|Detroit Pistons|82|Box Score|22,076|
Tue, Feb 3, 2004|7:30p|Indiana Pacers|90|New York Knicks|97|Box Score|18,542|
Tue, Feb 3, 2004|8:00p|Orlando Magic|100|Minnesota Timberwolves|113|Box Score|14,979|
Tue, Feb 3, 2004|8:30p|Golden State Warriors|93|Dallas Mavericks|107|Box Score|19,865|
Tue, Feb 3, 2004|10:00p|Seattle SuperSonics|101|Sacramento Kings|117|Box Score|17,317|
Wed, Feb 4, 2004|7:00p|Los Angeles Clippers|95|Boston Celtics|86|Box Score|14,342|
Wed, Feb 4, 2004|7:00p|Orlando Magic|90|Toronto Raptors|110|Box Score|16,228|
Wed, Feb 4, 2004|7:00p|Memphis Grizzlies|103|Washington Wizards|101|Box Score|12,531|
Wed, Feb 4, 2004|7:30p|Minnesota Timberwolves|89|Atlanta Hawks|97|Box Score|16,073|
Wed, Feb 4, 2004|7:30p|Miami Heat|88|New Jersey Nets|99|Box Score|11,668|
Wed, Feb 4, 2004|8:00p|Los Angeles Lakers|111|Cleveland Cavaliers|106|Box Score|OT|20,562
Wed, Feb 4, 2004|8:00p|Dallas Mavericks|113|New Orleans Hornets|104|Box Score|12,274|
Wed, Feb 4, 2004|8:30p|Milwaukee Bucks|89|Houston Rockets|103|Box Score|12,223|
Wed, Feb 4, 2004|9:00p|Portland Trail Blazers|101|Phoenix Suns|97|Box Score|14,121|
Wed, Feb 4, 2004|9:00p|Chicago Bulls|95|Utah Jazz|79|Box Score|19,911|
Thu, Feb 5, 2004|7:30p|Los Angeles Lakers|73|Philadelphia 76ers|96|Box Score|20,965|
Thu, Feb 5, 2004|10:00p|San Antonio Spurs|96|Seattle SuperSonics|90|Box Score|15,256|
Fri, Feb 6, 2004|7:00p|Los Angeles Clippers|100|Washington Wizards|112|Box Score|12,949|
Fri, Feb 6, 2004|7:30p|Atlanta Hawks|100|Boston Celtics|96|Box Score|15,874|
Fri, Feb 6, 2004|7:30p|Indiana Pacers|83|Toronto Raptors|77|Box Score|19,311|
Fri, Feb 6, 2004|8:00p|Milwaukee Bucks|85|Memphis Grizzlies|105|Box Score|15,433|
Fri, Feb 6, 2004|8:00p|Cleveland Cavaliers|92|Minnesota Timberwolves|103|Box Score|19,212|
Fri, Feb 6, 2004|8:00p|Orlando Magic|99|New Jersey Nets|120|Box Score|13,109|
Fri, Feb 6, 2004|8:00p|Detroit Pistons|81|New Orleans Hornets|92|Box Score|14,016|
Fri, Feb 6, 2004|8:30p|Chicago Bulls|80|Houston Rockets|82|Box Score|16,970|
Fri, Feb 6, 2004|9:00p|Seattle SuperSonics|107|Phoenix Suns|105|Box Score|16,486|
Fri, Feb 6, 2004|9:00p|Portland Trail Blazers|87|Utah Jazz|73|Box Score|19,911|
Fri, Feb 6, 2004|10:30p|Denver Nuggets|87|Golden State Warriors|96|Box Score|17,576|
Fri, Feb 6, 2004|10:30p|San Antonio Spurs|102|Sacramento Kings|94|Box Score|17,317|
Sat, Feb 7, 2004|1:00p|New York Knicks|76|Miami Heat|64|Box Score|16,500|
Sat, Feb 7, 2004|7:00p|Houston Rockets|86|Atlanta Hawks|77|Box Score|19,445|
Sat, Feb 7, 2004|7:00p|Boston Celtics|110|Philadelphia 76ers|80|Box Score|20,741|
