date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Fri, Apr 1, 2005|7:00p|Toronto Raptors|119|Charlotte Bobcats|107|Box Score|13,550|
Fri, Apr 1, 2005|7:00p|Washington Wizards|111|Orlando Magic|102|Box Score|14,107|
Fri, Apr 1, 2005|7:00p|Dallas Mavericks|100|Philadelphia 76ers|83|Box Score|20,464|
Fri, Apr 1, 2005|7:30p|Boston Celtics|116|Atlanta Hawks|100|Box Score|16,602|
Fri, Apr 1, 2005|8:00p|Sacramento Kings|128|Cleveland Cavaliers|109|Box Score|20,562|
Fri, Apr 1, 2005|8:00p|Los Angeles Clippers|84|Detroit Pistons|97|Box Score|22,076|
Fri, Apr 1, 2005|8:00p|New Jersey Nets|93|New York Knicks|91|Box Score|19,763|
Fri, Apr 1, 2005|8:30p|New Orleans Hornets|76|Houston Rockets|73|Box Score|18,148|
Fri, Apr 1, 2005|8:30p|Memphis Grizzlies|93|Milwaukee Bucks|82|Box Score|14,983|
Fri, Apr 1, 2005|9:00p|Minnesota Timberwolves|98|Phoenix Suns|107|Box Score|18,422|
Fri, Apr 1, 2005|9:00p|Golden State Warriors|108|Utah Jazz|91|Box Score|18,544|
Fri, Apr 1, 2005|10:30p|San Antonio Spurs|84|Denver Nuggets|102|Box Score|19,730|
Fri, Apr 1, 2005|10:30p|Portland Trail Blazers|87|Seattle SuperSonics|89|Box Score|17,072|
Sat, Apr 2, 2005|7:30p|Orlando Magic|103|New Jersey Nets|102|Box Score|15,342|
Sat, Apr 2, 2005|8:00p|Miami Heat|111|New Orleans Hornets|99|Box Score|18,582|
Sat, Apr 2, 2005|8:30p|Charlotte Bobcats|97|Chicago Bulls|112|Box Score|22,074|
Sat, Apr 2, 2005|8:30p|Los Angeles Lakers|94|San Antonio Spurs|95|Box Score|18,797|
Sat, Apr 2, 2005|10:00p|Denver Nuggets|103|Portland Trail Blazers|97|Box Score|17,638|
Sun, Apr 3, 2005|1:00p|Philadelphia 76ers|97|Boston Celtics|93|Box Score|18,624|
Sun, Apr 3, 2005|1:00p|Indiana Pacers|79|Washington Wizards|76|Box Score|20,173|
Sun, Apr 3, 2005|2:00p|New York Knicks|102|Milwaukee Bucks|106|Box Score|15,201|
Sun, Apr 3, 2005|3:30p|Dallas Mavericks|80|Cleveland Cavaliers|100|Box Score|20,562|
Sun, Apr 3, 2005|3:30p|Minnesota Timberwolves|112|Sacramento Kings|100|Box Score|17,317|
Sun, Apr 3, 2005|6:00p|Los Angeles Clippers|111|Atlanta Hawks|91|Box Score|11,508|
Sun, Apr 3, 2005|6:00p|Seattle SuperSonics|92|Golden State Warriors|101|Box Score|17,296|
Sun, Apr 3, 2005|6:00p|Detroit Pistons|113|Toronto Raptors|103|Box Score|19,800|
Sun, Apr 3, 2005|8:00p|Los Angeles Lakers|82|Memphis Grizzlies|102|Box Score|18,119|
Sun, Apr 3, 2005|8:30p|Phoenix Suns|91|Houston Rockets|78|Box Score|18,203|
Tue, Apr 5, 2005|7:00p|Los Angeles Clippers|104|Charlotte Bobcats|102|Box Score|9,580|
Tue, Apr 5, 2005|7:00p|New Jersey Nets|111|Cleveland Cavaliers|80|Box Score|18,668|
Tue, Apr 5, 2005|7:00p|Boston Celtics|116|Washington Wizards|108|Box Score|14,902|
Tue, Apr 5, 2005|7:30p|New Orleans Hornets|96|Atlanta Hawks|86|Box Score|11,500|
Tue, Apr 5, 2005|7:30p|Chicago Bulls|86|Miami Heat|104|Box Score|20,206|
Tue, Apr 5, 2005|7:30p|Indiana Pacers|97|New York Knicks|79|Box Score|19,763|
Tue, Apr 5, 2005|8:00p|Denver Nuggets|94|Memphis Grizzlies|91|Box Score|18,119|
Tue, Apr 5, 2005|8:30p|Orlando Magic|105|Dallas Mavericks|114|Box Score|19,969|
Tue, Apr 5, 2005|9:00p|Portland Trail Blazers|79|Utah Jazz|90|Box Score|17,443|
Tue, Apr 5, 2005|10:00p|Los Angeles Lakers|99|Phoenix Suns|125|Box Score|18,422|
Tue, Apr 5, 2005|10:00p|Seattle SuperSonics|101|Sacramento Kings|122|Box Score|17,317|
Tue, Apr 5, 2005|10:30p|Houston Rockets|117|Golden State Warriors|122|Box Score|16,638|
Wed, Apr 6, 2005|7:00p|Milwaukee Bucks|97|Boston Celtics|103|Box Score|17,210|
Wed, Apr 6, 2005|7:00p|Cleveland Cavaliers|77|Indiana Pacers|98|Box Score|17,260|
Wed, Apr 6, 2005|7:00p|Chicago Bulls|102|Orlando Magic|101|Box Score|OT|13,847
Wed, Apr 6, 2005|7:00p|Charlotte Bobcats|103|Philadelphia 76ers|106|Box Score|16,209|
Wed, Apr 6, 2005|7:00p|Memphis Grizzlies|104|Toronto Raptors|74|Box Score|14,964|
Wed, Apr 6, 2005|7:30p|Washington Wizards|93|Detroit Pistons|105|Box Score|22,076|
Wed, Apr 6, 2005|8:00p|Denver Nuggets|94|New Orleans Hornets|83|Box Score|14,654|
Wed, Apr 6, 2005|8:30p|Los Angeles Clippers|82|San Antonio Spurs|91|Box Score|18,797|
Wed, Apr 6, 2005|9:30p|Utah Jazz|86|Minnesota Timberwolves|111|Box Score|15,022|
Wed, Apr 6, 2005|10:00p|Golden State Warriors|104|Portland Trail Blazers|102|Box Score|16,129|
Thu, Apr 7, 2005|7:30p|New York Knicks|98|New Jersey Nets|110|Box Score|17,533|
Thu, Apr 7, 2005|8:00p|San Antonio Spurs|68|Dallas Mavericks|104|Box Score|20,418|
Thu, Apr 7, 2005|10:30p|Houston Rockets|114|Los Angeles Lakers|100|Box Score|18,212|
Fri, Apr 8, 2005|7:00p|Detroit Pistons|114|Orlando Magic|102|Box Score|17,283|
Fri, Apr 8, 2005|7:00p|Cleveland Cavaliers|98|Philadelphia 76ers|103|Box Score|20,800|
Fri, Apr 8, 2005|7:00p|Atlanta Hawks|101|Toronto Raptors|109|Box Score|OT|14,352
Fri, Apr 8, 2005|8:00p|Washington Wizards|83|Indiana Pacers|93|Box Score|18,345|
Fri, Apr 8, 2005|8:00p|Miami Heat|81|Memphis Grizzlies|97|Box Score|18,119|
Fri, Apr 8, 2005|8:00p|Utah Jazz|98|New Orleans Hornets|87|Box Score|13,860|
Fri, Apr 8, 2005|8:00p|Chicago Bulls|102|New York Knicks|94|Box Score|19,763|
Fri, Apr 8, 2005|8:30p|Charlotte Bobcats|75|Milwaukee Bucks|93|Box Score|15,274|
Fri, Apr 8, 2005|9:30p|Denver Nuggets|107|Minnesota Timberwolves|104|Box Score|19,904|
Fri, Apr 8, 2005|10:00p|Sacramento Kings|119|Portland Trail Blazers|115|Box Score|17,539|
Fri, Apr 8, 2005|10:30p|Phoenix Suns|119|Golden State Warriors|127|Box Score|20,043|
Fri, Apr 8, 2005|10:30p|Los Angeles Lakers|117|Seattle SuperSonics|94|Box Score|17,072|
Sat, Apr 9, 2005|1:00p|Boston Celtics|86|New Jersey Nets|99|Box Score|15,103|
Sat, Apr 9, 2005|7:00p|Minnesota Timberwolves|98|Atlanta Hawks|105|Box Score|17,583|
Sat, Apr 9, 2005|7:00p|Philadelphia 76ers|112|Washington Wizards|106|Box Score|20,173|
Sat, Apr 9, 2005|7:30p|Milwaukee Bucks|81|Cleveland Cavaliers|98|Box Score|20,562|
