date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Wed, Jun 1, 2005|9:00p|San Antonio Spurs|101|Phoenix Suns|95|Box Score|18,422|
Thu, Jun 2, 2005|8:00p|Detroit Pistons|76|Miami Heat|88|Box Score|20,225|
Sat, Jun 4, 2005|8:00p|Miami Heat|66|Detroit Pistons|91|Box Score|22,076|
Mon, Jun 6, 2005|8:00p|Detroit Pistons|88|Miami Heat|82|Box Score|20,241|
Thu, Jun 9, 2005|9:00p|Detroit Pistons|69|San Antonio Spurs|84|Box Score|18,797|
Sun, Jun 12, 2005|9:00p|Detroit Pistons|76|San Antonio Spurs|97|Box Score|18,797|
Tue, Jun 14, 2005|9:00p|San Antonio Spurs|79|Detroit Pistons|96|Box Score|22,076|
Thu, Jun 16, 2005|9:00p|San Antonio Spurs|71|Detroit Pistons|102|Box Score|22,076|
Sun, Jun 19, 2005|9:00p|San Antonio Spurs|96|Detroit Pistons|95|Box Score|OT|22,076
Tue, Jun 21, 2005|9:00p|Detroit Pistons|95|San Antonio Spurs|86|Box Score|18,797|
Thu, Jun 23, 2005|9:00p|Detroit Pistons|74|San Antonio Spurs|81|Box Score|18,797|
