date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Thu, Dec 1, 2005|8:00p|San Antonio Spurs|92|Dallas Mavericks|90|Box Score|20,076|
Thu, Dec 1, 2005|10:30p|Los Angeles Lakers|105|Utah Jazz|101|Box Score|OT|18,008
Fri, Dec 2, 2005|7:00p|Toronto Raptors|102|Atlanta Hawks|101|Box Score|12,261|
Fri, Dec 2, 2005|7:00p|Milwaukee Bucks|105|Washington Wizards|102|Box Score|20,173|
Fri, Dec 2, 2005|7:30p|Chicago Bulls|106|Boston Celtics|102|Box Score|14,393|
Fri, Dec 2, 2005|8:00p|New York Knicks|98|Detroit Pistons|106|Box Score|22,076|
Fri, Dec 2, 2005|8:00p|Orlando Magic|69|Memphis Grizzlies|91|Box Score|13,913|
Fri, Dec 2, 2005|8:00p|Philadelphia 76ers|86|New Orleans/Oklahoma City Hornets|88|Box Score|19,163|
Fri, Dec 2, 2005|9:00p|Denver Nuggets|97|Phoenix Suns|102|Box Score|17,852|
Fri, Dec 2, 2005|10:00p|Indiana Pacers|98|Portland Trail Blazers|78|Box Score|13,031|
Fri, Dec 2, 2005|10:00p|Miami Heat|98|Sacramento Kings|87|Box Score|17,317|
Fri, Dec 2, 2005|10:30p|Charlotte Bobcats|100|Golden State Warriors|107|Box Score|18,240|
Fri, Dec 2, 2005|10:30p|Minnesota Timberwolves|113|Los Angeles Lakers|108|Box Score|18,997|
Fri, Dec 2, 2005|10:30p|Cleveland Cavaliers|108|Seattle SuperSonics|115|Box Score|17,072|
Sat, Dec 3, 2005|8:00p|Toronto Raptors|95|New Jersey Nets|82|Box Score|14,613|
Sat, Dec 3, 2005|8:30p|Detroit Pistons|92|Chicago Bulls|79|Box Score|21,875|
Sat, Dec 3, 2005|8:30p|New Orleans/Oklahoma City Hornets|88|Dallas Mavericks|97|Box Score|19,651|
Sat, Dec 3, 2005|8:30p|Memphis Grizzlies|90|Houston Rockets|75|Box Score|17,135|
Sat, Dec 3, 2005|8:30p|Orlando Magic|84|Milwaukee Bucks|104|Box Score|17,121|
Sat, Dec 3, 2005|8:30p|Philadelphia 76ers|91|San Antonio Spurs|100|Box Score|18,797|
Sat, Dec 3, 2005|9:00p|Miami Heat|99|Denver Nuggets|101|Box Score|18,196|
Sat, Dec 3, 2005|10:30p|Cleveland Cavaliers|90|Los Angeles Clippers|102|Box Score|18,369|
Sun, Dec 4, 2005|1:00p|Boston Celtics|102|New York Knicks|99|Box Score|19,763|
Sun, Dec 4, 2005|8:00p|Atlanta Hawks|94|Phoenix Suns|112|Box Score|16,992|
Sun, Dec 4, 2005|8:00p|Indiana Pacers|102|Seattle SuperSonics|107|Box Score|15,761|
Sun, Dec 4, 2005|9:00p|Utah Jazz|98|Portland Trail Blazers|93|Box Score|13,254|
Sun, Dec 4, 2005|9:00p|Minnesota Timberwolves|85|Sacramento Kings|77|Box Score|17,317|
Sun, Dec 4, 2005|9:30p|Charlotte Bobcats|98|Los Angeles Lakers|99|Box Score|18,506|
Mon, Dec 5, 2005|7:00p|San Antonio Spurs|110|Orlando Magic|85|Box Score|14,661|
Mon, Dec 5, 2005|8:30p|Dallas Mavericks|102|Chicago Bulls|94|Box Score|21,733|
Mon, Dec 5, 2005|9:00p|Minnesota Timberwolves|91|Utah Jazz|77|Box Score|18,218|
Mon, Dec 5, 2005|10:30p|Miami Heat|89|Los Angeles Clippers|99|Box Score|19,060|
Tue, Dec 6, 2005|7:00p|Dallas Mavericks|84|Indiana Pacers|75|Box Score|14,627|
Tue, Dec 6, 2005|7:00p|Toronto Raptors|111|Washington Wizards|119|Box Score|OT|12,401
Tue, Dec 6, 2005|8:00p|New Orleans/Oklahoma City Hornets|73|Memphis Grizzlies|89|Box Score|13,271|
Tue, Dec 6, 2005|8:00p|Los Angeles Lakers|111|Milwaukee Bucks|92|Box Score|15,185|
Tue, Dec 6, 2005|8:30p|Boston Celtics|73|Houston Rockets|91|Box Score|14,665|
Tue, Dec 6, 2005|9:00p|Atlanta Hawks|116|Denver Nuggets|125|Box Score|13,206|
Tue, Dec 6, 2005|9:00p|Portland Trail Blazers|85|Phoenix Suns|130|Box Score|15,102|
Tue, Dec 6, 2005|10:00p|Cleveland Cavaliers|102|Sacramento Kings|97|Box Score|17,317|
Tue, Dec 6, 2005|10:00p|New York Knicks|104|Seattle SuperSonics|101|Box Score|16,288|
Wed, Dec 7, 2005|7:00p|Chicago Bulls|102|Orlando Magic|93|Box Score|12,702|
Wed, Dec 7, 2005|7:00p|Milwaukee Bucks|88|Philadelphia 76ers|85|Box Score|12,746|
Wed, Dec 7, 2005|7:00p|Los Angeles Lakers|102|Toronto Raptors|91|Box Score|18,821|
Wed, Dec 7, 2005|7:30p|New Jersey Nets|97|Charlotte Bobcats|84|Box Score|14,622|
Wed, Dec 7, 2005|8:00p|Boston Celtics|101|New Orleans/Oklahoma City Hornets|87|Box Score|18,753|
Wed, Dec 7, 2005|9:00p|Miami Heat|84|San Antonio Spurs|98|Box Score|18,797|
Wed, Dec 7, 2005|9:00p|Atlanta Hawks|83|Utah Jazz|95|Box Score|16,463|
Wed, Dec 7, 2005|10:00p|Minnesota Timberwolves|84|Portland Trail Blazers|74|Box Score|12,401|
Wed, Dec 7, 2005|10:30p|Phoenix Suns|118|Golden State Warriors|110|Box Score|17,389|
Wed, Dec 7, 2005|10:30p|New York Knicks|79|Los Angeles Clippers|84|Box Score|15,316|
Thu, Dec 8, 2005|8:00p|Washington Wizards|87|Indiana Pacers|111|Box Score|14,273|
Thu, Dec 8, 2005|10:30p|Houston Rockets|106|Sacramento Kings|95|Box Score|17,317|
Fri, Dec 9, 2005|7:00p|Charlotte Bobcats|115|Philadelphia 76ers|119|Box Score|14,793|
Fri, Dec 9, 2005|7:30p|New Jersey Nets|109|Cleveland Cavaliers|100|Box Score|18,177|
Fri, Dec 9, 2005|7:30p|Denver Nuggets|100|Miami Heat|92|Box Score|19,896|
Fri, Dec 9, 2005|8:00p|Dallas Mavericks|90|Memphis Grizzlies|83|Box Score|17,176|
Fri, Dec 9, 2005|8:30p|Los Angeles Lakers|93|Chicago Bulls|80|Box Score|22,410|
Fri, Dec 9, 2005|8:30p|Boston Celtics|89|San Antonio Spurs|101|Box Score|18,797|
Fri, Dec 9, 2005|9:00p|Seattle SuperSonics|106|Utah Jazz|90|Box Score|18,152|
Fri, Dec 9, 2005|10:00p|New York Knicks|81|Phoenix Suns|85|Box Score|18,207|
