date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Sun, Jan 1, 2006|6:00p|Minnesota Timberwolves|70|Miami Heat|97|Box Score|20,274|
Sun, Jan 1, 2006|9:00p|Los Angeles Clippers|100|Portland Trail Blazers|94|Box Score|13,792|
Sun, Jan 1, 2006|9:30p|Utah Jazz|98|Los Angeles Lakers|94|Box Score|18,310|
Mon, Jan 2, 2006|7:00p|Seattle SuperSonics|96|Indiana Pacers|115|Box Score|14,073|
Mon, Jan 2, 2006|7:30p|Phoenix Suns|133|New York Knicks|140|Box Score|3OT|19,763
Mon, Jan 2, 2006|8:00p|Charlotte Bobcats|86|New Orleans/Oklahoma City Hornets|103|Box Score|17,683|
Mon, Jan 2, 2006|8:30p|Milwaukee Bucks|93|Chicago Bulls|92|Box Score|20,968|
Mon, Jan 2, 2006|9:00p|Boston Celtics|110|Denver Nuggets|120|Box Score|14,722|
Tue, Jan 3, 2006|7:00p|Toronto Raptors|108|Atlanta Hawks|97|Box Score|10,048|
Tue, Jan 3, 2006|7:00p|Houston Rockets|123|Washington Wizards|111|Box Score|14,883|
Tue, Jan 3, 2006|7:30p|Orlando Magic|99|Detroit Pistons|108|Box Score|22,076|
Tue, Jan 3, 2006|8:00p|Golden State Warriors|94|Memphis Grizzlies|104|Box Score|14,697|
Tue, Jan 3, 2006|8:30p|Portland Trail Blazers|81|Dallas Mavericks|95|Box Score|20,018|
Tue, Jan 3, 2006|9:00p|Los Angeles Lakers|80|Utah Jazz|90|Box Score|19,013|
Tue, Jan 3, 2006|10:00p|Philadelphia 76ers|111|Sacramento Kings|98|Box Score|17,317|
Wed, Jan 4, 2006|7:00p|Orlando Magic|97|Toronto Raptors|121|Box Score|14,085|
Wed, Jan 4, 2006|7:30p|Charlotte Bobcats|106|Boston Celtics|109|Box Score|14,202|
Wed, Jan 4, 2006|8:00p|Cleveland Cavaliers|91|Milwaukee Bucks|84|Box Score|15,785|
Wed, Jan 4, 2006|8:00p|Dallas Mavericks|78|Minnesota Timberwolves|91|Box Score|15,702|
Wed, Jan 4, 2006|8:00p|Miami Heat|92|New Orleans/Oklahoma City Hornets|107|Box Score|19,326|
Wed, Jan 4, 2006|8:30p|Seattle SuperSonics|101|Chicago Bulls|97|Box Score|19,418|
Wed, Jan 4, 2006|8:30p|Portland Trail Blazers|75|San Antonio Spurs|106|Box Score|18,797|
Wed, Jan 4, 2006|9:00p|Indiana Pacers|86|Denver Nuggets|106|Box Score|14,041|
Wed, Jan 4, 2006|9:00p|Philadelphia 76ers|85|Phoenix Suns|105|Box Score|18,301|
Thu, Jan 5, 2006|8:00p|Houston Rockets|90|Cleveland Cavaliers|81|Box Score|18,019|
Thu, Jan 5, 2006|10:30p|Indiana Pacers|99|Golden State Warriors|89|Box Score|18,237|
Fri, Jan 6, 2006|7:00p|Houston Rockets|92|Toronto Raptors|112|Box Score|17,460|
Fri, Jan 6, 2006|7:30p|Atlanta Hawks|103|Boston Celtics|98|Box Score|17,015|
Fri, Jan 6, 2006|7:30p|Orlando Magic|106|New Jersey Nets|113|Box Score|15,332|
Fri, Jan 6, 2006|7:30p|Washington Wizards|92|New York Knicks|113|Box Score|17,977|
Fri, Jan 6, 2006|8:00p|Seattle SuperSonics|85|Detroit Pistons|97|Box Score|22,076|
Fri, Jan 6, 2006|8:00p|Utah Jazz|65|Memphis Grizzlies|87|Box Score|17,019|
Fri, Jan 6, 2006|8:00p|Portland Trail Blazers|80|New Orleans/Oklahoma City Hornets|90|Box Score|18,995|
Fri, Jan 6, 2006|8:00p|Minnesota Timberwolves|77|San Antonio Spurs|83|Box Score|18,797|
Fri, Jan 6, 2006|8:30p|Chicago Bulls|105|Milwaukee Bucks|91|Box Score|17,214|
Fri, Jan 6, 2006|9:00p|Dallas Mavericks|114|Denver Nuggets|112|Box Score|OT|18,256
Fri, Jan 6, 2006|10:00p|Los Angeles Clippers|114|Sacramento Kings|118|Box Score|17,317|
Fri, Jan 6, 2006|10:30p|Philadelphia 76ers|93|Los Angeles Lakers|119|Box Score|18,997|
Fri, Jan 6, 2006|10:30p|Miami Heat|93|Phoenix Suns|111|Box Score|18,422|
Sat, Jan 7, 2006|7:00p|New Orleans/Oklahoma City Hornets|93|Atlanta Hawks|101|Box Score|11,332|
Sat, Jan 7, 2006|7:00p|Charlotte Bobcats|92|Orlando Magic|108|Box Score|16,059|
Sat, Jan 7, 2006|7:00p|Boston Celtics|102|Washington Wizards|103|Box Score|20,173|
Sat, Jan 7, 2006|7:30p|Milwaukee Bucks|88|Cleveland Cavaliers|96|Box Score|19,840|
Sat, Jan 7, 2006|7:30p|Utah Jazz|94|Detroit Pistons|90|Box Score|OT|22,076
Sat, Jan 7, 2006|8:30p|Memphis Grizzlies|82|Chicago Bulls|111|Box Score|20,378|
Sat, Jan 7, 2006|8:30p|Minnesota Timberwolves|79|Dallas Mavericks|83|Box Score|20,151|
Sat, Jan 7, 2006|9:00p|San Antonio Spurs|86|Phoenix Suns|91|Box Score|18,422|
Sat, Jan 7, 2006|10:30p|Los Angeles Lakers|112|Los Angeles Clippers|109|Box Score|20,154|
Sun, Jan 8, 2006|1:00p|Seattle SuperSonics|116|New York Knicks|120|Box Score|17,191|
Sun, Jan 8, 2006|1:00p|New Jersey Nets|105|Toronto Raptors|104|Box Score|18,935|
Sun, Jan 8, 2006|8:30p|Denver Nuggets|92|Houston Rockets|90|Box Score|15,316|
Sun, Jan 8, 2006|9:00p|Miami Heat|118|Portland Trail Blazers|89|Box Score|18,032|
Sun, Jan 8, 2006|9:00p|Indiana Pacers|108|Sacramento Kings|83|Box Score|17,317|
Mon, Jan 9, 2006|7:00p|Seattle SuperSonics|98|Philadelphia 76ers|107|Box Score|15,695|
Mon, Jan 9, 2006|7:00p|Utah Jazz|97|Washington Wizards|89|Box Score|12,797|
Mon, Jan 9, 2006|7:30p|Dallas Mavericks|104|Boston Celtics|102|Box Score|15,064|
Mon, Jan 9, 2006|8:30p|Toronto Raptors|104|Chicago Bulls|113|Box Score|21,103|
Mon, Jan 9, 2006|10:30p|Indiana Pacers|90|Los Angeles Lakers|96|Box Score|18,997|
Tue, Jan 10, 2006|7:00p|Boston Celtics|98|Atlanta Hawks|94|Box Score|12,882|
Tue, Jan 10, 2006|7:00p|New York Knicks|92|Cleveland Cavaliers|84|Box Score|18,064|
Tue, Jan 10, 2006|7:30p|Houston Rockets|106|Charlotte Bobcats|111|Box Score|2OT|14,738
Tue, Jan 10, 2006|8:00p|Sacramento Kings|85|Memphis Grizzlies|99|Box Score|14,081|
