date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance
Tue, Nov 1, 2005|7:00p|Milwaukee Bucks|117|Philadelphia 76ers|108|Box Score|OT|17,705
Tue, Nov 1, 2005|8:00p|Sacramento Kings|67|New Orleans/Oklahoma City Hornets|93|Box Score|19,163|
Tue, Nov 1, 2005|8:00p|Denver Nuggets|91|San Antonio Spurs|102|Box Score|18,797|
Tue, Nov 1, 2005|10:30p|Dallas Mavericks|111|Phoenix Suns|108|Box Score|2OT|17,961
Wed, Nov 2, 2005|7:00p|New Orleans/Oklahoma City Hornets|87|Cleveland Cavaliers|109|Box Score|20,562|
Wed, Nov 2, 2005|7:00p|Indiana Pacers|90|Orlando Magic|78|Box Score|17,283|
Wed, Nov 2, 2005|7:00p|Washington Wizards|99|Toronto Raptors|96|Box Score|18,106|
Wed, Nov 2, 2005|7:30p|New York Knicks|100|Boston Celtics|114|Box Score|OT|18,624
Wed, Nov 2, 2005|7:30p|Milwaukee Bucks|110|New Jersey Nets|96|Box Score|20,098|
Wed, Nov 2, 2005|8:00p|Philadelphia 76ers|88|Detroit Pistons|108|Box Score|22,076|
Wed, Nov 2, 2005|8:00p|Miami Heat|97|Memphis Grizzlies|78|Box Score|18,119|
Wed, Nov 2, 2005|8:00p|Portland Trail Blazers|86|Minnesota Timberwolves|90|Box Score|16,799|
Wed, Nov 2, 2005|8:30p|Charlotte Bobcats|105|Chicago Bulls|109|Box Score|OT|19,251
Wed, Nov 2, 2005|8:30p|Sacramento Kings|89|Houston Rockets|98|Box Score|16,457|
Wed, Nov 2, 2005|9:00p|Dallas Mavericks|82|Utah Jazz|93|Box Score|18,249|
Wed, Nov 2, 2005|10:00p|Los Angeles Clippers|101|Seattle SuperSonics|93|Box Score|16,515|
Wed, Nov 2, 2005|10:30p|Los Angeles Lakers|99|Denver Nuggets|97|Box Score|OT|19,245
Wed, Nov 2, 2005|10:30p|Atlanta Hawks|97|Golden State Warriors|122|Box Score|18,629|
Thu, Nov 3, 2005|8:00p|Indiana Pacers|105|Miami Heat|102|Box Score|20,128|
Thu, Nov 3, 2005|10:30p|Phoenix Suns|122|Los Angeles Lakers|112|Box Score|18,997|
Fri, Nov 4, 2005|7:00p|Memphis Grizzlies|94|Orlando Magic|85|Box Score|14,942|
Fri, Nov 4, 2005|7:00p|Charlotte Bobcats|110|Philadelphia 76ers|93|Box Score|14,654|
Fri, Nov 4, 2005|7:00p|New Jersey Nets|102|Toronto Raptors|92|Box Score|18,586|
Fri, Nov 4, 2005|7:30p|Detroit Pistons|82|Boston Celtics|81|Box Score|16,642|
Fri, Nov 4, 2005|7:30p|Washington Wizards|86|New York Knicks|75|Box Score|19,763|
Fri, Nov 4, 2005|8:00p|Cleveland Cavaliers|76|San Antonio Spurs|102|Box Score|18,797|
Fri, Nov 4, 2005|9:00p|Portland Trail Blazers|68|Denver Nuggets|107|Box Score|15,595|
Fri, Nov 4, 2005|10:30p|Utah Jazz|91|Golden State Warriors|85|Box Score|18,416|
Fri, Nov 4, 2005|10:30p|Atlanta Hawks|77|Los Angeles Clippers|92|Box Score|16,813|
Fri, Nov 4, 2005|10:30p|Minnesota Timberwolves|102|Seattle SuperSonics|107|Box Score|OT|17,072
Sat, Nov 5, 2005|7:00p|Orlando Magic|79|Washington Wizards|87|Box Score|20,173|
Sat, Nov 5, 2005|7:30p|Boston Celtics|105|Charlotte Bobcats|107|Box Score|OT|19,026
Sat, Nov 5, 2005|7:30p|Toronto Raptors|84|Detroit Pistons|117|Box Score|22,076|
Sat, Nov 5, 2005|7:30p|Chicago Bulls|99|New Jersey Nets|100|Box Score|16,898|
Sat, Nov 5, 2005|8:00p|Philadelphia 76ers|111|Indiana Pacers|109|Box Score|18,345|
Sat, Nov 5, 2005|8:00p|Cleveland Cavaliers|106|Memphis Grizzlies|113|Box Score|17,368|
Sat, Nov 5, 2005|8:30p|San Antonio Spurs|84|Dallas Mavericks|103|Box Score|20,468|
Sat, Nov 5, 2005|8:30p|New Orleans/Oklahoma City Hornets|91|Houston Rockets|84|Box Score|15,875|
Sat, Nov 5, 2005|8:30p|Miami Heat|100|Milwaukee Bucks|105|Box Score|18,717|
Sat, Nov 5, 2005|9:00p|Phoenix Suns|97|Utah Jazz|88|Box Score|18,608|
Sat, Nov 5, 2005|10:00p|Atlanta Hawks|93|Portland Trail Blazers|94|Box Score|18,918|
Sat, Nov 5, 2005|10:30p|Minnesota Timberwolves|99|Los Angeles Clippers|100|Box Score|OT|16,212
Sun, Nov 6, 2005|1:00p|Golden State Warriors|83|New York Knicks|81|Box Score|16,221|
Sun, Nov 6, 2005|8:00p|Sacramento Kings|118|Phoenix Suns|117|Box Score|17,298|
Sun, Nov 6, 2005|9:30p|Denver Nuggets|92|Los Angeles Lakers|112|Box Score|18,997|
Mon, Nov 7, 2005|7:00p|Cleveland Cavaliers|105|Toronto Raptors|93|Box Score|18,281|
Mon, Nov 7, 2005|7:30p|Utah Jazz|95|Charlotte Bobcats|91|Box Score|OT|14,872
Mon, Nov 7, 2005|7:30p|New Jersey Nets|89|Miami Heat|90|Box Score|19,600|
Mon, Nov 7, 2005|8:00p|Los Angeles Clippers|78|Minnesota Timberwolves|93|Box Score|11,791|
Mon, Nov 7, 2005|8:30p|San Antonio Spurs|104|Chicago Bulls|95|Box Score|OT|21,827
Tue, Nov 8, 2005|7:00p|Los Angeles Lakers|103|Atlanta Hawks|97|Box Score|19,523|
Tue, Nov 8, 2005|8:00p|Seattle SuperSonics|69|Memphis Grizzlies|94|Box Score|14,319|
Tue, Nov 8, 2005|8:00p|Golden State Warriors|110|Milwaukee Bucks|103|Box Score|14,712|
Tue, Nov 8, 2005|8:30p|Orlando Magic|76|Houston Rockets|74|Box Score|14,616|
Tue, Nov 8, 2005|10:00p|Detroit Pistons|102|Sacramento Kings|88|Box Score|17,317|
Wed, Nov 9, 2005|7:00p|Seattle SuperSonics|85|Cleveland Cavaliers|112|Box Score|19,564|
Wed, Nov 9, 2005|7:00p|Dallas Mavericks|97|Philadelphia 76ers|112|Box Score|13,392|
Wed, Nov 9, 2005|7:00p|Los Angeles Clippers|102|Washington Wizards|97|Box Score|13,736|
Wed, Nov 9, 2005|7:30p|Memphis Grizzlies|98|Boston Celtics|99|Box Score|15,086|
Wed, Nov 9, 2005|7:30p|San Antonio Spurs|94|Charlotte Bobcats|86|Box Score|17,237|
Wed, Nov 9, 2005|7:30p|Utah Jazz|83|New Jersey Nets|91|Box Score|14,449|
Wed, Nov 9, 2005|8:00p|Miami Heat|90|Indiana Pacers|95|Box Score|17,586|
Wed, Nov 9, 2005|8:00p|Los Angeles Lakers|74|Minnesota Timberwolves|88|Box Score|15,192|
Wed, Nov 9, 2005|8:00p|Orlando Magic|88|New Orleans/Oklahoma City Hornets|83|Box Score|18,508|
Wed, Nov 9, 2005|8:30p|Golden State Warriors|84|Chicago Bulls|85|Box Score|19,723|
Wed, Nov 9, 2005|10:00p|New York Knicks|83|Portland Trail Blazers|95|Box Score|12,296|
Wed, Nov 9, 2005|10:30p|Sacramento Kings|91|Denver Nuggets|107|Box Score|12,371|
Thu, Nov 10, 2005|7:00p|Los Angeles Clippers|102|Atlanta Hawks|95|Box Score|13,850|
Thu, Nov 10, 2005|8:00p|Houston Rockets|84|Miami Heat|88|Box Score|19,600|
Thu, Nov 10, 2005|10:30p|Detroit Pistons|111|Phoenix Suns|104|Box Score|17,633|
Fri, Nov 11, 2005|7:00p|New Jersey Nets|90|Indiana Pacers|102|Box Score|17,584|
Fri, Nov 11, 2005|7:00p|Utah Jazz|99|Toronto Raptors|84|Box Score|15,617|
Fri, Nov 11, 2005|7:30p|San Antonio Spurs|103|Boston Celtics|82|Box Score|18,624|
Fri, Nov 11, 2005|7:30p|Dallas Mavericks|98|Charlotte Bobcats|88|Box Score|18,130|
Fri, Nov 11, 2005|7:30p|Memphis Grizzlies|70|Cleveland Cavaliers|89|Box Score|16,554|
Fri, Nov 11, 2005|7:30p|Seattle SuperSonics|96|Washington Wizards|137|Box Score|20,173|
Fri, Nov 11, 2005|8:00p|Los Angeles Lakers|81|Philadelphia 76ers|85|Box Score|20,292|
Fri, Nov 11, 2005|10:00p|Denver Nuggets|85|Sacramento Kings|101|Box Score|17,317|
Fri, Nov 11, 2005|10:30p|New York Knicks|84|Golden State Warriors|86|Box Score|19,596|
Fri, Nov 11, 2005|10:30p|Detroit Pistons|84|Portland Trail Blazers|81|Box Score|17,181|
Sat, Nov 12, 2005|7:00p|Memphis Grizzlies|85|Atlanta Hawks|84|Box Score|15,949|
Sat, Nov 12, 2005|7:00p|San Antonio Spurs|95|Washington Wizards|110|Box Score|20,173|
Sat, Nov 12, 2005|7:30p|Charlotte Bobcats|99|Miami Heat|108|Box Score|19,600|
Sat, Nov 12, 2005|8:00p|Houston Rockets|99|New Jersey Nets|91|Box Score|20,098|
Sat, Nov 12, 2005|8:00p|Dallas Mavericks|109|New Orleans/Oklahoma City Hornets|103|Box Score|19,163|
Sat, Nov 12, 2005|8:30p|Utah Jazz|98|Chicago Bulls|103|Box Score|22,272|
Sat, Nov 12, 2005|8:30p|Indiana Pacers|102|Milwaukee Bucks|103|Box Score|17,894|
Sat, Nov 12, 2005|9:00p|Golden State Warriors|86|Phoenix Suns|101|Box Score|16,562|
Sun, Nov 13, 2005|1:00p|Seattle SuperSonics|126|Toronto Raptors|121|Box Score|OT|15,033
Sun, Nov 13, 2005|6:00p|Houston Rockets|82|Boston Celtics|102|Box Score|16,238|
Sun, Nov 13, 2005|6:00p|Cleveland Cavaliers|108|Orlando Magic|100|Box Score|OT|15,414
Sun, Nov 13, 2005|6:00p|Los Angeles Clippers|108|Philadelphia 76ers|113|Box Score|14,550|
Sun, Nov 13, 2005|9:00p|Minnesota Timberwolves|91|Denver Nuggets|102|Box Score|16,545|
Sun, Nov 13, 2005|9:00p|New York Knicks|105|Sacramento Kings|95|Box Score|17,317|
Mon, Nov 14, 2005|8:00p|Los Angeles Lakers|73|Memphis Grizzlies|85|Box Score|16,671|
Mon, Nov 14, 2005|9:00p|New York Knicks|73|Utah Jazz|62|Box Score|16,166|
Mon, Nov 14, 2005|10:30p|Chicago Bulls|82|Golden State Warriors|100|Box Score|16,454|
Tue, Nov 15, 2005|7:00p|Washington Wizards|99|Cleveland Cavaliers|114|Box Score|17,685|
Tue, Nov 15, 2005|7:00p|Charlotte Bobcats|77|Orlando Magic|85|Box Score|12,312|
Tue, Nov 15, 2005|7:00p|Toronto Raptors|92|Philadelphia 76ers|104|Box Score|12,211|
Tue, Nov 15, 2005|7:30p|Boston Celtics|100|Detroit Pistons|115|Box Score|22,076|
Tue, Nov 15, 2005|7:30p|New Orleans/Oklahoma City Hornets|102|Miami Heat|109|Box Score|OT|19,600
Tue, Nov 15, 2005|7:30p|Seattle SuperSonics|99|New Jersey Nets|109|Box Score|14,986|
Tue, Nov 15, 2005|8:00p|Houston Rockets|94|Minnesota Timberwolves|89|Box Score|14,091|
Tue, Nov 15, 2005|8:30p|Denver Nuggets|80|Dallas Mavericks|83|Box Score|20,189|
Tue, Nov 15, 2005|8:30p|Atlanta Hawks|79|San Antonio Spurs|103|Box Score|18,797|
Tue, Nov 15, 2005|10:00p|Utah Jazz|83|Sacramento Kings|119|Box Score|17,317|
Tue, Nov 15, 2005|10:30p|Milwaukee Bucks|85|Los Angeles Clippers|109|Box Score|14,938|
Wed, Nov 16, 2005|7:00p|Philadelphia 76ers|121|Toronto Raptors|115|Box Score|16,490|
Wed, Nov 16, 2005|7:30p|Seattle SuperSonics|113|Boston Celtics|100|Box Score|14,023|
Wed, Nov 16, 2005|7:30p|Indiana Pacers|90|Charlotte Bobcats|122|Box Score|15,878|
Wed, Nov 16, 2005|8:00p|Denver Nuggets|91|New Orleans/Oklahoma City Hornets|81|Box Score|18,442|
Wed, Nov 16, 2005|9:00p|Memphis Grizzlies|115|Phoenix Suns|103|Box Score|15,808|
Wed, Nov 16, 2005|10:00p|New York Knicks|92|Los Angeles Lakers|97|Box Score|18,997|
Wed, Nov 16, 2005|10:00p|Chicago Bulls|93|Portland Trail Blazers|96|Box Score|12,368|
Wed, Nov 16, 2005|10:30p|Milwaukee Bucks|90|Golden State Warriors|87|Box Score|16,752|
Thu, Nov 17, 2005|7:00p|Washington Wizards|98|Minnesota Timberwolves|109|Box Score|13,683|
Thu, Nov 17, 2005|8:30p|Atlanta Hawks|78|Dallas Mavericks|87|Box Score|20,148|
Thu, Nov 17, 2005|9:30p|Houston Rockets|80|San Antonio Spurs|86|Box Score|18,797|
Fri, Nov 18, 2005|7:00p|Orlando Magic|84|Cleveland Cavaliers|102|Box Score|18,591|
Fri, Nov 18, 2005|7:00p|Charlotte Bobcats|85|Indiana Pacers|93|Box Score|15,793|
Fri, Nov 18, 2005|7:30p|Toronto Raptors|93|Boston Celtics|100|Box Score|17,002|
Fri, Nov 18, 2005|7:30p|Philadelphia 76ers|96|Miami Heat|106|Box Score|20,068|
Fri, Nov 18, 2005|8:00p|Atlanta Hawks|92|New Orleans/Oklahoma City Hornets|95|Box Score|17,554|
Fri, Nov 18, 2005|9:00p|New York Knicks|86|Denver Nuggets|95|Box Score|18,218|
