date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sat, Mar 1, 2008|7:00p|New York Knicks|92|Orlando Magic|118|Box Score||17,519|
Sat, Mar 1, 2008|8:00p|Utah Jazz|113|Memphis Grizzlies|92|Box Score||13,232|
Sat, Mar 1, 2008|8:30p|San Antonio Spurs|96|Milwaukee Bucks|94|Box Score||16,974|
Sat, Mar 1, 2008|9:00p|Philadelphia 76ers|119|Phoenix Suns|114|Box Score||18,422|
Sat, Mar 1, 2008|10:30p|Detroit Pistons|103|Los Angeles Clippers|73|Box Score||19,271|
Sun, Mar 2, 2008|1:00p|Chicago Bulls|86|Cleveland Cavaliers|95|Box Score||20,562|
Sun, Mar 2, 2008|3:30p|Dallas Mavericks|104|Los Angeles Lakers|108|Box Score|OT|18,997|
Sun, Mar 2, 2008|6:00p|Atlanta Hawks|88|Boston Celtics|98|Box Score||18,624|
Sun, Mar 2, 2008|6:00p|Toronto Raptors|98|Charlotte Bobcats|110|Box Score||12,083|
Sun, Mar 2, 2008|6:00p|Milwaukee Bucks|106|Indiana Pacers|128|Box Score||11,614|
Sun, Mar 2, 2008|6:00p|San Antonio Spurs|93|New Jersey Nets|83|Box Score||18,594|
Sun, Mar 2, 2008|6:00p|New Orleans Hornets|84|Washington Wizards|101|Box Score||20,173|
Sun, Mar 2, 2008|6:30p|Seattle SuperSonics|111|Minnesota Timberwolves|108|Box Score|OT|11,508|
Sun, Mar 2, 2008|8:00p|Denver Nuggets|89|Houston Rockets|103|Box Score||18,168|
Sun, Mar 2, 2008|9:00p|Portland Trail Blazers|104|Golden State Warriors|110|Box Score||19,596|
Sun, Mar 2, 2008|9:00p|Miami Heat|109|Sacramento Kings|120|Box Score||15,028|
Mon, Mar 3, 2008|7:30p|New Orleans Hornets|100|New York Knicks|88|Box Score||18,467|
Mon, Mar 3, 2008|9:00p|Dallas Mavericks|110|Utah Jazz|116|Box Score||19,911|
Mon, Mar 3, 2008|10:30p|Philadelphia 76ers|106|Los Angeles Clippers|80|Box Score||15,691|
Tue, Mar 4, 2008|7:00p|Golden State Warriors|135|Atlanta Hawks|118|Box Score||16,575|
Tue, Mar 4, 2008|7:00p|Toronto Raptors|87|Orlando Magic|102|Box Score||17,519|
Tue, Mar 4, 2008|7:30p|Seattle SuperSonics|97|Detroit Pistons|100|Box Score||22,076|
Tue, Mar 4, 2008|8:00p|Charlotte Bobcats|109|Minnesota Timberwolves|89|Box Score||10,019|
Tue, Mar 4, 2008|8:30p|Memphis Grizzlies|97|Chicago Bulls|112|Box Score||21,725|
Tue, Mar 4, 2008|8:30p|New Jersey Nets|70|San Antonio Spurs|81|Box Score||17,486|
Tue, Mar 4, 2008|10:00p|Phoenix Suns|97|Portland Trail Blazers|92|Box Score||20,595|
Tue, Mar 4, 2008|10:00p|Los Angeles Lakers|117|Sacramento Kings|105|Box Score||17,317|
Wed, Mar 5, 2008|7:00p|Golden State Warriors|109|Charlotte Bobcats|118|Box Score||13,747|
Wed, Mar 5, 2008|7:00p|Orlando Magic|122|Washington Wizards|92|Box Score||17,745|
Wed, Mar 5, 2008|7:30p|Detroit Pistons|78|Boston Celtics|90|Box Score||18,624|
Wed, Mar 5, 2008|7:30p|Toronto Raptors|108|Miami Heat|83|Box Score||19,143|
Wed, Mar 5, 2008|7:30p|Cleveland Cavaliers|119|New York Knicks|105|Box Score||18,760|
Wed, Mar 5, 2008|8:00p|New Jersey Nets|93|Memphis Grizzlies|100|Box Score||10,218|
Wed, Mar 5, 2008|8:00p|Seattle SuperSonics|106|Milwaukee Bucks|118|Box Score||15,010|
Wed, Mar 5, 2008|8:00p|Atlanta Hawks|101|New Orleans Hornets|116|Box Score||12,430|
Wed, Mar 5, 2008|8:30p|Indiana Pacers|99|Houston Rockets|117|Box Score||18,160|
Wed, Mar 5, 2008|9:00p|Phoenix Suns|113|Denver Nuggets|126|Box Score||18,383|
Wed, Mar 5, 2008|9:00p|Minnesota Timberwolves|76|Utah Jazz|105|Box Score||19,911|
Wed, Mar 5, 2008|10:30p|Sacramento Kings|109|Los Angeles Clippers|116|Box Score|2OT|17,030|
Thu, Mar 6, 2008|7:00p|Cleveland Cavaliers|96|Chicago Bulls|107|Box Score||22,097|
Thu, Mar 6, 2008|8:00p|Indiana Pacers|97|San Antonio Spurs|108|Box Score||17,738|
Thu, Mar 6, 2008|9:30p|Houston Rockets|113|Dallas Mavericks|98|Box Score||20,315|
Fri, Mar 7, 2008|7:00p|Atlanta Hawks|93|Charlotte Bobcats|108|Box Score||15,203|
Fri, Mar 7, 2008|7:00p|Seattle SuperSonics|83|Philadelphia 76ers|117|Box Score||17,762|
Fri, Mar 7, 2008|7:00p|Washington Wizards|110|Toronto Raptors|106|Box Score|OT|19,800|
Fri, Mar 7, 2008|7:30p|Golden State Warriors|134|Miami Heat|99|Box Score||19,161|
Fri, Mar 7, 2008|7:30p|Detroit Pistons|101|New York Knicks|97|Box Score||19,763|
Fri, Mar 7, 2008|8:00p|Chicago Bulls|93|Boston Celtics|116|Box Score||18,624|
Fri, Mar 7, 2008|8:00p|New Jersey Nets|96|New Orleans Hornets|107|Box Score||17,225|
Fri, Mar 7, 2008|8:30p|Portland Trail Blazers|103|Milwaukee Bucks|101|Box Score||15,537|
Fri, Mar 7, 2008|9:00p|Utah Jazz|126|Phoenix Suns|118|Box Score||18,422|
Fri, Mar 7, 2008|10:00p|Minnesota Timberwolves|111|Sacramento Kings|103|Box Score||13,990|
Fri, Mar 7, 2008|10:30p|San Antonio Spurs|96|Denver Nuggets|109|Box Score||19,821|
Fri, Mar 7, 2008|10:30p|Los Angeles Clippers|82|Los Angeles Lakers|119|Box Score||18,997|
Sat, Mar 8, 2008|1:00p|Indiana Pacers|95|Cleveland Cavaliers|103|Box Score||20,562|
Sat, Mar 8, 2008|7:00p|Miami Heat|94|Atlanta Hawks|97|Box Score||17,022|
Sat, Mar 8, 2008|7:00p|Golden State Warriors|104|Orlando Magic|95|Box Score||17,519|
Sat, Mar 8, 2008|7:00p|Charlotte Bobcats|100|Washington Wizards|97|Box Score||20,173|
Sat, Mar 8, 2008|7:30p|Portland Trail Blazers|120|New York Knicks|114|Box Score|OT|19,763|
Sat, Mar 8, 2008|8:00p|Boston Celtics|119|Memphis Grizzlies|89|Box Score||18,119|
Sat, Mar 8, 2008|8:30p|New Jersey Nets|91|Dallas Mavericks|111|Box Score||20,399|
Sat, Mar 8, 2008|8:30p|New Orleans Hornets|96|Houston Rockets|106|Box Score||18,279|
Sat, Mar 8, 2008|9:00p|Denver Nuggets|105|Utah Jazz|132|Box Score||19,911|
Sat, Mar 8, 2008|10:30p|Minnesota Timberwolves|99|Los Angeles Clippers|96|Box Score||17,807|
Sun, Mar 9, 2008|1:00p|Philadelphia 76ers|119|Milwaukee Bucks|97|Box Score||16,437|
Sun, Mar 9, 2008|1:00p|Seattle SuperSonics|106|Toronto Raptors|114|Box Score||19,800|
Sun, Mar 9, 2008|2:30p|San Antonio Spurs|87|Phoenix Suns|94|Box Score||18,422|
Sun, Mar 9, 2008|8:00p|Chicago Bulls|109|Detroit Pistons|116|Box Score||22,076|
Sun, Mar 9, 2008|9:30p|Sacramento Kings|114|Los Angeles Lakers|113|Box Score||18,997|
Mon, Mar 10, 2008|7:00p|Portland Trail Blazers|80|Cleveland Cavaliers|88|Box Score||20,213|
Mon, Mar 10, 2008|7:00p|Atlanta Hawks|112|Orlando Magic|123|Box Score||15,921|
Mon, Mar 10, 2008|7:00p|Boston Celtics|100|Philadelphia 76ers|86|Box Score||20,438|
Mon, Mar 10, 2008|7:30p|Los Angeles Clippers|99|Miami Heat|98|Box Score||19,014|
Mon, Mar 10, 2008|8:30p|New York Knicks|79|Dallas Mavericks|108|Box Score||20,203|
Mon, Mar 10, 2008|8:30p|New Jersey Nets|73|Houston Rockets|91|Box Score||18,271|
Mon, Mar 10, 2008|8:30p|Denver Nuggets|103|San Antonio Spurs|107|Box Score||18,797|
Tue, Mar 11, 2008|7:00p|Seattle SuperSonics|107|Indiana Pacers|114|Box Score||11,216|
Tue, Mar 11, 2008|7:00p|Milwaukee Bucks|97|Washington Wizards|105|Box Score||14,755|
Tue, Mar 11, 2008|8:00p|Portland Trail Blazers|103|Minnesota Timberwolves|96|Box Score||13,433|
Tue, Mar 11, 2008|8:30p|Utah Jazz|96|Chicago Bulls|108|Box Score||21,969|
Tue, Mar 11, 2008|10:00p|Memphis Grizzlies|111|Phoenix Suns|132|Box Score||18,422|
Tue, Mar 11, 2008|10:30p|Toronto Raptors|108|Los Angeles Lakers|117|Box Score||18,997|
Wed, Mar 12, 2008|7:00p|Houston Rockets|83|Atlanta Hawks|75|Box Score||17,078|
Wed, Mar 12, 2008|7:00p|Los Angeles Clippers|88|Orlando Magic|110|Box Score||16,312|
Wed, Mar 12, 2008|7:30p|Seattle SuperSonics|82|Boston Celtics|111|Box Score||18,624|
Wed, Mar 12, 2008|7:30p|Philadelphia 76ers|83|Detroit Pistons|82|Box Score||22,076|
Wed, Mar 12, 2008|7:30p|New York Knicks|91|Miami Heat|88|Box Score||19,103|
Wed, Mar 12, 2008|7:30p|Cleveland Cavaliers|99|New Jersey Nets|104|Box Score||18,287|
Wed, Mar 12, 2008|8:00p|Utah Jazz|114|Milwaukee Bucks|110|Box Score||14,582|
Wed, Mar 12, 2008|8:00p|San Antonio Spurs|75|New Orleans Hornets|100|Box Score||16,319|
Wed, Mar 12, 2008|8:30p|Charlotte Bobcats|93|Dallas Mavericks|118|Box Score||20,279|
Wed, Mar 12, 2008|9:00p|Memphis Grizzlies|86|Denver Nuggets|108|Box Score||17,318|
Wed, Mar 12, 2008|10:30p|Toronto Raptors|106|Golden State Warriors|117|Box Score||19,596|
Thu, Mar 13, 2008|8:00p|Cleveland Cavaliers|99|Washington Wizards|101|Box Score||20,173|
Thu, Mar 13, 2008|10:00p|Portland Trail Blazers|85|Sacramento Kings|96|Box Score||13,333|
Thu, Mar 13, 2008|10:30p|Golden State Warriors|115|Phoenix Suns|123|Box Score||18,422|
Fri, Mar 14, 2008|7:30p|Los Angeles Clippers|93|Atlanta Hawks|117|Box Score||16,107|
Fri, Mar 14, 2008|7:30p|Utah Jazz|110|Boston Celtics|92|Box Score||18,624|
Fri, Mar 14, 2008|7:30p|Orlando Magic|103|Miami Heat|94|Box Score||19,312|
Fri, Mar 14, 2008|8:00p|San Antonio Spurs|80|Detroit Pistons|84|Box Score||22,076|
Fri, Mar 14, 2008|8:00p|Los Angeles Lakers|98|New Orleans Hornets|108|Box Score||18,199|
Fri, Mar 14, 2008|8:30p|Philadelphia 76ers|110|Chicago Bulls|106|Box Score||22,069|
Fri, Mar 14, 2008|8:30p|Indiana Pacers|97|Dallas Mavericks|116|Box Score||20,354|
Fri, Mar 14, 2008|8:30p|Charlotte Bobcats|80|Houston Rockets|89|Box Score||18,265|
Fri, Mar 14, 2008|9:00p|Toronto Raptors|105|Denver Nuggets|137|Box Score||17,952|
Fri, Mar 14, 2008|10:30p|Minnesota Timberwolves|121|Seattle SuperSonics|116|Box Score||14,035|
Sat, Mar 15, 2008|7:00p|Indiana Pacers|111|Orlando Magic|122|Box Score||17,519|
Sat, Mar 15, 2008|7:00p|San Antonio Spurs|96|Philadelphia 76ers|103|Box Score||19,942|
Sat, Mar 15, 2008|7:00p|Los Angeles Clippers|109|Washington Wizards|119|Box Score|OT|20,173|
Sat, Mar 15, 2008|7:30p|Utah Jazz|115|New Jersey Nets|117|Box Score||16,332|
Sat, Mar 15, 2008|8:30p|Boston Celtics|99|Milwaukee Bucks|77|Box Score||17,626|
Sat, Mar 15, 2008|10:00p|Sacramento Kings|99|Phoenix Suns|127|Box Score||18,422|
Sat, Mar 15, 2008|10:00p|Minnesota Timberwolves|96|Portland Trail Blazers|107|Box Score||20,079|
Sat, Mar 15, 2008|10:30p|Memphis Grizzlies|107|Golden State Warriors|110|Box Score||19,596|
Sun, Mar 16, 2008|1:00p|New Orleans Hornets|84|Detroit Pistons|105|Box Score||22,076|
Sun, Mar 16, 2008|3:30p|Los Angeles Lakers|92|Houston Rockets|104|Box Score||18,409|
Sun, Mar 16, 2008|6:00p|Charlotte Bobcats|91|Cleveland Cavaliers|98|Box Score||20,562|
Sun, Mar 16, 2008|6:00p|Dallas Mavericks|98|Miami Heat|73|Box Score||19,304|
Sun, Mar 16, 2008|6:00p|Atlanta Hawks|109|New York Knicks|98|Box Score||19,763|
Sun, Mar 16, 2008|9:00p|Seattle SuperSonics|116|Denver Nuggets|168|Box Score||19,155|
Sun, Mar 16, 2008|9:00p|Toronto Raptors|100|Sacramento Kings|106|Box Score||13,963|
Mon, Mar 17, 2008|7:00p|New York Knicks|98|Indiana Pacers|110|Box Score||10,691|
Mon, Mar 17, 2008|7:00p|Cleveland Cavaliers|90|Orlando Magic|104|Box Score||17,519|
Mon, Mar 17, 2008|7:00p|Atlanta Hawks|105|Washington Wizards|96|Box Score||16,227|
Mon, Mar 17, 2008|8:00p|Charlotte Bobcats|80|Memphis Grizzlies|98|Box Score||10,971|
Mon, Mar 17, 2008|8:00p|Los Angeles Clippers|90|Minnesota Timberwolves|99|Box Score||10,034|
Mon, Mar 17, 2008|8:00p|Chicago Bulls|97|New Orleans Hornets|108|Box Score||14,337|
Mon, Mar 17, 2008|8:30p|Boston Celtics|93|San Antonio Spurs|91|Box Score||18,797|
Mon, Mar 17, 2008|9:00p|Toronto Raptors|79|Utah Jazz|96|Box Score||19,911|
Tue, Mar 18, 2008|7:30p|Denver Nuggets|120|Detroit Pistons|136|Box Score||22,076|
Tue, Mar 18, 2008|8:00p|Miami Heat|112|Milwaukee Bucks|106|Box Score||13,379|
Tue, Mar 18, 2008|8:30p|New Jersey Nets|96|Chicago Bulls|112|Box Score||22,070|
Tue, Mar 18, 2008|8:30p|Los Angeles Lakers|102|Dallas Mavericks|100|Box Score||20,534|
Tue, Mar 18, 2008|9:30p|Boston Celtics|94|Houston Rockets|74|Box Score||18,525|
Tue, Mar 18, 2008|10:00p|Golden State Warriors|105|Sacramento Kings|122|Box Score||16,245|
Tue, Mar 18, 2008|10:30p|Phoenix Suns|111|Portland Trail Blazers|98|Box Score||20,580|
Wed, Mar 19, 2008|7:00p|Charlotte Bobcats|95|Indiana Pacers|102|Box Score||10,813|
Wed, Mar 19, 2008|7:00p|Washington Wizards|87|Orlando Magic|86|Box Score||16,533|
Wed, Mar 19, 2008|7:00p|Denver Nuggets|113|Philadelphia 76ers|115|Box Score||20,674|
Wed, Mar 19, 2008|7:00p|Miami Heat|54|Toronto Raptors|96|Box Score||19,800|
Wed, Mar 19, 2008|7:30p|Atlanta Hawks|117|New Jersey Nets|125|Box Score||14,102|
Wed, Mar 19, 2008|8:00p|Detroit Pistons|73|Cleveland Cavaliers|89|Box Score||20,562|
