date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Fri, Jun 1, 2012|8:30p|Miami Heat|91|Boston Celtics|101|Box Score||18,624|
Sat, Jun 2, 2012|8:30p|San Antonio Spurs|103|Oklahoma City Thunder|109|Box Score||18,203|
Sun, Jun 3, 2012|8:30p|Miami Heat|91|Boston Celtics|93|Box Score|OT|18,624|
Mon, Jun 4, 2012|9:00p|Oklahoma City Thunder|108|San Antonio Spurs|103|Box Score||18,581|
Tue, Jun 5, 2012|8:30p|Boston Celtics|94|Miami Heat|90|Box Score||20,021|
Wed, Jun 6, 2012|9:00p|San Antonio Spurs|99|Oklahoma City Thunder|107|Box Score||18,203|
Thu, Jun 7, 2012|8:30p|Miami Heat|98|Boston Celtics|79|Box Score||18,624|
Sat, Jun 9, 2012|8:30p|Boston Celtics|88|Miami Heat|101|Box Score||20,114|
Tue, Jun 12, 2012|9:00p|Miami Heat|94|Oklahoma City Thunder|105|Box Score||18,203|
Thu, Jun 14, 2012|9:00p|Miami Heat|100|Oklahoma City Thunder|96|Box Score||18,203|
Sun, Jun 17, 2012|8:00p|Oklahoma City Thunder|85|Miami Heat|91|Box Score||20,003|
Tue, Jun 19, 2012|9:00p|Oklahoma City Thunder|98|Miami Heat|104|Box Score||20,003|
Thu, Jun 21, 2012|9:00p|Oklahoma City Thunder|106|Miami Heat|121|Box Score||20,003|
