date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sat, Dec 1, 2012|7:30p|Portland Trail Blazers|118|Cleveland Cavaliers|117|Box Score|2OT|16,624|
Sat, Dec 1, 2012|7:30p|Brooklyn Nets|89|Miami Heat|102|Box Score||19,961|
Sat, Dec 1, 2012|8:00p|Philadelphia 76ers|88|Chicago Bulls|93|Box Score||21,607|
Sat, Dec 1, 2012|8:00p|Utah Jazz|116|Houston Rockets|124|Box Score||14,432|
Sat, Dec 1, 2012|8:00p|Oklahoma City Thunder|100|New Orleans Hornets|79|Box Score||14,547|
Sat, Dec 1, 2012|8:30p|Boston Celtics|88|Milwaukee Bucks|91|Box Score||16,581|
Sat, Dec 1, 2012|8:30p|Memphis Grizzlies|95|San Antonio Spurs|99|Box Score|OT|18,581|
Sat, Dec 1, 2012|9:00p|Detroit Pistons|77|Dallas Mavericks|92|Box Score||20,285|
Sat, Dec 1, 2012|10:30p|Indiana Pacers|92|Golden State Warriors|103|Box Score||18,623|
Sat, Dec 1, 2012|10:30p|Sacramento Kings|81|Los Angeles Clippers|116|Box Score||19,060|
Sun, Dec 2, 2012|12:00p|Phoenix Suns|99|New York Knicks|106|Box Score||19,033|
Sun, Dec 2, 2012|9:30p|Orlando Magic|113|Los Angeles Lakers|103|Box Score||18,997|
Mon, Dec 3, 2012|7:00p|Portland Trail Blazers|118|Charlotte Bobcats|112|Box Score|OT|12,640|
Mon, Dec 3, 2012|7:30p|Cleveland Cavaliers|79|Detroit Pistons|89|Box Score||11,352|
Mon, Dec 3, 2012|8:00p|Milwaukee Bucks|81|New Orleans Hornets|102|Box Score||12,321|
Mon, Dec 3, 2012|9:00p|Toronto Raptors|110|Denver Nuggets|113|Box Score||15,221|
Mon, Dec 3, 2012|9:00p|Los Angeles Clippers|105|Utah Jazz|104|Box Score||19,067|
Mon, Dec 3, 2012|10:30p|Orlando Magic|102|Golden State Warriors|94|Box Score||18,117|
Tue, Dec 4, 2012|7:00p|Minnesota Timberwolves|105|Philadelphia 76ers|88|Box Score||13,986|
