date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Wed, May 1, 2013|7:00p|Boston Celtics|92|New York Knicks|86|Box Score||19,033|
Wed, May 1, 2013|7:30p|Atlanta Hawks|83|Indiana Pacers|106|Box Score||18,165|
Wed, May 1, 2013|9:30p|Houston Rockets|107|Oklahoma City Thunder|100|Box Score||18,203|
Thu, May 2, 2013|8:00p|Brooklyn Nets|95|Chicago Bulls|92|Box Score||21,810|
Thu, May 2, 2013|10:30p|Denver Nuggets|88|Golden State Warriors|92|Box Score||19,596|
Fri, May 3, 2013|7:00p|Indiana Pacers|81|Atlanta Hawks|73|Box Score||18,238|
Fri, May 3, 2013|7:00p|New York Knicks|88|Boston Celtics|80|Box Score||18,624|
Fri, May 3, 2013|9:30p|Oklahoma City Thunder|103|Houston Rockets|94|Box Score||18,357|
Fri, May 3, 2013|9:30p|Los Angeles Clippers|105|Memphis Grizzlies|118|Box Score||18,119|
Sat, May 4, 2013|8:00p|Chicago Bulls|99|Brooklyn Nets|93|Box Score||17,732|
Sun, May 5, 2013|1:00p|Memphis Grizzlies|91|Oklahoma City Thunder|93|Box Score||18,203|
Sun, May 5, 2013|3:30p|Indiana Pacers|102|New York Knicks|95|Box Score||19,033|
Mon, May 6, 2013|7:00p|Chicago Bulls|93|Miami Heat|86|Box Score||19,685|
Mon, May 6, 2013|9:30p|Golden State Warriors|127|San Antonio Spurs|129|Box Score|2OT|18,581|
Tue, May 7, 2013|7:00p|Indiana Pacers|79|New York Knicks|105|Box Score||19,033|
Tue, May 7, 2013|9:30p|Memphis Grizzlies|99|Oklahoma City Thunder|93|Box Score||18,203|
Wed, May 8, 2013|7:00p|Chicago Bulls|78|Miami Heat|115|Box Score||19,817|
Wed, May 8, 2013|9:30p|Golden State Warriors|100|San Antonio Spurs|91|Box Score||18,581|
Fri, May 10, 2013|8:00p|Miami Heat|104|Chicago Bulls|94|Box Score||22,675|
Fri, May 10, 2013|10:30p|San Antonio Spurs|102|Golden State Warriors|92|Box Score||19,596|
Sat, May 11, 2013|5:00p|Oklahoma City Thunder|81|Memphis Grizzlies|87|Box Score||18,119|
Sat, May 11, 2013|8:00p|New York Knicks|71|Indiana Pacers|82|Box Score||18,165|
Sun, May 12, 2013|3:30p|San Antonio Spurs|87|Golden State Warriors|97|Box Score|OT|19,596|
Mon, May 13, 2013|7:00p|Miami Heat|88|Chicago Bulls|65|Box Score||21,990|
Mon, May 13, 2013|9:30p|Oklahoma City Thunder|97|Memphis Grizzlies|103|Box Score|OT|18,119|
Tue, May 14, 2013|7:00p|New York Knicks|82|Indiana Pacers|93|Box Score||18,165|
Tue, May 14, 2013|9:30p|Golden State Warriors|91|San Antonio Spurs|109|Box Score||18,581|
Wed, May 15, 2013|7:00p|Chicago Bulls|91|Miami Heat|94|Box Score||20,025|
Wed, May 15, 2013|9:30p|Memphis Grizzlies|88|Oklahoma City Thunder|84|Box Score||18,203|
Thu, May 16, 2013|8:00p|Indiana Pacers|75|New York Knicks|85|Box Score||19,033|
Thu, May 16, 2013|10:30p|San Antonio Spurs|94|Golden State Warriors|82|Box Score||19,596|
Sat, May 18, 2013|8:00p|New York Knicks|99|Indiana Pacers|106|Box Score||18,165|
Sun, May 19, 2013|3:30p|Memphis Grizzlies|83|San Antonio Spurs|105|Box Score||18,581|
Tue, May 21, 2013|9:00p|Memphis Grizzlies|89|San Antonio Spurs|93|Box Score|OT|18,581|
Wed, May 22, 2013|8:30p|Indiana Pacers|102|Miami Heat|103|Box Score|OT|19,679|
Fri, May 24, 2013|8:30p|Indiana Pacers|97|Miami Heat|93|Box Score||20,022|
Sat, May 25, 2013|9:00p|San Antonio Spurs|104|Memphis Grizzlies|93|Box Score|OT|18,119|
Sun, May 26, 2013|8:30p|Miami Heat|114|Indiana Pacers|96|Box Score||18,165|
Mon, May 27, 2013|9:00p|San Antonio Spurs|93|Memphis Grizzlies|86|Box Score||18,119|
Tue, May 28, 2013|8:30p|Miami Heat|92|Indiana Pacers|99|Box Score||18,165|
Thu, May 30, 2013|8:30p|Indiana Pacers|79|Miami Heat|90|Box Score||19,913|
