date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Jan 1, 2018|7:30p|Orlando Magic|95|Brooklyn Nets|98|Box Score||16,164|
Mon, Jan 1, 2018|7:30p|Milwaukee Bucks|127|Toronto Raptors|131|Box Score|OT|19,800|
Mon, Jan 1, 2018|8:00p|Portland Trail Blazers|124|Chicago Bulls|120|Box Score|OT|20,860|
Mon, Jan 1, 2018|8:00p|Los Angeles Lakers|96|Minnesota Timberwolves|114|Box Score||18,978|
Tue, Jan 2, 2018|7:00p|Portland Trail Blazers|110|Cleveland Cavaliers|127|Box Score||20,562|
Tue, Jan 2, 2018|7:30p|San Antonio Spurs|100|New York Knicks|91|Box Score||19,812|
Tue, Jan 2, 2018|9:00p|Atlanta Hawks|103|Phoenix Suns|104|Box Score||15,921|
Tue, Jan 2, 2018|10:00p|Charlotte Hornets|131|Sacramento Kings|111|Box Score||17,583|
Tue, Jan 2, 2018|10:30p|Memphis Grizzlies|105|Los Angeles Clippers|113|Box Score||15,711|
Wed, Jan 3, 2018|7:00p|Houston Rockets|116|Orlando Magic|98|Box Score||18,588|
Wed, Jan 3, 2018|7:00p|San Antonio Spurs|106|Philadelphia 76ers|112|Box Score||20,642|
Wed, Jan 3, 2018|7:00p|New York Knicks|103|Washington Wizards|121|Box Score||17,206|
Wed, Jan 3, 2018|7:30p|Minnesota Timberwolves|97|Brooklyn Nets|98|Box Score||16,215|
Wed, Jan 3, 2018|7:30p|Detroit Pistons|104|Miami Heat|111|Box Score||19,600|
Wed, Jan 3, 2018|8:00p|Cleveland Cavaliers|88|Boston Celtics|102|Box Score||18,624|
Wed, Jan 3, 2018|8:00p|Toronto Raptors|124|Chicago Bulls|115|Box Score||20,056|
Wed, Jan 3, 2018|8:00p|Indiana Pacers|101|Milwaukee Bucks|122|Box Score||15,613|
Wed, Jan 3, 2018|8:30p|Golden State Warriors|125|Dallas Mavericks|122|Box Score||20,212|
Wed, Jan 3, 2018|9:00p|Phoenix Suns|111|Denver Nuggets|134|Box Score||14,079|
Wed, Jan 3, 2018|9:00p|New Orleans Pelicans|108|Utah Jazz|98|Box Score||18,306|
Wed, Jan 3, 2018|10:30p|Oklahoma City Thunder|133|Los Angeles Lakers|96|Box Score||18,997|
Thu, Jan 4, 2018|8:00p|Golden State Warriors|124|Houston Rockets|114|Box Score||18,055|
Thu, Jan 4, 2018|10:30p|Oklahoma City Thunder|127|Los Angeles Clippers|117|Box Score||19,068|
Fri, Jan 5, 2018|7:00p|Minnesota Timberwolves|84|Boston Celtics|91|Box Score||18,624|
Fri, Jan 5, 2018|7:00p|Detroit Pistons|78|Philadelphia 76ers|114|Box Score||20,592|
Fri, Jan 5, 2018|8:00p|New York Knicks|103|Miami Heat|107|Box Score|OT|19,600|
Fri, Jan 5, 2018|8:00p|Toronto Raptors|129|Milwaukee Bucks|110|Box Score||18,717|
Fri, Jan 5, 2018|8:30p|Chicago Bulls|127|Dallas Mavericks|124|Box Score||20,073|
Fri, Jan 5, 2018|8:30p|Phoenix Suns|89|San Antonio Spurs|103|Box Score||18,501|
Fri, Jan 5, 2018|9:00p|Utah Jazz|91|Denver Nuggets|99|Box Score||15,557|
Fri, Jan 5, 2018|9:30p|Washington Wizards|102|Memphis Grizzlies|100|Box Score||16,988|
Fri, Jan 5, 2018|10:00p|Atlanta Hawks|89|Portland Trail Blazers|110|Box Score||19,393|
Fri, Jan 5, 2018|10:30p|Charlotte Hornets|108|Los Angeles Lakers|94|Box Score||18,997|
Sat, Jan 6, 2018|3:30p|Golden State Warriors|121|Los Angeles Clippers|105|Box Score||19,068|
Sat, Jan 6, 2018|6:00p|Boston Celtics|87|Brooklyn Nets|85|Box Score||17,732|
Sat, Jan 6, 2018|7:00p|Houston Rockets|101|Detroit Pistons|108|Box Score||18,046|
Sat, Jan 6, 2018|7:00p|Chicago Bulls|86|Indiana Pacers|125|Box Score||17,923|
Sat, Jan 6, 2018|7:00p|Cleveland Cavaliers|131|Orlando Magic|127|Box Score||18,997|
Sat, Jan 6, 2018|8:00p|Milwaukee Bucks|110|Washington Wizards|103|Box Score||18,762|
Sat, Jan 6, 2018|9:00p|New Orleans Pelicans|98|Minnesota Timberwolves|116|Box Score||18,978|
Sat, Jan 6, 2018|10:00p|Denver Nuggets|98|Sacramento Kings|106|Box Score||17,583|
Sun, Jan 7, 2018|3:30p|Utah Jazz|102|Miami Heat|103|Box Score||19,600|
Sun, Jan 7, 2018|7:00p|New York Knicks|100|Dallas Mavericks|96|Box Score||20,171|
Sun, Jan 7, 2018|8:00p|Oklahoma City Thunder|100|Phoenix Suns|114|Box Score||18,055|
Sun, Jan 7, 2018|9:00p|San Antonio Spurs|110|Portland Trail Blazers|111|Box Score||19,393|
Sun, Jan 7, 2018|9:30p|Atlanta Hawks|113|Los Angeles Lakers|132|Box Score||18,997|
Mon, Jan 8, 2018|7:00p|Milwaukee Bucks|96|Indiana Pacers|109|Box Score||14,670|
Mon, Jan 8, 2018|7:30p|Toronto Raptors|114|Brooklyn Nets|113|Box Score|OT|13,681|
Mon, Jan 8, 2018|8:00p|Houston Rockets|116|Chicago Bulls|107|Box Score||17,462|
Mon, Jan 8, 2018|8:00p|Cleveland Cavaliers|99|Minnesota Timberwolves|127|Box Score||18,978|
Mon, Jan 8, 2018|8:00p|Detroit Pistons|109|New Orleans Pelicans|112|Box Score||12,874|
Mon, Jan 8, 2018|10:00p|San Antonio Spurs|107|Sacramento Kings|100|Box Score||17,583|
Mon, Jan 8, 2018|10:30p|Denver Nuggets|114|Golden State Warriors|124|Box Score||19,596|
Mon, Jan 8, 2018|10:30p|Atlanta Hawks|107|Los Angeles Clippers|108|Box Score||14,624|
Tue, Jan 9, 2018|7:30p|Miami Heat|90|Toronto Raptors|89|Box Score||19,800|
Tue, Jan 9, 2018|8:00p|Portland Trail Blazers|117|Oklahoma City Thunder|106|Box Score||18,203|
Tue, Jan 9, 2018|8:30p|Orlando Magic|99|Dallas Mavericks|114|Box Score||19,306|
Tue, Jan 9, 2018|10:30p|Sacramento Kings|86|Los Angeles Lakers|99|Box Score||18,997|
Wed, Jan 10, 2018|7:00p|Dallas Mavericks|115|Charlotte Hornets|111|Box Score||14,462|
Wed, Jan 10, 2018|7:00p|Miami Heat|114|Indiana Pacers|106|Box Score||14,540|
Wed, Jan 10, 2018|7:00p|Utah Jazz|107|Washington Wizards|104|Box Score||15,640|
Wed, Jan 10, 2018|7:30p|Detroit Pistons|114|Brooklyn Nets|80|Box Score||13,457|
