date|team|fb_stats|twitter_stats
20110223|Los Angeles Lakers|+ 3,029 Today 6,171,157|" 1,826,274
"
20110223|Boston Celtics|+ 1,725 Today 3,303,150|" 131,035
"
20110223|NBA|+ 1,256 Today 7,493,288|" 2,313,635
"
20110223|Chicago Bulls|+ 1,036 Today 1,304,190|" 78,762
"
20110223|Miami Heat|+ 1,019 Today 1,552,635|" 107,396
"
20110223|New York Knicks|+ 787 Today 448,190|" 66,119
"
20110223|San Antonio Spurs|+ 330 Today 465,794|" 47,973
"
20110223|Orlando Magic|+ 260 Today 613,888|" 1,044,100
"
20110223|Phoenix Suns|+ 201 Today 341,101|" 55,177
"
20110223|Dallas Mavericks|+ 192 Today 355,538|" 41,219
"
20110223|Los Angeles Clippers|+ 141 Today 55,776|" 29,095
"
20110223|Denver Nuggets|+ 132 Today 464,025|" 35,880
"
20110223|Oklahoma City Thunder|+ 130 Today 269,490|" 30,079
"
20110223|Houston Rockets|+ 115 Today 256,696|" 38,570
"
20110223|Cleveland Cavaliers|+ 84 Today 624,944|" 61,353
"
20110223|Portland Trail Blazers|+ 74 Today 215,927|" 27,395
"
20110223|Sacramento Kings|+ 71 Today 98,106|" 21,332
"
20110223|Utah Jazz|+ 68 Today 203,135|" 31,878
"
20110223|Golden State Warriors|+ 67 Today 168,222|" 20,674
"
20110223|Philadelphia 76ers|+ 63 Today 117,560|" 25,575
"
20110514|Los Angeles Lakers|+ 15,746 Today 8,176,335|" 2,024,030
"
20110514|Chicago Bulls|+ 13,201 Today 2,249,821|" 135,289
"
20110514|Miami Heat|+ 13,140 Today 2,416,066|" 168,732
"
20110514|NBA|+ 11,668 Today 8,599,225|" 2,560,015
"
20110514|Boston Celtics|+ 9,496 Today 4,296,452|" 192,157
"
20110514|Dallas Mavericks|+ 3,171 Today 518,212|" 58,494
"
20110514|Oklahoma City Thunder|+ 2,692 Today 442,952|" 45,625
"
20110514|Orlando Magic|+ 1,626 Today 835,025|" 1,068,462
"
