date|team|rank|state|payroll|payroll_adjusted
brooklyn_nets|2013-2014|"
								1.
							"|"

									Brooklyn								
"|"
									$102,589,967								"|"
									$112,536,402								"
new_york_knicks|2013-2014|"
								2.
							"|"

									New York								
"|"
									$89,072,787								"|"
									$97,708,684								"
miami_heat|2013-2014|"
								3.
							"|"

									Miami								
"|"
									$80,841,617								"|"
									$88,679,476								"
los_angeles_lakers|2013-2014|"
								4.
							"|"

									LA Lakers								
"|"
									$77,423,614								"|"
									$84,930,083								"
dallas_mavericks|2013-2014|"
								5.
							"|"

									Dallas								
"|"
									$75,012,158								"|"
									$82,284,830								"
chicago_bulls|2013-2014|"
								6.
							"|"

									Chicago								
"|"
									$73,336,893								"|"
									$80,447,143								"
los_angeles_clippers|2013-2014|"
								7.
							"|"

									LA Clippers								
"|"
									$73,049,774								"|"
									$80,132,187								"
golden_state_warriors|2013-2014|"
								8.
							"|"

									Golden State								
"|"
									$72,503,122								"|"
									$79,532,534								"
memphis_grizzlies|2013-2014|"
								9.
							"|"

									Memphis								
"|"
									$71,992,885								"|"
									$78,972,831								"
oklahoma_city_thunder|2013-2014|"
								10.
							"|"

									Oklahoma City								
"|"
									$71,653,401								"|"
									$78,600,431								"
toronto_raptors|2013-2014|"
								11.
							"|"

									Toronto								
"|"
									$71,561,643								"|"
									$78,499,777								"
boston_celtics|2013-2014|"
								12.
							"|"

									Boston								
"|"
									$70,885,503								"|"
									$77,758,083								"
minnesota_timberwolves|2013-2014|"
								13.
							"|"

									Minnesota								
"|"
									$68,564,040								"|"
									$75,211,546								"
new_orleans_pelicans|2013-2014|"
								14.
							"|"

									New Orleans								
"|"
									$67,358,651								"|"
									$73,889,290								"
indiana_pacers|2013-2014|"
								15.
							"|"

									Indiana								
"|"
									$67,182,414								"|"
									$73,695,967								"
cleveland_cavaliers|2013-2014|"
								16.
							"|"

									Cleveland								
"|"
									$66,654,061								"|"
									$73,116,388								"
denver_nuggets|2013-2014|"
								17.
							"|"

									Denver								
"|"
									$65,782,065								"|"
									$72,159,850								"
washington_wizards|2013-2014|"
								18.
							"|"

									Washington								
"|"
									$64,698,822								"|"
									$70,971,580								"
san_antonio_spurs|2013-2014|"
								19.
							"|"

									San Antonio								
"|"
									$63,115,911								"|"
									$69,235,205								"
detroit_pistons|2013-2014|"
								20.
							"|"

									Detroit								
"|"
									$62,387,432								"|"
									$68,436,097								"
portland_trail_blazers|2013-2014|"
								21.
							"|"

									Portland								
"|"
									$61,260,350								"|"
									$67,199,740								"
charlotte_hornets|2013-2014|"
								22.
							"|"

									Charlotte								
"|"
									$60,395,651								"|"
									$66,251,205								"
sacramento_kings|2013-2014|"
								23.
							"|"

									Sacramento								
"|"
									$59,174,155								"|"
									$64,911,282								"
atlanta_hawks|2013-2014|"
								24.
							"|"

									Atlanta								
"|"
									$58,998,677								"|"
									$64,718,790								"
houston_rockets|2013-2014|"
								25.
							"|"

									Houston								
"|"
									$57,823,063								"|"
									$63,429,195								"
orlando_magic|2013-2014|"
								26.
							"|"

									Orlando								
"|"
									$56,948,031								"|"
									$62,469,324								"
utah_jazz|2013-2014|"
								27.
							"|"

									Utah								
"|"
									$56,911,999								"|"
									$62,429,802								"
phoenix_suns|2013-2014|"
								28.
							"|"

									Phoenix								
"|"
									$55,569,468								"|"
									$60,957,107								"
milwaukee_bucks|2013-2014|"
								29.
							"|"

									Milwaukee								
"|"
									$54,400,846								"|"
									$59,675,181								"
philadelphia_76ers|2013-2014|"
								30.
							"|"

									Philadelphia								
"|"
									$51,741,312								"|"
									$56,757,794								"
