date|rank|team|current_value|1_yr_value_change|debt_value|revenue_M|operating_income_M
2012|1|"
Los Angeles Lakers
"|900|40|13|208|24.3
2012|2|"
New York Knicks
"|780|19|0|244|74.9
2012|3|"
Chicago Bulls
"|600|17|9|185|59.4
2012|4|"
Dallas Mavericks
"|497|13|40|166|-3.9
2012|5|"
Boston Celtics
"|482|7|37|146|7.7
2012|6|"
Miami Heat
"|457|8|34|158|26.0
2012|7|"
Houston Rockets
"|453|2|22|150|17.9
2012|8|"
Golden State Warriors
"|450|24|33|139|22.2
2012|9|"
San Antonio Spurs
"|418|3|12|139|14.4
2012|10|"
Phoenix Suns
"|395|-4|47|136|13.1
2012|11|"
Orlando Magic
"|385|0|31|140|-16.0
2012|12|"
Toronto Raptors
"|382|-4|34|134|7.4
2012|13|"
Portland Trail Blazers
"|370|4|28|132|-8.1
2012|14|"
New Jersey Nets
"|357|14|79|89|-23.6
2012|15|"
Oklahoma City Thunder
"|348|6|40|126|24.5
2012|16|"
Utah Jazz
"|335|-2|3|120|-16.4
2012|17|"
Detroit Pistons
"|332|-8|56|141|9.7
2012|18|"
Cleveland Cavaliers
"|329|-7|61|149|32.9
2012|19|"
Washington Wizards
"|328|2|40|109|-3.4
2012|20|"
Los Angeles Clippers
"|324|6|0|108|9.4
2012|21|"
Denver Nuggets
"|316|0|8|113|-1.2
2012|22|"
Philadelphia 76ers
"|314|-5|48|116|-10.3
2012|23|"
Sacramento Kings
"|300|2|33|104|6.4
2012|24|"
New Orleans Hornets
"|285|2|105|109|-2.7
2012|25|"
Indiana Pacers
"|283|5|53|101|-10.5
2012|26|"
Charlotte Bobcats
"|277|-1|54|101|-25.5
2012|27|"
Minnesota Timberwolves
"|272|3|28|97|-6.8
2012|28|"
Atlanta Hawks
"|270|-8|90|109|-14.7
2012|29|"
Memphis Grizzlies
"|269|1|56|99|-24.8
2012|30|"
Milwaukee Bucks
"|268|4|21|92|-7.6
2013|1|"
New York Knicks
"|1,100|41|0|243|83.2
2013|2|"
Los Angeles Lakers
"|1,000|11|11|197|47.8
2013|3|"
Chicago Bulls
"|800|33|7|162|34.2
2013|4|"
Boston Celtics
"|730|51|22|143|18.7
2013|5|"
Dallas Mavericks
"|685|38|29|137|13.0
2013|6|"
Miami Heat
"|625|37|18|150|14.9
2013|7|"
Houston Rockets
"|568|25|18|135|26.6
2013|8|"
Golden State Warriors
"|555|23|27|127|29.1
2013|9|"
Brooklyn Nets
"|530|48|53|84|-16.6
2013|10|"
San Antonio Spurs
"|527|26|9|135|14.7
2013|11|"
Sacramento Kings
"|525|75|19|96|2.6
2013|12|"
Oklahoma City Thunder
"|475|36|29|127|29.9
2013|13|"
Phoenix Suns
"|474|20|39|121|13.0
2013|14|"
Orlando Magic
"|470|22|26|126|12.0
2013|15|"
Portland Trail Blazers
"|457|24|23|117|-10.1
2013|16|"
Cleveland Cavaliers
"|434|32|46|128|18.6
2013|17|"
Utah Jazz
"|432|29|0|111|12.1
2013|18|"
Los Angeles Clippers
"|430|33|0|108|9.1
2013|19|"
Denver Nuggets
"|427|35|5|110|12.0
2013|20|"
Philadelphia 76ers
"|418|33|36|107|-.8
2013|21|"
Toronto Raptors
"|405|6|40|121|18.8
2013|22|"
Detroit Pistons
"|400|20|46|125|7.7
2013|23|"
Washington Wizards
"|397|21|33|102|1.7
2013|24|"
Indiana Pacers
"|383|35|39|98|10.9
2013|25|"
Memphis Grizzlies
"|377|40|29|96|-12.5
2013|26|"
Minnesota Timberwolves
"|364|34|21|96|-4.5
2013|27|"
New Orleans Hornets
"|340|19|37|100|3.3
2013|28|"
Atlanta Hawks
"|316|17|75|99|-18.7
2013|29|"
Charlotte Bobcats
"|315|14|48|93|-13.3
2013|30|"
Milwaukee Bucks
"|312|16|18|87|-.5
2014|1|"
New York Knicks
"|1,400|27|0|287|96.3
2014|2|"
Los Angeles Lakers
"|1,350|35|8|295|66.4
2014|3|"
Chicago Bulls
"|1,000|25|6|195|52.2
2014|4|"
Boston Celtics
"|875|20|18|169|46.8
2014|5|"
Brooklyn Nets
"|780|47|36|190|-19.0
2014|6|"
Houston Rockets
"|775|36|13|191|63.7
2014|7|"
Miami Heat
"|770|23|13|188|29.2
2014|8|"
Dallas Mavericks
"|765|12|26|162|37.5
2014|9|"
Golden State Warriors
"|750|35|20|160|43.0
2014|10|"
San Antonio Spurs
"|660|25|11|167|39.4
2014|11|"
Oklahoma City Thunder
"|590|24|24|144|33.3
2014|12|"
Portland Trail Blazers
"|587|28|18|140|30.0
2014|13|"
Los Angeles Clippers
"|575|34|0|128|15.0
2014|14|"
Phoenix Suns
"|565|19|33|137|28.2
2014|15|"
Orlando Magic
"|560|19|21|139|12.3
2014|16|"
Sacramento Kings
"|550|5|43|115|12.5
2014|17|"
Utah Jazz
"|525|22|10|131|17.5
2014|18|"
Toronto Raptors
"|520|28|30|149|28.8
2014|19|"
Cleveland Cavaliers
"|515|19|39|145|10.8
2014|20|"
Denver Nuggets
"|495|16|2|124|8.0
2014|21|"
Washington Wizards
"|485|22|27|122|7.0
2014|22|"
Indiana Pacers
"|475|24|32|121|11.6
2014|23|"
Philadelphia 76ers
"|469|12|32|117|-3.8
2014|24|"
Memphis Grizzlies
"|453|20|39|126|11.2
2014|25|"
Detroit Pistons
"|450|12|41|139|10.3
2014|26|"
Minnesota Timberwolves
"|430|18|23|116|-2.7
2014|27|"
Atlanta Hawks
"|425|34|55|119|-3.6
2014|28|"
New Orleans Pelicans
"|420|24|30|116|11.2
2014|29|"
Charlotte Bobcats
"|410|30|37|115|7.0
2014|30|"
Milwaukee Bucks
"|405|30|19|109|11.5
2015|1|"
Los Angeles Lakers
"|2,600|93|2|293|104.1
2015|2|"
New York Knicks
"|2,500|79|0|278|53.4
2015|3|"
Chicago Bulls
"|2,000|100|3|201|65.3
2015|4|"
Boston Celtics
"|1,700|94|9|173|54.9
2015|5|"
Los Angeles Clippers
"|1,600|178|0|146|20.1
2015|6|"
Brooklyn Nets
"|1,500|92|19|212|-99.4
2015|7|"
Golden State Warriors
"|1,300|73|12|168|44.9
2015|8|"
Houston Rockets
"|1,250|61|8|175|38.0
2015|9|"
Miami Heat
"|1,175|53|8|188|12.6
2015|10|"
Dallas Mavericks
"|1,150|50|17|168|30.4
2015|11|"
San Antonio Spurs
"|1,000|52|8|172|40.9
2015|12|"
Portland Trail Blazers
"|940|60|11|153|11.7
2015|13|"
Oklahoma City Thunder
"|930|58|15|152|30.8
2015|14|"
Toronto Raptors
"|920|77|16|151|17.9
2015|15|"
Cleveland Cavaliers
"|915|78|22|149|20.6
2015|16|"
Phoenix Suns
"|910|61|20|145|28.2
2015|17|"
Washington Wizards
"|900|86|14|143|10.1
2015|18|"
Orlando Magic
"|875|56|17|143|20.9
2015|19|"
Denver Nuggets
"|855|73|1|136|14.0
2015|20|"
Utah Jazz
"|850|62|6|142|32.7
2015|21|"
Indiana Pacers
"|830|75|18|139|25.0
2015|22|"
Atlanta Hawks
"|825|94|21|133|14.8
2015|23|"
Detroit Pistons
"|810|80|23|144|17.6
2015|24|"
Sacramento Kings
"|800|45|29|125|8.9
2015|25|"
Memphis Grizzlies
"|750|66|23|135|10.5
2015|26|"
Charlotte Hornets
"|725|77|21|130|1.2
2015|27|"
Philadelphia 76ers
"|700|49|21|125|24.4
2015|28|"
New Orleans Pelicans
"|650|55|19|131|19.0
2015|29|"
Minnesota Timberwolves
"|625|45|16|128|6.9
2015|30|"
Milwaukee Bucks
"|600|48|29|110|11.5
2016|#1 |New York Knicks|$3 B|20%|0%|$307 M|$108.9 M
2016|#2 |Los Angeles Lakers|$2.7 B|4%|1%|$304 M|$133.4 M
2016|#3 |Chicago Bulls|$2.3 B|15%|2%|$228 M|$67.6 M
2016|#4 |Boston Celtics|$2.1 B|24%|8%|$181 M|$57.4 M
2016|#5 |Los Angeles Clippers|$2 B|25%|0%|$176 M|$20.6 M
2016|#6 |Golden State Warriors|$1.9 B|46%|13%|$201 M|$57.6 M
2016|#7 |Brooklyn Nets|$1.7 B|13%|15%|$220 M|$-5.7 M
2016|#8 |Houston Rockets|$1.5 B|20%|7%|$237 M|$74.6 M
2016|#9 |Dallas Mavericks|$1.4 B|22%|8%|$177 M|$24.3 M
2016|#10 |Miami Heat|$1.3 B|11%|7%|$180 M|$20.8 M
2016|||||||
2016|#11 |San Antonio Spurs|$1.15 B|15%|7%|$170 M|$31.9 M
2016|#12 |Cleveland Cavaliers|$1.1 B|20%|18%|$191 M|$24.8 M
2016|#13 |Phoenix Suns|$1 B|10%|18%|$154 M|$21.8 M
2016|#14 |Toronto Raptors|$980 M|7%|12%|$163 M|$23.5 M
2016|#15 |Portland Trail Blazers|$975 M|4%|11%|$157 M|$4.1 M
2016|#16 |Washington Wizards|$960 M|7%|14%|$146 M|$2.9 M
2016|#17 |Oklahoma City Thunder|$950 M|2%|15%|$157 M|$20.9 M
2016|#18 |Sacramento Kings|$925 M|16%|25%|$141 M|$4.2 M
2016|#19 |Orlando Magic|$900 M|3%|17%|$143 M|$35.4 M
2016|#20 |Utah Jazz|$875 M|3%|9%|$146 M|$27.5 M
2016|||||||
2016|#21 |Denver Nuggets|$855 M|0%|0%|$140 M|$26.3 M
2016|#22 |Detroit Pistons|$850 M|5%|22%|$154 M|$16 M
2016|#23 |Indiana Pacers|$840 M|1%|18%|$138 M|$19 M
2016|#24 |Atlanta Hawks|$825 M|0%|30%|$142 M|$7 M
2016|#25 |Memphis Grizzlies|$780 M|4%|22%|$147 M|$10.3 M
2016|#26 |Charlotte Hornets|$750 M|3%|20%|$142 M|$3.7 M
2016|#27 |Minnesota Timberwolves|$720 M|15%|14%|$146 M|$15.1 M
2016|#28 |Philadelphia 76ers|$700 M|0%|21%|$124 M|$13.9 M
2016|#29 |Milwaukee Bucks|$675 M|12%|26%|$126 M|$11.6 M
2016|#30 |New Orleans Pelicans|$650 M|0%|19%|$142 M|$19.7 M
2017|#1 |New York Knicks|$3.3 B|10%|0%|$376 M|$141.2 M
2017|#2 |Los Angeles Lakers|$3 B|11%|1%|$333 M|$119.2 M
2017|#3 |Golden State Warriors|$2.6 B|37%|10%|$305 M|$74.2 M
2017|#4 |Chicago Bulls|$2.5 B|9%|2%|$232 M|$45.5 M
2017|#5 |Boston Celtics|$2.2 B|5%|7%|$200 M|$60.1 M
2017|#6 |Los Angeles Clippers|$2 B|0%|0%|$185 M|$-11.8 M
2017|#7 |Brooklyn Nets|$1.8 B|6%|14%|$223 M|$15.7 M
2017|#8 |Houston Rockets|$1.65 B|10%|8%|$244 M|$62.7 M
2017|#9 |Dallas Mavericks|$1.45 B|4%|8%|$194 M|$40.3 M
2017|#10 |Miami Heat|$1.35 B|4%|5%|$210 M|$21.1 M
2017|||||||
2017|#11 |Cleveland Cavaliers|$1.2 B|9%|17%|$233 M|$-40.2 M
2017|#12 |San Antonio Spurs|$1.175 B|2%|6%|$187 M|$18.4 M
2017|#13 |Toronto Raptors|$1.125 B|15%|10%|$193 M|$46.1 M
2017|#14 |Phoenix Suns|$1.1 B|10%|17%|$173 M|$26.3 M
2017|#15 |Sacramento Kings|$1.075 B|16%|47%|$164 M|$18.4 M
2017|#16 |Portland Trail Blazers|$1.05 B|8%|10%|$178 M|$41.2 M
2017|#17 |Oklahoma City Thunder|$1.025 B|8%|14%|$187 M|$-8.4 M
2017|#18 |Washington Wizards|$1 B|4%|13%|$155 M|$6.6 M
2017|#19 |Orlando Magic|$920 M|2%|16%|$166 M|$44.7 M
2017|#20 |Utah Jazz|$910 M|4%|8%|$164 M|$36 M
2017|||||||
2017|#21 |Detroit Pistons|$900 M|6%|21%|$172 M|$21.8 M
2017|#22 |Denver Nuggets|$890 M|4%|0%|$157 M|$21.2 M
2017|#23 |Atlanta Hawks|$885 M|7%|28%|$169 M|$19.8 M
2017|#24 |Indiana Pacers|$880 M|5%|17%|$157 M|$23.9 M
2017|#25 |Philadelphia 76ers|$800 M|14%|19%|$140 M|$18.2 M
