date|team|avg_price
2014-15|New York Knicks|"
                            123.38"
2014-15|Los Angeles Lakers|"
                            102.25"
2014-15|Chicago Bulls|"
                            82.33"
2014-15|Los Angeles Clippers|"
                            78.43"
2014-15|Miami Heat|"
                            78.3"
2014-15|Boston Celtics|"
                            70.79"
2014-15|Brooklyn Nets|"
                            66.15"
2014-15|Houston Rockets|"
                            65.6"
2014-15|San Antonio Spurs|"
                            58.65"
2014-15|Phoenix Suns|"
                            56.1"
2014-15|Denver Nuggets|"
                            54"
2014-15|Portland Trail Blazers|"
                            52.9"
2014-15|Dallas Mavericks|"
                            51.8"
2014-15|Oklahoma City Thunder|"
                            51.35"
2014-15|Milwaukee Bucks|"
                            50.3"
2014-15|Golden State Warriors|"
                            47.38"
2014-15|Sacramento Kings|"
                            46.32"
2014-15|Cleveland Cavaliers|"
                            43.31"
2014-15|Utah Jazz|"
                            43.19"
2014-15|Toronto Raptors|"
                            42.94"
2014-15|Orlando Magic|"
                            39.4"
2014-15|Philadelphia 76ers|"
                            39.25"
2014-15|Detroit Pistons|"
                            38.8"
2014-15|Minnesota Timberwolves|"
                            37.27"
2014-15|Atlanta Hawks|"
                            35.26"
2014-15|Washington Wizards|"
                            32.7"
2014-15|Indiana Pacers|"
                            32.59"
2014-15|Memphis Grizzlies|"
                            31.48"
2014-15|Charlotte Hornets|"
                            30.6"
2014-15|New Orleans Pelicans|"
                            30.2"
