team|date|likes|talking_about|check_ins
 Boston Celtics|March 3, 2020|8,952,355 - (-662)|87,444 - (-18,394)|0 - (0)
 Boston Celtics|February 29, 2020|8,953,017 - (-912)|105,838 - (+6,862)|0 - (0)
 Boston Celtics|February 26, 2020|8,953,929 - (-6,236)|98,976 - (+18,902)|0 - (0)
 Boston Celtics|February 23, 2020|8,960,165 - (-840)|80,074 - (-104,954)|0 - (0)
 Boston Celtics|February 20, 2020|8,961,005 - (-1,169)|185,028 - (+4,422)|0 - (0)
 Boston Celtics|February 17, 2020|8,962,174 - (-848)|180,606 - (+19,725)|0 - (0)
 Boston Celtics|February 14, 2020|8,963,022 - (-418)|160,881 - (+57,434)|0 - (0)
 Boston Celtics|February 11, 2020|8,963,440 - (-1,120)|103,447 - (-17,318)|0 - (0)
 Boston Celtics|February 8, 2020|8,964,560 - (-1,665)|120,765 - (-80,579)|0 - (0)
 Boston Celtics|February 5, 2020|8,966,225 - (-45,274)|201,344 - (+177,332)|0 - (0)
 Boston Celtics|September 2, 2019|9,011,499 - (-1,462)|24,012 - (-11,565)|0 - (0)
 Boston Celtics|August 30, 2019|9,012,961 - (-1,458)|35,577 - (-3,922)|0 - (0)
 Boston Celtics|August 27, 2019|9,014,419 - (-1,248)|39,499 - (+16,646)|0 - (0)
 Boston Celtics|August 24, 2019|9,015,667 - (-1,661)|22,853 - (+9,876)|0 - (0)
 Boston Celtics|August 21, 2019|9,017,328 - (-1,135)|12,977 - (-11,957)|0 - (0)
 Boston Celtics|August 18, 2019|9,018,463 - (-1,308)|24,934 - (-7,495)|0 - (0)
 Boston Celtics|August 15, 2019|9,019,771 - (-1,399)|32,429 - (-25,809)|0 - (0)
 Boston Celtics|August 12, 2019|9,021,170 - (-1,345)|58,238 - (+7,243)|0 - (0)
 Boston Celtics|August 9, 2019|9,022,515 - (-1,399)|50,995 - (+33,982)|0 - (0)
 Boston Celtics|August 6, 2019|9,023,914 - (-1,291)|17,013 - (+6,035)|0 - (0)
 Boston Celtics|August 3, 2019|9,025,205 - (-1,022)|10,978 - (-17,860)|0 - (0)
 Boston Celtics|July 31, 2019|9,026,227 - (-1,116)|28,838 - (-7,527)|0 - (0)
 Boston Celtics|July 28, 2019|9,027,343 - (-919)|36,365 - (+409)|0 - (0)
 Boston Celtics|July 25, 2019|9,028,262 - (-986)|35,956 - (-16,425)|0 - (0)
 Boston Celtics|July 22, 2019|9,029,248 - (-1,142)|52,381 - (-743)|0 - (0)
 Boston Celtics|July 19, 2019|9,030,390 - (-1,735)|53,124 - (-17,251)|0 - (0)
 Boston Celtics|July 16, 2019|9,032,125 - (-915)|70,375 - (-41,126)|0 - (0)
 Boston Celtics|July 13, 2019|9,033,040 - (-798)|111,501 - (+10,214)|0 - (0)
 Boston Celtics|July 10, 2019|9,033,838 - (-698)|101,287 - (+50,137)|0 - (0)
 Boston Celtics|July 7, 2019|9,034,536 - (-836)|51,150 - (+24,830)|0 - (0)
 Boston Celtics|July 4, 2019|9,035,372 - (-737)|26,320 - (-13,753)|0 - (0)
 Boston Celtics|July 1, 2019|9,036,109 - (-401)|40,073 - (-39,369)|0 - (0)
 Boston Celtics|June 28, 2019|9,036,510 - (-535)|79,442 - (+24,479)|0 - (0)
 Boston Celtics|June 25, 2019|9,037,045 - (-531)|54,963 - (+10,016)|0 - (0)
 Boston Celtics|June 22, 2019|9,037,576 - (-968)|44,947 - (+27,319)|0 - (0)
 Boston Celtics|June 19, 2019|9,038,544 - (-2,326)|17,628 - (-1,035)|0 - (0)
 Boston Celtics|June 16, 2019|9,040,870 - (-3,581)|18,663 - (-17,181)|0 - (0)
 Boston Celtics|June 13, 2019|9,044,451 - (-1,100)|35,844 - (-4,539)|0 - (0)
 Boston Celtics|June 10, 2019|9,045,551 - (-1,661)|40,383 - (+12,758)|0 - (0)
 Boston Celtics|June 7, 2019|9,047,212 - (-1,640)|27,625 - (+5,508)|0 - (0)
 Boston Celtics|June 4, 2019|9,048,852 - (-1,119)|22,117 - (-5,609)|0 - (0)
 Boston Celtics|June 1, 2019|9,049,971 - (-1,155)|27,726 - (-19,793)|0 - (0)
 Boston Celtics|May 29, 2019|9,051,126 - (-901)|47,519 - (-3,290)|0 - (0)
 Boston Celtics|May 26, 2019|9,052,027 - (-696)|50,809 - (+5,983)|0 - (0)
 Boston Celtics|May 23, 2019|9,052,723 - (-839)|44,826 - (+7,415)|0 - (0)
 Boston Celtics|May 20, 2019|9,053,562 - (-447)|37,411 - (-30,221)|0 - (0)
 Boston Celtics|May 17, 2019|9,054,009 - (-624)|67,632 - (-72,279)|0 - (0)
 Boston Celtics|May 14, 2019|9,054,633 - (-468)|139,911 - (-57,372)|0 - (0)
 Boston Celtics|May 11, 2019|9,055,101 - (+988)|197,283 - (+53,508)|0 - (0)
 Boston Celtics|May 8, 2019|9,054,113 - (+1,016)|143,775 - (-16,869)|0 - (0)
 Boston Celtics|May 5, 2019|9,053,097 - (+1,924)|160,644 - (+160,644)|0 - (0)
 Boston Celtics|May 2, 2019|9,051,173 - (+3,162)|0 - (0)|0 - (0)
 Boston Celtics|April 29, 2019|9,048,011 - (+5,723)|0 - (0)|0 - (0)
 Boston Celtics|April 26, 2019|9,042,288 - (+2,188)|0 - (0)|0 - (0)
 Boston Celtics|April 23, 2019|9,040,100 - (+3,307)|0 - (0)|0 - (0)
