team|date|likes|talking_about|check_ins
 Brooklyn Nets|March 3, 2020|2,734,956 - (-736)|11,387 - (-19,213)|0 - (0)
 Brooklyn Nets|February 26, 2020|2,735,692 - (-2,826)|30,600 - (+7,164)|0 - (0)
 Brooklyn Nets|February 23, 2020|2,738,518 - (-40)|23,436 - (+7,643)|0 - (0)
 Brooklyn Nets|February 20, 2020|2,738,558 - (-432)|15,793 - (-8,904)|0 - (0)
 Brooklyn Nets|February 17, 2020|2,738,990 - (-300)|24,697 - (-4,068)|0 - (0)
 Brooklyn Nets|February 14, 2020|2,739,290 - (-300)|28,765 - (-6,066)|0 - (0)
 Brooklyn Nets|February 11, 2020|2,739,590 - (-255)|34,831 - (-13,750)|0 - (0)
 Brooklyn Nets|February 8, 2020|2,739,845 - (-30)|48,581 - (-46,059)|0 - (0)
 Brooklyn Nets|February 5, 2020|2,739,875 - (+37,451)|94,640 - (+88,356)|0 - (0)
 Brooklyn Nets|September 2, 2019|2,702,424 - (-212)|6,284 - (-2,417)|0 - (0)
 Brooklyn Nets|August 30, 2019|2,702,636 - (-132)|8,701 - (-3,288)|0 - (0)
 Brooklyn Nets|August 27, 2019|2,702,768 - (-54)|11,989 - (-1,471)|0 - (0)
 Brooklyn Nets|August 24, 2019|2,702,822 - (-223)|13,460 - (-4,046)|0 - (0)
 Brooklyn Nets|August 21, 2019|2,703,045 - (+102)|17,506 - (-1,341)|0 - (0)
 Brooklyn Nets|August 18, 2019|2,702,943 - (+94)|18,847 - (+196)|0 - (0)
 Brooklyn Nets|August 15, 2019|2,702,849 - (+1,428)|18,651 - (+2,042)|0 - (0)
 Brooklyn Nets|August 12, 2019|2,701,421 - (-64)|16,609 - (-1,795)|0 - (0)
 Brooklyn Nets|August 9, 2019|2,701,485 - (+16)|18,404 - (+3,604)|0 - (0)
 Brooklyn Nets|August 6, 2019|2,701,469 - (+131)|14,800 - (-127)|0 - (0)
 Brooklyn Nets|August 3, 2019|2,701,338 - (+137)|14,927 - (+3,325)|0 - (0)
 Brooklyn Nets|July 31, 2019|2,701,201 - (+128)|11,602 - (-411)|0 - (0)
 Brooklyn Nets|July 28, 2019|2,701,073 - (+216)|12,013 - (-3,499)|0 - (0)
 Brooklyn Nets|July 25, 2019|2,700,857 - (+183)|15,512 - (-7,229)|0 - (0)
 Brooklyn Nets|July 22, 2019|2,700,674 - (+95)|22,741 - (-13,000)|0 - (0)
 Brooklyn Nets|July 19, 2019|2,700,579 - (+636)|35,741 - (-12,416)|0 - (0)
 Brooklyn Nets|July 16, 2019|2,699,943 - (+1,500)|48,157 - (-17,488)|0 - (0)
 Brooklyn Nets|July 13, 2019|2,698,443 - (+1,835)|65,645 - (+13,763)|0 - (0)
 Brooklyn Nets|July 10, 2019|2,696,608 - (+3,940)|51,882 - (+25,163)|0 - (0)
 Brooklyn Nets|July 7, 2019|2,692,668 - (+2,199)|26,719 - (-1,518)|0 - (0)
 Brooklyn Nets|July 4, 2019|2,690,469 - (+4,223)|28,237 - (+17,705)|0 - (0)
 Brooklyn Nets|July 1, 2019|2,686,246 - (+6,642)|10,532 - (+2,949)|0 - (0)
 Brooklyn Nets|June 28, 2019|2,679,604 - (-246)|7,583 - (+1,239)|0 - (0)
 Brooklyn Nets|June 25, 2019|2,679,850 - (-497)|6,344 - (+302)|0 - (0)
 Brooklyn Nets|June 22, 2019|2,680,347 - (-43)|6,042 - (+1,960)|0 - (0)
 Brooklyn Nets|June 19, 2019|2,680,390 - (-651)|4,082 - (-1,358)|0 - (0)
 Brooklyn Nets|June 16, 2019|2,681,041 - (-851)|5,440 - (+516)|0 - (0)
 Brooklyn Nets|June 13, 2019|2,681,892 - (-299)|4,924 - (+1,129)|0 - (0)
 Brooklyn Nets|June 10, 2019|2,682,191 - (-244)|3,795 - (-2,585)|0 - (0)
 Brooklyn Nets|June 7, 2019|2,682,435 - (-322)|6,380 - (+613)|0 - (0)
 Brooklyn Nets|June 4, 2019|2,682,757 - (-329)|5,767 - (+1,418)|0 - (0)
 Brooklyn Nets|June 1, 2019|2,683,086 - (-347)|4,349 - (+122)|0 - (0)
 Brooklyn Nets|May 29, 2019|2,683,433 - (-331)|4,227 - (-7,353)|0 - (0)
 Brooklyn Nets|May 26, 2019|2,683,764 - (-210)|11,580 - (+744)|0 - (0)
 Brooklyn Nets|May 23, 2019|2,683,974 - (-140)|10,836 - (+6,102)|0 - (0)
 Brooklyn Nets|May 20, 2019|2,684,114 - (-241)|4,734 - (-557)|0 - (0)
 Brooklyn Nets|May 17, 2019|2,684,355 - (-177)|5,291 - (-897)|0 - (0)
 Brooklyn Nets|May 14, 2019|2,684,532 - (-66)|6,188 - (+807)|0 - (0)
 Brooklyn Nets|May 11, 2019|2,684,598 - (-161)|5,381 - (+1,320)|0 - (0)
 Brooklyn Nets|May 8, 2019|2,684,759 - (-131)|4,061 - (+310)|0 - (0)
 Brooklyn Nets|May 5, 2019|2,684,890 - (-104)|3,751 - (+3,751)|0 - (0)
 Brooklyn Nets|May 2, 2019|2,684,994 - (-294)|0 - (0)|0 - (0)
 Brooklyn Nets|April 29, 2019|2,685,288 - (-327)|0 - (0)|0 - (0)
 Brooklyn Nets|April 26, 2019|2,685,615 - (-1)|0 - (0)|0 - (0)
 Brooklyn Nets|April 23, 2019|2,685,616 - (+4)|0 - (0)|0 - (0)
 Brooklyn Nets|April 20, 2019|2,685,612 - (+176)|0 - (0)|0 - (0)
 Brooklyn Nets|April 17, 2019|2,685,436 - (+311)|0 - (0)|0 - (0)
 Brooklyn Nets|April 14, 2019|2,685,125 - (-346)|0 - (0)|0 - (0)
 Brooklyn Nets|April 11, 2019|2,685,471 - (-106)|0 - (-14,672)|0 - (0)
 Brooklyn Nets|April 8, 2019|2,685,577 - (+57)|14,672 - (+4,899)|0 - (0)
 Brooklyn Nets|April 5, 2019|2,685,520 - (-175)|9,773 - (+538)|0 - (0)
 Brooklyn Nets|April 2, 2019|2,685,695 - (-66)|9,235 - (+2,148)|0 - (0)
 Brooklyn Nets|March 30, 2019|2,685,761 - (-201)|7,087 - (-3,937)|0 - (0)
 Brooklyn Nets|March 27, 2019|2,685,962 - (-156)|11,024 - (-2,306)|0 - (0)
 Brooklyn Nets|March 24, 2019|2,686,118 - (+147)|13,330 - (+3,253)|0 - (0)
 Brooklyn Nets|March 21, 2019|2,685,971 - (-12)|10,077 - (+3,408)|0 - (0)
 Brooklyn Nets|March 18, 2019|2,685,983 - (-432)|6,669 - (-718)|0 - (0)
 Brooklyn Nets|March 15, 2019|2,686,415 - (-135)|7,387 - (-1,725)|0 - (0)
 Brooklyn Nets|March 12, 2019|2,686,550 - (-203)|9,112 - (-1,024)|0 - (0)
 Brooklyn Nets|March 9, 2019|2,686,753 - (-503)|10,136 - (-1,484)|0 - (0)
 Brooklyn Nets|March 6, 2019|2,687,256 - (-19)|11,620 - (-816)|0 - (0)
 Brooklyn Nets|March 3, 2019|2,687,275 - (-235)|12,436 - (-3,120)|0 - (0)
 Brooklyn Nets|February 28, 2019|2,687,510 - (-253)|15,556 - (+659)|0 - (0)
 Brooklyn Nets|February 25, 2019|2,687,763 - (-146)|14,897 - (-7,327)|0 - (0)
 Brooklyn Nets|February 22, 2019|2,687,909 - (-158)|22,224 - (+1,111)|0 - (0)
 Brooklyn Nets|February 19, 2019|2,688,067 - (-191)|21,113 - (+10,481)|0 - (0)
 Brooklyn Nets|February 16, 2019|2,688,258 - (-453)|10,632 - (-2,361)|0 - (0)
 Brooklyn Nets|February 13, 2019|2,688,711 - (-178)|12,993 - (-623)|0 - (0)
 Brooklyn Nets|February 10, 2019|2,688,889 - (-321)|13,616 - (+657)|0 - (0)
