team|date|likes|talking_about|check_ins
 Chicago Bulls|March 3, 2020|17,546,199 - (-3,077)|79,091 - (-13,841)|0 - (0)
 Chicago Bulls|February 29, 2020|17,549,276 - (-3,070)|92,932 - (-2,065)|0 - (0)
 Chicago Bulls|February 26, 2020|17,552,346 - (-20,792)|94,997 - (-128,422)|0 - (0)
 Chicago Bulls|February 23, 2020|17,573,138 - (-2,562)|223,419 - (-26,976)|0 - (0)
 Chicago Bulls|February 20, 2020|17,575,700 - (-2,001)|250,395 - (+147,464)|0 - (0)
 Chicago Bulls|February 17, 2020|17,577,701 - (-2,086)|102,931 - (+40,982)|0 - (0)
 Chicago Bulls|February 14, 2020|17,579,787 - (-3,004)|61,949 - (-21,800)|0 - (0)
 Chicago Bulls|February 11, 2020|17,582,791 - (-3,004)|83,749 - (+12,221)|0 - (0)
 Chicago Bulls|February 8, 2020|17,585,795 - (-2,777)|71,528 - (-18,876)|0 - (0)
 Chicago Bulls|February 5, 2020|17,588,572 - (-152,218)|90,404 - (+65,803)|0 - (0)
 Chicago Bulls|September 2, 2019|17,740,790 - (-3,259)|24,601 - (-3,532)|0 - (0)
 Chicago Bulls|August 30, 2019|17,744,049 - (-3,309)|28,133 - (+1,176)|0 - (0)
 Chicago Bulls|August 27, 2019|17,747,358 - (-3,096)|26,957 - (-1,321)|0 - (0)
 Chicago Bulls|August 24, 2019|17,750,454 - (-3,441)|28,278 - (-3,008)|0 - (0)
 Chicago Bulls|August 21, 2019|17,753,895 - (-3,123)|31,286 - (+1,424)|0 - (0)
 Chicago Bulls|August 18, 2019|17,757,018 - (-3,019)|29,862 - (+1,696)|0 - (0)
 Chicago Bulls|August 15, 2019|17,760,037 - (-2,955)|28,166 - (+6,527)|0 - (0)
 Chicago Bulls|August 12, 2019|17,762,992 - (-3,145)|21,639 - (-4,904)|0 - (0)
 Chicago Bulls|August 9, 2019|17,766,137 - (-3,335)|26,543 - (-21,561)|0 - (0)
 Chicago Bulls|August 6, 2019|17,769,472 - (-2,453)|48,104 - (-39,451)|0 - (0)
 Chicago Bulls|August 3, 2019|17,771,925 - (-2,298)|87,555 - (+7,193)|0 - (0)
 Chicago Bulls|July 31, 2019|17,774,223 - (-1,911)|80,362 - (+42,336)|0 - (0)
 Chicago Bulls|July 28, 2019|17,776,134 - (-2,722)|38,026 - (+8,354)|0 - (0)
 Chicago Bulls|July 25, 2019|17,778,856 - (-3,501)|29,672 - (-5,796)|0 - (0)
 Chicago Bulls|July 22, 2019|17,782,357 - (-2,854)|35,468 - (+1,902)|0 - (0)
 Chicago Bulls|July 19, 2019|17,785,211 - (-2,864)|33,566 - (+294)|0 - (0)
 Chicago Bulls|July 16, 2019|17,788,075 - (-2,288)|33,272 - (-22,782)|0 - (0)
 Chicago Bulls|July 13, 2019|17,790,363 - (-2,677)|56,054 - (-5,071)|0 - (0)
 Chicago Bulls|July 10, 2019|17,793,040 - (-2,381)|61,125 - (+12,690)|0 - (0)
 Chicago Bulls|July 7, 2019|17,795,421 - (-2,537)|48,435 - (+14,037)|0 - (0)
 Chicago Bulls|July 4, 2019|17,797,958 - (-2,392)|34,398 - (-9,964)|0 - (0)
 Chicago Bulls|July 1, 2019|17,800,350 - (-2,335)|44,362 - (-18,367)|0 - (0)
 Chicago Bulls|June 28, 2019|17,802,685 - (-2,203)|62,729 - (-37,868)|0 - (0)
 Chicago Bulls|June 25, 2019|17,804,888 - (-2,375)|100,597 - (+16,054)|0 - (0)
 Chicago Bulls|June 22, 2019|17,807,263 - (-1,453)|84,543 - (+31,816)|0 - (0)
 Chicago Bulls|June 19, 2019|17,808,716 - (-5,215)|52,727 - (-11,038)|0 - (0)
 Chicago Bulls|June 16, 2019|17,813,931 - (-6,238)|63,765 - (+13,487)|0 - (0)
 Chicago Bulls|June 13, 2019|17,820,169 - (-3,443)|50,278 - (+4,995)|0 - (0)
 Chicago Bulls|June 10, 2019|17,823,612 - (-2,984)|45,283 - (-17,053)|0 - (0)
 Chicago Bulls|June 7, 2019|17,826,596 - (-3,339)|62,336 - (-38)|0 - (0)
 Chicago Bulls|June 4, 2019|17,829,935 - (-1,701)|62,374 - (+29,516)|0 - (0)
 Chicago Bulls|June 1, 2019|17,831,636 - (-2,870)|32,858 - (+4,752)|0 - (0)
 Chicago Bulls|May 29, 2019|17,834,506 - (-2,796)|28,106 - (-11,736)|0 - (0)
 Chicago Bulls|May 26, 2019|17,837,302 - (-3,042)|39,842 - (+5,692)|0 - (0)
 Chicago Bulls|May 23, 2019|17,840,344 - (-3,028)|34,150 - (+498)|0 - (0)
 Chicago Bulls|May 20, 2019|17,843,372 - (-3,964)|33,652 - (+862)|0 - (0)
 Chicago Bulls|May 17, 2019|17,847,336 - (-3,192)|32,790 - (+2,736)|0 - (0)
 Chicago Bulls|May 14, 2019|17,850,528 - (-2,968)|30,054 - (-5,874)|0 - (0)
 Chicago Bulls|May 11, 2019|17,853,496 - (-3,222)|35,928 - (-177)|0 - (0)
 Chicago Bulls|May 8, 2019|17,856,718 - (-2,993)|36,105 - (-2,459)|0 - (0)
 Chicago Bulls|May 5, 2019|17,859,711 - (-2,727)|38,564 - (+38,564)|0 - (0)
 Chicago Bulls|May 2, 2019|17,862,438 - (-2,637)|0 - (0)|0 - (0)
 Chicago Bulls|April 29, 2019|17,865,075 - (-3,044)|0 - (0)|0 - (0)
 Chicago Bulls|April 26, 2019|17,868,119 - (-2,578)|0 - (0)|0 - (0)
 Chicago Bulls|April 23, 2019|17,870,697 - (-2,855)|0 - (0)|0 - (0)
 Chicago Bulls|April 20, 2019|17,873,552 - (-3,409)|0 - (0)|0 - (0)
 Chicago Bulls|April 17, 2019|17,876,961 - (-2,641)|0 - (0)|0 - (0)
 Chicago Bulls|April 14, 2019|17,879,602 - (-8,338)|0 - (-45,878)|0 - (0)
 Chicago Bulls|April 11, 2019|17,887,940 - (-2,704)|45,878 - (+3,665)|0 - (0)
 Chicago Bulls|April 8, 2019|17,890,644 - (-2,754)|42,213 - (-672)|0 - (0)
 Chicago Bulls|April 5, 2019|17,893,398 - (-3,102)|42,885 - (-8,504)|0 - (0)
 Chicago Bulls|April 2, 2019|17,896,500 - (-2,681)|51,389 - (-1,269)|0 - (0)
 Chicago Bulls|March 30, 2019|17,899,181 - (-3,253)|52,658 - (+2,627)|0 - (0)
 Chicago Bulls|March 27, 2019|17,902,434 - (-3,092)|50,031 - (+8,805)|0 - (0)
 Chicago Bulls|March 24, 2019|17,905,526 - (-3,092)|41,226 - (+5,049)|0 - (0)
 Chicago Bulls|March 21, 2019|17,908,618 - (-3,170)|36,177 - (+3,230)|0 - (0)
 Chicago Bulls|March 18, 2019|17,911,788 - (-3,759)|32,947 - (-16,954)|0 - (0)
 Chicago Bulls|March 15, 2019|17,915,547 - (-2,239)|49,901 - (-24,471)|0 - (0)
 Chicago Bulls|March 12, 2019|17,917,786 - (-2,632)|74,372 - (+2,780)|0 - (0)
 Chicago Bulls|March 9, 2019|17,920,418 - (-3,071)|71,592 - (+13,759)|0 - (0)
 Chicago Bulls|March 6, 2019|17,923,489 - (-2,865)|57,833 - (+1,964)|0 - (0)
 Chicago Bulls|March 3, 2019|17,926,354 - (-3,245)|55,869 - (+7,272)|0 - (0)
 Chicago Bulls|February 28, 2019|17,929,599 - (-3,470)|48,597 - (-4,295)|0 - (0)
 Chicago Bulls|February 25, 2019|17,933,069 - (-3,139)|52,892 - (-55,851)|0 - (0)
 Chicago Bulls|February 22, 2019|17,936,208 - (-3,257)|108,743 - (-8,815)|0 - (0)
