team|date|likes|talking_about|check_ins
 Cleveland Cavaliers|March 3, 2020|8,469,799 - (-1,739)|35,647 - (+5,671)|0 - (0)
 Cleveland Cavaliers|February 29, 2020|8,471,538 - (-1,749)|29,976 - (-2,359)|0 - (0)
 Cleveland Cavaliers|February 26, 2020|8,473,287 - (-9,288)|32,335 - (+10,082)|0 - (0)
 Cleveland Cavaliers|February 23, 2020|8,482,575 - (-1,996)|22,253 - (-3,048)|0 - (0)
 Cleveland Cavaliers|February 20, 2020|8,484,571 - (-1,698)|25,301 - (-17,248)|0 - (0)
 Cleveland Cavaliers|February 17, 2020|8,486,269 - (-1,756)|42,549 - (-6,230)|0 - (0)
 Cleveland Cavaliers|February 14, 2020|8,488,025 - (-1,920)|48,779 - (-1,185)|0 - (0)
 Cleveland Cavaliers|February 11, 2020|8,489,945 - (-2,226)|49,964 - (+10,165)|0 - (0)
 Cleveland Cavaliers|February 8, 2020|8,492,171 - (-1,671)|39,799 - (+4,235)|0 - (0)
 Cleveland Cavaliers|February 5, 2020|8,493,842 - (-96,677)|35,564 - (+20,048)|0 - (0)
 Cleveland Cavaliers|September 2, 2019|8,590,519 - (-1,786)|15,516 - (-628)|0 - (0)
 Cleveland Cavaliers|August 30, 2019|8,592,305 - (-1,881)|16,144 - (+3,711)|0 - (0)
 Cleveland Cavaliers|August 27, 2019|8,594,186 - (-1,681)|12,433 - (-3,976)|0 - (0)
 Cleveland Cavaliers|August 24, 2019|8,595,867 - (-1,878)|16,409 - (+4,255)|0 - (0)
 Cleveland Cavaliers|August 21, 2019|8,597,745 - (-1,394)|12,154 - (-343)|0 - (0)
 Cleveland Cavaliers|August 18, 2019|8,599,139 - (-1,734)|12,497 - (+4,468)|0 - (0)
 Cleveland Cavaliers|August 15, 2019|8,600,873 - (-1,768)|8,029 - (+2,056)|0 - (0)
 Cleveland Cavaliers|August 12, 2019|8,602,641 - (-1,554)|5,973 - (-63)|0 - (0)
 Cleveland Cavaliers|August 9, 2019|8,604,195 - (-1,759)|6,036 - (-1,420)|0 - (0)
 Cleveland Cavaliers|August 6, 2019|8,605,954 - (-1,577)|7,456 - (+325)|0 - (0)
