team|date|likes|talking_about|check_ins
 Dallas Mavericks|March 3, 2020|4,379,773 - (-275)|47,668 - (-27,135)|71,108 - (-18)
 Dallas Mavericks|February 29, 2020|4,380,048 - (-41)|74,803 - (-3,224)|71,126 - (+6)
 Dallas Mavericks|February 26, 2020|4,380,089 - (-3,152)|78,027 - (+15,774)|71,120 - (+369)
 Dallas Mavericks|February 23, 2020|4,383,241 - (-365)|62,253 - (-52,790)|70,751 - (+15)
 Dallas Mavericks|February 20, 2020|4,383,606 - (-234)|115,043 - (-26,036)|70,736 - (+1)
 Dallas Mavericks|February 17, 2020|4,383,840 - (+675)|141,079 - (+44,471)|70,735 - (+7)
 Dallas Mavericks|February 14, 2020|4,383,165 - (+607)|96,608 - (+38,535)|70,728 - (+277)
 Dallas Mavericks|February 11, 2020|4,382,558 - (-150)|58,073 - (-26,509)|70,451 - (+268)
 Dallas Mavericks|February 8, 2020|4,382,708 - (-99)|84,582 - (-37,572)|70,183 - (+4)
 Dallas Mavericks|February 5, 2020|4,382,807 - (+11,221)|122,154 - (+120,239)|70,179 - (+7,125)
 Dallas Mavericks|September 2, 2019|4,371,586 - (-752)|1,915 - (-328)|63,054 - (+1)
 Dallas Mavericks|August 30, 2019|4,372,338 - (-666)|2,243 - (-2,364)|63,053 - (+6)
 Dallas Mavericks|August 27, 2019|4,373,004 - (-789)|4,607 - (-1,249)|63,047 - (-15)
 Dallas Mavericks|August 24, 2019|4,373,793 - (-933)|5,856 - (-809)|63,062 - (+6)
 Dallas Mavericks|August 21, 2019|4,374,726 - (-586)|6,665 - (-4,393)|63,056 - (+5)
 Dallas Mavericks|August 18, 2019|4,375,312 - (-670)|11,058 - (+927)|63,051 - (-2)
 Dallas Mavericks|August 15, 2019|4,375,982 - (-727)|10,131 - (+6,719)|63,053 - (-4)
 Dallas Mavericks|August 12, 2019|4,376,709 - (-696)|3,412 - (-2,229)|63,057 - (+1)
 Dallas Mavericks|August 9, 2019|4,377,405 - (-781)|5,641 - (-3,656)|63,056 - (-2)
 Dallas Mavericks|August 6, 2019|4,378,186 - (-534)|9,297 - (-192)|63,058 - (-3)
 Dallas Mavericks|August 3, 2019|4,378,720 - (-587)|9,489 - (-955)|63,061 - (-16)
 Dallas Mavericks|July 31, 2019|4,379,307 - (-678)|10,444 - (-748)|63,077 - (-5)
 Dallas Mavericks|July 28, 2019|4,379,985 - (-665)|11,192 - (+3,151)|63,082 - (+5)
 Dallas Mavericks|July 25, 2019|4,380,650 - (-677)|8,041 - (+4,357)|63,077 - (-1)
 Dallas Mavericks|July 22, 2019|4,381,327 - (-743)|3,684 - (-4,685)|63,078 - (+2)
 Dallas Mavericks|July 19, 2019|4,382,070 - (-592)|8,369 - (-2,630)|63,076 - (-3)
 Dallas Mavericks|July 16, 2019|4,382,662 - (-414)|10,999 - (-654)|63,079 - (-1)
 Dallas Mavericks|July 13, 2019|4,383,076 - (-380)|11,653 - (+4,919)|63,080 - (+18)
 Dallas Mavericks|July 10, 2019|4,383,456 - (-189)|6,734 - (-166)|63,062 - (-2)
 Dallas Mavericks|July 7, 2019|4,383,645 - (-45)|6,900 - (-5,073)|63,064 - (+3)
 Dallas Mavericks|July 4, 2019|4,383,690 - (-136)|11,973 - (-31,413)|63,061 - (-8)
 Dallas Mavericks|July 1, 2019|4,383,826 - (-143)|43,386 - (+4,125)|63,069 - (+3)
 Dallas Mavericks|June 28, 2019|4,383,969 - (-192)|39,261 - (+13,565)|63,066 - (+5)
 Dallas Mavericks|June 25, 2019|4,384,161 - (-308)|25,696 - (+19,801)|63,061 - (-1)
 Dallas Mavericks|June 22, 2019|4,384,469 - (-411)|5,895 - (+217)|63,062 - (+1)
 Dallas Mavericks|June 19, 2019|4,384,880 - (-1,329)|5,678 - (+2,419)|63,061 - (+2)
