team|date|likes|talking_about|check_ins
 Denver Nuggets|March 4, 2020|2,000,693 - (0)|34,521 - (+5,993)|0 - (0)
 Denver Nuggets|March 1, 2020|2,000,693 - (-191)|28,528 - (+517)|0 - (0)
 Denver Nuggets|February 27, 2020|2,000,884 - (-1,501)|28,011 - (-21,876)|0 - (0)
 Denver Nuggets|February 24, 2020|2,002,385 - (-290)|49,887 - (-36,430)|0 - (0)
 Denver Nuggets|February 21, 2020|2,002,675 - (-91)|86,317 - (+9,857)|0 - (0)
 Denver Nuggets|February 18, 2020|2,002,766 - (+322)|76,460 - (+19,542)|0 - (0)
 Denver Nuggets|February 15, 2020|2,002,444 - (+225)|56,918 - (-3,581)|0 - (0)
 Denver Nuggets|February 12, 2020|2,002,219 - (-184)|60,499 - (+759)|0 - (0)
 Denver Nuggets|February 9, 2020|2,002,403 - (+58)|59,740 - (-2,963)|0 - (0)
 Denver Nuggets|February 6, 2020|2,002,345 - (-2,977)|62,703 - (+45,373)|0 - (0)
 Denver Nuggets|September 3, 2019|2,005,322 - (-176)|17,330 - (+6,526)|0 - (0)
 Denver Nuggets|August 31, 2019|2,005,498 - (-316)|10,804 - (-189)|0 - (0)
 Denver Nuggets|August 28, 2019|2,005,814 - (-283)|10,993 - (-226)|0 - (0)
 Denver Nuggets|August 25, 2019|2,006,097 - (-324)|11,219 - (+4,082)|0 - (0)
 Denver Nuggets|August 22, 2019|2,006,421 - (-275)|7,137 - (-4,452)|0 - (0)
 Denver Nuggets|August 19, 2019|2,006,696 - (-268)|11,589 - (-1,531)|0 - (0)
 Denver Nuggets|August 16, 2019|2,006,964 - (-229)|13,120 - (+1,357)|0 - (0)
 Denver Nuggets|August 13, 2019|2,007,193 - (-302)|11,763 - (+2,066)|0 - (0)
 Denver Nuggets|August 10, 2019|2,007,495 - (-330)|9,697 - (-1,112)|0 - (0)
 Denver Nuggets|August 7, 2019|2,007,825 - (-255)|10,809 - (-2,526)|0 - (0)
 Denver Nuggets|August 4, 2019|2,008,080 - (-154)|13,335 - (-2,613)|0 - (0)
 Denver Nuggets|August 1, 2019|2,008,234 - (-246)|15,948 - (+1,948)|0 - (0)
 Denver Nuggets|July 29, 2019|2,008,480 - (-181)|14,000 - (+5,172)|0 - (0)
 Denver Nuggets|July 26, 2019|2,008,661 - (-246)|8,828 - (+1,480)|0 - (0)
 Denver Nuggets|July 23, 2019|2,008,907 - (-298)|7,348 - (-1,119)|0 - (0)
 Denver Nuggets|July 20, 2019|2,009,205 - (-245)|8,467 - (-2,256)|0 - (0)
 Denver Nuggets|July 17, 2019|2,009,450 - (-170)|10,723 - (-6,581)|0 - (0)
