team|date|likes|talking_about|check_ins
 Detroit Pistons|March 3, 2020|2,004,248 - (-163)|33,477 - (-17,722)|0 - (0)
 Detroit Pistons|February 29, 2020|2,004,411 - (-124)|51,199 - (-23,472)|0 - (0)
 Detroit Pistons|February 26, 2020|2,004,535 - (+13,221)|74,671 - (-33,211)|0 - (0)
 Detroit Pistons|February 23, 2020|1,991,314 - (+23,062)|107,882 - (+1,870)|0 - (0)
 Detroit Pistons|February 20, 2020|1,968,252 - (+23,629)|106,012 - (+29,928)|0 - (0)
 Detroit Pistons|February 17, 2020|1,944,623 - (+26,878)|76,084 - (+35,708)|0 - (0)
 Detroit Pistons|February 14, 2020|1,917,745 - (+22,918)|40,376 - (-3,643)|0 - (0)
 Detroit Pistons|February 11, 2020|1,894,827 - (+2,671)|44,019 - (-4,524)|0 - (0)
 Detroit Pistons|February 8, 2020|1,892,156 - (+3,508)|48,543 - (+15,513)|0 - (0)
 Detroit Pistons|February 5, 2020|1,888,648 - (+93,661)|33,030 - (+27,066)|0 - (0)
 Detroit Pistons|September 2, 2019|1,794,987 - (-323)|5,964 - (+679)|0 - (0)
 Detroit Pistons|August 30, 2019|1,795,310 - (-316)|5,285 - (-2,185)|0 - (0)
 Detroit Pistons|August 27, 2019|1,795,626 - (-145)|7,470 - (+220)|0 - (0)
 Detroit Pistons|August 24, 2019|1,795,771 - (-180)|7,250 - (-2,125)|0 - (0)
 Detroit Pistons|August 21, 2019|1,795,951 - (-171)|9,375 - (-4,676)|0 - (0)
 Detroit Pistons|August 18, 2019|1,796,122 - (-223)|14,051 - (+1,990)|0 - (0)
 Detroit Pistons|August 15, 2019|1,796,345 - (-268)|12,061 - (+5,638)|0 - (0)
 Detroit Pistons|August 12, 2019|1,796,613 - (-218)|6,423 - (+581)|0 - (0)
 Detroit Pistons|August 9, 2019|1,796,831 - (-150)|5,842 - (-957)|0 - (0)
 Detroit Pistons|August 6, 2019|1,796,981 - (-90)|6,799 - (-4,290)|0 - (0)
 Detroit Pistons|August 3, 2019|1,797,071 - (-25)|11,089 - (+599)|0 - (0)
 Detroit Pistons|July 31, 2019|1,797,096 - (-51)|10,490 - (+3,838)|0 - (0)
 Detroit Pistons|July 28, 2019|1,797,147 - (-132)|6,652 - (-249)|0 - (0)
 Detroit Pistons|July 25, 2019|1,797,279 - (-171)|6,901 - (-6,735)|0 - (0)
 Detroit Pistons|July 22, 2019|1,797,450 - (-213)|13,636 - (-6,255)|0 - (0)
 Detroit Pistons|July 19, 2019|1,797,663 - (+14)|19,891 - (-22,663)|0 - (0)
 Detroit Pistons|July 16, 2019|1,797,649 - (+219)|42,554 - (-45,253)|0 - (0)
 Detroit Pistons|July 13, 2019|1,797,430 - (+684)|87,807 - (+32,575)|0 - (0)
 Detroit Pistons|July 10, 2019|1,796,746 - (+1,988)|55,232 - (+44,387)|0 - (0)
 Detroit Pistons|July 7, 2019|1,794,758 - (+164)|10,845 - (+3,129)|0 - (0)
 Detroit Pistons|July 4, 2019|1,794,594 - (+203)|7,716 - (+864)|0 - (0)
 Detroit Pistons|July 1, 2019|1,794,391 - (+560)|6,852 - (-1,274)|0 - (0)
 Detroit Pistons|June 28, 2019|1,793,831 - (-133)|8,126 - (-5,341)|0 - (0)
 Detroit Pistons|June 25, 2019|1,793,964 - (-48)|13,467 - (-704)|0 - (0)
 Detroit Pistons|June 22, 2019|1,794,012 - (+237)|14,171 - (-1,436)|0 - (0)
 Detroit Pistons|June 19, 2019|1,793,775 - (-380)|15,607 - (+895)|0 - (0)
 Detroit Pistons|June 16, 2019|1,794,155 - (-973)|14,712 - (-2,113)|0 - (0)
 Detroit Pistons|June 13, 2019|1,795,128 - (-328)|16,825 - (-9,331)|0 - (0)
 Detroit Pistons|June 10, 2019|1,795,456 - (-180)|26,156 - (+1,632)|0 - (0)
 Detroit Pistons|June 7, 2019|1,795,636 - (-144)|24,524 - (+12,148)|0 - (0)
 Detroit Pistons|June 4, 2019|1,795,780 - (-114)|12,376 - (+3,124)|0 - (0)
 Detroit Pistons|June 1, 2019|1,795,894 - (-157)|9,252 - (-8,906)|0 - (0)
 Detroit Pistons|May 29, 2019|1,796,051 - (-212)|18,158 - (-1,816)|0 - (0)
 Detroit Pistons|May 26, 2019|1,796,263 - (-160)|19,974 - (+7,245)|0 - (0)
 Detroit Pistons|May 23, 2019|1,796,423 - (-172)|12,729 - (-8,858)|0 - (0)
 Detroit Pistons|May 20, 2019|1,796,595 - (-151)|21,587 - (-554)|0 - (0)
 Detroit Pistons|May 17, 2019|1,796,746 - (-120)|22,141 - (+11,340)|0 - (0)
 Detroit Pistons|May 14, 2019|1,796,866 - (+11)|10,801 - (+3,076)|0 - (0)
 Detroit Pistons|May 11, 2019|1,796,855 - (-188)|7,725 - (-1,433)|0 - (0)
 Detroit Pistons|May 8, 2019|1,797,043 - (-165)|9,158 - (-3,777)|0 - (0)
 Detroit Pistons|May 5, 2019|1,797,208 - (-81)|12,935 - (+12,935)|0 - (0)
 Detroit Pistons|May 2, 2019|1,797,289 - (-133)|0 - (0)|0 - (0)
 Detroit Pistons|April 29, 2019|1,797,422 - (-185)|0 - (0)|0 - (0)
 Detroit Pistons|April 26, 2019|1,797,607 - (-117)|0 - (0)|0 - (0)
 Detroit Pistons|April 23, 2019|1,797,724 - (+192)|0 - (0)|0 - (0)
 Detroit Pistons|April 20, 2019|1,797,532 - (+156)|0 - (0)|0 - (0)
 Detroit Pistons|April 17, 2019|1,797,376 - (+198)|0 - (0)|0 - (0)
 Detroit Pistons|April 14, 2019|1,797,178 - (-824)|0 - (0)|0 - (0)
 Detroit Pistons|April 11, 2019|1,798,002 - (+255)|0 - (-22,740)|0 - (0)
 Detroit Pistons|April 8, 2019|1,797,747 - (-164)|22,740 - (-8,144)|0 - (0)
 Detroit Pistons|April 5, 2019|1,797,911 - (-111)|30,884 - (+1,392)|0 - (0)
 Detroit Pistons|April 2, 2019|1,798,022 - (+144)|29,492 - (-3,272)|0 - (0)
 Detroit Pistons|March 30, 2019|1,797,878 - (-445)|32,764 - (+3,995)|0 - (0)
 Detroit Pistons|March 27, 2019|1,798,323 - (+129)|28,769 - (+5,072)|0 - (0)
 Detroit Pistons|March 24, 2019|1,798,194 - (+98)|23,697 - (+1,039)|0 - (0)
 Detroit Pistons|March 21, 2019|1,798,096 - (-75)|22,658 - (+4,192)|0 - (0)
 Detroit Pistons|March 18, 2019|1,798,171 - (-133)|18,466 - (-2,284)|0 - (0)
 Detroit Pistons|March 15, 2019|1,798,304 - (-88)|20,750 - (-7,353)|0 - (0)
 Detroit Pistons|March 12, 2019|1,798,392 - (-35)|28,103 - (+3,513)|0 - (0)
 Detroit Pistons|March 9, 2019|1,798,427 - (-431)|24,590 - (+2,798)|0 - (0)
 Detroit Pistons|March 6, 2019|1,798,858 - (+72)|21,792 - (+5,697)|0 - (0)
 Detroit Pistons|March 3, 2019|1,798,786 - (-73)|16,095 - (-1,709)|0 - (0)
 Detroit Pistons|February 28, 2019|1,798,859 - (-13)|17,804 - (+1,864)|0 - (0)
 Detroit Pistons|February 25, 2019|1,798,872 - (-312)|15,940 - (-2,117)|0 - (0)
 Detroit Pistons|February 22, 2019|1,799,184 - (-118)|18,057 - (-6,051)|0 - (0)
 Detroit Pistons|February 19, 2019|1,799,302 - (-209)|24,108 - (+2,379)|0 - (0)
 Detroit Pistons|February 16, 2019|1,799,511 - (-320)|21,729 - (+2,386)|0 - (0)
 Detroit Pistons|February 13, 2019|1,799,831 - (-178)|19,343 - (+5,885)|0 - (0)
 Detroit Pistons|February 10, 2019|1,800,009 - (-172)|13,458 - (+707)|0 - (0)
 Detroit Pistons|February 7, 2019|1,800,181 - (-82)|12,751 - (+1,394)|0 - (0)
 Detroit Pistons|February 4, 2019|1,800,263 - (-117)|11,357 - (-20)|0 - (0)
 Detroit Pistons|January 29, 2019|1,800,380 - (-257)|11,377 - (-1,105)|0 - (0)
 Detroit Pistons|January 26, 2019|1,800,637 - (-144)|12,482 - (-7)|0 - (0)
 Detroit Pistons|January 23, 2019|1,800,781 - (-173)|12,489 - (-1,166)|0 - (0)
 Detroit Pistons|January 20, 2019|1,800,954 - (-150)|13,655 - (-2,524)|0 - (0)
 Detroit Pistons|January 17, 2019|1,801,104 - (-187)|16,179 - (+264)|0 - (0)
 Detroit Pistons|January 14, 2019|1,801,291 - (-145)|15,915 - (+4,679)|0 - (0)
 Detroit Pistons|January 11, 2019|1,801,436 - (-172)|11,236 - (-1,530)|0 - (0)
 Detroit Pistons|January 8, 2019|1,801,608 - (-150)|12,766 - (-2,019)|0 - (0)
 Detroit Pistons|January 5, 2019|1,801,758 - (-248)|14,785 - (+926)|0 - (0)
