team|date|likes|talking_about|check_ins
 Golden State Warriors|March 3, 2020|11,663,994 - (-410)|233,206 - (+51,527)|0 - (0)
 Golden State Warriors|February 29, 2020|11,664,404 - (-1,112)|181,679 - (+25,230)|0 - (0)
 Golden State Warriors|February 26, 2020|11,665,516 - (-12,200)|156,449 - (+22,771)|0 - (0)
 Golden State Warriors|February 23, 2020|11,677,716 - (-1,555)|133,678 - (-9,157)|0 - (0)
 Golden State Warriors|February 20, 2020|11,679,271 - (-1,511)|142,835 - (-112,559)|0 - (0)
 Golden State Warriors|February 17, 2020|11,680,782 - (-1,354)|255,394 - (-493,091)|0 - (0)
 Golden State Warriors|February 14, 2020|11,682,136 - (-648)|748,485 - (+12,929)|0 - (0)
 Golden State Warriors|February 11, 2020|11,682,784 - (+5,588)|735,556 - (+469,987)|0 - (0)
 Golden State Warriors|February 8, 2020|11,677,196 - (+111)|265,569 - (-50,761)|0 - (0)
 Golden State Warriors|February 5, 2020|11,677,085 - (-42,377)|316,330 - (+168,484)|0 - (0)
 Golden State Warriors|September 2, 2019|11,719,462 - (-855)|147,846 - (+26,400)|0 - (0)
 Golden State Warriors|August 30, 2019|11,720,317 - (-716)|121,446 - (+15,615)|0 - (0)
 Golden State Warriors|August 27, 2019|11,721,033 - (-908)|105,831 - (-2,527)|0 - (0)
 Golden State Warriors|August 24, 2019|11,721,941 - (-1,150)|108,358 - (+9,465)|0 - (0)
 Golden State Warriors|August 21, 2019|11,723,091 - (-937)|98,893 - (+19,553)|0 - (0)
 Golden State Warriors|August 18, 2019|11,724,028 - (-1,201)|79,340 - (+5,004)|0 - (0)
 Golden State Warriors|August 15, 2019|11,725,229 - (-1,374)|74,336 - (-15,988)|0 - (0)
 Golden State Warriors|August 12, 2019|11,726,603 - (-1,184)|90,324 - (-18,522)|0 - (0)
 Golden State Warriors|August 9, 2019|11,727,787 - (-1,533)|108,846 - (+110)|0 - (0)
 Golden State Warriors|August 6, 2019|11,729,320 - (-979)|108,736 - (-58,517)|0 - (0)
 Golden State Warriors|August 3, 2019|11,730,299 - (-567)|167,253 - (-21,245)|0 - (0)
 Golden State Warriors|July 31, 2019|11,730,866 - (-441)|188,498 - (+42,858)|0 - (0)
 Golden State Warriors|July 28, 2019|11,731,307 - (-254)|145,640 - (+16,838)|0 - (0)
 Golden State Warriors|July 25, 2019|11,731,561 - (-1,383)|128,802 - (+25,558)|0 - (0)
 Golden State Warriors|July 22, 2019|11,732,944 - (-1,123)|103,244 - (+8,099)|0 - (0)
 Golden State Warriors|July 19, 2019|11,734,067 - (-771)|95,145 - (-54,114)|0 - (0)
 Golden State Warriors|July 16, 2019|11,734,838 - (-245)|149,259 - (-9,227)|0 - (0)
 Golden State Warriors|July 13, 2019|11,735,083 - (+18)|158,486 - (+3,979)|0 - (0)
 Golden State Warriors|July 10, 2019|11,735,065 - (-21)|154,507 - (+10,593)|0 - (0)
 Golden State Warriors|July 7, 2019|11,735,086 - (+18)|143,914 - (-48,838)|0 - (0)
 Golden State Warriors|July 4, 2019|11,735,068 - (+329)|192,752 - (-17,582)|0 - (0)
 Golden State Warriors|July 1, 2019|11,734,739 - (+1,511)|210,334 - (-54,039)|0 - (0)
 Golden State Warriors|June 28, 2019|11,733,228 - (+1,519)|264,373 - (-75,229)|0 - (0)
 Golden State Warriors|June 25, 2019|11,731,709 - (+1,122)|339,602 - (-63,751)|0 - (0)
 Golden State Warriors|June 22, 2019|11,730,587 - (+5,316)|403,353 - (-843,411)|0 - (0)
 Golden State Warriors|June 19, 2019|11,725,271 - (+11,473)|1,246,764 - (-405,805)|0 - (0)
 Golden State Warriors|June 16, 2019|11,713,798 - (+54,411)|1,652,569 - (+506,790)|0 - (0)
 Golden State Warriors|June 13, 2019|11,659,387 - (+59,256)|1,145,779 - (+361,476)|0 - (0)
 Golden State Warriors|June 10, 2019|11,600,131 - (+23,212)|784,303 - (-123,389)|0 - (0)
 Golden State Warriors|June 7, 2019|11,576,919 - (+20,395)|907,692 - (-114,083)|0 - (0)
 Golden State Warriors|June 4, 2019|11,556,524 - (+26,387)|1,021,775 - (+211,722)|0 - (0)
 Golden State Warriors|June 1, 2019|11,530,137 - (+18,981)|810,053 - (+171,948)|0 - (0)
 Golden State Warriors|May 29, 2019|11,511,156 - (+9,660)|638,105 - (-60,024)|0 - (0)
 Golden State Warriors|May 26, 2019|11,501,496 - (+6,328)|698,129 - (-31,472)|0 - (0)
 Golden State Warriors|May 23, 2019|11,495,168 - (+13,976)|729,601 - (+173,873)|0 - (0)
 Golden State Warriors|May 20, 2019|11,481,192 - (+6,676)|555,728 - (-132,031)|0 - (0)
 Golden State Warriors|May 17, 2019|11,474,516 - (+9,217)|687,759 - (+62,463)|0 - (0)
 Golden State Warriors|May 14, 2019|11,465,299 - (+5,035)|625,296 - (+104,546)|0 - (0)
 Golden State Warriors|May 11, 2019|11,460,264 - (+18,850)|520,750 - (+169,315)|0 - (0)
 Golden State Warriors|May 8, 2019|11,441,414 - (+3,385)|351,435 - (-134,499)|0 - (0)
 Golden State Warriors|May 5, 2019|11,438,029 - (+5,571)|485,934 - (+485,934)|0 - (0)
 Golden State Warriors|May 2, 2019|11,432,458 - (+7,117)|0 - (0)|0 - (0)
 Golden State Warriors|April 29, 2019|11,425,341 - (+10,773)|0 - (0)|0 - (0)
 Golden State Warriors|April 26, 2019|11,414,568 - (+5,438)|0 - (0)|0 - (0)
 Golden State Warriors|April 23, 2019|11,409,130 - (+4,236)|0 - (0)|0 - (0)
 Golden State Warriors|April 20, 2019|11,404,894 - (+2,704)|0 - (0)|0 - (0)
 Golden State Warriors|April 17, 2019|11,402,190 - (+4,140)|0 - (0)|0 - (0)
 Golden State Warriors|April 14, 2019|11,398,050 - (-5,265)|0 - (0)|0 - (0)
 Golden State Warriors|April 11, 2019|11,403,315 - (+2,360)|0 - (-382,075)|0 - (0)
 Golden State Warriors|April 8, 2019|11,400,955 - (+3,405)|382,075 - (+119,005)|0 - (0)
 Golden State Warriors|April 5, 2019|11,397,550 - (+3,388)|263,070 - (+34,038)|0 - (0)
 Golden State Warriors|April 2, 2019|11,394,162 - (+1,468)|229,032 - (+21,825)|0 - (0)
 Golden State Warriors|March 30, 2019|11,392,694 - (+2,061)|207,207 - (-40,125)|0 - (0)
 Golden State Warriors|March 27, 2019|11,390,633 - (+501)|247,332 - (-66,881)|0 - (0)
 Golden State Warriors|March 24, 2019|11,390,132 - (+1,648)|314,213 - (-2,710)|0 - (0)
 Golden State Warriors|March 21, 2019|11,388,484 - (+4,214)|316,923 - (+68,730)|0 - (0)
 Golden State Warriors|March 18, 2019|11,384,270 - (+1,726)|248,193 - (+12,629)|0 - (0)
 Golden State Warriors|March 15, 2019|11,382,544 - (+1,381)|235,564 - (-51,149)|0 - (0)
 Golden State Warriors|March 12, 2019|11,381,163 - (+1,087)|286,713 - (+37,331)|0 - (0)
 Golden State Warriors|March 9, 2019|11,380,076 - (+1,507)|249,382 - (+46,954)|0 - (0)
 Golden State Warriors|March 6, 2019|11,378,569 - (+1,389)|202,428 - (-14,300)|0 - (0)
 Golden State Warriors|March 3, 2019|11,377,180 - (+1,867)|216,728 - (-56,402)|0 - (0)
