team|date|likes|talking_about|check_ins
 Houston Rockets|March 3, 2020|13,960,841 - (+45,313)|411,181 - (-60,658)|247,047 - (-139)
 Houston Rockets|February 29, 2020|13,915,528 - (+42,637)|471,839 - (+4,319)|247,186 - (+6)
 Houston Rockets|February 26, 2020|13,872,891 - (+33,503)|467,520 - (+80,262)|247,180 - (+549)
 Houston Rockets|February 23, 2020|13,839,388 - (+46,835)|387,258 - (+103,104)|246,631 - (-212)
 Houston Rockets|February 20, 2020|13,792,553 - (+28,842)|284,154 - (-8,784)|246,843 - (-80)
 Houston Rockets|February 17, 2020|13,763,711 - (+22,086)|292,938 - (-6,707)|246,923 - (-178)
 Houston Rockets|February 14, 2020|13,741,625 - (+39,547)|299,645 - (-68,679)|247,101 - (+86)
 Houston Rockets|February 11, 2020|13,702,078 - (+42,281)|368,324 - (-44,651)|247,015 - (+604)
 Houston Rockets|February 8, 2020|13,659,797 - (+45,479)|412,975 - (+19,634)|246,411 - (-26)
 Houston Rockets|February 5, 2020|13,614,318 - (+1,059,050)|393,341 - (+254,804)|246,437 - (+246,437)
 Houston Rockets|September 2, 2019|12,555,271 - (+15,341)|138,537 - (-4,972)|0 - (0)
 Houston Rockets|August 30, 2019|12,539,930 - (+12,806)|143,509 - (+398)|0 - (0)
 Houston Rockets|August 27, 2019|12,527,124 - (+13,489)|143,111 - (+11,176)|0 - (0)
 Houston Rockets|August 24, 2019|12,513,635 - (+13,641)|131,935 - (+7,605)|0 - (0)
 Houston Rockets|August 21, 2019|12,499,994 - (+12,589)|124,330 - (+29,050)|0 - (0)
 Houston Rockets|August 18, 2019|12,487,405 - (+11,329)|95,280 - (+21,865)|0 - (0)
 Houston Rockets|August 15, 2019|12,476,076 - (+3,822)|73,415 - (-14,529)|0 - (0)
 Houston Rockets|August 12, 2019|12,472,254 - (-3,016)|87,944 - (-135,872)|0 - (0)
 Houston Rockets|August 9, 2019|12,475,270 - (-3,208)|223,816 - (-177,629)|0 - (0)
 Houston Rockets|August 6, 2019|12,478,478 - (-2,744)|401,445 - (-61,871)|0 - (0)
 Houston Rockets|August 3, 2019|12,481,222 - (-1,821)|463,316 - (+11,899)|0 - (0)
 Houston Rockets|July 31, 2019|12,483,043 - (-1,460)|451,417 - (+225,843)|0 - (0)
 Houston Rockets|July 28, 2019|12,484,503 - (-1,039)|225,574 - (+162,401)|0 - (0)
 Houston Rockets|July 25, 2019|12,485,542 - (-3,979)|63,173 - (-41,243)|0 - (0)
 Houston Rockets|July 22, 2019|12,489,521 - (-3,470)|104,416 - (+6,812)|0 - (0)
 Houston Rockets|July 19, 2019|12,492,991 - (-2,354)|97,604 - (+42,424)|0 - (0)
 Houston Rockets|July 16, 2019|12,495,345 - (-2,765)|55,180 - (-46,043)|0 - (0)
 Houston Rockets|July 13, 2019|12,498,110 - (+10,828)|101,223 - (+6,426)|0 - (0)
 Houston Rockets|July 10, 2019|12,487,282 - (+14,722)|94,797 - (+2,055)|0 - (0)
 Houston Rockets|July 7, 2019|12,472,560 - (+15,497)|92,742 - (-7,269)|0 - (0)
 Houston Rockets|July 4, 2019|12,457,063 - (+15,881)|100,011 - (-3,890)|0 - (0)
 Houston Rockets|July 1, 2019|12,441,182 - (+18,309)|103,901 - (+5,235)|0 - (0)
 Houston Rockets|June 28, 2019|12,422,873 - (+13,433)|98,666 - (+5,279)|0 - (0)
 Houston Rockets|June 25, 2019|12,409,440 - (+6,781)|93,387 - (+17,793)|0 - (0)
 Houston Rockets|June 22, 2019|12,402,659 - (+6,231)|75,594 - (+19,472)|0 - (0)
 Houston Rockets|June 19, 2019|12,396,428 - (+3,604)|56,122 - (-8,256)|0 - (0)
 Houston Rockets|June 16, 2019|12,392,824 - (-1,572)|64,378 - (-21,105)|0 - (0)
 Houston Rockets|June 13, 2019|12,394,396 - (+5,025)|85,483 - (-20,383)|0 - (0)
 Houston Rockets|June 10, 2019|12,389,371 - (+5,416)|105,866 - (-10,808)|0 - (0)
 Houston Rockets|June 7, 2019|12,383,955 - (+13,432)|116,674 - (+2,491)|0 - (0)
 Houston Rockets|June 4, 2019|12,370,523 - (+19,744)|114,183 - (+14,591)|0 - (0)
