team|date|likes|talking_about|check_ins
 Indiana Pacers|March 3, 2020|3,217,930 - (-495)|29,925 - (+2,058)|0 - (0)
 Indiana Pacers|February 29, 2020|3,218,425 - (-439)|27,867 - (+11,528)|0 - (0)
 Indiana Pacers|February 26, 2020|3,218,864 - (-3,670)|16,339 - (-6,836)|0 - (0)
 Indiana Pacers|February 23, 2020|3,222,534 - (-566)|23,175 - (-11,008)|0 - (0)
 Indiana Pacers|February 20, 2020|3,223,100 - (-510)|34,183 - (+668)|0 - (0)
 Indiana Pacers|February 17, 2020|3,223,610 - (-470)|33,515 - (-36,121)|0 - (0)
 Indiana Pacers|February 14, 2020|3,224,080 - (-346)|69,636 - (+6,737)|0 - (0)
 Indiana Pacers|February 11, 2020|3,224,426 - (-481)|62,899 - (+37,355)|0 - (0)
 Indiana Pacers|February 8, 2020|3,224,907 - (-313)|25,544 - (-37,272)|0 - (0)
 Indiana Pacers|February 5, 2020|3,225,220 - (-20,126)|62,816 - (+54,454)|0 - (0)
 Indiana Pacers|September 2, 2019|3,245,346 - (-542)|8,362 - (-10,679)|0 - (0)
 Indiana Pacers|August 30, 2019|3,245,888 - (-563)|19,041 - (+890)|0 - (0)
 Indiana Pacers|August 27, 2019|3,246,451 - (-562)|18,151 - (+8,300)|0 - (0)
 Indiana Pacers|August 24, 2019|3,247,013 - (-654)|9,851 - (+3,922)|0 - (0)
 Indiana Pacers|August 21, 2019|3,247,667 - (-485)|5,929 - (-2,935)|0 - (0)
 Indiana Pacers|August 18, 2019|3,248,152 - (-590)|8,864 - (+1,100)|0 - (0)
 Indiana Pacers|August 15, 2019|3,248,742 - (-582)|7,764 - (+2,105)|0 - (0)
 Indiana Pacers|August 12, 2019|3,249,324 - (-508)|5,659 - (-1,178)|0 - (0)
 Indiana Pacers|August 9, 2019|3,249,832 - (-575)|6,837 - (-1,995)|0 - (0)
 Indiana Pacers|August 6, 2019|3,250,407 - (-530)|8,832 - (-125)|0 - (0)
 Indiana Pacers|August 3, 2019|3,250,937 - (-478)|8,957 - (+4,162)|0 - (0)
 Indiana Pacers|July 31, 2019|3,251,415 - (-632)|4,795 - (+1,291)|0 - (0)
 Indiana Pacers|July 28, 2019|3,252,047 - (-485)|3,504 - (-2,066)|0 - (0)
 Indiana Pacers|July 25, 2019|3,252,532 - (-490)|5,570 - (-2,971)|0 - (0)
