team|date|likes|talking_about|check_ins
 L.A. Clippers|March 3, 2020|3,810,028 - (-199)|65,957 - (-19,238)|0 - (0)
 L.A. Clippers|February 29, 2020|3,810,227 - (-298)|85,195 - (-6,691)|0 - (0)
 L.A. Clippers|February 26, 2020|3,810,525 - (-4,022)|91,886 - (-24,084)|0 - (0)
 L.A. Clippers|February 23, 2020|3,814,547 - (-310)|115,970 - (-25,082)|0 - (0)
 L.A. Clippers|February 20, 2020|3,814,857 - (-173)|141,052 - (+11,970)|0 - (0)
 L.A. Clippers|February 17, 2020|3,815,030 - (+73)|129,082 - (+50,061)|0 - (0)
 L.A. Clippers|February 14, 2020|3,814,957 - (-196)|79,021 - (-28,998)|0 - (0)
 L.A. Clippers|February 11, 2020|3,815,153 - (-272)|108,019 - (-29,107)|0 - (0)
 L.A. Clippers|February 8, 2020|3,815,425 - (+296)|137,126 - (-44,504)|0 - (0)
 L.A. Clippers|February 5, 2020|3,815,129 - (+34,742)|181,630 - (+161,499)|0 - (0)
 L.A. Clippers|September 2, 2019|3,780,387 - (-552)|20,131 - (+2,875)|0 - (0)
 L.A. Clippers|August 30, 2019|3,780,939 - (-442)|17,256 - (+726)|0 - (0)
 L.A. Clippers|August 27, 2019|3,781,381 - (-452)|16,530 - (-10,484)|0 - (0)
 L.A. Clippers|August 24, 2019|3,781,833 - (-509)|27,014 - (-4,940)|0 - (0)
 L.A. Clippers|August 21, 2019|3,782,342 - (+29)|31,954 - (+3,346)|0 - (0)
 L.A. Clippers|August 18, 2019|3,782,313 - (-562)|28,608 - (+8,910)|0 - (0)
 L.A. Clippers|August 15, 2019|3,782,875 - (-404)|19,698 - (+7,730)|0 - (0)
 L.A. Clippers|August 12, 2019|3,783,279 - (-420)|11,968 - (-3,333)|0 - (0)
 L.A. Clippers|August 9, 2019|3,783,699 - (-447)|15,301 - (-7,138)|0 - (0)
 L.A. Clippers|August 6, 2019|3,784,146 - (-252)|22,439 - (-8,138)|0 - (0)
 L.A. Clippers|August 3, 2019|3,784,398 - (-57)|30,577 - (-35,171)|0 - (0)
 L.A. Clippers|July 31, 2019|3,784,455 - (+25)|65,748 - (-8,657)|0 - (0)
 L.A. Clippers|July 28, 2019|3,784,430 - (+566)|74,405 - (+16,155)|0 - (0)
 L.A. Clippers|July 25, 2019|3,783,864 - (+661)|58,250 - (+21,871)|0 - (0)
 L.A. Clippers|July 22, 2019|3,783,203 - (-220)|36,379 - (-17,468)|0 - (0)
 L.A. Clippers|July 19, 2019|3,783,423 - (+645)|53,847 - (-23,121)|0 - (0)
 L.A. Clippers|July 16, 2019|3,782,778 - (+876)|76,968 - (+13,003)|0 - (0)
 L.A. Clippers|July 13, 2019|3,781,902 - (+1,898)|63,965 - (+31,349)|0 - (0)
 L.A. Clippers|July 10, 2019|3,780,004 - (+1,723)|32,616 - (+10,450)|0 - (0)
 L.A. Clippers|July 7, 2019|3,778,281 - (+6,928)|22,166 - (+7,242)|0 - (0)
 L.A. Clippers|July 4, 2019|3,771,353 - (-461)|14,924 - (-13,332)|0 - (0)
 L.A. Clippers|July 1, 2019|3,771,814 - (-247)|28,256 - (-2,071)|0 - (0)
 L.A. Clippers|June 28, 2019|3,772,061 - (-191)|30,327 - (+13,006)|0 - (0)
 L.A. Clippers|June 25, 2019|3,772,252 - (-538)|17,321 - (+8,183)|0 - (0)
 L.A. Clippers|June 22, 2019|3,772,790 - (-463)|9,138 - (+1,995)|0 - (0)
 L.A. Clippers|June 19, 2019|3,773,253 - (-1,215)|7,143 - (+1,706)|0 - (0)
 L.A. Clippers|June 16, 2019|3,774,468 - (-2,299)|5,437 - (-184)|0 - (0)
 L.A. Clippers|June 13, 2019|3,776,767 - (-833)|5,621 - (-372)|0 - (0)
 L.A. Clippers|June 10, 2019|3,777,600 - (-1,026)|5,993 - (+30)|0 - (0)
 L.A. Clippers|June 7, 2019|3,778,626 - (-1,237)|5,963 - (-89)|0 - (0)
 L.A. Clippers|June 4, 2019|3,779,863 - (-816)|6,052 - (-1,919)|0 - (0)
 L.A. Clippers|June 1, 2019|3,780,679 - (-653)|7,971 - (+459)|0 - (0)
 L.A. Clippers|May 29, 2019|3,781,332 - (-662)|7,512 - (-5,394)|0 - (0)
 L.A. Clippers|May 26, 2019|3,781,994 - (-486)|12,906 - (-4,152)|0 - (0)
 L.A. Clippers|May 23, 2019|3,782,480 - (-595)|17,058 - (+2,873)|0 - (0)
 L.A. Clippers|May 20, 2019|3,783,075 - (-514)|14,185 - (+4,223)|0 - (0)
