team|date|likes|talking_about|check_ins
 Los Angeles Lakers|March 3, 2020|21,913,628 - (+4,045)|552,676 - (-594,419)|0 - (0)
 Los Angeles Lakers|February 29, 2020|21,909,583 - (+6,369)|1,147,095 - (+109,464)|0 - (0)
 Los Angeles Lakers|February 26, 2020|21,903,214 - (+6,348)|1,037,631 - (+557,812)|0 - (0)
 Los Angeles Lakers|February 23, 2020|21,896,866 - (+3,299)|479,819 - (-90,988)|0 - (0)
 Los Angeles Lakers|February 20, 2020|21,893,567 - (+3,490)|570,807 - (-42,651)|0 - (0)
 Los Angeles Lakers|February 17, 2020|21,890,077 - (+5,893)|613,458 - (-342,193)|0 - (0)
 Los Angeles Lakers|February 14, 2020|21,884,184 - (+3,325)|955,651 - (-58,899)|0 - (0)
 Los Angeles Lakers|February 11, 2020|21,880,859 - (+8,863)|1,014,550 - (-305,256)|0 - (0)
 Los Angeles Lakers|February 8, 2020|21,871,996 - (+15,593)|1,319,806 - (-1,547,100)|0 - (0)
 Los Angeles Lakers|February 5, 2020|21,856,403 - (+281,770)|2,866,905 - (+2,772,590)|0 - (0)
 Los Angeles Lakers|September 2, 2019|21,574,633 - (-2,622)|94,318 - (-80,156)|0 - (0)
 Los Angeles Lakers|August 30, 2019|21,577,255 - (-2,950)|174,474 - (+7,082)|0 - (0)
 Los Angeles Lakers|August 27, 2019|21,580,205 - (-2,248)|167,392 - (+62,264)|0 - (0)
 Los Angeles Lakers|August 24, 2019|21,582,453 - (-2,525)|105,128 - (+15,479)|0 - (0)
 Los Angeles Lakers|August 21, 2019|21,584,978 - (-2,530)|89,649 - (-12,893)|0 - (0)
 Los Angeles Lakers|August 18, 2019|21,587,508 - (-2,753)|102,542 - (+11,448)|0 - (0)
 Los Angeles Lakers|August 15, 2019|21,590,261 - (-2,875)|91,094 - (+24,462)|0 - (0)
 Los Angeles Lakers|August 12, 2019|21,593,136 - (-2,399)|66,632 - (+15,616)|0 - (0)
 Los Angeles Lakers|August 9, 2019|21,595,535 - (-2,821)|51,016 - (+10,466)|0 - (0)
 Los Angeles Lakers|August 6, 2019|21,598,356 - (-1,655)|40,550 - (+1,087)|0 - (0)
 Los Angeles Lakers|August 3, 2019|21,600,011 - (-2,112)|39,463 - (+7,156)|0 - (0)
 Los Angeles Lakers|July 31, 2019|21,602,123 - (-1,974)|32,307 - (-31,929)|0 - (0)
