team|date|likes|talking_about|check_ins
 Memphis Grizzlies|March 3, 2020|1,799,163 - (+709)|67,127 - (-162)|0 - (0)
 Memphis Grizzlies|February 29, 2020|1,798,454 - (+104)|67,289 - (+4,782)|0 - (0)
 Memphis Grizzlies|February 26, 2020|1,798,350 - (-1,953)|62,507 - (+23,170)|0 - (0)
 Memphis Grizzlies|February 23, 2020|1,800,303 - (+247)|39,337 - (+25,711)|0 - (0)
 Memphis Grizzlies|February 20, 2020|1,800,056 - (-120)|13,626 - (-8,143)|0 - (0)
 Memphis Grizzlies|February 17, 2020|1,800,176 - (-134)|21,769 - (-2,443)|0 - (0)
 Memphis Grizzlies|February 14, 2020|1,800,310 - (+10)|24,212 - (-2,967)|0 - (0)
 Memphis Grizzlies|February 11, 2020|1,800,300 - (-78)|27,179 - (-6,515)|0 - (0)
 Memphis Grizzlies|February 8, 2020|1,800,378 - (+134)|33,694 - (+4,256)|0 - (0)
 Memphis Grizzlies|February 5, 2020|1,800,244 - (-3,851)|29,438 - (+12,349)|0 - (0)
 Memphis Grizzlies|September 2, 2019|1,804,095 - (-243)|17,089 - (-4,264)|0 - (0)
 Memphis Grizzlies|August 30, 2019|1,804,338 - (-324)|21,353 - (-10,642)|0 - (0)
 Memphis Grizzlies|August 27, 2019|1,804,662 - (-267)|31,995 - (+3,848)|0 - (0)
 Memphis Grizzlies|August 24, 2019|1,804,929 - (-295)|28,147 - (+11,480)|0 - (0)
 Memphis Grizzlies|August 21, 2019|1,805,224 - (-234)|16,667 - (+12,242)|0 - (0)
 Memphis Grizzlies|August 18, 2019|1,805,458 - (-355)|4,425 - (+298)|0 - (0)
 Memphis Grizzlies|August 15, 2019|1,805,813 - (-306)|4,127 - (-958)|0 - (0)
 Memphis Grizzlies|August 12, 2019|1,806,119 - (-284)|5,085 - (-2,746)|0 - (0)
 Memphis Grizzlies|August 9, 2019|1,806,403 - (-283)|7,831 - (-7,185)|0 - (0)
 Memphis Grizzlies|August 6, 2019|1,806,686 - (-198)|15,016 - (-143)|0 - (0)
 Memphis Grizzlies|August 3, 2019|1,806,884 - (-46)|15,159 - (+10,590)|0 - (0)
 Memphis Grizzlies|July 31, 2019|1,806,930 - (-295)|4,569 - (+1,405)|0 - (0)
 Memphis Grizzlies|July 28, 2019|1,807,225 - (-201)|3,164 - (-363)|0 - (0)
 Memphis Grizzlies|July 25, 2019|1,807,426 - (-256)|3,527 - (-3,549)|0 - (0)
 Memphis Grizzlies|July 22, 2019|1,807,682 - (-154)|7,076 - (-1,211)|0 - (0)
 Memphis Grizzlies|July 19, 2019|1,807,836 - (-89)|8,287 - (+101)|0 - (0)
 Memphis Grizzlies|July 16, 2019|1,807,925 - (-22)|8,186 - (-2,774)|0 - (0)
 Memphis Grizzlies|July 13, 2019|1,807,947 - (-151)|10,960 - (+1,602)|0 - (0)
 Memphis Grizzlies|July 10, 2019|1,808,098 - (-80)|9,358 - (-5,186)|0 - (0)
 Memphis Grizzlies|July 7, 2019|1,808,178 - (-213)|14,544 - (+405)|0 - (0)
