team|date|likes|talking_about|check_ins
 Miami Heat|March 3, 2020|15,104,518 - (-2,153)|42,246 - (-63,038)|0 - (0)
 Miami Heat|February 29, 2020|15,106,671 - (-2,216)|105,284 - (-11,791)|0 - (0)
 Miami Heat|February 26, 2020|15,108,887 - (-15,224)|117,075 - (+14,193)|0 - (0)
 Miami Heat|February 23, 2020|15,124,111 - (-1,841)|102,882 - (-7,991)|0 - (0)
 Miami Heat|February 20, 2020|15,125,952 - (-2,453)|110,873 - (+7,622)|0 - (0)
 Miami Heat|February 17, 2020|15,128,405 - (-2,497)|103,251 - (+52,157)|0 - (0)
 Miami Heat|February 14, 2020|15,130,902 - (-2,480)|51,094 - (-36,185)|0 - (0)
 Miami Heat|February 11, 2020|15,133,382 - (-2,412)|87,279 - (+14,943)|0 - (0)
 Miami Heat|February 8, 2020|15,135,794 - (-2,041)|72,336 - (-5,578)|0 - (0)
 Miami Heat|February 5, 2020|15,137,835 - (-127,720)|77,914 - (+69,708)|0 - (0)
 Miami Heat|September 2, 2019|15,265,555 - (-2,862)|8,206 - (+50)|0 - (0)
 Miami Heat|August 30, 2019|15,268,417 - (-3,013)|8,156 - (+1,250)|0 - (0)
 Miami Heat|August 27, 2019|15,271,430 - (-3,075)|6,906 - (-907)|0 - (0)
 Miami Heat|August 24, 2019|15,274,505 - (-3,363)|7,813 - (-8,164)|0 - (0)
 Miami Heat|August 21, 2019|15,277,868 - (-2,609)|15,977 - (-1,728)|0 - (0)
 Miami Heat|August 18, 2019|15,280,477 - (-2,940)|17,705 - (+2,901)|0 - (0)
 Miami Heat|August 15, 2019|15,283,417 - (-3,070)|14,804 - (-7,038)|0 - (0)
 Miami Heat|August 12, 2019|15,286,487 - (-2,951)|21,842 - (-6,571)|0 - (0)
 Miami Heat|August 9, 2019|15,289,438 - (-3,093)|28,413 - (+7,746)|0 - (0)
 Miami Heat|August 6, 2019|15,292,531 - (-2,498)|20,667 - (-4,858)|0 - (0)
 Miami Heat|August 3, 2019|15,295,029 - (-2,771)|25,525 - (-7,202)|0 - (0)
 Miami Heat|July 31, 2019|15,297,800 - (-2,641)|32,727 - (-2,670)|0 - (0)
 Miami Heat|July 28, 2019|15,300,441 - (-2,769)|35,397 - (+11,812)|0 - (0)
 Miami Heat|July 25, 2019|15,303,210 - (-3,286)|23,585 - (+7,054)|0 - (0)
 Miami Heat|July 22, 2019|15,306,496 - (-2,674)|16,531 - (-6,090)|0 - (0)
 Miami Heat|July 19, 2019|15,309,170 - (-2,656)|22,621 - (-17,711)|0 - (0)
 Miami Heat|July 16, 2019|15,311,826 - (-2,133)|40,332 - (-11,044)|0 - (0)
 Miami Heat|July 13, 2019|15,313,959 - (-1,960)|51,376 - (+11,529)|0 - (0)
 Miami Heat|July 10, 2019|15,315,919 - (-2,297)|39,847 - (+14,894)|0 - (0)
 Miami Heat|July 7, 2019|15,318,216 - (-2,390)|24,953 - (+1,785)|0 - (0)
 Miami Heat|July 4, 2019|15,320,606 - (-2,131)|23,168 - (+5,021)|0 - (0)
 Miami Heat|July 1, 2019|15,322,737 - (-1,861)|18,147 - (-15,989)|0 - (0)
 Miami Heat|June 28, 2019|15,324,598 - (-2,184)|34,136 - (-13,894)|0 - (0)
 Miami Heat|June 25, 2019|15,326,782 - (-2,845)|48,030 - (+9,615)|0 - (0)
 Miami Heat|June 22, 2019|15,329,627 - (-2,569)|38,415 - (+15,750)|0 - (0)
 Miami Heat|June 19, 2019|15,332,196 - (-5,142)|22,665 - (+5,464)|0 - (0)
 Miami Heat|June 16, 2019|15,337,338 - (-7,948)|17,201 - (-1,060)|0 - (0)
 Miami Heat|June 13, 2019|15,345,286 - (-3,304)|18,261 - (+1,905)|0 - (0)
 Miami Heat|June 10, 2019|15,348,590 - (-2,890)|16,356 - (+1,488)|0 - (0)
 Miami Heat|June 7, 2019|15,351,480 - (-3,797)|14,868 - (-286)|0 - (0)
 Miami Heat|June 4, 2019|15,355,277 - (-2,992)|15,154 - (+1,399)|0 - (0)
 Miami Heat|June 1, 2019|15,358,269 - (-2,868)|13,755 - (-4,460)|0 - (0)
 Miami Heat|May 29, 2019|15,361,137 - (-2,803)|18,215 - (-406)|0 - (0)
 Miami Heat|May 26, 2019|15,363,940 - (-2,743)|18,621 - (+155)|0 - (0)
 Miami Heat|May 23, 2019|15,366,683 - (-2,726)|18,466 - (-6,652)|0 - (0)
 Miami Heat|May 20, 2019|15,369,409 - (-2,606)|25,118 - (-3,419)|0 - (0)
 Miami Heat|May 17, 2019|15,372,015 - (-2,866)|28,537 - (+2,244)|0 - (0)
 Miami Heat|May 14, 2019|15,374,881 - (-2,565)|26,293 - (-8,689)|0 - (0)
 Miami Heat|May 11, 2019|15,377,446 - (-2,659)|34,982 - (-888)|0 - (0)
 Miami Heat|May 8, 2019|15,380,105 - (-2,848)|35,870 - (-2,857)|0 - (0)
 Miami Heat|May 5, 2019|15,382,953 - (-1,958)|38,727 - (+38,727)|0 - (0)
 Miami Heat|May 2, 2019|15,384,911 - (-2,775)|0 - (0)|0 - (0)
 Miami Heat|April 29, 2019|15,387,686 - (-3,053)|0 - (0)|0 - (0)
 Miami Heat|April 26, 2019|15,390,739 - (-2,350)|0 - (0)|0 - (0)
 Miami Heat|April 23, 2019|15,393,089 - (-2,606)|0 - (0)|0 - (0)
 Miami Heat|April 20, 2019|15,395,695 - (-2,806)|0 - (0)|0 - (0)
 Miami Heat|April 17, 2019|15,398,501 - (-3,583)|0 - (0)|0 - (0)
 Miami Heat|April 14, 2019|15,402,084 - (-9,430)|0 - (0)|0 - (0)
 Miami Heat|April 11, 2019|15,411,514 - (+1,229)|0 - (-142,941)|0 - (0)
 Miami Heat|April 8, 2019|15,410,285 - (-544)|142,941 - (+82,873)|0 - (0)
 Miami Heat|April 5, 2019|15,410,829 - (-2,511)|60,068 - (-87,170)|0 - (0)
 Miami Heat|April 2, 2019|15,413,340 - (-2,035)|147,238 - (-207,754)|0 - (0)
 Miami Heat|March 30, 2019|15,415,375 - (-1,950)|354,992 - (-169,988)|0 - (0)
 Miami Heat|March 27, 2019|15,417,325 - (+1,366)|524,980 - (+171,434)|0 - (0)
 Miami Heat|March 24, 2019|15,415,959 - (+6,083)|353,546 - (+189,817)|0 - (0)
 Miami Heat|March 21, 2019|15,409,876 - (+225)|163,729 - (+1,272)|0 - (0)
 Miami Heat|March 18, 2019|15,409,651 - (-3,145)|162,457 - (-68,615)|0 - (0)
 Miami Heat|March 15, 2019|15,412,796 - (-711)|231,072 - (-10,528)|0 - (0)
