team|date|likes|talking_about|check_ins
 Milwaukee Bucks|March 3, 2020|1,906,912 - (+1,409)|159,863 - (-15,863)|0 - (0)
 Milwaukee Bucks|February 29, 2020|1,905,503 - (+1,555)|175,726 - (+19,123)|0 - (0)
 Milwaukee Bucks|February 26, 2020|1,903,948 - (+644)|156,603 - (+13,718)|0 - (0)
 Milwaukee Bucks|February 23, 2020|1,903,304 - (+900)|142,885 - (-23,379)|0 - (0)
 Milwaukee Bucks|February 20, 2020|1,902,404 - (+720)|166,264 - (-13,133)|0 - (0)
 Milwaukee Bucks|February 17, 2020|1,901,684 - (+1,308)|179,397 - (+1,234)|0 - (0)
 Milwaukee Bucks|February 14, 2020|1,900,376 - (+918)|178,163 - (-77,806)|0 - (0)
 Milwaukee Bucks|February 11, 2020|1,899,458 - (+2,266)|255,969 - (+34,624)|0 - (0)
 Milwaukee Bucks|February 8, 2020|1,897,192 - (+2,959)|221,345 - (+46,185)|0 - (0)
 Milwaukee Bucks|February 5, 2020|1,894,233 - (+72,381)|175,160 - (+111,452)|0 - (0)
 Milwaukee Bucks|September 2, 2019|1,821,852 - (+155)|63,708 - (+1,173)|0 - (0)
 Milwaukee Bucks|August 30, 2019|1,821,697 - (+381)|62,535 - (-6,774)|0 - (0)
 Milwaukee Bucks|August 27, 2019|1,821,316 - (+146)|69,309 - (-10,068)|0 - (0)
 Milwaukee Bucks|August 24, 2019|1,821,170 - (+274)|79,377 - (+2,844)|0 - (0)
 Milwaukee Bucks|August 21, 2019|1,820,896 - (+430)|76,533 - (+11,326)|0 - (0)
 Milwaukee Bucks|August 18, 2019|1,820,466 - (+310)|65,207 - (+9,444)|0 - (0)
 Milwaukee Bucks|August 15, 2019|1,820,156 - (+94)|55,763 - (-28,965)|0 - (0)
 Milwaukee Bucks|August 12, 2019|1,820,062 - (+112)|84,728 - (-14,571)|0 - (0)
 Milwaukee Bucks|August 9, 2019|1,819,950 - (+281)|99,299 - (+11,827)|0 - (0)
 Milwaukee Bucks|August 6, 2019|1,819,669 - (+348)|87,472 - (+13,321)|0 - (0)
 Milwaukee Bucks|August 3, 2019|1,819,321 - (+315)|74,151 - (-14,348)|0 - (0)
 Milwaukee Bucks|July 31, 2019|1,819,006 - (+279)|88,499 - (-13,792)|0 - (0)
 Milwaukee Bucks|July 28, 2019|1,818,727 - (+277)|102,291 - (-12,378)|0 - (0)
 Milwaukee Bucks|July 25, 2019|1,818,450 - (+417)|114,669 - (-41,324)|0 - (0)
 Milwaukee Bucks|July 22, 2019|1,818,033 - (+799)|155,993 - (+10,359)|0 - (0)
 Milwaukee Bucks|July 19, 2019|1,817,234 - (+1,056)|145,634 - (+26,712)|0 - (0)
 Milwaukee Bucks|July 16, 2019|1,816,178 - (+980)|118,922 - (+43,704)|0 - (0)
 Milwaukee Bucks|July 13, 2019|1,815,198 - (+430)|75,218 - (+25,276)|0 - (0)
 Milwaukee Bucks|July 10, 2019|1,814,768 - (+255)|49,942 - (-17,494)|0 - (0)
 Milwaukee Bucks|July 7, 2019|1,814,513 - (+484)|67,436 - (-67,494)|0 - (0)
 Milwaukee Bucks|July 4, 2019|1,814,029 - (+784)|134,930 - (-281,966)|0 - (0)
 Milwaukee Bucks|July 1, 2019|1,813,245 - (+2,029)|416,896 - (+55,865)|0 - (0)
 Milwaukee Bucks|June 28, 2019|1,811,216 - (+5,229)|361,031 - (+324,424)|0 - (0)
 Milwaukee Bucks|June 25, 2019|1,805,987 - (+5,318)|36,607 - (-1,824)|0 - (0)
 Milwaukee Bucks|June 22, 2019|1,800,669 - (+339)|38,431 - (-4,931)|0 - (0)
 Milwaukee Bucks|June 19, 2019|1,800,330 - (+20)|43,362 - (-4,423)|0 - (0)
 Milwaukee Bucks|June 16, 2019|1,800,310 - (-414)|47,785 - (+3,803)|0 - (0)
 Milwaukee Bucks|June 13, 2019|1,800,724 - (+273)|43,982 - (+16,822)|0 - (0)
 Milwaukee Bucks|June 10, 2019|1,800,451 - (+146)|27,160 - (-21,960)|0 - (0)
 Milwaukee Bucks|June 7, 2019|1,800,305 - (+6)|49,120 - (-57,319)|0 - (0)
 Milwaukee Bucks|June 4, 2019|1,800,299 - (+372)|106,439 - (-84,593)|0 - (0)
 Milwaukee Bucks|June 1, 2019|1,799,927 - (+1,048)|191,032 - (-173,283)|0 - (0)
 Milwaukee Bucks|May 29, 2019|1,798,879 - (+2,847)|364,315 - (+49,755)|0 - (0)
 Milwaukee Bucks|May 26, 2019|1,796,032 - (+10,984)|314,560 - (+137,189)|0 - (0)
 Milwaukee Bucks|May 23, 2019|1,785,048 - (+4,768)|177,371 - (-34,512)|0 - (0)
 Milwaukee Bucks|May 20, 2019|1,780,280 - (+8,618)|211,883 - (+18,491)|0 - (0)
 Milwaukee Bucks|May 17, 2019|1,771,662 - (+7,243)|193,392 - (-96,640)|0 - (0)
 Milwaukee Bucks|May 14, 2019|1,764,419 - (+3,942)|290,032 - (-15,029)|0 - (0)
 Milwaukee Bucks|May 11, 2019|1,760,477 - (+11,276)|305,061 - (+110,604)|0 - (0)
 Milwaukee Bucks|May 8, 2019|1,749,201 - (+6,192)|194,457 - (+13,289)|0 - (0)
 Milwaukee Bucks|May 5, 2019|1,743,009 - (+4,379)|181,168 - (+181,168)|0 - (0)
 Milwaukee Bucks|May 2, 2019|1,738,630 - (+4,232)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 29, 2019|1,734,398 - (+4,150)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 26, 2019|1,730,248 - (+2,839)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 23, 2019|1,727,409 - (+4,301)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 20, 2019|1,723,108 - (+3,518)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 17, 2019|1,719,590 - (+4,528)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 14, 2019|1,715,062 - (+2,267)|0 - (0)|0 - (0)
 Milwaukee Bucks|April 11, 2019|1,712,795 - (+2,443)|0 - (-177,151)|0 - (0)
 Milwaukee Bucks|April 8, 2019|1,710,352 - (+2,857)|177,151 - (+90,672)|0 - (0)
 Milwaukee Bucks|April 5, 2019|1,707,495 - (+3,202)|86,479 - (-20,695)|0 - (0)
 Milwaukee Bucks|April 2, 2019|1,704,293 - (+1,899)|107,174 - (-17,763)|0 - (0)
 Milwaukee Bucks|March 30, 2019|1,702,394 - (+2,047)|124,937 - (+13,929)|0 - (0)
 Milwaukee Bucks|March 27, 2019|1,700,347 - (+2,524)|111,008 - (+14,111)|0 - (0)
 Milwaukee Bucks|March 24, 2019|1,697,823 - (+2,828)|96,897 - (+19,901)|0 - (0)
 Milwaukee Bucks|March 21, 2019|1,694,995 - (+2,227)|76,996 - (+12,310)|0 - (0)
 Milwaukee Bucks|March 18, 2019|1,692,768 - (+1,488)|64,686 - (+12,088)|0 - (0)
 Milwaukee Bucks|March 15, 2019|1,691,280 - (+757)|52,598 - (+940)|0 - (0)
 Milwaukee Bucks|March 12, 2019|1,690,523 - (+1,120)|51,658 - (-41,037)|0 - (0)
 Milwaukee Bucks|March 9, 2019|1,689,403 - (+1,173)|92,695 - (-5,999)|0 - (0)
 Milwaukee Bucks|March 6, 2019|1,688,230 - (+1,664)|98,694 - (+26,769)|0 - (0)
 Milwaukee Bucks|March 3, 2019|1,686,566 - (+2,432)|71,925 - (+9,251)|0 - (0)
 Milwaukee Bucks|February 28, 2019|1,684,134 - (+797)|62,674 - (-1,828)|0 - (0)
 Milwaukee Bucks|February 25, 2019|1,683,337 - (+1,093)|64,502 - (-38,404)|0 - (0)
 Milwaukee Bucks|February 22, 2019|1,682,244 - (+1,387)|102,906 - (+10,992)|0 - (0)
 Milwaukee Bucks|February 19, 2019|1,680,857 - (+2,031)|91,914 - (+50,229)|0 - (0)
 Milwaukee Bucks|February 16, 2019|1,678,826 - (+603)|41,685 - (-17,543)|0 - (0)
 Milwaukee Bucks|February 13, 2019|1,678,223 - (+660)|59,228 - (-4,653)|0 - (0)
 Milwaukee Bucks|February 10, 2019|1,677,563 - (+1,296)|63,881 - (-3,247)|0 - (0)
 Milwaukee Bucks|February 7, 2019|1,676,267 - (+1,209)|67,128 - (-2,553)|0 - (0)
 Milwaukee Bucks|February 4, 2019|1,675,058 - (+1,732)|69,681 - (-16,673)|0 - (0)
 Milwaukee Bucks|January 29, 2019|1,673,326 - (+1,285)|86,354 - (+15,795)|0 - (0)
 Milwaukee Bucks|January 26, 2019|1,672,041 - (+1,498)|70,559 - (+10,614)|0 - (0)
 Milwaukee Bucks|January 23, 2019|1,670,543 - (+958)|59,945 - (+4,215)|0 - (0)
 Milwaukee Bucks|January 20, 2019|1,669,585 - (+688)|55,730 - (-24,069)|0 - (0)
 Milwaukee Bucks|January 17, 2019|1,668,897 - (+765)|79,799 - (-10,065)|0 - (0)
 Milwaukee Bucks|January 14, 2019|1,668,132 - (+1,234)|89,864 - (+20,354)|0 - (0)
 Milwaukee Bucks|January 11, 2019|1,666,898 - (+1,394)|69,510 - (+1,901)|0 - (0)
 Milwaukee Bucks|January 8, 2019|1,665,504 - (+1,296)|67,609 - (-10,610)|0 - (0)
 Milwaukee Bucks|January 5, 2019|1,664,208 - (+985)|78,219 - (-436)|0 - (0)
 Milwaukee Bucks|January 2, 2019|1,663,223 - (+1,928)|78,655 - (+5,911)|0 - (0)
 Milwaukee Bucks|December 30, 2018|1,661,295 - (+1,210)|72,744 - (+19,820)|0 - (0)
 Milwaukee Bucks|December 27, 2018|1,660,085 - (+855)|52,924 - (+17,273)|0 - (0)
 Milwaukee Bucks|December 24, 2018|1,659,230 - (+622)|35,651 - (+3,185)|0 - (0)
 Milwaukee Bucks|December 21, 2018|1,658,608 - (+337)|32,466 - (+1,696)|0 - (0)
 Milwaukee Bucks|December 18, 2018|1,658,271 - (+435)|30,770 - (-4,794)|0 - (0)
 Milwaukee Bucks|December 15, 2018|1,657,836 - (+552)|35,564 - (-39,112)|0 - (0)
 Milwaukee Bucks|December 12, 2018|1,657,284 - (+533)|74,676 - (+2,368)|0 - (0)
 Milwaukee Bucks|December 9, 2018|1,656,751 - (+3,080)|72,308 - (+37,512)|0 - (0)
 Milwaukee Bucks|December 6, 2018|1,653,671 - (+564)|34,796 - (-894)|0 - (0)
 Milwaukee Bucks|December 3, 2018|1,653,107 - (+476)|35,690 - (-2,883)|0 - (0)
 Milwaukee Bucks|November 30, 2018|1,652,631 - (+433)|38,573 - (-11,430)|0 - (0)
 Milwaukee Bucks|November 27, 2018|1,652,198 - (+552)|50,003 - (+3,197)|0 - (0)
 Milwaukee Bucks|November 24, 2018|1,651,646 - (+837)|46,806 - (+11,845)|0 - (0)
 Milwaukee Bucks|November 21, 2018|1,650,809 - (+536)|34,961 - (+52)|0 - (0)
 Milwaukee Bucks|November 18, 2018|1,650,273 - (+446)|34,909 - (-22,537)|0 - (0)
 Milwaukee Bucks|November 15, 2018|1,649,827 - (+407)|57,446 - (-4,149)|0 - (0)
 Milwaukee Bucks|November 12, 2018|1,649,420 - (+1,393)|61,595 - (+18,170)|0 - (0)
 Milwaukee Bucks|November 9, 2018|1,648,027 - (+1,796)|43,425 - (-8,913)|0 - (0)
 Milwaukee Bucks|November 6, 2018|1,646,231 - (+1,030)|52,338 - (+4,145)|0 - (0)
 Milwaukee Bucks|November 3, 2018|1,645,201 - (+817)|48,193 - (-8,429)|0 - (0)
 Milwaukee Bucks|October 31, 2018|1,644,384 - (+1,232)|56,622 - (+16,936)|0 - (0)
 Milwaukee Bucks|October 28, 2018|1,643,152 - (+911)|39,686 - (+8,225)|0 - (0)
 Milwaukee Bucks|October 25, 2018|1,642,241 - (+804)|31,461 - (+3,867)|0 - (0)
 Milwaukee Bucks|October 22, 2018|1,641,437 - (+532)|27,594 - (+6,169)|0 - (0)
 Milwaukee Bucks|October 19, 2018|1,640,905 - (+614)|21,425 - (+2,274)|0 - (0)
 Milwaukee Bucks|October 16, 2018|1,640,291 - (-38)|19,151 - (+3,315)|0 - (0)
 Milwaukee Bucks|October 13, 2018|1,640,329 - (+171)|15,836 - (+530)|0 - (0)
 Milwaukee Bucks|October 10, 2018|1,640,158 - (-42)|15,306 - (+760)|0 - (0)
 Milwaukee Bucks|October 7, 2018|1,640,200 - (-97)|14,546 - (-201)|0 - (0)
 Milwaukee Bucks|October 4, 2018|1,640,297 - (+150)|14,747 - (+6,148)|0 - (0)
 Milwaukee Bucks|October 1, 2018|1,640,147 - (+72)|8,599 - (-981)|0 - (0)
 Milwaukee Bucks|September 28, 2018|1,640,075 - (-21)|9,580 - (+493)|0 - (0)
 Milwaukee Bucks|September 25, 2018|1,640,096 - (+151)|9,087 - (-3,325)|0 - (0)
 Milwaukee Bucks|September 22, 2018|1,639,945 - (-158)|12,412 - (-2,986)|0 - (0)
 Milwaukee Bucks|September 19, 2018|1,640,103 - (-237)|15,398 - (+1,856)|0 - (0)
 Milwaukee Bucks|September 16, 2018|1,640,340 - (-137)|13,542 - (+4,183)|0 - (0)
 Milwaukee Bucks|September 13, 2018|1,640,477 - (-780)|9,359 - (+697)|0 - (0)
 Milwaukee Bucks|September 10, 2018|1,641,257 - (-249)|8,662 - (-7,841)|0 - (0)
 Milwaukee Bucks|September 7, 2018|1,641,506 - (-248)|16,503 - (-13,183)|0 - (0)
 Milwaukee Bucks|September 4, 2018|1,641,754 - (-147)|29,686 - (-4,533)|0 - (0)
 Milwaukee Bucks|September 1, 2018|1,641,901 - (-18)|34,219 - (+14,818)|0 - (0)
 Milwaukee Bucks|August 29, 2018|1,641,919 - (-111)|19,401 - (+3,262)|0 - (0)
 Milwaukee Bucks|August 26, 2018|1,642,030 - (-197)|16,139 - (+6,389)|0 - (0)
