team|date|likes|talking_about|check_ins
 Minnesota Timberwolves|March 4, 2020|1,872,014 - (-313)|16,946 - (-3,150)|58,635 - (+171)
 Minnesota Timberwolves|March 1, 2020|1,872,327 - (-328)|20,096 - (-1,455)|58,464 - (+301)
 Minnesota Timberwolves|February 27, 2020|1,872,655 - (-686)|21,551 - (+2,493)|58,163 - (+3)
 Minnesota Timberwolves|February 24, 2020|1,873,341 - (-1,840)|19,058 - (+1,931)|58,160 - (+19)
 Minnesota Timberwolves|February 21, 2020|1,875,181 - (-348)|17,127 - (-4,972)|58,141 - (+267)
 Minnesota Timberwolves|February 18, 2020|1,875,529 - (-271)|22,099 - (-10,590)|57,874 - (-4)
 Minnesota Timberwolves|February 15, 2020|1,875,800 - (-259)|32,689 - (-25,648)|57,878 - (+28)
 Minnesota Timberwolves|February 12, 2020|1,876,059 - (-70)|58,337 - (+4,710)|57,850 - (+328)
 Minnesota Timberwolves|February 9, 2020|1,876,129 - (+821)|53,627 - (+40,442)|57,522 - (+444)
 Minnesota Timberwolves|February 6, 2020|1,875,308 - (-265)|13,185 - (-5,448)|57,078 - (+187)
 Minnesota Timberwolves|February 3, 2020|1,875,573 - (-10,081)|18,633 - (+12,895)|56,891 - (+5,051)
 Minnesota Timberwolves|September 3, 2019|1,885,654 - (-347)|5,738 - (-2,196)|51,840 - (+1)
 Minnesota Timberwolves|August 31, 2019|1,886,001 - (-268)|7,934 - (+127)|51,839 - (0)
 Minnesota Timberwolves|August 28, 2019|1,886,269 - (-275)|7,807 - (+1,775)|51,839 - (+1)
 Minnesota Timberwolves|August 25, 2019|1,886,544 - (-307)|6,032 - (+58)|51,838 - (-1)
 Minnesota Timberwolves|August 22, 2019|1,886,851 - (-394)|5,974 - (+383)|51,839 - (+2)
 Minnesota Timberwolves|August 19, 2019|1,887,245 - (-311)|5,591 - (+27)|51,837 - (-1)
 Minnesota Timberwolves|August 16, 2019|1,887,556 - (-364)|5,564 - (-157)|51,838 - (-1)
 Minnesota Timberwolves|August 13, 2019|1,887,920 - (-318)|5,721 - (-1,935)|51,839 - (-1)
 Minnesota Timberwolves|August 10, 2019|1,888,238 - (-321)|7,656 - (-2,286)|51,840 - (+13)
 Minnesota Timberwolves|August 7, 2019|1,888,559 - (-269)|9,942 - (+2,414)|51,827 - (+19)
 Minnesota Timberwolves|August 4, 2019|1,888,828 - (-312)|7,528 - (+2,753)|51,808 - (+7)
 Minnesota Timberwolves|August 1, 2019|1,889,140 - (-311)|4,775 - (-1,006)|51,801 - (0)
 Minnesota Timberwolves|July 29, 2019|1,889,451 - (-260)|5,781 - (-2,817)|51,801 - (+1)
 Minnesota Timberwolves|July 26, 2019|1,889,711 - (-350)|8,598 - (-1,829)|51,800 - (-9)
 Minnesota Timberwolves|July 23, 2019|1,890,061 - (-354)|10,427 - (-176)|51,809 - (-5)
 Minnesota Timberwolves|July 20, 2019|1,890,415 - (-277)|10,603 - (-1,235)|51,814 - (+7)
 Minnesota Timberwolves|July 17, 2019|1,890,692 - (-210)|11,838 - (-4,745)|51,807 - (-1)
 Minnesota Timberwolves|July 14, 2019|1,890,902 - (-223)|16,583 - (-7,308)|51,808 - (-1)
 Minnesota Timberwolves|July 11, 2019|1,891,125 - (-299)|23,891 - (+4,655)|51,809 - (+3)
 Minnesota Timberwolves|July 8, 2019|1,891,424 - (+67)|19,236 - (+7,179)|51,806 - (-4)
 Minnesota Timberwolves|July 5, 2019|1,891,357 - (-333)|12,057 - (-4,230)|51,810 - (+3)
 Minnesota Timberwolves|July 2, 2019|1,891,690 - (-554)|16,287 - (-29,554)|51,807 - (-1)
 Minnesota Timberwolves|June 29, 2019|1,892,244 - (-59)|45,841 - (+2,280)|51,808 - (+8)
 Minnesota Timberwolves|June 26, 2019|1,892,303 - (+229)|43,561 - (+35,859)|51,800 - (+6)
 Minnesota Timberwolves|June 23, 2019|1,892,074 - (-276)|7,702 - (+1,544)|51,794 - (+6)
 Minnesota Timberwolves|June 20, 2019|1,892,350 - (-326)|6,158 - (+1,424)|51,788 - (+4)
 Minnesota Timberwolves|June 17, 2019|1,892,676 - (-1,612)|4,734 - (+274)|51,784 - (+2)
 Minnesota Timberwolves|June 14, 2019|1,894,288 - (-382)|4,460 - (-4,694)|51,782 - (0)
 Minnesota Timberwolves|June 11, 2019|1,894,670 - (-353)|9,154 - (-1,683)|51,782 - (+5)
 Minnesota Timberwolves|June 8, 2019|1,895,023 - (-500)|10,837 - (-6,882)|51,777 - (+1)
 Minnesota Timberwolves|June 5, 2019|1,895,523 - (-324)|17,719 - (+1,193)|51,776 - (-1)
 Minnesota Timberwolves|June 2, 2019|1,895,847 - (-631)|16,526 - (+3,117)|51,777 - (+7)
 Minnesota Timberwolves|May 30, 2019|1,896,478 - (-292)|13,409 - (-6,043)|51,770 - (+2)
 Minnesota Timberwolves|May 27, 2019|1,896,770 - (-123)|19,452 - (-3,464)|51,768 - (+4)
 Minnesota Timberwolves|May 24, 2019|1,896,893 - (-194)|22,916 - (+5,607)|51,764 - (+2)
 Minnesota Timberwolves|May 21, 2019|1,897,087 - (-174)|17,309 - (+10,717)|51,762 - (+8)
 Minnesota Timberwolves|May 18, 2019|1,897,261 - (-241)|6,592 - (-964)|51,754 - (-6)
 Minnesota Timberwolves|May 15, 2019|1,897,502 - (-216)|7,556 - (-517)|51,760 - (-3)
 Minnesota Timberwolves|May 12, 2019|1,897,718 - (-210)|8,073 - (+532)|51,763 - (-2)
 Minnesota Timberwolves|May 9, 2019|1,897,928 - (-173)|7,541 - (+2,400)|51,765 - (-2)
 Minnesota Timberwolves|May 6, 2019|1,898,101 - (-239)|5,141 - (-1,175)|51,767 - (0)
 Minnesota Timberwolves|May 3, 2019|1,898,340 - (-198)|6,316 - (+6,316)|51,767 - (+2)
 Minnesota Timberwolves|April 30, 2019|1,898,538 - (-285)|0 - (0)|51,765 - (-3)
 Minnesota Timberwolves|April 27, 2019|1,898,823 - (-389)|0 - (0)|51,768 - (+10)
 Minnesota Timberwolves|April 24, 2019|1,899,212 - (-164)|0 - (0)|51,758 - (0)
 Minnesota Timberwolves|April 21, 2019|1,899,376 - (-208)|0 - (0)|51,758 - (-1)
 Minnesota Timberwolves|April 18, 2019|1,899,584 - (-319)|0 - (0)|51,759 - (0)
 Minnesota Timberwolves|April 15, 2019|1,899,903 - (-125)|0 - (0)|51,759 - (0)
 Minnesota Timberwolves|April 12, 2019|1,900,028 - (-1,672)|0 - (-20,878)|51,759 - (+135)
 Minnesota Timberwolves|April 9, 2019|1,901,700 - (-341)|20,878 - (+6,777)|51,624 - (+582)
 Minnesota Timberwolves|April 6, 2019|1,902,041 - (-183)|14,101 - (-4,243)|51,042 - (+448)
 Minnesota Timberwolves|April 3, 2019|1,902,224 - (-172)|18,344 - (-1,366)|50,594 - (+198)
 Minnesota Timberwolves|March 31, 2019|1,902,396 - (-110)|19,710 - (+5,694)|50,396 - (+614)
