team|date|likes|talking_about|check_ins
 New Orleans Pelicans|March 3, 2020|1,764,993 - (+419)|27,780 - (-8,278)|0 - (0)
 New Orleans Pelicans|February 29, 2020|1,764,574 - (+125)|36,058 - (-4,810)|0 - (0)
 New Orleans Pelicans|February 26, 2020|1,764,449 - (-1,272)|40,868 - (+7,845)|0 - (0)
 New Orleans Pelicans|February 23, 2020|1,765,721 - (+255)|33,023 - (-1,344)|0 - (0)
 New Orleans Pelicans|February 20, 2020|1,765,466 - (-210)|34,367 - (-7,949)|0 - (0)
 New Orleans Pelicans|February 17, 2020|1,765,676 - (-96)|42,316 - (+1,930)|0 - (0)
 New Orleans Pelicans|February 14, 2020|1,765,772 - (+304)|40,386 - (+6,162)|0 - (0)
 New Orleans Pelicans|February 11, 2020|1,765,468 - (+47)|34,224 - (-7,465)|0 - (0)
 New Orleans Pelicans|February 8, 2020|1,765,421 - (+43)|41,689 - (-15,625)|0 - (0)
 New Orleans Pelicans|February 5, 2020|1,765,378 - (+15,358)|57,314 - (+41,760)|0 - (0)
 New Orleans Pelicans|September 2, 2019|1,750,020 - (-157)|15,554 - (+3,171)|0 - (0)
 New Orleans Pelicans|August 30, 2019|1,750,177 - (-172)|12,383 - (+1,997)|0 - (0)
 New Orleans Pelicans|August 27, 2019|1,750,349 - (-197)|10,386 - (+3,076)|0 - (0)
 New Orleans Pelicans|August 24, 2019|1,750,546 - (-205)|7,310 - (-2,241)|0 - (0)
 New Orleans Pelicans|August 21, 2019|1,750,751 - (-135)|9,551 - (-6,895)|0 - (0)
 New Orleans Pelicans|August 18, 2019|1,750,886 - (-162)|16,446 - (-42)|0 - (0)
 New Orleans Pelicans|August 15, 2019|1,751,048 - (-126)|16,488 - (+474)|0 - (0)
 New Orleans Pelicans|August 12, 2019|1,751,174 - (-144)|16,014 - (-2,917)|0 - (0)
 New Orleans Pelicans|August 9, 2019|1,751,318 - (-123)|18,931 - (-10,455)|0 - (0)
 New Orleans Pelicans|August 6, 2019|1,751,441 - (-80)|29,386 - (-4,402)|0 - (0)
 New Orleans Pelicans|August 3, 2019|1,751,521 - (+81)|33,788 - (+4,833)|0 - (0)
 New Orleans Pelicans|July 31, 2019|1,751,440 - (+112)|28,955 - (+8,433)|0 - (0)
 New Orleans Pelicans|July 28, 2019|1,751,328 - (+398)|20,522 - (+7,005)|0 - (0)
 New Orleans Pelicans|July 25, 2019|1,750,930 - (+44)|13,517 - (-13,407)|0 - (0)
 New Orleans Pelicans|July 22, 2019|1,750,886 - (+75)|26,924 - (-4,137)|0 - (0)
 New Orleans Pelicans|July 19, 2019|1,750,811 - (+374)|31,061 - (-4,679)|0 - (0)
 New Orleans Pelicans|July 16, 2019|1,750,437 - (+270)|35,740 - (-13,318)|0 - (0)
 New Orleans Pelicans|July 13, 2019|1,750,167 - (+506)|49,058 - (+821)|0 - (0)
 New Orleans Pelicans|July 10, 2019|1,749,661 - (+737)|48,237 - (+13,746)|0 - (0)
 New Orleans Pelicans|July 7, 2019|1,748,924 - (+1,528)|34,491 - (+14,688)|0 - (0)
 New Orleans Pelicans|July 4, 2019|1,747,396 - (+872)|19,803 - (-31,894)|0 - (0)
 New Orleans Pelicans|July 1, 2019|1,746,524 - (+840)|51,697 - (-11,640)|0 - (0)
 New Orleans Pelicans|June 28, 2019|1,745,684 - (+1,334)|63,337 - (-3,426)|0 - (0)
 New Orleans Pelicans|June 25, 2019|1,744,350 - (+1,014)|66,763 - (+11,308)|0 - (0)
 New Orleans Pelicans|June 22, 2019|1,743,336 - (+4,198)|55,455 - (+44,074)|0 - (0)
 New Orleans Pelicans|June 19, 2019|1,739,138 - (+112)|11,381 - (+2,140)|0 - (0)
 New Orleans Pelicans|June 16, 2019|1,739,026 - (-114)|9,241 - (+2,269)|0 - (0)
 New Orleans Pelicans|June 13, 2019|1,739,140 - (-256)|6,972 - (+4,593)|0 - (0)
 New Orleans Pelicans|June 10, 2019|1,739,396 - (-292)|2,379 - (-112)|0 - (0)
 New Orleans Pelicans|June 7, 2019|1,739,688 - (-388)|2,491 - (+131)|0 - (0)
 New Orleans Pelicans|June 4, 2019|1,740,076 - (-286)|2,360 - (+114)|0 - (0)
 New Orleans Pelicans|June 1, 2019|1,740,362 - (-213)|2,246 - (-862)|0 - (0)
 New Orleans Pelicans|May 29, 2019|1,740,575 - (-218)|3,108 - (-765)|0 - (0)
 New Orleans Pelicans|May 26, 2019|1,740,793 - (-127)|3,873 - (-2,323)|0 - (0)
 New Orleans Pelicans|May 23, 2019|1,740,920 - (-141)|6,196 - (-22,576)|0 - (0)
 New Orleans Pelicans|May 20, 2019|1,741,061 - (-40)|28,772 - (+1,451)|0 - (0)
 New Orleans Pelicans|May 17, 2019|1,741,101 - (+1,047)|27,321 - (+24,897)|0 - (0)
 New Orleans Pelicans|May 14, 2019|1,740,054 - (-164)|2,424 - (+252)|0 - (0)
 New Orleans Pelicans|May 11, 2019|1,740,218 - (-252)|2,172 - (+540)|0 - (0)
 New Orleans Pelicans|May 8, 2019|1,740,470 - (-279)|1,632 - (-27)|0 - (0)
 New Orleans Pelicans|May 5, 2019|1,740,749 - (-151)|1,659 - (+1,659)|0 - (0)
 New Orleans Pelicans|May 2, 2019|1,740,900 - (-230)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 29, 2019|1,741,130 - (-262)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 26, 2019|1,741,392 - (-136)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 23, 2019|1,741,528 - (-204)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 20, 2019|1,741,732 - (-220)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 17, 2019|1,741,952 - (-156)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 14, 2019|1,742,108 - (-1,566)|0 - (0)|0 - (0)
 New Orleans Pelicans|April 11, 2019|1,743,674 - (-249)|0 - (-6,782)|0 - (0)
 New Orleans Pelicans|April 8, 2019|1,743,923 - (-282)|6,782 - (+678)|0 - (0)
 New Orleans Pelicans|April 5, 2019|1,744,205 - (-238)|6,104 - (+1,277)|0 - (0)
 New Orleans Pelicans|April 2, 2019|1,744,443 - (-201)|4,827 - (+560)|0 - (0)
 New Orleans Pelicans|March 30, 2019|1,744,644 - (-246)|4,267 - (-903)|0 - (0)
 New Orleans Pelicans|March 27, 2019|1,744,890 - (-225)|5,170 - (+333)|0 - (0)
 New Orleans Pelicans|March 24, 2019|1,745,115 - (-195)|4,837 - (-1,560)|0 - (0)
 New Orleans Pelicans|March 21, 2019|1,745,310 - (-200)|6,397 - (+1,183)|0 - (0)
 New Orleans Pelicans|March 18, 2019|1,745,510 - (-320)|5,214 - (+1,266)|0 - (0)
 New Orleans Pelicans|March 15, 2019|1,745,830 - (-183)|3,948 - (-1,302)|0 - (0)
 New Orleans Pelicans|March 12, 2019|1,746,013 - (-123)|5,250 - (-5,037)|0 - (0)
 New Orleans Pelicans|March 9, 2019|1,746,136 - (-560)|10,287 - (-3,051)|0 - (0)
 New Orleans Pelicans|March 6, 2019|1,746,696 - (+61)|13,338 - (-4,638)|0 - (0)
 New Orleans Pelicans|March 3, 2019|1,746,635 - (-97)|17,976 - (-3,743)|0 - (0)
 New Orleans Pelicans|February 28, 2019|1,746,732 - (+199)|21,719 - (-1,289)|0 - (0)
 New Orleans Pelicans|February 25, 2019|1,746,533 - (+473)|23,008 - (-3,495)|0 - (0)
