team|date|likes|talking_about|check_ins
 New York Knicks|March 4, 2020|5,774,968 - (-749)|36,020 - (+7,616)|0 - (0)
 New York Knicks|March 1, 2020|5,775,717 - (-976)|28,404 - (+5,765)|0 - (0)
 New York Knicks|February 27, 2020|5,776,693 - (-6,953)|22,639 - (+2,772)|0 - (0)
 New York Knicks|February 24, 2020|5,783,646 - (-948)|19,867 - (-3,634)|0 - (0)
 New York Knicks|February 21, 2020|5,784,594 - (-877)|23,501 - (-3,790)|0 - (0)
 New York Knicks|February 18, 2020|5,785,471 - (-878)|27,291 - (-1,337)|0 - (0)
 New York Knicks|February 15, 2020|5,786,349 - (-952)|28,628 - (-4,616)|0 - (0)
 New York Knicks|February 12, 2020|5,787,301 - (-966)|33,244 - (-28)|0 - (0)
 New York Knicks|February 9, 2020|5,788,267 - (-1,090)|33,272 - (-6,366)|0 - (0)
 New York Knicks|February 6, 2020|5,789,357 - (-45,187)|39,638 - (+25,824)|0 - (0)
 New York Knicks|September 3, 2019|5,834,544 - (-1,141)|13,814 - (-2,861)|0 - (0)
 New York Knicks|August 31, 2019|5,835,685 - (-1,244)|16,675 - (+166)|0 - (0)
 New York Knicks|August 28, 2019|5,836,929 - (-893)|16,509 - (+1,520)|0 - (0)
 New York Knicks|August 25, 2019|5,837,822 - (-1,003)|14,989 - (-230)|0 - (0)
 New York Knicks|August 22, 2019|5,838,825 - (-914)|15,219 - (-2,957)|0 - (0)
 New York Knicks|August 19, 2019|5,839,739 - (-889)|18,176 - (-4,228)|0 - (0)
 New York Knicks|August 16, 2019|5,840,628 - (-1,069)|22,404 - (-3,673)|0 - (0)
 New York Knicks|August 13, 2019|5,841,697 - (-1,140)|26,077 - (-5,663)|0 - (0)
 New York Knicks|August 10, 2019|5,842,837 - (-867)|31,740 - (+7,400)|0 - (0)
 New York Knicks|August 7, 2019|5,843,704 - (-609)|24,340 - (+11,038)|0 - (0)
 New York Knicks|August 4, 2019|5,844,313 - (-772)|13,302 - (-4,216)|0 - (0)
 New York Knicks|August 1, 2019|5,845,085 - (-843)|17,518 - (-802)|0 - (0)
 New York Knicks|July 29, 2019|5,845,928 - (-731)|18,320 - (+3,251)|0 - (0)
 New York Knicks|July 26, 2019|5,846,659 - (-922)|15,069 - (-4,802)|0 - (0)
 New York Knicks|July 23, 2019|5,847,581 - (-1,038)|19,871 - (-5,880)|0 - (0)
 New York Knicks|July 20, 2019|5,848,619 - (-857)|25,751 - (-6,873)|0 - (0)
 New York Knicks|July 17, 2019|5,849,476 - (-705)|32,624 - (-138)|0 - (0)
 New York Knicks|July 14, 2019|5,850,181 - (-725)|32,762 - (-887)|0 - (0)
 New York Knicks|July 11, 2019|5,850,906 - (-895)|33,649 - (-8,703)|0 - (0)
 New York Knicks|July 8, 2019|5,851,801 - (-668)|42,352 - (+1,386)|0 - (0)
 New York Knicks|July 5, 2019|5,852,469 - (-1,134)|40,966 - (+3,482)|0 - (0)
 New York Knicks|July 2, 2019|5,853,603 - (-1,625)|37,484 - (+6,373)|0 - (0)
 New York Knicks|June 29, 2019|5,855,228 - (-521)|31,111 - (-40,791)|0 - (0)
 New York Knicks|June 26, 2019|5,855,749 - (-468)|71,902 - (+6,030)|0 - (0)
 New York Knicks|June 23, 2019|5,856,217 - (+132)|65,872 - (+50,768)|0 - (0)
 New York Knicks|June 20, 2019|5,856,085 - (-1,106)|15,104 - (-5,755)|0 - (0)
 New York Knicks|June 17, 2019|5,857,191 - (-3,032)|20,859 - (-1,946)|0 - (0)
 New York Knicks|June 14, 2019|5,860,223 - (-863)|22,805 - (-4,242)|0 - (0)
 New York Knicks|June 11, 2019|5,861,086 - (-891)|27,047 - (-2,963)|0 - (0)
 New York Knicks|June 8, 2019|5,861,977 - (-1,092)|30,010 - (+9,762)|0 - (0)
 New York Knicks|June 5, 2019|5,863,069 - (-1,581)|20,248 - (+4,505)|0 - (0)
 New York Knicks|June 2, 2019|5,864,650 - (-829)|15,743 - (-3,423)|0 - (0)
 New York Knicks|May 30, 2019|5,865,479 - (-907)|19,166 - (+531)|0 - (0)
 New York Knicks|May 27, 2019|5,866,386 - (-750)|18,635 - (+4,641)|0 - (0)
 New York Knicks|May 24, 2019|5,867,136 - (-800)|13,994 - (-31,172)|0 - (0)
 New York Knicks|May 21, 2019|5,867,936 - (-684)|45,166 - (-77)|0 - (0)
 New York Knicks|May 18, 2019|5,868,620 - (-648)|45,243 - (+8,876)|0 - (0)
 New York Knicks|May 15, 2019|5,869,268 - (-575)|36,367 - (+23,261)|0 - (0)
 New York Knicks|May 12, 2019|5,869,843 - (-806)|13,106 - (-1,625)|0 - (0)
 New York Knicks|May 9, 2019|5,870,649 - (-829)|14,731 - (-204)|0 - (0)
 New York Knicks|May 6, 2019|5,871,478 - (-909)|14,935 - (+914)|0 - (0)
 New York Knicks|May 3, 2019|5,872,387 - (-629)|14,021 - (+14,021)|0 - (0)
 New York Knicks|April 30, 2019|5,873,016 - (-993)|0 - (0)|0 - (0)
 New York Knicks|April 27, 2019|5,874,009 - (-942)|0 - (0)|0 - (0)
 New York Knicks|April 24, 2019|5,874,951 - (-780)|0 - (0)|0 - (0)
 New York Knicks|April 21, 2019|5,875,731 - (-966)|0 - (0)|0 - (0)
 New York Knicks|April 18, 2019|5,876,697 - (-1,092)|0 - (0)|0 - (0)
