team|date|likes|talking_about|check_ins
 Oklahoma City Thunder|March 3, 2020|6,979,842 - (-1,077)|45,931 - (-15,059)|0 - (0)
 Oklahoma City Thunder|February 29, 2020|6,980,919 - (-1,067)|60,990 - (+7,047)|0 - (0)
 Oklahoma City Thunder|February 26, 2020|6,981,986 - (-6,732)|53,943 - (+6,530)|0 - (0)
 Oklahoma City Thunder|February 23, 2020|6,988,718 - (-1,030)|47,413 - (-51,363)|0 - (0)
 Oklahoma City Thunder|February 20, 2020|6,989,748 - (-1,135)|98,776 - (-38,501)|0 - (0)
 Oklahoma City Thunder|February 17, 2020|6,990,883 - (-1,141)|137,277 - (+24,621)|0 - (0)
 Oklahoma City Thunder|February 14, 2020|6,992,024 - (-808)|112,656 - (+66,543)|0 - (0)
 Oklahoma City Thunder|February 11, 2020|6,992,832 - (-1,284)|46,113 - (-15,547)|0 - (0)
 Oklahoma City Thunder|February 8, 2020|6,994,116 - (-1,157)|61,660 - (-72,249)|0 - (0)
 Oklahoma City Thunder|February 5, 2020|6,995,273 - (-72,644)|133,909 - (+124,672)|0 - (0)
 Oklahoma City Thunder|September 2, 2019|7,067,917 - (-1,465)|9,237 - (-2,201)|0 - (0)
 Oklahoma City Thunder|August 30, 2019|7,069,382 - (-1,566)|11,438 - (-761)|0 - (0)
 Oklahoma City Thunder|August 27, 2019|7,070,948 - (-1,367)|12,199 - (-13,524)|0 - (0)
 Oklahoma City Thunder|August 24, 2019|7,072,315 - (-1,448)|25,723 - (+2,233)|0 - (0)
 Oklahoma City Thunder|August 21, 2019|7,073,763 - (-1,670)|23,490 - (-755)|0 - (0)
 Oklahoma City Thunder|August 18, 2019|7,075,433 - (-1,580)|24,245 - (+5,779)|0 - (0)
 Oklahoma City Thunder|August 15, 2019|7,077,013 - (-1,608)|18,466 - (+5,594)|0 - (0)
 Oklahoma City Thunder|August 12, 2019|7,078,621 - (-1,462)|12,872 - (+175)|0 - (0)
 Oklahoma City Thunder|August 9, 2019|7,080,083 - (-1,346)|12,697 - (-8,299)|0 - (0)
 Oklahoma City Thunder|August 6, 2019|7,081,429 - (-1,061)|20,996 - (-2,822)|0 - (0)
 Oklahoma City Thunder|August 3, 2019|7,082,490 - (-1,443)|23,818 - (+8,700)|0 - (0)
 Oklahoma City Thunder|July 31, 2019|7,083,933 - (-1,390)|15,118 - (-29,085)|0 - (0)
 Oklahoma City Thunder|July 28, 2019|7,085,323 - (-1,448)|44,203 - (-17,049)|0 - (0)
 Oklahoma City Thunder|July 25, 2019|7,086,771 - (-2,429)|61,252 - (-10,099)|0 - (0)
 Oklahoma City Thunder|July 22, 2019|7,089,200 - (-1,397)|71,351 - (-26,929)|0 - (0)
 Oklahoma City Thunder|July 19, 2019|7,090,597 - (-1,948)|98,280 - (+23,433)|0 - (0)
 Oklahoma City Thunder|July 16, 2019|7,092,545 - (-873)|74,847 - (+32,476)|0 - (0)
 Oklahoma City Thunder|July 13, 2019|7,093,418 - (-2,225)|42,371 - (+11,335)|0 - (0)
 Oklahoma City Thunder|July 10, 2019|7,095,643 - (-2,294)|31,036 - (+12,905)|0 - (0)
 Oklahoma City Thunder|July 7, 2019|7,097,937 - (-1,374)|18,131 - (+11,528)|0 - (0)
 Oklahoma City Thunder|July 4, 2019|7,099,311 - (-1,114)|6,603 - (-10,392)|0 - (0)
 Oklahoma City Thunder|July 1, 2019|7,100,425 - (-968)|16,995 - (-3,913)|0 - (0)
 Oklahoma City Thunder|June 28, 2019|7,101,393 - (-863)|20,908 - (-12)|0 - (0)
 Oklahoma City Thunder|June 25, 2019|7,102,256 - (-1,255)|20,920 - (+10,638)|0 - (0)
 Oklahoma City Thunder|June 22, 2019|7,103,511 - (-988)|10,282 - (+2,957)|0 - (0)
 Oklahoma City Thunder|June 19, 2019|7,104,499 - (-2,120)|7,325 - (-3,237)|0 - (0)
 Oklahoma City Thunder|June 16, 2019|7,106,619 - (-4,648)|10,562 - (+1,583)|0 - (0)
 Oklahoma City Thunder|June 13, 2019|7,111,267 - (-1,656)|8,979 - (-1,221)|0 - (0)
 Oklahoma City Thunder|June 10, 2019|7,112,923 - (-1,265)|10,200 - (-4,188)|0 - (0)
 Oklahoma City Thunder|June 7, 2019|7,114,188 - (-1,750)|14,388 - (-505)|0 - (0)
 Oklahoma City Thunder|June 4, 2019|7,115,938 - (-1,652)|14,893 - (+4,759)|0 - (0)
 Oklahoma City Thunder|June 1, 2019|7,117,590 - (-1,351)|10,134 - (-2,208)|0 - (0)
 Oklahoma City Thunder|May 29, 2019|7,118,941 - (-1,267)|12,342 - (-9,389)|0 - (0)
 Oklahoma City Thunder|May 26, 2019|7,120,208 - (-1,175)|21,731 - (-9,365)|0 - (0)
 Oklahoma City Thunder|May 23, 2019|7,121,383 - (-1,156)|31,096 - (+2,791)|0 - (0)
 Oklahoma City Thunder|May 20, 2019|7,122,539 - (-1,074)|28,305 - (+14,757)|0 - (0)
 Oklahoma City Thunder|May 17, 2019|7,123,613 - (-924)|13,548 - (-1,629)|0 - (0)
 Oklahoma City Thunder|May 14, 2019|7,124,537 - (-786)|15,177 - (+815)|0 - (0)
 Oklahoma City Thunder|May 11, 2019|7,125,323 - (-1,036)|14,362 - (-24,487)|0 - (0)
 Oklahoma City Thunder|May 8, 2019|7,126,359 - (-840)|38,849 - (-1,111)|0 - (0)
 Oklahoma City Thunder|May 5, 2019|7,127,199 - (-331)|39,960 - (+39,960)|0 - (0)
 Oklahoma City Thunder|May 2, 2019|7,127,530 - (-923)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 29, 2019|7,128,453 - (-1,167)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 26, 2019|7,129,620 - (-802)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 23, 2019|7,130,422 - (-514)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 20, 2019|7,130,936 - (+112)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 17, 2019|7,130,824 - (+639)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 14, 2019|7,130,185 - (-1,612)|0 - (0)|0 - (0)
 Oklahoma City Thunder|April 11, 2019|7,131,797 - (+725)|0 - (-123,325)|0 - (0)
 Oklahoma City Thunder|April 8, 2019|7,131,072 - (-188)|123,325 - (+38,157)|0 - (0)
 Oklahoma City Thunder|April 5, 2019|7,131,260 - (-46)|85,168 - (+46,205)|0 - (0)
 Oklahoma City Thunder|April 2, 2019|7,131,306 - (-771)|38,963 - (-17,129)|0 - (0)
 Oklahoma City Thunder|March 30, 2019|7,132,077 - (-851)|56,092 - (-33,776)|0 - (0)
 Oklahoma City Thunder|March 27, 2019|7,132,928 - (-650)|89,868 - (+12,239)|0 - (0)
 Oklahoma City Thunder|March 24, 2019|7,133,578 - (+229)|77,629 - (+33,483)|0 - (0)
 Oklahoma City Thunder|March 21, 2019|7,133,349 - (-220)|44,146 - (-2,233)|0 - (0)
 Oklahoma City Thunder|March 18, 2019|7,133,569 - (-975)|46,379 - (-24,323)|0 - (0)
 Oklahoma City Thunder|March 15, 2019|7,134,544 - (-474)|70,702 - (+2,555)|0 - (0)
 Oklahoma City Thunder|March 12, 2019|7,135,018 - (-35)|68,147 - (+18,602)|0 - (0)
 Oklahoma City Thunder|March 9, 2019|7,135,053 - (-327)|49,545 - (-827)|0 - (0)
 Oklahoma City Thunder|March 6, 2019|7,135,380 - (-417)|50,372 - (-7,199)|0 - (0)
 Oklahoma City Thunder|March 3, 2019|7,135,797 - (-376)|57,571 - (-21,401)|0 - (0)
 Oklahoma City Thunder|February 28, 2019|7,136,173 - (-367)|78,972 - (-18,470)|0 - (0)
 Oklahoma City Thunder|February 25, 2019|7,136,540 - (+626)|97,442 - (-27,138)|0 - (0)
 Oklahoma City Thunder|February 22, 2019|7,135,914 - (-289)|124,580 - (+7,746)|0 - (0)
 Oklahoma City Thunder|February 19, 2019|7,136,203 - (+359)|116,834 - (+38,152)|0 - (0)
 Oklahoma City Thunder|February 16, 2019|7,135,844 - (-235)|78,682 - (-21,194)|0 - (0)
 Oklahoma City Thunder|February 13, 2019|7,136,079 - (+40)|99,876 - (+30,225)|0 - (0)
 Oklahoma City Thunder|February 10, 2019|7,136,039 - (-100)|69,651 - (+5,533)|0 - (0)
 Oklahoma City Thunder|February 7, 2019|7,136,139 - (-851)|64,118 - (-4,792)|0 - (0)
 Oklahoma City Thunder|February 4, 2019|7,136,990 - (-1,492)|68,910 - (+6,600)|0 - (0)
