team|date|likes|talking_about|check_ins
 Orlando Magic|March 3, 2020|2,724,413 - (-431)|32,163 - (+10,667)|0 - (0)
 Orlando Magic|February 29, 2020|2,724,844 - (-403)|21,496 - (-8,346)|0 - (0)
 Orlando Magic|February 26, 2020|2,725,247 - (-2,568)|29,842 - (-42,157)|0 - (0)
 Orlando Magic|February 23, 2020|2,727,815 - (-366)|71,999 - (-7,549)|0 - (0)
 Orlando Magic|February 20, 2020|2,728,181 - (-374)|79,548 - (+23,064)|0 - (0)
 Orlando Magic|February 17, 2020|2,728,555 - (-49)|56,484 - (+9,617)|0 - (0)
 Orlando Magic|February 14, 2020|2,728,604 - (-428)|46,867 - (-11,729)|0 - (0)
 Orlando Magic|February 11, 2020|2,729,032 - (-344)|58,596 - (+8,825)|0 - (0)
 Orlando Magic|February 8, 2020|2,729,376 - (-256)|49,771 - (+27,945)|0 - (0)
 Orlando Magic|February 5, 2020|2,729,632 - (-15,439)|21,826 - (+16,619)|0 - (0)
 Orlando Magic|September 2, 2019|2,745,071 - (-490)|5,207 - (-1,069)|0 - (0)
 Orlando Magic|August 30, 2019|2,745,561 - (-463)|6,276 - (-185)|0 - (0)
 Orlando Magic|August 27, 2019|2,746,024 - (-399)|6,461 - (-494)|0 - (0)
 Orlando Magic|August 24, 2019|2,746,423 - (-484)|6,955 - (-7,228)|0 - (0)
 Orlando Magic|August 21, 2019|2,746,907 - (-431)|14,183 - (-4,306)|0 - (0)
 Orlando Magic|August 18, 2019|2,747,338 - (-376)|18,489 - (+2,568)|0 - (0)
 Orlando Magic|August 15, 2019|2,747,714 - (-410)|15,921 - (+5,337)|0 - (0)
 Orlando Magic|August 12, 2019|2,748,124 - (-446)|10,584 - (-9,831)|0 - (0)
 Orlando Magic|August 9, 2019|2,748,570 - (-515)|20,415 - (-24,529)|0 - (0)
 Orlando Magic|August 6, 2019|2,749,085 - (-281)|44,944 - (-10,166)|0 - (0)
 Orlando Magic|August 3, 2019|2,749,366 - (-225)|55,110 - (+21,387)|0 - (0)
 Orlando Magic|July 31, 2019|2,749,591 - (-251)|33,723 - (+19,886)|0 - (0)
 Orlando Magic|July 28, 2019|2,749,842 - (-366)|13,837 - (-1,063)|0 - (0)
 Orlando Magic|July 25, 2019|2,750,208 - (-459)|14,900 - (+2,733)|0 - (0)
 Orlando Magic|July 22, 2019|2,750,667 - (-507)|12,167 - (-1,963)|0 - (0)
 Orlando Magic|July 19, 2019|2,751,174 - (-404)|14,130 - (-5,483)|0 - (0)
 Orlando Magic|July 16, 2019|2,751,578 - (-283)|19,613 - (+1,167)|0 - (0)
 Orlando Magic|July 13, 2019|2,751,861 - (-314)|18,446 - (+5,356)|0 - (0)
 Orlando Magic|July 10, 2019|2,752,175 - (-239)|13,090 - (+3,496)|0 - (0)
 Orlando Magic|July 7, 2019|2,752,414 - (-447)|9,594 - (+3,431)|0 - (0)
 Orlando Magic|July 4, 2019|2,752,861 - (-381)|6,163 - (-562)|0 - (0)
 Orlando Magic|July 1, 2019|2,753,242 - (-319)|6,725 - (-4,103)|0 - (0)
 Orlando Magic|June 28, 2019|2,753,561 - (-378)|10,828 - (-2,587)|0 - (0)
 Orlando Magic|June 25, 2019|2,753,939 - (-365)|13,415 - (+1,767)|0 - (0)
 Orlando Magic|June 22, 2019|2,754,304 - (-363)|11,648 - (-1,387)|0 - (0)
 Orlando Magic|June 19, 2019|2,754,667 - (-965)|13,035 - (-4,020)|0 - (0)
 Orlando Magic|June 16, 2019|2,755,632 - (-1,497)|17,055 - (-2,100)|0 - (0)
 Orlando Magic|June 13, 2019|2,757,129 - (-687)|19,155 - (-827)|0 - (0)
 Orlando Magic|June 10, 2019|2,757,816 - (-583)|19,982 - (+4,726)|0 - (0)
 Orlando Magic|June 7, 2019|2,758,399 - (-1,371)|15,256 - (+9,488)|0 - (0)
 Orlando Magic|June 4, 2019|2,759,770 - (-466)|5,768 - (+1,386)|0 - (0)
 Orlando Magic|June 1, 2019|2,760,236 - (-432)|4,382 - (+17)|0 - (0)
 Orlando Magic|May 29, 2019|2,760,668 - (-403)|4,365 - (-1,223)|0 - (0)
 Orlando Magic|May 26, 2019|2,761,071 - (-414)|5,588 - (+675)|0 - (0)
 Orlando Magic|May 23, 2019|2,761,485 - (-428)|4,913 - (-1,489)|0 - (0)
 Orlando Magic|May 20, 2019|2,761,913 - (-366)|6,402 - (-2,604)|0 - (0)
 Orlando Magic|May 17, 2019|2,762,279 - (-392)|9,006 - (-2,680)|0 - (0)
 Orlando Magic|May 14, 2019|2,762,671 - (-232)|11,686 - (-2,160)|0 - (0)
 Orlando Magic|May 11, 2019|2,762,903 - (-373)|13,846 - (+288)|0 - (0)
 Orlando Magic|May 8, 2019|2,763,276 - (-263)|13,558 - (-1,429)|0 - (0)
 Orlando Magic|May 5, 2019|2,763,539 - (-165)|14,987 - (+14,987)|0 - (0)
 Orlando Magic|May 2, 2019|2,763,704 - (-324)|0 - (0)|0 - (0)
 Orlando Magic|April 29, 2019|2,764,028 - (-362)|0 - (0)|0 - (0)
 Orlando Magic|April 26, 2019|2,764,390 - (-96)|0 - (0)|0 - (0)
 Orlando Magic|April 23, 2019|2,764,486 - (-115)|0 - (0)|0 - (0)
 Orlando Magic|April 20, 2019|2,764,601 - (-109)|0 - (0)|0 - (0)
 Orlando Magic|April 17, 2019|2,764,710 - (+90)|0 - (0)|0 - (0)
 Orlando Magic|April 14, 2019|2,764,620 - (-513)|0 - (0)|0 - (0)
 Orlando Magic|April 11, 2019|2,765,133 - (+188)|0 - (-50,689)|0 - (0)
 Orlando Magic|April 8, 2019|2,764,945 - (+460)|50,689 - (+15,412)|0 - (0)
 Orlando Magic|April 5, 2019|2,764,485 - (+556)|35,277 - (+5,352)|0 - (0)
 Orlando Magic|April 2, 2019|2,763,929 - (+110)|29,925 - (-12,807)|0 - (0)
 Orlando Magic|March 30, 2019|2,763,819 - (+194)|42,732 - (-20,873)|0 - (0)
 Orlando Magic|March 27, 2019|2,763,625 - (+754)|63,605 - (-897)|0 - (0)
 Orlando Magic|March 24, 2019|2,762,871 - (+1,042)|64,502 - (+16,352)|0 - (0)
 Orlando Magic|March 21, 2019|2,761,829 - (+597)|48,150 - (+12,330)|0 - (0)
 Orlando Magic|March 18, 2019|2,761,232 - (-8)|35,820 - (-8,975)|0 - (0)
 Orlando Magic|March 15, 2019|2,761,240 - (+205)|44,795 - (-21,472)|0 - (0)
 Orlando Magic|March 12, 2019|2,761,035 - (+225)|66,267 - (-21,985)|0 - (0)
 Orlando Magic|March 9, 2019|2,760,810 - (+611)|88,252 - (+21,303)|0 - (0)
 Orlando Magic|March 6, 2019|2,760,199 - (+440)|66,949 - (+42,245)|0 - (0)
 Orlando Magic|March 3, 2019|2,759,759 - (+133)|24,704 - (-7,092)|0 - (0)
 Orlando Magic|February 28, 2019|2,759,626 - (-321)|31,796 - (-10,555)|0 - (0)
 Orlando Magic|February 25, 2019|2,759,947 - (-27)|42,351 - (+8,143)|0 - (0)
 Orlando Magic|February 22, 2019|2,759,974 - (-106)|34,208 - (+11,863)|0 - (0)
 Orlando Magic|February 19, 2019|2,760,080 - (-245)|22,345 - (+6,737)|0 - (0)
