team|date|likes|talking_about|check_ins
 Philadelphia 76ers|March 3, 2020|1,754,397 - (-30)|15,597 - (-630)|0 - (0)
 Philadelphia 76ers|February 29, 2020|1,754,427 - (-69)|16,227 - (-2,310)|0 - (0)
 Philadelphia 76ers|February 26, 2020|1,754,496 - (-1,391)|18,537 - (-1,385)|0 - (0)
 Philadelphia 76ers|February 23, 2020|1,755,887 - (+123)|19,922 - (+4,943)|0 - (0)
 Philadelphia 76ers|February 20, 2020|1,755,764 - (+138)|14,979 - (-1,177)|0 - (0)
 Philadelphia 76ers|February 17, 2020|1,755,626 - (-100)|16,156 - (-1,557)|0 - (0)
 Philadelphia 76ers|February 14, 2020|1,755,726 - (+24)|17,713 - (+541)|0 - (0)
 Philadelphia 76ers|February 11, 2020|1,755,702 - (+130)|17,172 - (-525)|0 - (0)
 Philadelphia 76ers|February 8, 2020|1,755,572 - (+171)|17,697 - (-18,659)|0 - (0)
 Philadelphia 76ers|February 5, 2020|1,755,401 - (+6,232)|36,356 - (+24,984)|0 - (0)
 Philadelphia 76ers|September 2, 2019|1,749,169 - (-225)|11,372 - (+2,991)|0 - (0)
 Philadelphia 76ers|August 30, 2019|1,749,394 - (-146)|8,381 - (-693)|0 - (0)
 Philadelphia 76ers|August 27, 2019|1,749,540 - (-93)|9,074 - (-3,207)|0 - (0)
 Philadelphia 76ers|August 24, 2019|1,749,633 - (-210)|12,281 - (+1,257)|0 - (0)
 Philadelphia 76ers|August 21, 2019|1,749,843 - (-116)|11,024 - (+1,829)|0 - (0)
 Philadelphia 76ers|August 18, 2019|1,749,959 - (-153)|9,195 - (+344)|0 - (0)
 Philadelphia 76ers|August 15, 2019|1,750,112 - (-169)|8,851 - (-3,577)|0 - (0)
 Philadelphia 76ers|August 12, 2019|1,750,281 - (-154)|12,428 - (-4,565)|0 - (0)
 Philadelphia 76ers|August 9, 2019|1,750,435 - (-55)|16,993 - (-7,243)|0 - (0)
 Philadelphia 76ers|August 6, 2019|1,750,490 - (-70)|24,236 - (+3,533)|0 - (0)
 Philadelphia 76ers|August 3, 2019|1,750,560 - (+13)|20,703 - (+5,369)|0 - (0)
 Philadelphia 76ers|July 31, 2019|1,750,547 - (-89)|15,334 - (+2,324)|0 - (0)
 Philadelphia 76ers|July 28, 2019|1,750,636 - (-43)|13,010 - (-2,023)|0 - (0)
 Philadelphia 76ers|July 25, 2019|1,750,679 - (+1)|15,033 - (-4,052)|0 - (0)
 Philadelphia 76ers|July 22, 2019|1,750,678 - (-91)|19,085 - (-8,952)|0 - (0)
 Philadelphia 76ers|July 19, 2019|1,750,769 - (+52)|28,037 - (-3,166)|0 - (0)
 Philadelphia 76ers|July 16, 2019|1,750,717 - (+150)|31,203 - (+4,156)|0 - (0)
 Philadelphia 76ers|July 13, 2019|1,750,567 - (+254)|27,047 - (+9,917)|0 - (0)
 Philadelphia 76ers|July 10, 2019|1,750,313 - (+185)|17,130 - (+3,299)|0 - (0)
 Philadelphia 76ers|July 7, 2019|1,750,128 - (+205)|13,831 - (+3,885)|0 - (0)
 Philadelphia 76ers|July 4, 2019|1,749,923 - (+180)|9,946 - (+1,625)|0 - (0)
 Philadelphia 76ers|July 1, 2019|1,749,743 - (+495)|8,321 - (+1,737)|0 - (0)
 Philadelphia 76ers|June 28, 2019|1,749,248 - (+31)|6,584 - (-5,639)|0 - (0)
 Philadelphia 76ers|June 25, 2019|1,749,217 - (-9)|12,223 - (-415)|0 - (0)
 Philadelphia 76ers|June 22, 2019|1,749,226 - (+290)|12,638 - (+7,308)|0 - (0)
 Philadelphia 76ers|June 19, 2019|1,748,936 - (-334)|5,330 - (-1,384)|0 - (0)
 Philadelphia 76ers|June 16, 2019|1,749,270 - (-919)|6,714 - (-21,187)|0 - (0)
 Philadelphia 76ers|June 13, 2019|1,750,189 - (-166)|27,901 - (-81)|0 - (0)
 Philadelphia 76ers|June 10, 2019|1,750,355 - (-428)|27,982 - (+19,132)|0 - (0)
 Philadelphia 76ers|June 7, 2019|1,750,783 - (-238)|8,850 - (-652)|0 - (0)
 Philadelphia 76ers|June 4, 2019|1,751,021 - (-93)|9,502 - (-60)|0 - (0)
 Philadelphia 76ers|June 1, 2019|1,751,114 - (-38)|9,562 - (-807)|0 - (0)
 Philadelphia 76ers|May 29, 2019|1,751,152 - (-107)|10,369 - (-2,211)|0 - (0)
 Philadelphia 76ers|May 26, 2019|1,751,259 - (+167)|12,580 - (+88)|0 - (0)
 Philadelphia 76ers|May 23, 2019|1,751,092 - (+63)|12,492 - (-6,171)|0 - (0)
 Philadelphia 76ers|May 20, 2019|1,751,029 - (+164)|18,663 - (-37,930)|0 - (0)
 Philadelphia 76ers|May 17, 2019|1,750,865 - (+357)|56,593 - (-16,822)|0 - (0)
 Philadelphia 76ers|May 14, 2019|1,750,508 - (+2,623)|73,415 - (+13,668)|0 - (0)
 Philadelphia 76ers|May 11, 2019|1,747,885 - (+1,753)|59,747 - (-7,870)|0 - (0)
 Philadelphia 76ers|May 8, 2019|1,746,132 - (+1,474)|67,617 - (-3,125)|0 - (0)
 Philadelphia 76ers|May 5, 2019|1,744,658 - (+1,966)|70,742 - (+70,742)|0 - (0)
 Philadelphia 76ers|May 2, 2019|1,742,692 - (+1,364)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 29, 2019|1,741,328 - (+1,074)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 26, 2019|1,740,254 - (+1,296)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 23, 2019|1,738,958 - (+1,099)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 20, 2019|1,737,859 - (+960)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 17, 2019|1,736,899 - (+1,166)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 14, 2019|1,735,733 - (+182)|0 - (0)|0 - (0)
 Philadelphia 76ers|April 11, 2019|1,735,551 - (+510)|0 - (-87,505)|0 - (0)
