team|date|likes|talking_about|check_ins
 Phoenix Suns|March 3, 2020|1,875,608 - (-180)|13,825 - (-3,896)|0 - (0)
 Phoenix Suns|February 29, 2020|1,875,788 - (-260)|17,721 - (-4,576)|0 - (0)
 Phoenix Suns|February 26, 2020|1,876,048 - (-1,641)|22,297 - (-4,882)|0 - (0)
 Phoenix Suns|February 23, 2020|1,877,689 - (-110)|27,179 - (-22,442)|0 - (0)
 Phoenix Suns|February 20, 2020|1,877,799 - (-155)|49,621 - (-9,757)|0 - (0)
 Phoenix Suns|February 17, 2020|1,877,954 - (+53)|59,378 - (+9,526)|0 - (0)
 Phoenix Suns|February 14, 2020|1,877,901 - (-73)|49,852 - (-9,141)|0 - (0)
 Phoenix Suns|February 11, 2020|1,877,974 - (-21)|58,993 - (+5,771)|0 - (0)
 Phoenix Suns|February 8, 2020|1,877,995 - (+120)|53,222 - (+18,883)|0 - (0)
 Phoenix Suns|February 5, 2020|1,877,875 - (-1,319)|34,339 - (+32,023)|0 - (0)
 Phoenix Suns|September 2, 2019|1,879,194 - (-307)|2,316 - (-391)|0 - (0)
 Phoenix Suns|August 30, 2019|1,879,501 - (-299)|2,707 - (-1,325)|0 - (0)
 Phoenix Suns|August 27, 2019|1,879,800 - (-242)|4,032 - (-3,016)|0 - (0)
 Phoenix Suns|August 24, 2019|1,880,042 - (-269)|7,048 - (-1,125)|0 - (0)
 Phoenix Suns|August 21, 2019|1,880,311 - (-223)|8,173 - (-1,329)|0 - (0)
 Phoenix Suns|August 18, 2019|1,880,534 - (-286)|9,502 - (+1,722)|0 - (0)
 Phoenix Suns|August 15, 2019|1,880,820 - (-257)|7,780 - (+3,798)|0 - (0)
 Phoenix Suns|August 12, 2019|1,881,077 - (-188)|3,982 - (-1,953)|0 - (0)
 Phoenix Suns|August 9, 2019|1,881,265 - (-216)|5,935 - (-437)|0 - (0)
 Phoenix Suns|August 6, 2019|1,881,481 - (-212)|6,372 - (-2,381)|0 - (0)
