team|date|likes|talking_about|check_ins
 Portland Trail Blazers|March 3, 2020|2,452,998 - (-270)|38,781 - (-10,288)|53,818 - (+1)
 Portland Trail Blazers|February 29, 2020|2,453,268 - (-207)|49,069 - (-18,672)|53,817 - (+9)
 Portland Trail Blazers|February 26, 2020|2,453,475 - (-2,192)|67,741 - (+20,396)|53,808 - (+374)
 Portland Trail Blazers|February 23, 2020|2,455,667 - (+110)|47,345 - (+12,883)|53,434 - (+642)
 Portland Trail Blazers|February 20, 2020|2,455,557 - (-316)|34,462 - (-2,891)|52,792 - (+3)
 Portland Trail Blazers|February 17, 2020|2,455,873 - (-183)|37,353 - (-624)|52,789 - (+12)
 Portland Trail Blazers|February 14, 2020|2,456,056 - (-226)|37,977 - (-15,498)|52,777 - (+2)
 Portland Trail Blazers|February 11, 2020|2,456,282 - (-86)|53,475 - (-13,484)|52,775 - (+188)
 Portland Trail Blazers|February 8, 2020|2,456,368 - (+142)|66,959 - (-39,296)|52,587 - (+473)
 Portland Trail Blazers|February 5, 2020|2,456,226 - (+939)|106,255 - (+91,889)|52,114 - (+9,537)
 Portland Trail Blazers|September 2, 2019|2,455,287 - (-434)|14,366 - (-2,296)|42,577 - (0)
 Portland Trail Blazers|August 30, 2019|2,455,721 - (-387)|16,662 - (+1,441)|42,577 - (+4)
 Portland Trail Blazers|August 27, 2019|2,456,108 - (-361)|15,221 - (+3,430)|42,573 - (+4)
 Portland Trail Blazers|August 24, 2019|2,456,469 - (-451)|11,791 - (-601)|42,569 - (0)
 Portland Trail Blazers|August 21, 2019|2,456,920 - (-374)|12,392 - (-8,843)|42,569 - (+2)
 Portland Trail Blazers|August 18, 2019|2,457,294 - (-411)|21,235 - (+3,242)|42,567 - (-2)
 Portland Trail Blazers|August 15, 2019|2,457,705 - (-415)|17,993 - (+7,715)|42,569 - (-1)
 Portland Trail Blazers|August 12, 2019|2,458,120 - (-357)|10,278 - (-1,797)|42,570 - (+2)
 Portland Trail Blazers|August 9, 2019|2,458,477 - (-328)|12,075 - (-621)|42,568 - (0)
 Portland Trail Blazers|August 6, 2019|2,458,805 - (-328)|12,696 - (-4,062)|42,568 - (0)
 Portland Trail Blazers|August 3, 2019|2,459,133 - (-298)|16,758 - (-4,186)|42,568 - (-1)
 Portland Trail Blazers|July 31, 2019|2,459,431 - (-343)|20,944 - (-7,711)|42,569 - (+4)
 Portland Trail Blazers|July 28, 2019|2,459,774 - (-232)|28,655 - (+4,194)|42,565 - (-2)
 Portland Trail Blazers|July 25, 2019|2,460,006 - (-268)|24,461 - (+11,325)|42,567 - (+2)
 Portland Trail Blazers|July 22, 2019|2,460,274 - (-376)|13,136 - (-327)|42,565 - (+4)
 Portland Trail Blazers|July 19, 2019|2,460,650 - (-305)|13,463 - (-1,292)|42,561 - (-1)
 Portland Trail Blazers|July 16, 2019|2,460,955 - (-225)|14,755 - (-5,277)|42,562 - (+4)
 Portland Trail Blazers|July 13, 2019|2,461,180 - (-249)|20,032 - (-4,920)|42,558 - (+1)
 Portland Trail Blazers|July 10, 2019|2,461,429 - (-231)|24,952 - (+3,140)|42,557 - (-2)
 Portland Trail Blazers|July 7, 2019|2,461,660 - (-161)|21,812 - (+6,871)|42,559 - (-5)
 Portland Trail Blazers|July 4, 2019|2,461,821 - (-273)|14,941 - (-2,988)|42,564 - (+3)
 Portland Trail Blazers|July 1, 2019|2,462,094 - (-60)|17,929 - (-1,235)|42,561 - (-3)
 Portland Trail Blazers|June 28, 2019|2,462,154 - (-188)|19,164 - (-1,250)|42,564 - (+1)
 Portland Trail Blazers|June 25, 2019|2,462,342 - (-255)|20,414 - (+2,427)|42,563 - (+1)
 Portland Trail Blazers|June 22, 2019|2,462,597 - (-207)|17,987 - (+3,241)|42,562 - (+5)
 Portland Trail Blazers|June 19, 2019|2,462,804 - (-765)|14,746 - (-274)|42,557 - (+6)
 Portland Trail Blazers|June 16, 2019|2,463,569 - (-1,733)|15,020 - (+1,370)|42,551 - (-2)
 Portland Trail Blazers|June 13, 2019|2,465,302 - (-463)|13,650 - (+187)|42,553 - (+2)
 Portland Trail Blazers|June 10, 2019|2,465,765 - (-430)|13,463 - (-7,806)|42,551 - (-1)
 Portland Trail Blazers|June 7, 2019|2,466,195 - (-482)|21,269 - (+731)|42,552 - (-10)
 Portland Trail Blazers|June 4, 2019|2,466,677 - (-463)|20,538 - (+1,722)|42,562 - (+25)
 Portland Trail Blazers|June 1, 2019|2,467,140 - (-247)|18,816 - (-9,060)|42,537 - (-1)
 Portland Trail Blazers|May 29, 2019|2,467,387 - (-229)|27,876 - (-39,128)|42,538 - (+4)
 Portland Trail Blazers|May 26, 2019|2,467,616 - (+120)|67,004 - (-7,061)|42,534 - (+9)
 Portland Trail Blazers|May 23, 2019|2,467,496 - (+1,581)|74,065 - (-1,959)|42,525 - (+372)
 Portland Trail Blazers|May 20, 2019|2,465,915 - (+1,269)|76,024 - (-78,508)|42,153 - (+390)
 Portland Trail Blazers|May 17, 2019|2,464,646 - (+2,983)|154,532 - (+12,713)|41,763 - (+53)
 Portland Trail Blazers|May 14, 2019|2,461,663 - (+5,706)|141,819 - (+69,946)|41,710 - (+64)
 Portland Trail Blazers|May 11, 2019|2,455,957 - (+1,358)|71,873 - (-24,367)|41,646 - (+406)
 Portland Trail Blazers|May 8, 2019|2,454,599 - (+1,307)|96,240 - (-49,846)|41,240 - (+437)
 Portland Trail Blazers|May 5, 2019|2,453,292 - (+2,614)|146,086 - (+146,086)|40,803 - (+552)
 Portland Trail Blazers|May 2, 2019|2,450,678 - (+4,204)|0 - (0)|40,251 - (-26)
 Portland Trail Blazers|April 29, 2019|2,446,474 - (+3,046)|0 - (0)|40,277 - (+6)
 Portland Trail Blazers|April 26, 2019|2,443,428 - (+9,948)|0 - (0)|40,271 - (+603)
 Portland Trail Blazers|April 23, 2019|2,433,480 - (+1,047)|0 - (0)|39,668 - (+9)
 Portland Trail Blazers|April 20, 2019|2,432,433 - (+867)|0 - (0)|39,659 - (+17)
 Portland Trail Blazers|April 17, 2019|2,431,566 - (+666)|0 - (0)|39,642 - (+1,199)
 Portland Trail Blazers|April 14, 2019|2,430,900 - (-493)|0 - (0)|38,443 - (+51)
 Portland Trail Blazers|April 11, 2019|2,431,393 - (+1,061)|0 - (-73,854)|38,392 - (+495)
 Portland Trail Blazers|April 8, 2019|2,430,332 - (+643)|73,854 - (-10,968)|37,897 - (+449)
 Portland Trail Blazers|April 5, 2019|2,429,689 - (+1,084)|84,822 - (-39,295)|37,448 - (+411)
 Portland Trail Blazers|April 2, 2019|2,428,605 - (+1,063)|124,117 - (-42,323)|37,037 - (-1)
 Portland Trail Blazers|March 30, 2019|2,427,542 - (+1,402)|166,440 - (-51,579)|37,038 - (+27)
 Portland Trail Blazers|March 27, 2019|2,426,140 - (+3,521)|218,019 - (+69,828)|37,011 - (+513)
 Portland Trail Blazers|March 24, 2019|2,422,619 - (+2,396)|148,191 - (+64,100)|36,498 - (+607)
 Portland Trail Blazers|March 21, 2019|2,420,223 - (+2,010)|84,091 - (+27,987)|35,891 - (+819)
 Portland Trail Blazers|March 18, 2019|2,418,213 - (+620)|56,104 - (+10,123)|35,072 - (+1)
 Portland Trail Blazers|March 15, 2019|2,417,593 - (+120)|45,981 - (-6,582)|35,071 - (+4)
 Portland Trail Blazers|March 12, 2019|2,417,473 - (+170)|52,563 - (-16,451)|35,067 - (+519)
 Portland Trail Blazers|March 9, 2019|2,417,303 - (+138)|69,014 - (-1,842)|34,548 - (+408)
 Portland Trail Blazers|March 6, 2019|2,417,165 - (+510)|70,856 - (-11,275)|34,140 - (-1)
 Portland Trail Blazers|March 3, 2019|2,416,655 - (+439)|82,131 - (-28,948)|34,141 - (-4)
 Portland Trail Blazers|February 28, 2019|2,416,216 - (+439)|111,079 - (-34,441)|34,145 - (+4)
 Portland Trail Blazers|February 25, 2019|2,415,777 - (+1,099)|145,520 - (+32,383)|34,141 - (+1)
 Portland Trail Blazers|February 22, 2019|2,414,678 - (+797)|113,137 - (+21,699)|34,140 - (+2)
 Portland Trail Blazers|February 19, 2019|2,413,881 - (+1,044)|91,438 - (+23,241)|34,138 - (0)
 Portland Trail Blazers|February 16, 2019|2,412,837 - (+82)|68,197 - (+14,930)|34,138 - (+471)
 Portland Trail Blazers|February 13, 2019|2,412,755 - (+24)|53,267 - (+15,034)|33,667 - (+8)
 Portland Trail Blazers|February 10, 2019|2,412,731 - (-157)|38,233 - (+7,739)|33,659 - (+452)
 Portland Trail Blazers|February 7, 2019|2,412,888 - (-215)|30,494 - (+4,910)|33,207 - (+378)
 Portland Trail Blazers|February 4, 2019|2,413,103 - (-105)|25,584 - (+1,179)|32,829 - (+402)
 Portland Trail Blazers|January 29, 2019|2,413,208 - (-201)|24,405 - (+845)|32,427 - (+479)
 Portland Trail Blazers|January 26, 2019|2,413,409 - (-111)|23,560 - (-706)|31,948 - (+3)
 Portland Trail Blazers|January 23, 2019|2,413,520 - (-84)|24,266 - (+1,585)|31,945 - (-5)
 Portland Trail Blazers|January 20, 2019|2,413,604 - (-262)|22,681 - (-1,407)|31,950 - (+391)
 Portland Trail Blazers|January 17, 2019|2,413,866 - (-39)|24,088 - (-203)|31,559 - (+415)
 Portland Trail Blazers|January 14, 2019|2,413,905 - (-24)|24,291 - (-800)|31,144 - (+495)
 Portland Trail Blazers|January 11, 2019|2,413,929 - (-145)|25,091 - (-4,105)|30,649 - (+417)
 Portland Trail Blazers|January 8, 2019|2,414,074 - (-25)|29,196 - (-4,397)|30,232 - (+808)
 Portland Trail Blazers|January 5, 2019|2,414,099 - (-126)|33,593 - (-6,524)|29,424 - (+467)
 Portland Trail Blazers|January 2, 2019|2,414,225 - (+4)|40,117 - (+8,082)|28,957 - (+398)
 Portland Trail Blazers|December 30, 2018|2,414,221 - (+186)|32,035 - (+13,419)|28,559 - (+428)
 Portland Trail Blazers|December 27, 2018|2,414,035 - (-308)|18,616 - (+500)|28,131 - (-1)
 Portland Trail Blazers|December 24, 2018|2,414,343 - (-174)|18,116 - (-287)|28,132 - (+857)
 Portland Trail Blazers|December 21, 2018|2,414,517 - (-194)|18,403 - (+4,128)|27,275 - (+453)
 Portland Trail Blazers|December 18, 2018|2,414,711 - (-124)|14,275 - (-2,638)|26,822 - (+25)
 Portland Trail Blazers|December 15, 2018|2,414,835 - (-179)|16,913 - (-1,065)|26,797 - (+378)
 Portland Trail Blazers|December 12, 2018|2,415,014 - (-185)|17,978 - (+2,402)|26,419 - (+14)
 Portland Trail Blazers|December 9, 2018|2,415,199 - (-134)|15,576 - (+892)|26,405 - (+812)
 Portland Trail Blazers|December 6, 2018|2,415,333 - (-342)|14,684 - (-2,920)|25,593 - (-2)
 Portland Trail Blazers|December 3, 2018|2,415,675 - (-178)|17,604 - (+690)|25,595 - (+422)
 Portland Trail Blazers|November 30, 2018|2,415,853 - (-164)|16,914 - (+1,553)|25,173 - (+518)
 Portland Trail Blazers|November 27, 2018|2,416,017 - (-339)|15,361 - (-7,315)|24,655 - (+473)
 Portland Trail Blazers|November 24, 2018|2,416,356 - (-206)|22,676 - (+1,186)|24,182 - (-4)
 Portland Trail Blazers|November 21, 2018|2,416,562 - (+40)|21,490 - (-2,337)|24,186 - (-7)
 Portland Trail Blazers|November 18, 2018|2,416,522 - (-144)|23,827 - (-10,869)|24,193 - (+1)
 Portland Trail Blazers|November 15, 2018|2,416,666 - (+57)|34,696 - (-18,266)|24,192 - (+5)
 Portland Trail Blazers|November 12, 2018|2,416,609 - (+50)|52,962 - (+626)|24,187 - (+430)
 Portland Trail Blazers|November 9, 2018|2,416,559 - (+340)|52,336 - (+24,346)|23,757 - (+712)
 Portland Trail Blazers|November 6, 2018|2,416,219 - (+11)|27,990 - (+6,984)|23,045 - (+830)
 Portland Trail Blazers|November 3, 2018|2,416,208 - (+10)|21,006 - (-1,350)|22,215 - (+357)
 Portland Trail Blazers|October 31, 2018|2,416,198 - (+34)|22,356 - (-25,617)|21,858 - (+3)
 Portland Trail Blazers|October 28, 2018|2,416,164 - (+160)|47,973 - (-8,950)|21,855 - (+9)
 Portland Trail Blazers|October 25, 2018|2,416,004 - (+428)|56,923 - (+7,573)|21,846 - (+367)
 Portland Trail Blazers|October 22, 2018|2,415,576 - (+272)|49,350 - (+20,836)|21,479 - (+468)
 Portland Trail Blazers|October 19, 2018|2,415,304 - (+460)|28,514 - (+6,924)|21,011 - (+314)
 Portland Trail Blazers|October 16, 2018|2,414,844 - (-249)|21,590 - (+9,677)|20,697 - (+10)
 Portland Trail Blazers|October 13, 2018|2,415,093 - (-225)|11,913 - (+2,372)|20,687 - (+464)
 Portland Trail Blazers|October 10, 2018|2,415,318 - (-379)|9,541 - (+1,997)|20,223 - (+196)
 Portland Trail Blazers|October 7, 2018|2,415,697 - (-571)|7,544 - (-1,120)|20,027 - (0)
 Portland Trail Blazers|October 4, 2018|2,416,268 - (-426)|8,664 - (-3,283)|20,027 - (-2)
 Portland Trail Blazers|October 1, 2018|2,416,694 - (-167)|11,947 - (-1,526)|20,029 - (+166)
 Portland Trail Blazers|September 28, 2018|2,416,861 - (-358)|13,473 - (+378)|19,863 - (+1)
 Portland Trail Blazers|September 25, 2018|2,417,219 - (-178)|13,095 - (+6,227)|19,862 - (-3)
 Portland Trail Blazers|September 22, 2018|2,417,397 - (-330)|6,868 - (+284)|19,865 - (-6)
 Portland Trail Blazers|September 19, 2018|2,417,727 - (-385)|6,584 - (+879)|19,871 - (-1)
 Portland Trail Blazers|September 16, 2018|2,418,112 - (-431)|5,705 - (-146)|19,872 - (-1)
 Portland Trail Blazers|September 13, 2018|2,418,543 - (-1,239)|5,851 - (-990)|19,873 - (+2)
 Portland Trail Blazers|September 10, 2018|2,419,782 - (-433)|6,841 - (+192)|19,871 - (-1)
 Portland Trail Blazers|September 7, 2018|2,420,215 - (-456)|6,649 - (-135)|19,872 - (0)
 Portland Trail Blazers|September 4, 2018|2,420,671 - (-401)|6,784 - (-1,981)|19,872 - (-3)
 Portland Trail Blazers|September 1, 2018|2,421,072 - (-460)|8,765 - (+1,066)|19,875 - (-2)
 Portland Trail Blazers|August 29, 2018|2,421,532 - (-400)|7,699 - (+3,334)|19,877 - (-3)
 Portland Trail Blazers|August 26, 2018|2,421,932 - (-438)|4,365 - (+98)|19,880 - (0)
 Portland Trail Blazers|August 23, 2018|2,422,370 - (-435)|4,267 - (+484)|19,880 - (+3)
 Portland Trail Blazers|August 20, 2018|2,422,805 - (-355)|3,783 - (-1,425)|19,877 - (+14)
 Portland Trail Blazers|August 17, 2018|2,423,160 - (-434)|5,208 - (-7,227)|19,863 - (-6)
 Portland Trail Blazers|August 14, 2018|2,423,594 - (-450)|12,435 - (+1,208)|19,869 - (+32)
 Portland Trail Blazers|August 11, 2018|2,424,044 - (-347)|11,227 - (+5,667)|19,837 - (-3)
 Portland Trail Blazers|August 8, 2018|2,424,391 - (-476)|5,560 - (-1,573)|19,840 - (-3)
 Portland Trail Blazers|August 5, 2018|2,424,867 - (-589)|7,133 - (-489)|19,843 - (-3)
 Portland Trail Blazers|August 2, 2018|2,425,456 - (-597)|7,622 - (-242)|19,846 - (-11)
 Portland Trail Blazers|July 30, 2018|2,426,053 - (-573)|7,864 - (-1,386)|19,857 - (+3)
 Portland Trail Blazers|July 27, 2018|2,426,626 - (-495)|9,250 - (-5,603)|19,854 - (-7)
 Portland Trail Blazers|July 24, 2018|2,427,121 - (-578)|14,853 - (-7,985)|19,861 - (+2)
 Portland Trail Blazers|July 21, 2018|2,427,699 - (-522)|22,838 - (+3,682)|19,859 - (-3)
 Portland Trail Blazers|July 18, 2018|2,428,221 - (-525)|19,156 - (+3,443)|19,862 - (-2)
 Portland Trail Blazers|July 15, 2018|2,428,746 - (-626)|15,713 - (-9,479)|19,864 - (-5)
 Portland Trail Blazers|July 12, 2018|2,429,372 - (-672)|25,192 - (+6,695)|19,869 - (-1)
 Portland Trail Blazers|July 9, 2018|2,430,044 - (-676)|18,497 - (+11,211)|19,870 - (-2)
 Portland Trail Blazers|July 6, 2018|2,430,720 - (-714)|7,286 - (-638)|19,872 - (-6)
 Portland Trail Blazers|July 3, 2018|2,431,434 - (-459)|7,924 - (-5,036)|19,878 - (+19,878)
 Portland Trail Blazers|June 30, 2018|2,431,893 - (-664)|12,960 - (-380)|0 - (0)
 Portland Trail Blazers|June 27, 2018|2,432,557 - (-659)|13,340 - (+3,910)|0 - (0)
 Portland Trail Blazers|June 24, 2018|2,433,216 - (-593)|9,430 - (+3,571)|0 - (0)
 Portland Trail Blazers|June 21, 2018|2,433,809 - (-482)|5,859 - (-11,288)|0 - (0)
 Portland Trail Blazers|June 18, 2018|2,434,291 - (-453)|17,147 - (+69)|0 - (0)
 Portland Trail Blazers|June 15, 2018|2,434,744 - (-595)|17,078 - (-972)|0 - (0)
 Portland Trail Blazers|June 12, 2018|2,435,339 - (-474)|18,050 - (+3,549)|0 - (0)
 Portland Trail Blazers|June 9, 2018|2,435,813 - (-248)|14,501 - (+123)|0 - (0)
 Portland Trail Blazers|June 6, 2018|2,436,061 - (-363)|14,378 - (+5,742)|0 - (0)
 Portland Trail Blazers|June 3, 2018|2,436,424 - (-124)|8,636 - (+1,127)|0 - (0)
 Portland Trail Blazers|June 2, 2018|2,436,548 - (-17)|7,509 - (-2,136)|0 - (0)
 Portland Trail Blazers|June 1, 2018|2,436,565 - (-64)|9,645 - (+837)|0 - (0)
