team|date|likes|talking_about|check_ins
 Sacramento Kings|March 3, 2020|7,950,809 - (+6,730)|69,772 - (+9,864)|47,101 - (+490)
 Sacramento Kings|February 29, 2020|7,944,079 - (+3,607)|59,908 - (+5,203)|46,611 - (+1)
 Sacramento Kings|February 26, 2020|7,940,472 - (+2,740)|54,705 - (-10,163)|46,610 - (+40)
 Sacramento Kings|February 23, 2020|7,937,732 - (+5,338)|64,868 - (-25,974)|46,570 - (+72)
 Sacramento Kings|February 20, 2020|7,932,394 - (+5,764)|90,842 - (-2,362)|46,498 - (+223)
 Sacramento Kings|February 17, 2020|7,926,630 - (+7,422)|93,204 - (+11,360)|46,275 - (-1)
 Sacramento Kings|February 14, 2020|7,919,208 - (+1,547)|81,844 - (-10,841)|46,276 - (-26)
 Sacramento Kings|February 11, 2020|7,917,661 - (+5,966)|92,685 - (-14,875)|46,302 - (+127)
 Sacramento Kings|February 8, 2020|7,911,695 - (+6,078)|107,560 - (-169,037)|46,175 - (+627)
 Sacramento Kings|February 5, 2020|7,905,617 - (+393,712)|276,597 - (+211,045)|45,548 - (+6,776)
 Sacramento Kings|September 2, 2019|7,511,905 - (+11,960)|65,552 - (+8,922)|38,772 - (-1)
 Sacramento Kings|August 30, 2019|7,499,945 - (+18,026)|56,630 - (+713)|38,773 - (-3)
 Sacramento Kings|August 24, 2019|7,481,919 - (+558)|55,917 - (-22,724)|38,776 - (+5)
 Sacramento Kings|August 21, 2019|7,481,361 - (+10,125)|78,641 - (+1,421)|38,771 - (-1)
 Sacramento Kings|August 18, 2019|7,471,236 - (+9,219)|77,220 - (+349)|38,772 - (+6)
 Sacramento Kings|August 15, 2019|7,462,017 - (+9,065)|76,871 - (+8,343)|38,766 - (-1)
 Sacramento Kings|August 12, 2019|7,452,952 - (+9,718)|68,528 - (-13,366)|38,767 - (-4)
 Sacramento Kings|August 9, 2019|7,443,234 - (+6,847)|81,894 - (-32,729)|38,771 - (-3)
 Sacramento Kings|August 6, 2019|7,436,387 - (+8,549)|114,623 - (+2,942)|38,774 - (-3)
 Sacramento Kings|August 3, 2019|7,427,838 - (+10,668)|111,681 - (+22,450)|38,777 - (0)
 Sacramento Kings|July 31, 2019|7,417,170 - (+12,072)|89,231 - (-2,732)|38,777 - (+15)
 Sacramento Kings|July 28, 2019|7,405,098 - (+10,651)|91,963 - (-5,370)|38,762 - (-8)
 Sacramento Kings|July 25, 2019|7,394,447 - (+11,661)|97,333 - (-619)|38,770 - (+57)
 Sacramento Kings|July 22, 2019|7,382,786 - (+14,347)|97,952 - (-5,241)|38,713 - (+58)
 Sacramento Kings|July 19, 2019|7,368,439 - (+8,328)|103,193 - (-19,378)|38,655 - (+50)
 Sacramento Kings|July 16, 2019|7,360,111 - (+13,815)|122,571 - (+5,735)|38,605 - (+56)
 Sacramento Kings|July 13, 2019|7,346,296 - (+12,549)|116,836 - (+30,922)|38,549 - (+36)
 Sacramento Kings|July 10, 2019|7,333,747 - (+16,437)|85,914 - (-6,597)|38,513 - (+45)
 Sacramento Kings|July 7, 2019|7,317,310 - (+10,284)|92,511 - (-31,560)|38,468 - (+29)
 Sacramento Kings|July 4, 2019|7,307,026 - (+15,211)|124,071 - (-6,163)|38,439 - (+127)
 Sacramento Kings|July 1, 2019|7,291,815 - (+16,333)|130,234 - (-229)|38,312 - (+89)
 Sacramento Kings|June 28, 2019|7,275,482 - (+11,722)|130,463 - (+13,610)|38,223 - (+55)
 Sacramento Kings|June 25, 2019|7,263,760 - (+14,066)|116,853 - (+27,122)|38,168 - (+51)
 Sacramento Kings|June 22, 2019|7,249,694 - (+10,400)|89,731 - (+7,497)|38,117 - (+31)
 Sacramento Kings|June 19, 2019|7,239,294 - (+12,228)|82,234 - (+4,434)|38,086 - (+38)
 Sacramento Kings|June 16, 2019|7,227,066 - (+9,232)|77,800 - (+37,106)|38,048 - (+1)
 Sacramento Kings|June 13, 2019|7,217,834 - (+10,505)|40,694 - (-4,228)|38,047 - (+3)
 Sacramento Kings|June 10, 2019|7,207,329 - (-3,472)|44,922 - (-28,293)|38,044 - (+1)
 Sacramento Kings|June 7, 2019|7,210,801 - (+5,541)|73,215 - (+9,569)|38,043 - (-1)
 Sacramento Kings|June 4, 2019|7,205,260 - (+10,390)|63,646 - (+6,140)|38,044 - (-2)
 Sacramento Kings|June 1, 2019|7,194,870 - (+7,427)|57,506 - (-26,508)|38,046 - (+4)
 Sacramento Kings|May 29, 2019|7,187,443 - (+7,821)|84,014 - (-12,901)|38,042 - (-1)
 Sacramento Kings|May 26, 2019|7,179,622 - (+9,825)|96,915 - (+12,750)|38,043 - (-4)
 Sacramento Kings|May 23, 2019|7,169,797 - (+9,884)|84,165 - (+9,861)|38,047 - (-13)
 Sacramento Kings|May 20, 2019|7,159,913 - (+10,177)|74,304 - (-6,320)|38,060 - (+4)
 Sacramento Kings|May 17, 2019|7,149,736 - (+9,342)|80,624 - (-61,471)|38,056 - (-1)
 Sacramento Kings|May 14, 2019|7,140,394 - (+16,590)|142,095 - (+23,537)|38,057 - (+5)
 Sacramento Kings|May 11, 2019|7,123,804 - (+46,388)|118,558 - (+78,301)|38,052 - (-8)
 Sacramento Kings|May 8, 2019|7,077,416 - (+6,809)|40,257 - (+13,938)|38,060 - (+1)
 Sacramento Kings|May 5, 2019|7,070,607 - (-1,976)|26,319 - (+26,319)|38,059 - (-4)
 Sacramento Kings|May 2, 2019|7,072,583 - (-2,470)|0 - (0)|38,063 - (+7)
 Sacramento Kings|April 29, 2019|7,075,053 - (-2,573)|0 - (0)|38,056 - (-2)
 Sacramento Kings|April 26, 2019|7,077,626 - (+6,317)|0 - (0)|38,058 - (-3)
 Sacramento Kings|April 23, 2019|7,071,309 - (+11,611)|0 - (0)|38,061 - (+3)
 Sacramento Kings|April 20, 2019|7,059,698 - (+9,233)|0 - (0)|38,058 - (-1)
 Sacramento Kings|April 17, 2019|7,050,465 - (+10,415)|0 - (0)|38,059 - (+3)
 Sacramento Kings|April 14, 2019|7,040,050 - (+4,430)|0 - (0)|38,056 - (+8)
 Sacramento Kings|April 11, 2019|7,035,620 - (+9,631)|0 - (-98,677)|38,048 - (+6)
 Sacramento Kings|April 8, 2019|7,025,989 - (+12,108)|98,677 - (+19,745)|38,042 - (+13)
 Sacramento Kings|April 5, 2019|7,013,881 - (+10,762)|78,932 - (+9,763)|38,029 - (+10)
 Sacramento Kings|April 2, 2019|7,003,119 - (+10,975)|69,169 - (+1,106)|38,019 - (-1)
 Sacramento Kings|March 30, 2019|6,992,144 - (+7,117)|68,063 - (-2,688)|38,020 - (+1)
 Sacramento Kings|March 27, 2019|6,985,027 - (+6,875)|70,751 - (-29,877)|38,019 - (0)
 Sacramento Kings|March 24, 2019|6,978,152 - (+8,546)|100,628 - (+11,243)|38,019 - (+34)
 Sacramento Kings|March 21, 2019|6,969,606 - (+8,162)|89,385 - (+27,769)|37,985 - (+12)
 Sacramento Kings|March 18, 2019|6,961,444 - (+5,724)|61,616 - (-28,114)|37,973 - (+27)
 Sacramento Kings|March 15, 2019|6,955,720 - (+6,056)|89,730 - (-23,918)|37,946 - (+1)
 Sacramento Kings|March 12, 2019|6,949,664 - (+12,547)|113,648 - (+35,070)|37,945 - (+1)
 Sacramento Kings|March 9, 2019|6,937,117 - (+13,097)|78,578 - (+26,896)|37,944 - (+3)
 Sacramento Kings|March 6, 2019|6,924,020 - (+580)|51,682 - (-3,833)|37,941 - (+6)
 Sacramento Kings|March 3, 2019|6,923,440 - (+10,395)|55,515 - (-14,385)|37,935 - (+28)
 Sacramento Kings|February 28, 2019|6,913,045 - (-2,720)|69,900 - (-12,051)|37,907 - (+28)
 Sacramento Kings|February 25, 2019|6,915,765 - (-1,252)|81,951 - (+13,263)|37,879 - (-1)
 Sacramento Kings|February 22, 2019|6,917,017 - (+4,865)|68,688 - (-4,430)|37,880 - (-3)
 Sacramento Kings|February 19, 2019|6,912,152 - (+6,062)|73,118 - (+9,422)|37,883 - (+4)
