team|date|likes|talking_about|check_ins
 San Antonio Spurs|March 3, 2020|6,988,852 - (-744)|111,843 - (+14,953)|0 - (0)
 San Antonio Spurs|February 29, 2020|6,989,596 - (-1,012)|96,890 - (-6,360)|0 - (0)
 San Antonio Spurs|February 26, 2020|6,990,608 - (-7,122)|103,250 - (-12,443)|0 - (0)
 San Antonio Spurs|February 23, 2020|6,997,730 - (-1,003)|115,693 - (-63,905)|0 - (0)
 San Antonio Spurs|February 20, 2020|6,998,733 - (-858)|179,598 - (+3,592)|0 - (0)
 San Antonio Spurs|February 17, 2020|6,999,591 - (-844)|176,006 - (+58,236)|0 - (0)
 San Antonio Spurs|February 14, 2020|7,000,435 - (-885)|117,770 - (-24,912)|0 - (0)
 San Antonio Spurs|February 11, 2020|7,001,320 - (-967)|142,682 - (-54,521)|0 - (0)
 San Antonio Spurs|February 8, 2020|7,002,287 - (-731)|197,203 - (+25,287)|0 - (0)
 San Antonio Spurs|February 5, 2020|7,003,018 - (-43,086)|171,916 - (+143,059)|0 - (0)
 San Antonio Spurs|September 2, 2019|7,046,104 - (-1,467)|28,857 - (-15,408)|0 - (0)
 San Antonio Spurs|August 30, 2019|7,047,571 - (-1,520)|44,265 - (-5,586)|0 - (0)
 San Antonio Spurs|August 27, 2019|7,049,091 - (-1,227)|49,851 - (-20,230)|0 - (0)
 San Antonio Spurs|August 24, 2019|7,050,318 - (-1,410)|70,081 - (-19,491)|0 - (0)
 San Antonio Spurs|August 21, 2019|7,051,728 - (-1,086)|89,572 - (+15,469)|0 - (0)
 San Antonio Spurs|August 18, 2019|7,052,814 - (-1,151)|74,103 - (+37,392)|0 - (0)
 San Antonio Spurs|August 15, 2019|7,053,965 - (-1,220)|36,711 - (-33,615)|0 - (0)
 San Antonio Spurs|August 12, 2019|7,055,185 - (-1,221)|70,326 - (-12,666)|0 - (0)
 San Antonio Spurs|August 9, 2019|7,056,406 - (-1,157)|82,992 - (+6,975)|0 - (0)
 San Antonio Spurs|August 6, 2019|7,057,563 - (-1,001)|76,017 - (-18,266)|0 - (0)
 San Antonio Spurs|August 3, 2019|7,058,564 - (-1,091)|94,283 - (+4,000)|0 - (0)
 San Antonio Spurs|July 31, 2019|7,059,655 - (-923)|90,283 - (-41,920)|0 - (0)
 San Antonio Spurs|July 28, 2019|7,060,578 - (-1,129)|132,203 - (+9,373)|0 - (0)
 San Antonio Spurs|July 25, 2019|7,061,707 - (-895)|122,830 - (+106,311)|0 - (0)
 San Antonio Spurs|July 22, 2019|7,062,602 - (-1,287)|16,519 - (-28,090)|0 - (0)
 San Antonio Spurs|July 19, 2019|7,063,889 - (-1,062)|44,609 - (-12,825)|0 - (0)
 San Antonio Spurs|July 16, 2019|7,064,951 - (-807)|57,434 - (-12,123)|0 - (0)
 San Antonio Spurs|July 13, 2019|7,065,758 - (-930)|69,557 - (+3,295)|0 - (0)
 San Antonio Spurs|July 10, 2019|7,066,688 - (-838)|66,262 - (+10,635)|0 - (0)
 San Antonio Spurs|July 7, 2019|7,067,526 - (-926)|55,627 - (+12,829)|0 - (0)
 San Antonio Spurs|July 4, 2019|7,068,452 - (-709)|42,798 - (-24,281)|0 - (0)
 San Antonio Spurs|July 1, 2019|7,069,161 - (-702)|67,079 - (-19,416)|0 - (0)
 San Antonio Spurs|June 28, 2019|7,069,863 - (-582)|86,495 - (-1,789)|0 - (0)
 San Antonio Spurs|June 25, 2019|7,070,445 - (-799)|88,284 - (+30,613)|0 - (0)
 San Antonio Spurs|June 22, 2019|7,071,244 - (-498)|57,671 - (-18,667)|0 - (0)
 San Antonio Spurs|June 19, 2019|7,071,742 - (-2,246)|76,338 - (-102,725)|0 - (0)
 San Antonio Spurs|June 16, 2019|7,073,988 - (-3,858)|179,063 - (+48,785)|0 - (0)
 San Antonio Spurs|June 13, 2019|7,077,846 - (-910)|130,278 - (+111,531)|0 - (0)
 San Antonio Spurs|June 10, 2019|7,078,756 - (-1,326)|18,747 - (+4,503)|0 - (0)
 San Antonio Spurs|June 7, 2019|7,080,082 - (-1,677)|14,244 - (+1,975)|0 - (0)
 San Antonio Spurs|June 4, 2019|7,081,759 - (-1,346)|12,269 - (-12,669)|0 - (0)
 San Antonio Spurs|June 1, 2019|7,083,105 - (-1,311)|24,938 - (+2,584)|0 - (0)
 San Antonio Spurs|May 29, 2019|7,084,416 - (-1,293)|22,354 - (+6,345)|0 - (0)
 San Antonio Spurs|May 26, 2019|7,085,709 - (-1,078)|16,009 - (-28,120)|0 - (0)
 San Antonio Spurs|May 23, 2019|7,086,787 - (-1,123)|44,129 - (+4,948)|0 - (0)
 San Antonio Spurs|May 20, 2019|7,087,910 - (-1,017)|39,181 - (+23,569)|0 - (0)
 San Antonio Spurs|May 17, 2019|7,088,927 - (-1,072)|15,612 - (-9,071)|0 - (0)
 San Antonio Spurs|May 14, 2019|7,089,999 - (-866)|24,683 - (-6,329)|0 - (0)
 San Antonio Spurs|May 11, 2019|7,090,865 - (-1,009)|31,012 - (-829)|0 - (0)
 San Antonio Spurs|May 8, 2019|7,091,874 - (-989)|31,841 - (-29,445)|0 - (0)
 San Antonio Spurs|May 5, 2019|7,092,863 - (-682)|61,286 - (+61,286)|0 - (0)
 San Antonio Spurs|May 2, 2019|7,093,545 - (-1,009)|0 - (0)|0 - (0)
 San Antonio Spurs|April 29, 2019|7,094,554 - (-186)|0 - (0)|0 - (0)
 San Antonio Spurs|April 26, 2019|7,094,740 - (+27)|0 - (0)|0 - (0)
 San Antonio Spurs|April 23, 2019|7,094,713 - (-817)|0 - (0)|0 - (0)
 San Antonio Spurs|April 20, 2019|7,095,530 - (-421)|0 - (0)|0 - (0)
 San Antonio Spurs|April 17, 2019|7,095,951 - (-163)|0 - (0)|0 - (0)
 San Antonio Spurs|April 14, 2019|7,096,114 - (-4,457)|0 - (0)|0 - (0)
 San Antonio Spurs|April 11, 2019|7,100,571 - (-686)|0 - (-96,461)|0 - (0)
 San Antonio Spurs|April 8, 2019|7,101,257 - (-1,020)|96,461 - (-183,145)|0 - (0)
 San Antonio Spurs|April 5, 2019|7,102,277 - (-522)|279,606 - (-47,838)|0 - (0)
 San Antonio Spurs|April 2, 2019|7,102,799 - (+242)|327,444 - (+61,574)|0 - (0)
 San Antonio Spurs|March 30, 2019|7,102,557 - (+1,825)|265,870 - (+143,214)|0 - (0)
 San Antonio Spurs|March 27, 2019|7,100,732 - (-671)|122,656 - (-3,512)|0 - (0)
 San Antonio Spurs|March 24, 2019|7,101,403 - (-479)|126,168 - (+18,642)|0 - (0)
 San Antonio Spurs|March 21, 2019|7,101,882 - (-485)|107,526 - (+26,476)|0 - (0)
 San Antonio Spurs|March 18, 2019|7,102,367 - (-1,232)|81,050 - (+16,553)|0 - (0)
 San Antonio Spurs|March 15, 2019|7,103,599 - (-464)|64,497 - (+12,979)|0 - (0)
 San Antonio Spurs|March 12, 2019|7,104,063 - (-829)|51,518 - (+4,135)|0 - (0)
 San Antonio Spurs|March 9, 2019|7,104,892 - (-1,353)|47,383 - (-2,826)|0 - (0)
 San Antonio Spurs|March 6, 2019|7,106,245 - (-1,012)|50,209 - (+11,781)|0 - (0)
 San Antonio Spurs|March 3, 2019|7,107,257 - (-1,207)|38,428 - (+14,320)|0 - (0)
 San Antonio Spurs|February 28, 2019|7,108,464 - (-1,268)|24,108 - (-4,965)|0 - (0)
 San Antonio Spurs|February 25, 2019|7,109,732 - (-1,011)|29,073 - (-13,634)|0 - (0)
 San Antonio Spurs|February 22, 2019|7,110,743 - (-1,262)|42,707 - (-2,355)|0 - (0)
 San Antonio Spurs|February 19, 2019|7,112,005 - (-1,365)|45,062 - (+15,943)|0 - (0)
 San Antonio Spurs|February 16, 2019|7,113,370 - (-1,140)|29,119 - (-887)|0 - (0)
 San Antonio Spurs|February 13, 2019|7,114,510 - (-856)|30,006 - (-23,026)|0 - (0)
 San Antonio Spurs|February 10, 2019|7,115,366 - (-997)|53,032 - (-13,989)|0 - (0)
 San Antonio Spurs|February 7, 2019|7,116,363 - (-877)|67,021 - (-13,391)|0 - (0)
 San Antonio Spurs|February 4, 2019|7,117,240 - (-1,089)|80,412 - (+12,027)|0 - (0)
 San Antonio Spurs|February 1, 2019|7,118,329 - (-594)|68,385 - (+19,394)|0 - (0)
 San Antonio Spurs|January 29, 2019|7,118,923 - (-1,043)|48,991 - (+18,343)|0 - (0)
 San Antonio Spurs|January 26, 2019|7,119,966 - (-752)|30,648 - (-9,821)|0 - (0)
 San Antonio Spurs|January 23, 2019|7,120,718 - (-601)|40,469 - (-45,199)|0 - (0)
 San Antonio Spurs|January 20, 2019|7,121,319 - (-707)|85,668 - (-13,564)|0 - (0)
 San Antonio Spurs|January 17, 2019|7,122,026 - (-194)|99,232 - (+36,857)|0 - (0)
 San Antonio Spurs|January 14, 2019|7,122,220 - (-592)|62,375 - (+5,836)|0 - (0)
 San Antonio Spurs|January 11, 2019|7,122,812 - (-638)|56,539 - (-26,917)|0 - (0)
 San Antonio Spurs|January 8, 2019|7,123,450 - (-720)|83,456 - (+324)|0 - (0)
 San Antonio Spurs|January 5, 2019|7,124,170 - (-564)|83,132 - (+31,973)|0 - (0)
 San Antonio Spurs|January 2, 2019|7,124,734 - (-1,019)|51,159 - (+12,761)|0 - (0)
 San Antonio Spurs|December 30, 2018|7,125,753 - (-1,130)|38,398 - (-5,591)|0 - (0)
 San Antonio Spurs|December 27, 2018|7,126,883 - (-1,323)|43,989 - (-21,403)|0 - (0)
 San Antonio Spurs|December 24, 2018|7,128,206 - (-839)|65,392 - (-7,611)|0 - (0)
 San Antonio Spurs|December 21, 2018|7,129,045 - (-957)|73,003 - (+3,725)|0 - (0)
 San Antonio Spurs|December 18, 2018|7,130,002 - (-792)|69,278 - (+5,102)|0 - (0)
 San Antonio Spurs|December 15, 2018|7,130,794 - (-1,047)|64,176 - (+11,820)|0 - (0)
 San Antonio Spurs|December 12, 2018|7,131,841 - (-1,046)|52,356 - (+1,781)|0 - (0)
 San Antonio Spurs|December 9, 2018|7,132,887 - (-1,011)|50,575 - (+17,313)|0 - (0)
 San Antonio Spurs|December 6, 2018|7,133,898 - (-821)|33,262 - (-3,953)|0 - (0)
 San Antonio Spurs|December 3, 2018|7,134,719 - (-865)|37,215 - (-5,818)|0 - (0)
 San Antonio Spurs|November 30, 2018|7,135,584 - (-1,045)|43,033 - (-5,835)|0 - (0)
 San Antonio Spurs|November 27, 2018|7,136,629 - (-1,219)|48,868 - (-15,003)|0 - (0)
 San Antonio Spurs|November 24, 2018|7,137,848 - (-1,195)|63,871 - (-7,911)|0 - (0)
 San Antonio Spurs|November 21, 2018|7,139,043 - (-560)|71,782 - (+6,439)|0 - (0)
 San Antonio Spurs|November 18, 2018|7,139,603 - (-761)|65,343 - (+12,176)|0 - (0)
 San Antonio Spurs|November 15, 2018|7,140,364 - (-987)|53,167 - (+10,484)|0 - (0)
 San Antonio Spurs|November 12, 2018|7,141,351 - (-970)|42,683 - (-15,369)|0 - (0)
