team|date|likes|talking_about|check_ins
 Toronto Raptors|March 3, 2020|2,669,302 - (-143)|21,148 - (-22,166)|0 - (0)
 Toronto Raptors|February 29, 2020|2,669,445 - (-249)|43,314 - (-5,532)|0 - (0)
 Toronto Raptors|February 26, 2020|2,669,694 - (-2,386)|48,846 - (+6,456)|0 - (0)
 Toronto Raptors|February 23, 2020|2,672,080 - (-27)|42,390 - (-20,039)|0 - (0)
 Toronto Raptors|February 20, 2020|2,672,107 - (-177)|62,429 - (-11,210)|0 - (0)
 Toronto Raptors|February 17, 2020|2,672,284 - (-4)|73,639 - (+19,744)|0 - (0)
 Toronto Raptors|February 14, 2020|2,672,288 - (+91)|53,895 - (-10,373)|0 - (0)
 Toronto Raptors|February 11, 2020|2,672,197 - (+193)|64,268 - (+2,685)|0 - (0)
 Toronto Raptors|February 8, 2020|2,672,004 - (+364)|61,583 - (+13,465)|0 - (0)
 Toronto Raptors|February 5, 2020|2,671,640 - (-4,298)|48,118 - (+24,570)|0 - (0)
 Toronto Raptors|September 2, 2019|2,675,938 - (-209)|23,548 - (+14,921)|0 - (0)
 Toronto Raptors|August 30, 2019|2,676,147 - (-227)|8,627 - (+2,497)|0 - (0)
 Toronto Raptors|August 27, 2019|2,676,374 - (-288)|6,130 - (-7,441)|0 - (0)
 Toronto Raptors|August 24, 2019|2,676,662 - (-331)|13,571 - (-1,538)|0 - (0)
 Toronto Raptors|August 21, 2019|2,676,993 - (-285)|15,109 - (+1,272)|0 - (0)
 Toronto Raptors|August 18, 2019|2,677,278 - (-199)|13,837 - (+1,278)|0 - (0)
 Toronto Raptors|August 15, 2019|2,677,477 - (-184)|12,559 - (+6,917)|0 - (0)
 Toronto Raptors|August 12, 2019|2,677,661 - (-438)|5,642 - (-2,807)|0 - (0)
 Toronto Raptors|August 9, 2019|2,678,099 - (-193)|8,449 - (-1,518)|0 - (0)
 Toronto Raptors|August 6, 2019|2,678,292 - (-205)|9,967 - (-3,701)|0 - (0)
 Toronto Raptors|August 3, 2019|2,678,497 - (-217)|13,668 - (-6,218)|0 - (0)
 Toronto Raptors|July 31, 2019|2,678,714 - (-121)|19,886 - (-2,472)|0 - (0)
 Toronto Raptors|July 28, 2019|2,678,835 - (-289)|22,358 - (-6,876)|0 - (0)
 Toronto Raptors|July 25, 2019|2,679,124 - (-309)|29,234 - (+1,002)|0 - (0)
 Toronto Raptors|July 22, 2019|2,679,433 - (-202)|28,232 - (-2,750)|0 - (0)
 Toronto Raptors|July 19, 2019|2,679,635 - (-142)|30,982 - (-1,192)|0 - (0)
 Toronto Raptors|July 16, 2019|2,679,777 - (-8)|32,174 - (-109,292)|0 - (0)
 Toronto Raptors|July 13, 2019|2,679,785 - (-19)|141,466 - (-1,739)|0 - (0)
 Toronto Raptors|July 10, 2019|2,679,804 - (+358)|143,205 - (+11,707)|0 - (0)
 Toronto Raptors|July 7, 2019|2,679,446 - (+999)|131,498 - (+70,952)|0 - (0)
 Toronto Raptors|July 4, 2019|2,678,447 - (+859)|60,546 - (-64,210)|0 - (0)
 Toronto Raptors|July 1, 2019|2,677,588 - (+990)|124,756 - (-11,485)|0 - (0)
 Toronto Raptors|June 28, 2019|2,676,598 - (+1,354)|136,241 - (+3,533)|0 - (0)
 Toronto Raptors|June 25, 2019|2,675,244 - (+1,554)|132,708 - (-129,903)|0 - (0)
 Toronto Raptors|June 22, 2019|2,673,690 - (+3,681)|262,611 - (-622,489)|0 - (0)
 Toronto Raptors|June 19, 2019|2,670,009 - (+13,622)|885,100 - (-4,387)|0 - (0)
 Toronto Raptors|June 16, 2019|2,656,387 - (+88,788)|889,487 - (+342,391)|0 - (0)
 Toronto Raptors|June 13, 2019|2,567,599 - (+35,464)|547,096 - (+62,971)|0 - (0)
 Toronto Raptors|June 10, 2019|2,532,135 - (+42,141)|484,125 - (+74,349)|0 - (0)
 Toronto Raptors|June 7, 2019|2,489,994 - (+26,271)|409,776 - (-23,450)|0 - (0)
 Toronto Raptors|June 4, 2019|2,463,723 - (+18,000)|433,226 - (+401)|0 - (0)
 Toronto Raptors|June 1, 2019|2,445,723 - (+31,517)|432,825 - (-15,087)|0 - (0)
 Toronto Raptors|May 29, 2019|2,414,206 - (+12,340)|447,912 - (+102,774)|0 - (0)
 Toronto Raptors|May 26, 2019|2,401,866 - (+32,265)|345,138 - (+221,160)|0 - (0)
 Toronto Raptors|May 23, 2019|2,369,601 - (+6,480)|123,978 - (-4,713)|0 - (0)
 Toronto Raptors|May 20, 2019|2,363,121 - (+4,481)|128,691 - (-203,411)|0 - (0)
 Toronto Raptors|May 17, 2019|2,358,640 - (+4,541)|332,102 - (+30,701)|0 - (0)
 Toronto Raptors|May 14, 2019|2,354,099 - (+15,368)|301,401 - (+231,962)|0 - (0)
 Toronto Raptors|May 11, 2019|2,338,731 - (+2,465)|69,439 - (+11,844)|0 - (0)
 Toronto Raptors|May 8, 2019|2,336,266 - (+3,326)|57,595 - (+29,832)|0 - (0)
 Toronto Raptors|May 5, 2019|2,332,940 - (+1,186)|27,763 - (+27,763)|0 - (0)
 Toronto Raptors|May 2, 2019|2,331,754 - (+1,371)|0 - (0)|0 - (0)
 Toronto Raptors|April 29, 2019|2,330,383 - (+2,223)|0 - (0)|0 - (0)
 Toronto Raptors|April 26, 2019|2,328,160 - (+1,207)|0 - (0)|0 - (0)
 Toronto Raptors|April 23, 2019|2,326,953 - (+803)|0 - (0)|0 - (0)
 Toronto Raptors|April 20, 2019|2,326,150 - (+881)|0 - (0)|0 - (0)
 Toronto Raptors|April 17, 2019|2,325,269 - (+1,192)|0 - (0)|0 - (0)
 Toronto Raptors|April 14, 2019|2,324,077 - (+131)|0 - (0)|0 - (0)
 Toronto Raptors|April 11, 2019|2,323,946 - (+406)|0 - (-28,565)|0 - (0)
 Toronto Raptors|April 8, 2019|2,323,540 - (+262)|28,565 - (+4,405)|0 - (0)
 Toronto Raptors|April 5, 2019|2,323,278 - (+649)|24,160 - (+4,208)|0 - (0)
 Toronto Raptors|April 2, 2019|2,322,629 - (+571)|19,952 - (-3,392)|0 - (0)
 Toronto Raptors|March 30, 2019|2,322,058 - (+512)|23,344 - (-2,260)|0 - (0)
 Toronto Raptors|March 27, 2019|2,321,546 - (+656)|25,604 - (+3,214)|0 - (0)
 Toronto Raptors|March 24, 2019|2,320,890 - (+533)|22,390 - (-822)|0 - (0)
 Toronto Raptors|March 21, 2019|2,320,357 - (+506)|23,212 - (+1,430)|0 - (0)
 Toronto Raptors|March 18, 2019|2,319,851 - (-5)|21,782 - (+886)|0 - (0)
 Toronto Raptors|March 15, 2019|2,319,856 - (+293)|20,896 - (+1,798)|0 - (0)
 Toronto Raptors|March 12, 2019|2,319,563 - (+161)|19,098 - (-7,966)|0 - (0)
 Toronto Raptors|March 9, 2019|2,319,402 - (-206)|27,064 - (-4,180)|0 - (0)
 Toronto Raptors|March 6, 2019|2,319,608 - (+1,053)|31,244 - (+1,304)|0 - (0)
 Toronto Raptors|March 3, 2019|2,318,555 - (+306)|29,940 - (-5,482)|0 - (0)
 Toronto Raptors|February 28, 2019|2,318,249 - (+408)|35,422 - (+2,083)|0 - (0)
 Toronto Raptors|February 25, 2019|2,317,841 - (+671)|33,339 - (+5,624)|0 - (0)
 Toronto Raptors|February 22, 2019|2,317,170 - (+33)|27,715 - (-23,621)|0 - (0)
 Toronto Raptors|February 19, 2019|2,317,137 - (+423)|51,336 - (-6,211)|0 - (0)
 Toronto Raptors|February 16, 2019|2,316,714 - (+1,527)|57,547 - (+9,151)|0 - (0)
 Toronto Raptors|February 13, 2019|2,315,187 - (+837)|48,396 - (+13,161)|0 - (0)
 Toronto Raptors|February 10, 2019|2,314,350 - (-828)|35,235 - (+20,282)|0 - (0)
 Toronto Raptors|February 7, 2019|2,315,178 - (+176)|14,953 - (+1,727)|0 - (0)
 Toronto Raptors|February 4, 2019|2,315,002 - (+341)|13,226 - (-2,934)|0 - (0)
 Toronto Raptors|January 29, 2019|2,314,661 - (+90)|16,160 - (-8,120)|0 - (0)
 Toronto Raptors|January 26, 2019|2,314,571 - (+358)|24,280 - (-4,762)|0 - (0)
 Toronto Raptors|January 23, 2019|2,314,213 - (+335)|29,042 - (+2,594)|0 - (0)
 Toronto Raptors|January 20, 2019|2,313,878 - (+348)|26,448 - (-3,231)|0 - (0)
 Toronto Raptors|January 17, 2019|2,313,530 - (+644)|29,679 - (-4,549)|0 - (0)
 Toronto Raptors|January 14, 2019|2,312,886 - (+420)|34,228 - (+1,251)|0 - (0)
 Toronto Raptors|January 11, 2019|2,312,466 - (+550)|32,977 - (-4,233)|0 - (0)
 Toronto Raptors|January 8, 2019|2,311,916 - (+934)|37,210 - (+2,654)|0 - (0)
 Toronto Raptors|January 5, 2019|2,310,982 - (+846)|34,556 - (+4,589)|0 - (0)
 Toronto Raptors|January 2, 2019|2,310,136 - (+584)|29,967 - (+4,720)|0 - (0)
 Toronto Raptors|December 30, 2018|2,309,552 - (+273)|25,247 - (+1,516)|0 - (0)
 Toronto Raptors|December 27, 2018|2,309,279 - (+260)|23,731 - (+1,167)|0 - (0)
 Toronto Raptors|December 24, 2018|2,309,019 - (+467)|22,564 - (+2,619)|0 - (0)
 Toronto Raptors|December 21, 2018|2,308,552 - (+380)|19,945 - (-8,229)|0 - (0)
 Toronto Raptors|December 18, 2018|2,308,172 - (+431)|28,174 - (+986)|0 - (0)
 Toronto Raptors|December 15, 2018|2,307,741 - (+1,422)|27,188 - (+3,579)|0 - (0)
 Toronto Raptors|December 12, 2018|2,306,319 - (+718)|23,609 - (-2,087)|0 - (0)
 Toronto Raptors|December 9, 2018|2,305,601 - (+577)|25,696 - (+1,792)|0 - (0)
 Toronto Raptors|December 6, 2018|2,305,024 - (+972)|23,904 - (-5,378)|0 - (0)
 Toronto Raptors|December 3, 2018|2,304,052 - (+872)|29,282 - (-4,951)|0 - (0)
 Toronto Raptors|November 30, 2018|2,303,180 - (+2,019)|34,233 - (-4,739)|0 - (0)
 Toronto Raptors|November 27, 2018|2,301,161 - (+422)|38,972 - (+6,467)|0 - (0)
 Toronto Raptors|November 24, 2018|2,300,739 - (+381)|32,505 - (+11,074)|0 - (0)
 Toronto Raptors|November 21, 2018|2,300,358 - (+591)|21,431 - (-3,107)|0 - (0)
 Toronto Raptors|November 18, 2018|2,299,767 - (+793)|24,538 - (-8,543)|0 - (0)
 Toronto Raptors|November 15, 2018|2,298,974 - (+751)|33,081 - (-7,469)|0 - (0)
 Toronto Raptors|November 12, 2018|2,298,223 - (+666)|40,550 - (-351)|0 - (0)
 Toronto Raptors|November 9, 2018|2,297,557 - (+869)|40,901 - (+5,361)|0 - (0)
 Toronto Raptors|November 6, 2018|2,296,688 - (+1,656)|35,540 - (+10,915)|0 - (0)
 Toronto Raptors|November 3, 2018|2,295,032 - (+758)|24,625 - (-13,199)|0 - (0)
 Toronto Raptors|October 31, 2018|2,294,274 - (+1,390)|37,824 - (-7,781)|0 - (0)
 Toronto Raptors|October 28, 2018|2,292,884 - (+1,669)|45,605 - (-6,654)|0 - (0)
