team|date|likes|talking_about|check_ins
 Utah Jazz|March 4, 2020|1,826,411 - (-207)|22,511 - (-355)|41,391 - (+6)
 Utah Jazz|March 1, 2020|1,826,618 - (-206)|22,866 - (-7,814)|41,385 - (+128)
 Utah Jazz|February 27, 2020|1,826,824 - (-923)|30,680 - (+3,594)|41,257 - (+214)
 Utah Jazz|February 24, 2020|1,827,747 - (-369)|27,086 - (-34,800)|41,043 - (+271)
 Utah Jazz|February 21, 2020|1,828,116 - (-208)|61,886 - (-25,548)|40,772 - (+2)
 Utah Jazz|February 18, 2020|1,828,324 - (-5)|87,434 - (-48,033)|40,770 - (-1)
 Utah Jazz|February 15, 2020|1,828,329 - (+676)|135,467 - (+33,124)|40,771 - (+174)
 Utah Jazz|February 12, 2020|1,827,653 - (+1,822)|102,343 - (+66,760)|40,597 - (-1)
 Utah Jazz|February 9, 2020|1,825,831 - (+12)|35,583 - (-13,505)|40,598 - (+147)
 Utah Jazz|February 6, 2020|1,825,819 - (+29)|49,088 - (-27,640)|40,451 - (+114)
 Utah Jazz|February 3, 2020|1,825,790 - (+14,611)|76,728 - (+51,746)|40,337 - (+40,337)
 Utah Jazz|September 3, 2019|1,811,179 - (-358)|24,982 - (-960)|0 - (0)
 Utah Jazz|August 31, 2019|1,811,537 - (-37)|25,942 - (+13,951)|0 - (0)
 Utah Jazz|August 28, 2019|1,811,574 - (-263)|11,991 - (-1,870)|0 - (0)
 Utah Jazz|August 25, 2019|1,811,837 - (-306)|13,861 - (-1,433)|0 - (0)
 Utah Jazz|August 22, 2019|1,812,143 - (-316)|15,294 - (+795)|0 - (0)
 Utah Jazz|August 19, 2019|1,812,459 - (-227)|14,499 - (+4,369)|0 - (0)
 Utah Jazz|August 16, 2019|1,812,686 - (-91)|10,130 - (+2,229)|0 - (0)
 Utah Jazz|August 13, 2019|1,812,777 - (+32)|7,901 - (+253)|0 - (0)
 Utah Jazz|August 10, 2019|1,812,745 - (-305)|7,648 - (+985)|0 - (0)
 Utah Jazz|August 7, 2019|1,813,050 - (-178)|6,663 - (-46)|0 - (0)
 Utah Jazz|August 4, 2019|1,813,228 - (-187)|6,709 - (-735)|0 - (0)
