team|date|likes|talking_about|check_ins
 Washington Wizards|March 3, 2020|4,541,809 - (+47,904)|286,671 - (+29,864)|0 - (0)
 Washington Wizards|February 29, 2020|4,493,905 - (+41,733)|256,807 - (+29,687)|0 - (0)
 Washington Wizards|February 26, 2020|4,452,172 - (+32,052)|227,120 - (+48,670)|0 - (0)
 Washington Wizards|February 23, 2020|4,420,120 - (+39,654)|178,450 - (-29,800)|0 - (0)
 Washington Wizards|February 20, 2020|4,380,466 - (+15,469)|208,250 - (-60,642)|0 - (0)
 Washington Wizards|February 17, 2020|4,364,997 - (+38,565)|268,892 - (-27,048)|0 - (0)
 Washington Wizards|February 14, 2020|4,326,432 - (+42,749)|295,940 - (-12,440)|0 - (0)
 Washington Wizards|February 11, 2020|4,283,683 - (+44,822)|308,380 - (-1,692)|0 - (0)
 Washington Wizards|February 8, 2020|4,238,861 - (+46,142)|310,072 - (-39,069)|0 - (0)
 Washington Wizards|February 5, 2020|4,192,719 - (+2,639,740)|349,141 - (+320,327)|0 - (0)
 Washington Wizards|September 2, 2019|1,552,981 - (-219)|28,814 - (-34,989)|0 - (0)
 Washington Wizards|August 30, 2019|1,553,200 - (+7,641)|63,803 - (+13,949)|0 - (0)
 Washington Wizards|August 27, 2019|1,545,559 - (+13,865)|49,854 - (+25,121)|0 - (0)
 Washington Wizards|August 24, 2019|1,531,694 - (+4,994)|24,733 - (+2,789)|0 - (0)
 Washington Wizards|August 21, 2019|1,526,700 - (+752)|21,944 - (-5,433)|0 - (0)
 Washington Wizards|August 18, 2019|1,525,948 - (+258)|27,377 - (+4,686)|0 - (0)
 Washington Wizards|August 15, 2019|1,525,690 - (+187)|22,691 - (+7,135)|0 - (0)
 Washington Wizards|August 12, 2019|1,525,503 - (+200)|15,556 - (-1,315)|0 - (0)
 Washington Wizards|August 9, 2019|1,525,303 - (+220)|16,871 - (-5,385)|0 - (0)
 Washington Wizards|August 6, 2019|1,525,083 - (+461)|22,256 - (-7,589)|0 - (0)
 Washington Wizards|August 3, 2019|1,524,622 - (+540)|29,845 - (+6,969)|0 - (0)
 Washington Wizards|July 31, 2019|1,524,082 - (+600)|22,876 - (+5,113)|0 - (0)
 Washington Wizards|July 28, 2019|1,523,482 - (+453)|17,763 - (+1,474)|0 - (0)
 Washington Wizards|July 25, 2019|1,523,029 - (+575)|16,289 - (-7,263)|0 - (0)
 Washington Wizards|July 22, 2019|1,522,454 - (+982)|23,552 - (-10,452)|0 - (0)
 Washington Wizards|July 19, 2019|1,521,472 - (+787)|34,004 - (-2,033)|0 - (0)
 Washington Wizards|July 16, 2019|1,520,685 - (+259)|36,037 - (+15,114)|0 - (0)
 Washington Wizards|July 13, 2019|1,520,426 - (+48)|20,923 - (+8,976)|0 - (0)
 Washington Wizards|July 10, 2019|1,520,378 - (-43)|11,947 - (+1,799)|0 - (0)
 Washington Wizards|July 7, 2019|1,520,421 - (-12)|10,148 - (-2,160)|0 - (0)
 Washington Wizards|July 4, 2019|1,520,433 - (+48)|12,308 - (-10,469)|0 - (0)
 Washington Wizards|July 1, 2019|1,520,385 - (+64)|22,777 - (-6,292)|0 - (0)
 Washington Wizards|June 28, 2019|1,520,321 - (+197)|29,069 - (+4,065)|0 - (0)
 Washington Wizards|June 25, 2019|1,520,124 - (+199)|25,004 - (+7,356)|0 - (0)
 Washington Wizards|June 22, 2019|1,519,925 - (+850)|17,648 - (+12,401)|0 - (0)
 Washington Wizards|June 19, 2019|1,519,075 - (-370)|5,247 - (+73)|0 - (0)
 Washington Wizards|June 16, 2019|1,519,445 - (-1,054)|5,174 - (-271)|0 - (0)
 Washington Wizards|June 13, 2019|1,520,499 - (-300)|5,445 - (+857)|0 - (0)
 Washington Wizards|June 10, 2019|1,520,799 - (-244)|4,588 - (+761)|0 - (0)
 Washington Wizards|June 7, 2019|1,521,043 - (-213)|3,827 - (-183)|0 - (0)
 Washington Wizards|June 4, 2019|1,521,256 - (-246)|4,010 - (-265)|0 - (0)
 Washington Wizards|June 1, 2019|1,521,502 - (-172)|4,275 - (+633)|0 - (0)
 Washington Wizards|May 29, 2019|1,521,674 - (-241)|3,642 - (+1,320)|0 - (0)
 Washington Wizards|May 26, 2019|1,521,915 - (-73)|2,322 - (+329)|0 - (0)
 Washington Wizards|May 23, 2019|1,521,988 - (-136)|1,993 - (-1,276)|0 - (0)
 Washington Wizards|May 20, 2019|1,522,124 - (-102)|3,269 - (-2,250)|0 - (0)
 Washington Wizards|May 17, 2019|1,522,226 - (-134)|5,519 - (-894)|0 - (0)
 Washington Wizards|May 14, 2019|1,522,360 - (-89)|6,413 - (+1,962)|0 - (0)
 Washington Wizards|May 11, 2019|1,522,449 - (-147)|4,451 - (+1,916)|0 - (0)
 Washington Wizards|May 8, 2019|1,522,596 - (-228)|2,535 - (-308)|0 - (0)
 Washington Wizards|May 5, 2019|1,522,824 - (-85)|2,843 - (+2,843)|0 - (0)
 Washington Wizards|May 2, 2019|1,522,909 - (-246)|0 - (0)|0 - (0)
 Washington Wizards|April 29, 2019|1,523,155 - (-177)|0 - (0)|0 - (0)
 Washington Wizards|April 26, 2019|1,523,332 - (-82)|0 - (0)|0 - (0)
 Washington Wizards|April 23, 2019|1,523,414 - (-132)|0 - (0)|0 - (0)
 Washington Wizards|April 20, 2019|1,523,546 - (-102)|0 - (0)|0 - (0)
 Washington Wizards|April 17, 2019|1,523,648 - (-29)|0 - (0)|0 - (0)
 Washington Wizards|April 14, 2019|1,523,677 - (-1,124)|0 - (0)|0 - (0)
 Washington Wizards|April 11, 2019|1,524,801 - (-109)|0 - (-12,612)|0 - (0)
 Washington Wizards|April 8, 2019|1,524,910 - (-310)|12,612 - (+23)|0 - (0)
 Washington Wizards|April 5, 2019|1,525,220 - (-146)|12,589 - (+5,897)|0 - (0)
 Washington Wizards|April 2, 2019|1,525,366 - (-7)|6,692 - (+1,052)|0 - (0)
 Washington Wizards|March 30, 2019|1,525,373 - (-115)|5,640 - (+637)|0 - (0)
 Washington Wizards|March 27, 2019|1,525,488 - (-136)|5,003 - (-1,294)|0 - (0)
