account|team|date|followers|following|tweets|lists|favourites
@ATLHawks|Atlanta Hawks|April 5, 2020|1,271,860  (+38)|14,714  (-1)|76,867  (+16)|6,017  (+1)|70,346  (-1)
@ATLHawks|Atlanta Hawks|April 4, 2020|1,271,822  (-36)|14,715  (0)|76,851  (+24)|6,016  (-3)|70,347  (+16)
@ATLHawks|Atlanta Hawks|April 3, 2020|1,271,858  (+65)|14,715  (-2)|76,827  (+8)|6,019  (+1)|70,331  (+3)
@ATLHawks|Atlanta Hawks|April 2, 2020|1,271,793  (+15)|14,717  (-4)|76,819  (+2)|6,018  (-5)|70,328  (+2)
@ATLHawks|Atlanta Hawks|April 1, 2020|1,271,778  (+31)|14,721  (0)|76,817  (+17)|6,023  (0)|70,326  (+6)
@ATLHawks|Atlanta Hawks|March 31, 2020|1,271,747  (+7)|14,721  (-2)|76,800  (+3)|6,023  (+2)|70,320  (+2)
@ATLHawks|Atlanta Hawks|March 30, 2020|1,271,740  (-143)|14,723  (0)|76,797  (+3)|6,021  (0)|70,318  (-2)
@ATLHawks|Atlanta Hawks|March 29, 2020|1,271,883  (+1)|14,723  (0)|76,794  (+14)|6,021  (+1)|70,320  (-2)
@ATLHawks|Atlanta Hawks|March 28, 2020|1,271,882  (-66)|14,723  (-2)|76,780  (0)|6,020  (-1)|70,322  (-26)
@ATLHawks|Atlanta Hawks|March 27, 2020|1,271,948  (-6)|14,725  (0)|76,780  (+10)|6,021  (-2)|70,348  (+5)
@ATLHawks|Atlanta Hawks|March 26, 2020|1,271,954  (+12)|14,725  (-3)|76,770  (+15)|6,023  (-1)|70,343  (+5)
@ATLHawks|Atlanta Hawks|March 25, 2020|1,271,942  (+73)|14,728  (0)|76,755  (+2)|6,024  (0)|70,338  (-2)
@ATLHawks|Atlanta Hawks|March 24, 2020|1,271,869  (+28)|14,728  (+1)|76,753  (0)|6,024  (+6)|70,340  (+4)
@ATLHawks|Atlanta Hawks|March 23, 2020|1,271,841  (-4)|14,727  (-1)|76,753  (+1)|6,018  (+6)|70,336  (-5)
@ATLHawks|Atlanta Hawks|March 22, 2020|1,271,845  (-141)|14,728  (+1)|76,752  (+21)|6,012  (+1)|70,341  (+20)
@ATLHawks|Atlanta Hawks|March 21, 2020|1,271,986  (-12)|14,727  (-2)|76,731  (+2)|6,011  (-1)|70,321  (+2)
@ATLHawks|Atlanta Hawks|March 20, 2020|1,271,998  (-79)|14,729  (-2)|76,729  (0)|6,012  (-2)|70,319  (-3)
@ATLHawks|Atlanta Hawks|March 19, 2020|1,272,077  (-153)|14,731  (+2)|76,729  (0)|6,014  (0)|70,322  (0)
@ATLHawks|Atlanta Hawks|March 18, 2020|1,272,230  (-120)|14,729  (-2)|76,729  (+2)|6,014  (+1)|70,322  (0)
@ATLHawks|Atlanta Hawks|March 17, 2020|1,272,350  (-34)|14,731  (-2)|76,727  (+1)|6,013  (-4)|70,322  (-1)
@ATLHawks|Atlanta Hawks|March 16, 2020|1,272,384  (-50)|14,733  (-4)|76,726  (0)|6,017  (-3)|70,323  (-1)
@ATLHawks|Atlanta Hawks|March 15, 2020|1,272,434  (+66)|14,737  (-1)|76,726  (+2)|6,020  (+1)|70,324  (-2)
@ATLHawks|Atlanta Hawks|March 14, 2020|1,272,368  (+172)|14,738  (-1)|76,724  (0)|6,019  (+3)|70,326  (-9)
@ATLHawks|Atlanta Hawks|March 13, 2020|1,272,196  (+165)|14,739  (+1)|76,724  (+1)|6,016  (0)|70,335  (-8)
@ATLHawks|Atlanta Hawks|March 12, 2020|1,272,031  (+226)|14,738  (-3)|76,723  (+34)|6,016  (+4)|70,343  (-4)
@ATLHawks|Atlanta Hawks|March 11, 2020|1,271,805  (+66)|14,741  (0)|76,689  (+4)|6,012  (+5)|70,347  (+1)
