account|team|date|followers|following|tweets|lists|favourites
@celtics|Boston Celtics|April 6, 2020|3,559,130  (+44)|193  (0)|38,399  (+26)|12,492  (-3)|2,304  (0)
@celtics|Boston Celtics|April 5, 2020|3,559,086  (+75)|193  (0)|38,373  (+5)|12,495  (-1)|2,304  (0)
@celtics|Boston Celtics|April 4, 2020|3,559,011  (+54)|193  (0)|38,368  (+38)|12,496  (-7)|2,304  (-1)
@celtics|Boston Celtics|April 3, 2020|3,558,957  (+125)|193  (0)|38,330  (+16)|12,503  (-6)|2,305  (+5)
@celtics|Boston Celtics|April 2, 2020|3,558,832  (-69)|193  (0)|38,314  (+28)|12,509  (+2)|2,300  (0)
@celtics|Boston Celtics|April 1, 2020|3,558,901  (+134)|193  (0)|38,286  (+8)|12,507  (-4)|2,300  (+6)
@celtics|Boston Celtics|March 31, 2020|3,558,767  (-192)|193  (0)|38,278  (+5)|12,511  (+1)|2,294  (0)
@celtics|Boston Celtics|March 30, 2020|3,558,959  (+138)|193  (0)|38,273  (+24)|12,510  (+4)|2,294  (0)
@celtics|Boston Celtics|March 29, 2020|3,558,821  (+107)|193  (0)|38,249  (+9)|12,506  (-8)|2,294  (0)
@celtics|Boston Celtics|March 28, 2020|3,558,714  (-937)|193  (0)|38,240  (+50)|12,514  (0)|2,294  (+34)
@celtics|Boston Celtics|March 27, 2020|3,559,651  (-658)|193  (0)|38,190  (+4)|12,514  (-1)|2,260  (+2)
@celtics|Boston Celtics|March 26, 2020|3,560,309  (-350)|193  (0)|38,186  (+25)|12,515  (-4)|2,258  (+11)
@celtics|Boston Celtics|March 25, 2020|3,560,659  (+1,295)|193  (0)|38,161  (+9)|12,519  (+4)|2,247  (+4)
@celtics|Boston Celtics|March 24, 2020|3,559,364  (+239)|193  (0)|38,152  (+40)|12,515  (+13)|2,243  (+14)
@celtics|Boston Celtics|March 23, 2020|3,559,125  (+283)|193  (0)|38,112  (+1)|12,502  (+9)|2,229  (0)
@celtics|Boston Celtics|March 22, 2020|3,558,842  (+93)|193  (0)|38,111  (+28)|12,493  (+6)|2,229  (+10)
@celtics|Boston Celtics|March 21, 2020|3,558,749  (+578)|193  (0)|38,083  (+36)|12,487  (-1)|2,219  (+37)
@celtics|Boston Celtics|March 20, 2020|3,558,171  (+13)|193  (0)|38,047  (+3)|12,488  (0)|2,182  (0)
@celtics|Boston Celtics|March 19, 2020|3,558,158  (+203)|193  (0)|38,044  (0)|12,488  (+2)|2,182  (0)
@celtics|Boston Celtics|March 18, 2020|3,557,955  (+151)|193  (0)|38,044  (+2)|12,486  (+2)|2,182  (-1)
@celtics|Boston Celtics|March 17, 2020|3,557,804  (+283)|193  (0)|38,042  (+1)|12,484  (-4)|2,183  (0)
@celtics|Boston Celtics|March 16, 2020|3,557,521  (+459)|193  (0)|38,041  (+2)|12,488  (-5)|2,183  (0)
@celtics|Boston Celtics|March 15, 2020|3,557,062  (+651)|193  (0)|38,039  (0)|12,493  (+1)|2,183  (0)
@celtics|Boston Celtics|March 14, 2020|3,556,411  (+569)|193  (0)|38,039  (+2)|12,492  (-2)|2,183  (+1)
@celtics|Boston Celtics|March 13, 2020|3,555,842  (+949)|193  (0)|38,037  (+2)|12,494  (+2)|2,182  (0)
@celtics|Boston Celtics|March 12, 2020|3,554,893  (+807)|193  (0)|38,035  (+5)|12,492  (+3)|2,182  (-1)
@celtics|Boston Celtics|March 11, 2020|3,554,086  (+611)|193  (0)|38,030  (+24)|12,489  (+1)|2,183  (+1)
@celtics|Boston Celtics|March 10, 2020|3,553,475  (+489)|193  (0)|38,006  (+6)|12,488  (+2)|2,182  (0)
@celtics|Boston Celtics|March 9, 2020|3,552,986  (+494)|193  (0)|38,000  (+33)|12,486  (+3)|2,182  (0)
@celtics|Boston Celtics|March 8, 2020|3,552,492  (+421)|193  (0)|37,967  (+7)|12,483  (-2)|2,182  (0)
