account|team|date|followers|following|tweets|lists|favourites
@BrooklynNets|Brooklyn Nets|April 5, 2020|1,105,148  (+181)|2,582  (0)|84,220  (+3)|6,243  (+1)|11,685  (-1)
@BrooklynNets|Brooklyn Nets|April 4, 2020|1,104,967  (+215)|2,582  (0)|84,217  (+4)|6,242  (-1)|11,686  (0)
@BrooklynNets|Brooklyn Nets|April 3, 2020|1,104,752  (+243)|2,582  (+1)|84,213  (+10)|6,243  (+1)|11,686  (+2)
@BrooklynNets|Brooklyn Nets|April 2, 2020|1,104,509  (+272)|2,581  (0)|84,203  (+5)|6,242  (-4)|11,684  (-2)
@BrooklynNets|Brooklyn Nets|April 1, 2020|1,104,237  (+297)|2,581  (-1)|84,198  (+9)|6,246  (-1)|11,686  (+3)
@BrooklynNets|Brooklyn Nets|March 31, 2020|1,103,940  (+190)|2,582  (0)|84,189  (+3)|6,247  (-3)|11,683  (0)
@BrooklynNets|Brooklyn Nets|March 30, 2020|1,103,750  (+244)|2,582  (0)|84,186  (+4)|6,250  (+1)|11,683  (0)
@BrooklynNets|Brooklyn Nets|March 29, 2020|1,103,506  (+337)|2,582  (0)|84,182  (+2)|6,249  (-3)|11,683  (+3)
@BrooklynNets|Brooklyn Nets|March 28, 2020|1,103,169  (+186)|2,582  (0)|84,180  (+2)|6,252  (-1)|11,680  (-1)
@BrooklynNets|Brooklyn Nets|March 27, 2020|1,102,983  (+169)|2,582  (0)|84,178  (0)|6,253  (-1)|11,681  (0)
@BrooklynNets|Brooklyn Nets|March 26, 2020|1,102,814  (+254)|2,582  (+1)|84,178  (+3)|6,254  (-1)|11,681  (-4)
@BrooklynNets|Brooklyn Nets|March 25, 2020|1,102,560  (+199)|2,581  (-2)|84,175  (+5)|6,255  (+6,255)|11,685  (+3)
@BrooklynNets|Brooklyn Nets|March 24, 2020|1,102,361  (+235)|2,583  (+1)|84,170  (0)|0  (-6,250)|11,682  (0)
@BrooklynNets|Brooklyn Nets|March 23, 2020|1,102,126  (+208)|2,582  (0)|84,170  (0)|6,250  (+5)|11,682  (0)
