account|team|date|followers|following|tweets|lists|favourites
@Hornets|Charlotte Hornets|April 5, 2020|979,776  (0)|1,793  (-1)|53,918  (+7)|5,411  (-2)|6,390  (-1)
@Hornets|Charlotte Hornets|April 4, 2020|979,776  (+19)|1,794  (0)|53,911  (+27)|5,413  (-2)|6,391  (+9)
@Hornets|Charlotte Hornets|April 3, 2020|979,757  (+73)|1,794  (0)|53,884  (+8)|5,415  (-1)|6,382  (+1)
@Hornets|Charlotte Hornets|April 2, 2020|979,684  (-18)|1,794  (+1)|53,876  (+31)|5,416  (+1)|6,381  (+3)
@Hornets|Charlotte Hornets|April 1, 2020|979,702  (+27)|1,793  (0)|53,845  (+16)|5,415  (0)|6,378  (+5)
@Hornets|Charlotte Hornets|March 31, 2020|979,675  (-103)|1,793  (+1)|53,829  (+18)|5,415  (-3)|6,373  (+3)
@Hornets|Charlotte Hornets|March 30, 2020|979,778  (-49)|1,792  (-2)|53,811  (+6)|5,418  (+2)|6,370  (0)
@Hornets|Charlotte Hornets|March 29, 2020|979,827  (+23)|1,794  (+5)|53,805  (+12)|5,416  (-3)|6,370  (+3)
@Hornets|Charlotte Hornets|March 28, 2020|979,804  (+352)|1,789  (+30)|53,793  (+28)|5,419  (+2)|6,367  (+27)
@Hornets|Charlotte Hornets|March 27, 2020|979,452  (-56)|1,759  (-1)|53,765  (+17)|5,417  (-1)|6,340  (+3)
@Hornets|Charlotte Hornets|March 26, 2020|979,508  (+31)|1,760  (+3)|53,748  (+14)|5,418  (-1)|6,337  (+4)
@Hornets|Charlotte Hornets|March 25, 2020|979,477  (0)|1,757  (0)|53,734  (+42)|5,419  (+3)|6,333  (+8)
@Hornets|Charlotte Hornets|March 24, 2020|979,477  (+63)|1,757  (+1)|53,692  (+4)|5,416  (+6)|6,325  (0)
@Hornets|Charlotte Hornets|March 23, 2020|979,414  (+31)|1,756  (+1)|53,688  (+1)|5,410  (+4)|6,325  (0)
@Hornets|Charlotte Hornets|March 22, 2020|979,383  (-51)|1,755  (-3)|53,687  (+14)|5,406  (+1)|6,325  (+1)
@Hornets|Charlotte Hornets|March 21, 2020|979,434  (+57)|1,758  (0)|53,673  (+10)|5,405  (+1)|6,324  (+4)
@Hornets|Charlotte Hornets|March 20, 2020|979,377  (-36)|1,758  (+1)|53,663  (+2)|5,404  (0)|6,320  (0)
@Hornets|Charlotte Hornets|March 19, 2020|979,413  (-58)|1,757  (-1)|53,661  (+2)|5,404  (0)|6,320  (0)
@Hornets|Charlotte Hornets|March 18, 2020|979,471  (-82)|1,758  (0)|53,659  (+1)|5,404  (-1)|6,320  (-1)
@Hornets|Charlotte Hornets|March 17, 2020|979,553  (+16)|1,758  (0)|53,658  (-5)|5,405  (0)|6,321  (0)
@Hornets|Charlotte Hornets|March 16, 2020|979,537  (+91)|1,758  (-1)|53,663  (+2)|5,405  (-2)|6,321  (0)
@Hornets|Charlotte Hornets|March 15, 2020|979,446  (+162)|1,759  (0)|53,661  (0)|5,407  (+3)|6,321  (0)
@Hornets|Charlotte Hornets|March 14, 2020|979,284  (+180)|1,759  (0)|53,661  (+2)|5,404  (0)|6,321  (0)
@Hornets|Charlotte Hornets|March 13, 2020|979,104  (+250)|1,759  (+1)|53,659  (0)|5,404  (+1)|6,321  (0)
@Hornets|Charlotte Hornets|March 12, 2020|978,854  (+149)|1,758  (-2)|53,659  (+31)|5,403  (0)|6,321  (0)
@Hornets|Charlotte Hornets|March 11, 2020|978,705  (+96)|1,760  (+1)|53,628  (+2)|5,403  (+3)|6,321  (+1)
@Hornets|Charlotte Hornets|March 10, 2020|978,609  (+126)|1,759  (0)|53,626  (+51)|5,400  (-2)|6,320  (+10)
@Hornets|Charlotte Hornets|March 9, 2020|978,483  (+81)|1,759  (0)|53,575  (+4)|5,402  (+2)|6,310  (+2)
@Hornets|Charlotte Hornets|March 8, 2020|978,402  (+102)|1,759  (-1)|53,571  (+40)|5,400  (-1)|6,308  (+9)
@Hornets|Charlotte Hornets|March 7, 2020|978,300  (+130)|1,760  (0)|53,531  (+6)|5,401  (+1)|6,299  (+2)
@Hornets|Charlotte Hornets|March 6, 2020|978,170  (+113)|1,760  (0)|53,525  (+42)|5,400  (0)|6,297  (+13)
@Hornets|Charlotte Hornets|March 5, 2020|978,057  (+118)|1,760  (+6)|53,483  (+7)|5,400  (+1)|6,284  (+1)
@Hornets|Charlotte Hornets|March 4, 2020|977,939  (+128)|1,754  (0)|53,476  (+43)|5,399  (+1)|6,283  (+13)
@Hornets|Charlotte Hornets|March 3, 2020|977,811  (+158)|1,754  (-1)|53,433  (+4)|5,398  (+3)|6,270  (+3)
@Hornets|Charlotte Hornets|March 2, 2020|977,653  (+186)|1,755  (0)|53,429  (+45)|5,395  (+1)|6,267  (+5)
@Hornets|Charlotte Hornets|March 1, 2020|977,467  (+245)|1,755  (+2)|53,384  (+9)|5,394  (0)|6,262  (-1)
@Hornets|Charlotte Hornets|February 29, 2020|977,222  (+191)|1,753  (0)|53,375  (+40)|5,394  (+2)|6,263  (+5)
@Hornets|Charlotte Hornets|February 28, 2020|977,031  (+227)|1,753  (0)|53,335  (+5)|5,392  (-1)|6,258  (+3)
@Hornets|Charlotte Hornets|February 27, 2020|976,804  (+95)|1,753  (-2)|53,330  (+42)|5,393  (-2)|6,255  (+7)
@Hornets|Charlotte Hornets|February 26, 2020|976,709  (+222)|1,755  (+2)|53,288  (+25)|5,395  (0)|6,248  (+5)
@Hornets|Charlotte Hornets|February 25, 2020|976,487  (+229)|1,753  (-1)|53,263  (+9)|5,395  (+2)|6,243  (0)
@Hornets|Charlotte Hornets|February 24, 2020|976,258  (+325)|1,754  (-1)|53,254  (+6)|5,393  (-1)|6,243  (+2)
@Hornets|Charlotte Hornets|February 23, 2020|975,933  (+230)|1,755  (-1)|53,248  (+34)|5,394  (+1)|6,241  (+8)
@Hornets|Charlotte Hornets|February 22, 2020|975,703  (+207)|1,756  (+1)|53,214  (+12)|5,393  (0)|6,233  (+16)
@Hornets|Charlotte Hornets|February 21, 2020|975,496  (+214)|1,755  (+3)|53,202  (+36)|5,393  (-1)|6,217  (+17)
@Hornets|Charlotte Hornets|February 20, 2020|975,282  (+159)|1,752  (+1)|53,166  (+22)|5,394  (+7)|6,200  (+5)
@Hornets|Charlotte Hornets|February 19, 2020|975,123  (+216)|1,751  (-1)|53,144  (+9)|5,387  (+3)|6,195  (-1)
@Hornets|Charlotte Hornets|February 18, 2020|974,907  (+268)|1,752  (-1)|53,135  (+4)|5,384  (+4)|6,196  (-1)
@Hornets|Charlotte Hornets|February 17, 2020|974,639  (+415)|1,753  (0)|53,131  (+7)|5,380  (+4)|6,197  (0)
@Hornets|Charlotte Hornets|February 16, 2020|974,224  (+265)|1,753  (-1)|53,124  (+19)|5,376  (+1)|6,197  (+18)
@Hornets|Charlotte Hornets|February 15, 2020|973,959  (+217)|1,754  (+2)|53,105  (+39)|5,375  (-3)|6,179  (+20)
@Hornets|Charlotte Hornets|February 14, 2020|973,742  (+191)|1,752  (0)|53,066  (+15)|5,378  (+6)|6,159  (-1)
@Hornets|Charlotte Hornets|February 13, 2020|973,551  (+229)|1,752  (-1)|53,051  (+29)|5,372  (+3)|6,160  (+2)
@Hornets|Charlotte Hornets|February 12, 2020|973,322  (+287)|1,753  (+1)|53,022  (+13)|5,369  (+3)|6,158  (+16)
@Hornets|Charlotte Hornets|February 11, 2020|973,035  (+263)|1,752  (0)|53,009  (+35)|5,366  (0)|6,142  (+12)
@Hornets|Charlotte Hornets|February 10, 2020|972,772  (+225)|1,752  (+2)|52,974  (+8)|5,366  (+2)|6,130  (+1)
@Hornets|Charlotte Hornets|February 9, 2020|972,547  (+277)|1,750  (-1)|52,966  (+32)|5,364  (+2)|6,129  (+3)
@Hornets|Charlotte Hornets|February 8, 2020|972,270  (+324)|1,751  (-1)|52,934  (+7)|5,362  (-1)|6,126  (-1)
@Hornets|Charlotte Hornets|February 7, 2020|971,946  (+381)|1,752  (0)|52,927  (+4)|5,363  (+1)|6,127  (+11)
@Hornets|Charlotte Hornets|February 6, 2020|971,565  (+437)|1,752  (0)|52,923  (+7)|5,362  (+5)|6,116  (+3)
@Hornets|Charlotte Hornets|February 5, 2020|971,128  (+305)|1,752  (0)|52,916  (+30)|5,357  (+3)|6,113  (+11)
@Hornets|Charlotte Hornets|February 4, 2020|970,823  (+308)|1,752  (+1)|52,886  (+31)|5,354  (+1)|6,102  (+2)
@Hornets|Charlotte Hornets|February 3, 2020|970,515  (+328)|1,751  (0)|52,855  (+5)|5,353  (+6)|6,100  (0)
@Hornets|Charlotte Hornets|February 2, 2020|970,187  (+222)|1,751  (0)|52,850  (+28)|5,347  (-1)|6,100  (+4)
@Hornets|Charlotte Hornets|February 1, 2020|969,965  (+349)|1,751  (-2)|52,822  (+18)|5,348  (+2)|6,096  (+14)
@Hornets|Charlotte Hornets|January 31, 2020|969,616  (+346)|1,753  (+2)|52,804  (+35)|5,346  (+3)|6,082  (+9)
@Hornets|Charlotte Hornets|January 30, 2020|969,270  (+374)|1,751  (-1)|52,769  (+11)|5,343  (+1)|6,073  (+4)
@Hornets|Charlotte Hornets|January 29, 2020|968,896  (+588)|1,752  (-1)|52,758  (+50)|5,342  (+3)|6,069  (+17)
@Hornets|Charlotte Hornets|January 28, 2020|968,308  (+1,243)|1,753  (+1)|52,708  (+5)|5,339  (+4)|6,052  (+2)
@Hornets|Charlotte Hornets|January 27, 2020|967,065  (+2,603)|1,752  (+1)|52,703  (+3)|5,335  (-4)|6,050  (0)
@Hornets|Charlotte Hornets|January 26, 2020|964,462  (+162)|1,751  (-1)|52,700  (+6)|5,339  (0)|6,050  (+1)
@Hornets|Charlotte Hornets|January 25, 2020|964,300  (+375)|1,752  (0)|52,694  (+41)|5,339  (+1)|6,049  (+22)
@Hornets|Charlotte Hornets|January 24, 2020|963,925  (+214)|1,752  (+2)|52,653  (+18)|5,338  (+2)|6,027  (+9)
@Hornets|Charlotte Hornets|January 23, 2020|963,711  (+234)|1,750  (0)|52,635  (+17)|5,336  (-1)|6,018  (+12)
@Hornets|Charlotte Hornets|January 22, 2020|963,477  (+188)|1,750  (-3)|52,618  (+13)|5,337  (-3)|6,006  (0)
@Hornets|Charlotte Hornets|January 21, 2020|963,289  (+109)|1,753  (+1)|52,605  (+32)|5,340  (-1)|6,006  (+6)
@Hornets|Charlotte Hornets|January 20, 2020|963,180  (+133)|1,752  (+2)|52,573  (+7)|5,341  (-2)|6,000  (0)
@Hornets|Charlotte Hornets|January 19, 2020|963,047  (+173)|1,750  (+1)|52,566  (+6)|5,343  (+1)|6,000  (+5)
@Hornets|Charlotte Hornets|January 18, 2020|962,874  (+131)|1,749  (0)|52,560  (+7)|5,342  (+2)|5,995  (+2)
@Hornets|Charlotte Hornets|January 17, 2020|962,743  (+134)|1,749  (-1)|52,553  (-4)|5,340  (0)|5,993  (-1)
@Hornets|Charlotte Hornets|January 16, 2020|962,609  (+107)|1,750  (+1)|52,557  (+35)|5,340  (0)|5,994  (+1)
