account|team|date|followers|following|tweets|lists|favourites
@ChicagoBulls|Chicago Bulls|April 6, 2020|4,142,441  (+7)|4,811  (+1)|52,404  (+6)|12,268  (-1)|12,564  (+5)
@ChicagoBulls|Chicago Bulls|April 5, 2020|4,142,434  (+30)|4,810  (-1)|52,398  (+8)|12,269  (-7)|12,559  (+9)
@ChicagoBulls|Chicago Bulls|April 4, 2020|4,142,404  (+80)|4,811  (-1)|52,390  (+5)|12,276  (-2)|12,550  (+1)
@ChicagoBulls|Chicago Bulls|April 3, 2020|4,142,324  (+165)|4,812  (0)|52,385  (+2)|12,278  (-6)|12,549  (-1)
@ChicagoBulls|Chicago Bulls|April 2, 2020|4,142,159  (-14)|4,812  (0)|52,383  (+6)|12,284  (+1)|12,550  (+21)
@ChicagoBulls|Chicago Bulls|April 1, 2020|4,142,173  (-114)|4,812  (0)|52,377  (+4)|12,283  (-1)|12,529  (+1)
@ChicagoBulls|Chicago Bulls|March 31, 2020|4,142,287  (-259)|4,812  (-1)|52,373  (+5)|12,284  (-3)|12,528  (+3)
@ChicagoBulls|Chicago Bulls|March 30, 2020|4,142,546  (+51)|4,813  (0)|52,368  (+4)|12,287  (+2)|12,525  (+1)
@ChicagoBulls|Chicago Bulls|March 29, 2020|4,142,495  (+12)|4,813  (0)|52,364  (+7)|12,285  (-3)|12,524  (+13)
@ChicagoBulls|Chicago Bulls|March 28, 2020|4,142,483  (-942)|4,813  (-1)|52,357  (+6)|12,288  (+12)|12,511  (+12)
@ChicagoBulls|Chicago Bulls|March 27, 2020|4,143,425  (+260)|4,814  (0)|52,351  (+9)|12,276  (-3)|12,499  (+3)
@ChicagoBulls|Chicago Bulls|March 26, 2020|4,143,165  (+111)|4,814  (0)|52,342  (+9)|12,279  (+2)|12,496  (+4)
@ChicagoBulls|Chicago Bulls|March 25, 2020|4,143,054  (+94)|4,814  (0)|52,333  (+7)|12,277  (+5)|12,492  (+3)
@ChicagoBulls|Chicago Bulls|March 24, 2020|4,142,960  (+120)|4,814  (0)|52,326  (+5)|12,272  (+14)|12,489  (+2)
@ChicagoBulls|Chicago Bulls|March 23, 2020|4,142,840  (-42)|4,814  (0)|52,321  (+4)|12,258  (+8)|12,487  (+2)
@ChicagoBulls|Chicago Bulls|March 22, 2020|4,142,882  (-211)|4,814  (0)|52,317  (+8)|12,250  (+2)|12,485  (-2)
@ChicagoBulls|Chicago Bulls|March 21, 2020|4,143,093  (+104)|4,814  (0)|52,309  (+6)|12,248  (0)|12,487  (+1)
@ChicagoBulls|Chicago Bulls|March 20, 2020|4,142,989  (-979)|4,814  (0)|52,303  (+3)|12,248  (-3)|12,486  (-1)
@ChicagoBulls|Chicago Bulls|March 19, 2020|4,143,968  (+143)|4,814  (-1)|52,300  (+8)|12,251  (+5)|12,487  (+1)
@ChicagoBulls|Chicago Bulls|March 18, 2020|4,143,825  (-233)|4,815  (0)|52,292  (+1)|12,246  (-1)|12,486  (-2)
@ChicagoBulls|Chicago Bulls|March 17, 2020|4,144,058  (+35)|4,815  (-1)|52,291  (0)|12,247  (+2)|12,488  (0)
@ChicagoBulls|Chicago Bulls|March 16, 2020|4,144,023  (+64)|4,816  (0)|52,291  (0)|12,245  (-6)|12,488  (0)
@ChicagoBulls|Chicago Bulls|March 15, 2020|4,143,959  (+254)|4,816  (0)|52,291  (+2)|12,251  (-5)|12,488  (+2)
@ChicagoBulls|Chicago Bulls|March 14, 2020|4,143,705  (+105)|4,816  (0)|52,289  (0)|12,256  (-1)|12,486  (-1)
@ChicagoBulls|Chicago Bulls|March 13, 2020|4,143,600  (+337)|4,816  (0)|52,289  (+2)|12,257  (+4)|12,487  (+1)
@ChicagoBulls|Chicago Bulls|March 12, 2020|4,143,263  (+219)|4,816  (0)|52,287  (+9)|12,253  (-1)|12,486  (0)
@ChicagoBulls|Chicago Bulls|March 11, 2020|4,143,044  (+215)|4,816  (0)|52,278  (+21)|12,254  (-1)|12,486  (+1)
@ChicagoBulls|Chicago Bulls|March 10, 2020|4,142,829  (+179)|4,816  (0)|52,257  (+5)|12,255  (+5)|12,485  (0)
@ChicagoBulls|Chicago Bulls|March 9, 2020|4,142,650  (+11)|4,816  (0)|52,252  (+13)|12,250  (0)|12,485  (+1)
@ChicagoBulls|Chicago Bulls|March 8, 2020|4,142,639  (-26)|4,816  (0)|52,239  (+4)|12,250  (-2)|12,484  (0)
@ChicagoBulls|Chicago Bulls|March 7, 2020|4,142,665  (+245)|4,816  (0)|52,235  (+21)|12,252  (+6)|12,484  (+7)
@ChicagoBulls|Chicago Bulls|March 6, 2020|4,142,420  (+70)|4,816  (+1)|52,214  (+4)|12,246  (+2)|12,477  (-1)
@ChicagoBulls|Chicago Bulls|March 5, 2020|4,142,350  (+62)|4,815  (-1)|52,210  (+26)|12,244  (0)|12,478  (+3)
@ChicagoBulls|Chicago Bulls|March 4, 2020|4,142,288  (+295)|4,816  (0)|52,184  (+12)|12,244  (+6)|12,475  (+1)
@ChicagoBulls|Chicago Bulls|March 3, 2020|4,141,993  (+231)|4,816  (0)|52,172  (+29)|12,238  (+9)|12,474  (+3)
@ChicagoBulls|Chicago Bulls|March 2, 2020|4,141,762  (+420)|4,816  (0)|52,143  (+5)|12,229  (+1)|12,471  (+1)
@ChicagoBulls|Chicago Bulls|March 1, 2020|4,141,342  (+487)|4,816  (0)|52,138  (+15)|12,228  (0)|12,470  (+10)
@ChicagoBulls|Chicago Bulls|February 29, 2020|4,140,855  (+253)|4,816  (0)|52,123  (+9)|12,228  (+2)|12,460  (+1)
@ChicagoBulls|Chicago Bulls|February 28, 2020|4,140,602  (+215)|4,816  (-1)|52,114  (+4)|12,226  (-4)|12,459  (-1)
@ChicagoBulls|Chicago Bulls|February 27, 2020|4,140,387  (+209)|4,817  (0)|52,110  (+9)|12,230  (+2)|12,460  (-1)
@ChicagoBulls|Chicago Bulls|February 26, 2020|4,140,178  (+475)|4,817  (0)|52,101  (+28)|12,228  (-1)|12,461  (+26)
@ChicagoBulls|Chicago Bulls|February 25, 2020|4,139,703  (+375)|4,817  (+1)|52,073  (+13)|12,229  (+1)|12,435  (+4)
@ChicagoBulls|Chicago Bulls|February 24, 2020|4,139,328  (+420)|4,816  (0)|52,060  (+24)|12,228  (-5)|12,431  (-11)
@ChicagoBulls|Chicago Bulls|February 23, 2020|4,138,908  (+374)|4,816  (-1)|52,036  (+14)|12,233  (+8)|12,442  (0)
@ChicagoBulls|Chicago Bulls|February 22, 2020|4,138,534  (+285)|4,817  (0)|52,022  (+8)|12,225  (+1)|12,442  (+2)
@ChicagoBulls|Chicago Bulls|February 21, 2020|4,138,249  (+243)|4,817  (0)|52,014  (+14)|12,224  (-4)|12,440  (+11)
@ChicagoBulls|Chicago Bulls|February 20, 2020|4,138,006  (+273)|4,817  (-1)|52,000  (+5)|12,228  (+3)|12,429  (0)
@ChicagoBulls|Chicago Bulls|February 19, 2020|4,137,733  (+308)|4,818  (-1)|51,995  (+4)|12,225  (+1)|12,429  (0)
@ChicagoBulls|Chicago Bulls|February 18, 2020|4,137,425  (+831)|4,819  (0)|51,991  (+4)|12,224  (-1)|12,429  (+2)
@ChicagoBulls|Chicago Bulls|February 17, 2020|4,136,594  (+709)|4,819  (-1)|51,987  (+8)|12,225  (+7)|12,427  (+6)
@ChicagoBulls|Chicago Bulls|February 16, 2020|4,135,885  (+297)|4,820  (0)|51,979  (+12)|12,218  (+6)|12,421  (-1)
@ChicagoBulls|Chicago Bulls|February 15, 2020|4,135,588  (+399)|4,820  (+1)|51,967  (+20)|12,212  (+1)|12,422  (+9)
@ChicagoBulls|Chicago Bulls|February 14, 2020|4,135,189  (+453)|4,819  (-2)|51,947  (+27)|12,211  (+8)|12,413  (+12)
@ChicagoBulls|Chicago Bulls|February 13, 2020|4,134,736  (+416)|4,821  (0)|51,920  (+8)|12,203  (0)|12,401  (+2)
@ChicagoBulls|Chicago Bulls|February 12, 2020|4,134,320  (+293)|4,821  (0)|51,912  (+14)|12,203  (-4)|12,399  (+4)
@ChicagoBulls|Chicago Bulls|February 11, 2020|4,134,027  (+459)|4,821  (-1)|51,898  (+8)|12,207  (-4)|12,395  (+2)
@ChicagoBulls|Chicago Bulls|February 10, 2020|4,133,568  (+512)|4,822  (0)|51,890  (+12)|12,211  (+4)|12,393  (+6)
@ChicagoBulls|Chicago Bulls|February 9, 2020|4,133,056  (+664)|4,822  (0)|51,878  (+6)|12,207  (+1)|12,387  (+1)
@ChicagoBulls|Chicago Bulls|February 8, 2020|4,132,392  (+532)|4,822  (0)|51,872  (+6)|12,206  (+2)|12,386  (+6)
@ChicagoBulls|Chicago Bulls|February 7, 2020|4,131,860  (+442)|4,822  (-2)|51,866  (+17)|12,204  (+5)|12,380  (+1)
@ChicagoBulls|Chicago Bulls|February 6, 2020|4,131,418  (+544)|4,824  (-1)|51,849  (+9)|12,199  (+5)|12,379  (0)
@ChicagoBulls|Chicago Bulls|February 5, 2020|4,130,874  (+296)|4,825  (0)|51,840  (+7)|12,194  (0)|12,379  (0)
