account|team|date|followers|following|tweets|lists|favourites
@cavs|Cleveland Cavaliers|April 6, 2020|3,273,371  (-128)|2,011  (-1)|52,531  (+3)|9,353  (0)|20,645  (+1)
@cavs|Cleveland Cavaliers|April 5, 2020|3,273,499  (-169)|2,012  (+1)|52,528  (+19)|9,353  (-1)|20,644  (+34)
@cavs|Cleveland Cavaliers|April 4, 2020|3,273,668  (-135)|2,011  (0)|52,509  (+22)|9,354  (-6)|20,610  (+16)
@cavs|Cleveland Cavaliers|April 3, 2020|3,273,803  (-204)|2,011  (0)|52,487  (+11)|9,360  (-5)|20,594  (+17)
@cavs|Cleveland Cavaliers|April 2, 2020|3,274,007  (-127)|2,011  (0)|52,476  (+33)|9,365  (-2)|20,577  (+217)
@cavs|Cleveland Cavaliers|April 1, 2020|3,274,134  (-96)|2,011  (0)|52,443  (+10)|9,367  (-1)|20,360  (+20)
@cavs|Cleveland Cavaliers|March 31, 2020|3,274,230  (-441)|2,011  (0)|52,433  (+12)|9,368  (+1)|20,340  (+23)
@cavs|Cleveland Cavaliers|March 30, 2020|3,274,671  (-183)|2,011  (0)|52,421  (+4)|9,367  (+5)|20,317  (+1)
@cavs|Cleveland Cavaliers|March 29, 2020|3,274,854  (-64)|2,011  (0)|52,417  (+3)|9,362  (-3)|20,316  (0)
@cavs|Cleveland Cavaliers|March 28, 2020|3,274,918  (-960)|2,011  (+2)|52,414  (+17)|9,365  (+3)|20,316  (+21)
@cavs|Cleveland Cavaliers|March 27, 2020|3,275,878  (-510)|2,009  (-1)|52,397  (+11)|9,362  (+2)|20,295  (+18)
@cavs|Cleveland Cavaliers|March 26, 2020|3,276,388  (-138)|2,010  (0)|52,386  (+4)|9,360  (-4)|20,277  (+4)
@cavs|Cleveland Cavaliers|March 25, 2020|3,276,526  (-71)|2,010  (-1)|52,382  (+10)|9,364  (+9,364)|20,273  (+13)
@cavs|Cleveland Cavaliers|March 24, 2020|3,276,597  (-141)|2,011  (0)|52,372  (+9)|0  (-9,345)|20,260  (+14)
