account|team|date|followers|following|tweets|lists|favourites
@DallasMavs|Dallas Mavericks|April 5, 2020|1,726,624  (+230)|531  (0)|42,932  (+6)|7,686  (+1)|6,301  (0)
@DallasMavs|Dallas Mavericks|April 4, 2020|1,726,394  (+230)|531  (0)|42,926  (+12)|7,685  (-3)|6,301  (0)
@DallasMavs|Dallas Mavericks|April 3, 2020|1,726,164  (+273)|531  (0)|42,914  (+12)|7,688  (+1)|6,301  (+1)
@DallasMavs|Dallas Mavericks|April 2, 2020|1,725,891  (+274)|531  (0)|42,902  (+27)|7,687  (-6)|6,300  (+2)
@DallasMavs|Dallas Mavericks|April 1, 2020|1,725,617  (+325)|531  (0)|42,875  (+13)|7,693  (+1)|6,298  (+1)
@DallasMavs|Dallas Mavericks|March 31, 2020|1,725,292  (+323)|531  (0)|42,862  (+13)|7,692  (-3)|6,297  (+3)
@DallasMavs|Dallas Mavericks|March 30, 2020|1,724,969  (+355)|531  (0)|42,849  (+29)|7,695  (+4)|6,294  (+1)
@DallasMavs|Dallas Mavericks|March 29, 2020|1,724,614  (+265)|531  (0)|42,820  (+5)|7,691  (-1)|6,293  (+1)
@DallasMavs|Dallas Mavericks|March 28, 2020|1,724,349  (+9)|531  (0)|42,815  (+11)|7,692  (-2)|6,292  (+1)
@DallasMavs|Dallas Mavericks|March 27, 2020|1,724,340  (+16)|531  (0)|42,804  (+23)|7,694  (+2)|6,291  (0)
@DallasMavs|Dallas Mavericks|March 26, 2020|1,724,324  (+311)|531  (0)|42,781  (+7)|7,692  (-1)|6,291  (+1)
@DallasMavs|Dallas Mavericks|March 25, 2020|1,724,013  (+225)|531  (0)|42,774  (+6)|7,693  (-2)|6,290  (+1)
@DallasMavs|Dallas Mavericks|March 24, 2020|1,723,788  (+175)|531  (-1)|42,768  (+27)|7,695  (+7)|6,289  (+1)
@DallasMavs|Dallas Mavericks|March 23, 2020|1,723,613  (+357)|532  (0)|42,741  (+8)|7,688  (+3)|6,288  (+1)
@DallasMavs|Dallas Mavericks|March 22, 2020|1,723,256  (+191)|532  (0)|42,733  (+4)|7,685  (+1)|6,287  (0)
@DallasMavs|Dallas Mavericks|March 21, 2020|1,723,065  (+392)|532  (0)|42,729  (+13)|7,684  (0)|6,287  (+1)
@DallasMavs|Dallas Mavericks|March 20, 2020|1,722,673  (+241)|532  (0)|42,716  (+8)|7,684  (+5)|6,286  (+2)
@DallasMavs|Dallas Mavericks|March 19, 2020|1,722,432  (+124)|532  (0)|42,708  (+10)|7,679  (+2)|6,284  (+2)
@DallasMavs|Dallas Mavericks|March 18, 2020|1,722,308  (+336)|532  (+1)|42,698  (+14)|7,677  (-1)|6,282  (0)
@DallasMavs|Dallas Mavericks|March 17, 2020|1,721,972  (+507)|531  (0)|42,684  (+17)|7,678  (+1)|6,282  (0)
@DallasMavs|Dallas Mavericks|March 16, 2020|1,721,465  (+548)|531  (-1)|42,667  (+3)|7,677  (-3)|6,282  (0)
@DallasMavs|Dallas Mavericks|March 15, 2020|1,720,917  (+738)|532  (0)|42,664  (+1)|7,680  (+4)|6,282  (+1)
@DallasMavs|Dallas Mavericks|March 14, 2020|1,720,179  (+801)|532  (0)|42,663  (+16)|7,676  (0)|6,281  (+3)
@DallasMavs|Dallas Mavericks|March 13, 2020|1,719,378  (+913)|532  (0)|42,647  (+2)|7,676  (+1)|6,278  (+1)
@DallasMavs|Dallas Mavericks|March 12, 2020|1,718,465  (+1,027)|532  (0)|42,645  (+36)|7,675  (+6)|6,277  (+1)
@DallasMavs|Dallas Mavericks|March 11, 2020|1,717,438  (+554)|532  (0)|42,609  (+20)|7,669  (-1)|6,276  (0)
@DallasMavs|Dallas Mavericks|March 10, 2020|1,716,884  (+582)|532  (0)|42,589  (+7)|7,670  (+2)|6,276  (0)
@DallasMavs|Dallas Mavericks|March 9, 2020|1,716,302  (+572)|532  (0)|42,582  (+26)|7,668  (+2)|6,276  (+1)
@DallasMavs|Dallas Mavericks|March 8, 2020|1,715,730  (+472)|532  (0)|42,556  (+15)|7,666  (+3)|6,275  (+2)
@DallasMavs|Dallas Mavericks|March 7, 2020|1,715,258  (+592)|532  (0)|42,541  (+28)|7,663  (-1)|6,273  (+2)
@DallasMavs|Dallas Mavericks|March 6, 2020|1,714,666  (+654)|532  (0)|42,513  (+7)|7,664  (+2)|6,271  (-2)
@DallasMavs|Dallas Mavericks|March 5, 2020|1,714,012  (+869)|532  (0)|42,506  (+42)|7,662  (+1)|6,273  (+5)
@DallasMavs|Dallas Mavericks|March 4, 2020|1,713,143  (+577)|532  (0)|42,464  (+3)|7,661  (-1)|6,268  (0)
@DallasMavs|Dallas Mavericks|March 3, 2020|1,712,566  (+608)|532  (0)|42,461  (+23)|7,662  (+5)|6,268  (0)
@DallasMavs|Dallas Mavericks|March 2, 2020|1,711,958  (+672)|532  (0)|42,438  (+26)|7,657  (+1)|6,268  (0)
@DallasMavs|Dallas Mavericks|March 1, 2020|1,711,286  (+703)|532  (0)|42,412  (+6)|7,656  (+2)|6,268  (0)
@DallasMavs|Dallas Mavericks|February 29, 2020|1,710,583  (+667)|532  (0)|42,406  (+38)|7,654  (+2)|6,268  (+7)
@DallasMavs|Dallas Mavericks|February 28, 2020|1,709,916  (+475)|532  (0)|42,368  (+3)|7,652  (+2)|6,261  (+2)
@DallasMavs|Dallas Mavericks|February 27, 2020|1,709,441  (+633)|532  (0)|42,365  (+24)|7,650  (-3)|6,259  (+1)
@DallasMavs|Dallas Mavericks|February 26, 2020|1,708,808  (+579)|532  (0)|42,341  (+7)|7,653  (-4)|6,258  (-4)
@DallasMavs|Dallas Mavericks|February 25, 2020|1,708,229  (+737)|532  (0)|42,334  (+38)|7,657  (-1)|6,262  (+5)
@DallasMavs|Dallas Mavericks|February 24, 2020|1,707,492  (+755)|532  (0)|42,296  (+4)|7,658  (-1)|6,257  (-1)
