account|team|date|followers|following|tweets|lists|favourites
@nuggets|Denver Nuggets|April 5, 2020|970,264  (+45)|928  (0)|64,230  (+14)|5,919  (+2)|25,723  (+1)
@nuggets|Denver Nuggets|April 4, 2020|970,219  (+47)|928  (-1)|64,216  (+9)|5,917  (-1)|25,722  (-2)
@nuggets|Denver Nuggets|April 3, 2020|970,172  (+111)|929  (0)|64,207  (+15)|5,918  (+2)|25,724  (+1)
@nuggets|Denver Nuggets|April 2, 2020|970,061  (+57)|929  (0)|64,192  (+29)|5,916  (-4)|25,723  (+1)
@nuggets|Denver Nuggets|April 1, 2020|970,004  (+51)|929  (0)|64,163  (+37)|5,920  (-1)|25,722  (+1)
@nuggets|Denver Nuggets|March 31, 2020|969,953  (+16)|929  (0)|64,126  (-1)|5,921  (0)|25,721  (-2)
@nuggets|Denver Nuggets|March 30, 2020|969,937  (-17)|929  (0)|64,127  (+12)|5,921  (+2)|25,723  (-2)
@nuggets|Denver Nuggets|March 29, 2020|969,954  (+93)|929  (0)|64,115  (+5)|5,919  (-1)|25,725  (-3)
@nuggets|Denver Nuggets|March 28, 2020|969,861  (-33)|929  (0)|64,110  (+12)|5,920  (-4)|25,728  (0)
@nuggets|Denver Nuggets|March 27, 2020|969,894  (-166)|929  (0)|64,098  (+20)|5,924  (0)|25,728  (0)
@nuggets|Denver Nuggets|March 26, 2020|970,060  (+114)|929  (0)|64,078  (+12)|5,924  (+3)|25,728  (-1)
@nuggets|Denver Nuggets|March 25, 2020|969,946  (+40)|929  (0)|64,066  (+10)|5,921  (-2)|25,729  (+1)
@nuggets|Denver Nuggets|March 24, 2020|969,906  (+217)|929  (0)|64,056  (+8)|5,923  (+5)|25,728  (-3)
@nuggets|Denver Nuggets|March 23, 2020|969,689  (+243)|929  (0)|64,048  (+3)|5,918  (+8)|25,731  (-1)
@nuggets|Denver Nuggets|March 22, 2020|969,446  (+142)|929  (0)|64,045  (+14)|5,910  (+2)|25,732  (+1)
@nuggets|Denver Nuggets|March 21, 2020|969,304  (+109)|929  (0)|64,031  (+12)|5,908  (-1)|25,731  (-1)
@nuggets|Denver Nuggets|March 20, 2020|969,195  (+131)|929  (-1)|64,019  (+12)|5,909  (0)|25,732  (-4)
@nuggets|Denver Nuggets|March 19, 2020|969,064  (+82)|930  (0)|64,007  (+7)|5,909  (+1)|25,736  (+2)
@nuggets|Denver Nuggets|March 18, 2020|968,982  (+110)|930  (0)|64,000  (+16)|5,908  (+1)|25,734  (-2)
@nuggets|Denver Nuggets|March 17, 2020|968,872  (+134)|930  (0)|63,984  (+1)|5,907  (-5)|25,736  (0)
@nuggets|Denver Nuggets|March 16, 2020|968,738  (+210)|930  (+1)|63,983  (+4)|5,912  (0)|25,736  (0)
@nuggets|Denver Nuggets|March 15, 2020|968,528  (+347)|929  (+1)|63,979  (+1)|5,912  (+1)|25,736  (0)
@nuggets|Denver Nuggets|March 14, 2020|968,181  (+368)|928  (-1)|63,978  (+2)|5,911  (+1)|25,736  (-3)
@nuggets|Denver Nuggets|March 13, 2020|967,813  (+354)|929  (0)|63,976  (+4)|5,910  (-1)|25,739  (-1)
@nuggets|Denver Nuggets|March 12, 2020|967,459  (+479)|929  (-1)|63,972  (+18)|5,911  (0)|25,740  (-1)
@nuggets|Denver Nuggets|March 11, 2020|966,980  (+209)|930  (0)|63,954  (+12)|5,911  (-1)|25,741  (0)
@nuggets|Denver Nuggets|March 10, 2020|966,771  (+324)|930  (-1)|63,942  (+43)|5,912  (0)|25,741  (+1)
@nuggets|Denver Nuggets|March 9, 2020|966,447  (+213)|931  (0)|63,899  (+5)|5,912  (-1)|25,740  (-1)
@nuggets|Denver Nuggets|March 8, 2020|966,234  (+232)|931  (0)|63,894  (+29)|5,913  (+1)|25,741  (-2)
@nuggets|Denver Nuggets|March 7, 2020|966,002  (+275)|931  (+1)|63,865  (+9)|5,912  (0)|25,743  (-3)
@nuggets|Denver Nuggets|March 6, 2020|965,727  (+282)|930  (+2)|63,856  (+53)|5,912  (+3)|25,746  (-8)
@nuggets|Denver Nuggets|March 5, 2020|965,445  (+203)|928  (-1)|63,803  (+17)|5,909  (0)|25,754  (-1)
@nuggets|Denver Nuggets|March 4, 2020|965,242  (+307)|929  (0)|63,786  (+38)|5,909  (+1)|25,755  (-1)
@nuggets|Denver Nuggets|March 3, 2020|964,935  (+325)|929  (0)|63,748  (+24)|5,908  (+1)|25,756  (-1)
@nuggets|Denver Nuggets|March 2, 2020|964,610  (+410)|929  (-1)|63,724  (+51)|5,907  (+2)|25,757  (-3)
@nuggets|Denver Nuggets|March 1, 2020|964,200  (+371)|930  (-1)|63,673  (+10)|5,905  (+3)|25,760  (+1)
@nuggets|Denver Nuggets|February 29, 2020|963,829  (+358)|931  (0)|63,663  (+30)|5,902  (0)|25,759  (-1)
@nuggets|Denver Nuggets|February 28, 2020|963,471  (+250)|931  (0)|63,633  (+19)|5,902  (+4)|25,760  (-12)
@nuggets|Denver Nuggets|February 27, 2020|963,221  (+312)|931  (0)|63,614  (+15)|5,898  (-2)|25,772  (+1)
@nuggets|Denver Nuggets|February 26, 2020|962,909  (+306)|931  (-1)|63,599  (+46)|5,900  (-9)|25,771  (-4)
@nuggets|Denver Nuggets|February 25, 2020|962,603  (+296)|932  (0)|63,553  (+15)|5,909  (+4)|25,775  (-1)
@nuggets|Denver Nuggets|February 24, 2020|962,307  (+327)|932  (0)|63,538  (+37)|5,905  (0)|25,776  (+1)
@nuggets|Denver Nuggets|February 23, 2020|961,980  (+396)|932  (0)|63,501  (+8)|5,905  (+1)|25,775  (-4)
@nuggets|Denver Nuggets|February 22, 2020|961,584  (+387)|932  (0)|63,493  (+24)|5,904  (-3)|25,779  (-8)
@nuggets|Denver Nuggets|February 21, 2020|961,197  (+365)|932  (0)|63,469  (+8)|5,907  (+3)|25,787  (-9)
@nuggets|Denver Nuggets|February 20, 2020|960,832  (+362)|932  (0)|63,461  (+13)|5,904  (+2)|25,796  (-1)
@nuggets|Denver Nuggets|February 19, 2020|960,470  (+461)|932  (+1)|63,448  (+9)|5,902  (-2)|25,797  (0)
@nuggets|Denver Nuggets|February 18, 2020|960,009  (+470)|931  (-1)|63,439  (+22)|5,904  (+5)|25,797  (0)
@nuggets|Denver Nuggets|February 17, 2020|959,539  (+781)|932  (0)|63,417  (+27)|5,899  (+5)|25,797  (0)
@nuggets|Denver Nuggets|February 16, 2020|958,758  (+695)|932  (+2)|63,390  (+11)|5,894  (0)|25,797  (-1)
@nuggets|Denver Nuggets|February 15, 2020|958,063  (+495)|930  (0)|63,379  (+27)|5,894  (-1)|25,798  (0)
@nuggets|Denver Nuggets|February 14, 2020|957,568  (+592)|930  (0)|63,352  (+38)|5,895  (+2)|25,798  (-2)
@nuggets|Denver Nuggets|February 13, 2020|956,976  (+818)|930  (-2)|63,314  (+47)|5,893  (+5)|25,800  (-7)
@nuggets|Denver Nuggets|February 12, 2020|956,158  (+709)|932  (0)|63,267  (+12)|5,888  (+1)|25,807  (-3)
@nuggets|Denver Nuggets|February 11, 2020|955,449  (+843)|932  (0)|63,255  (+64)|5,887  (0)|25,810  (-1)
@nuggets|Denver Nuggets|February 10, 2020|954,606  (+843)|932  (0)|63,191  (+12)|5,887  (+3)|25,811  (-8)
@nuggets|Denver Nuggets|February 9, 2020|953,763  (+778)|932  (0)|63,179  (+48)|5,884  (-2)|25,819  (+1)
@nuggets|Denver Nuggets|February 8, 2020|952,985  (+736)|932  (0)|63,131  (+10)|5,886  (+3)|25,818  (-3)
@nuggets|Denver Nuggets|February 7, 2020|952,249  (+639)|932  (+2)|63,121  (+16)|5,883  (-3)|25,821  (-2)
@nuggets|Denver Nuggets|February 6, 2020|951,610  (+759)|930  (-1)|63,105  (+55)|5,886  (+6)|25,823  (+3)
@nuggets|Denver Nuggets|February 5, 2020|950,851  (+612)|931  (+1)|63,050  (+41)|5,880  (+10)|25,820  (+1)
@nuggets|Denver Nuggets|February 4, 2020|950,239  (+476)|930  (-1)|63,009  (+10)|5,870  (+4)|25,819  (-1)
@nuggets|Denver Nuggets|February 3, 2020|949,763  (+459)|931  (-1)|62,999  (+2)|5,866  (+8)|25,820  (-3)
@nuggets|Denver Nuggets|February 2, 2020|949,304  (+507)|932  (0)|62,997  (+35)|5,858  (-2)|25,823  (0)
@nuggets|Denver Nuggets|February 1, 2020|948,797  (+667)|932  (+1)|62,962  (+51)|5,860  (-1)|25,823  (+2)
@nuggets|Denver Nuggets|January 31, 2020|948,130  (+513)|931  (+1)|62,911  (+69)|5,861  (+2)|25,821  (0)
@nuggets|Denver Nuggets|January 30, 2020|947,617  (+566)|930  (+1)|62,842  (+6)|5,859  (+6)|25,821  (0)
@nuggets|Denver Nuggets|January 29, 2020|947,051  (+719)|929  (0)|62,836  (+27)|5,853  (+3)|25,821  (+1)
@nuggets|Denver Nuggets|January 28, 2020|946,332  (+1,228)|929  (0)|62,809  (+9)|5,850  (+2)|25,820  (-1)
@nuggets|Denver Nuggets|January 27, 2020|945,104  (+3,159)|929  (+1)|62,800  (+15)|5,848  (0)|25,821  (+2)
@nuggets|Denver Nuggets|January 26, 2020|941,945  (+1,411)|928  (0)|62,785  (+12)|5,848  (0)|25,819  (-2)
@nuggets|Denver Nuggets|January 25, 2020|940,534  (+346)|928  (-1)|62,773  (+47)|5,848  (-2)|25,821  (0)
@nuggets|Denver Nuggets|January 24, 2020|940,188  (+316)|929  (0)|62,726  (+12)|5,850  (+4)|25,821  (-1)
@nuggets|Denver Nuggets|January 23, 2020|939,872  (+282)|929  (0)|62,714  (+21)|5,846  (-1)|25,822  (-2)
@nuggets|Denver Nuggets|January 22, 2020|939,590  (+274)|929  (+1)|62,693  (+9)|5,847  (-3)|25,824  (-2)
