account|team|date|followers|following|tweets|lists|favourites
@DetroitPistons|Detroit Pistons|April 5, 2020|949,757  (+56)|17,495  (-2)|73,687  (+2)|5,703  (+1)|1,414  (0)
@DetroitPistons|Detroit Pistons|April 4, 2020|949,701  (+42)|17,497  (-3)|73,685  (+4)|5,702  (-3)|1,414  (+1)
@DetroitPistons|Detroit Pistons|April 3, 2020|949,659  (+55)|17,500  (0)|73,681  (+6)|5,705  (0)|1,413  (0)
@DetroitPistons|Detroit Pistons|April 2, 2020|949,604  (+28)|17,500  (-2)|73,675  (+4)|5,705  (-3)|1,413  (0)
@DetroitPistons|Detroit Pistons|April 1, 2020|949,576  (+36)|17,502  (0)|73,671  (+7)|5,708  (0)|1,413  (0)
@DetroitPistons|Detroit Pistons|March 31, 2020|949,540  (-3)|17,502  (-3)|73,664  (+5)|5,708  (0)|1,413  (+2)
@DetroitPistons|Detroit Pistons|March 30, 2020|949,543  (-10)|17,505  (+1)|73,659  (+1)|5,708  (0)|1,411  (+1)
@DetroitPistons|Detroit Pistons|March 29, 2020|949,553  (-9)|17,504  (0)|73,658  (+7)|5,708  (-1)|1,410  (+1)
@DetroitPistons|Detroit Pistons|March 28, 2020|949,562  (-19)|17,504  (+1)|73,651  (+4)|5,709  (-1)|1,409  (+1)
@DetroitPistons|Detroit Pistons|March 27, 2020|949,581  (-18)|17,503  (+4)|73,647  (+9)|5,710  (-1)|1,408  (+14)
@DetroitPistons|Detroit Pistons|March 26, 2020|949,599  (+45)|17,499  (+3)|73,638  (+4)|5,711  (0)|1,394  (+1)
@DetroitPistons|Detroit Pistons|March 25, 2020|949,554  (-20)|17,496  (-4)|73,634  (+5)|5,711  (-4)|1,393  (-1)
@DetroitPistons|Detroit Pistons|March 24, 2020|949,574  (+8)|17,500  (0)|73,629  (+3)|5,715  (+8)|1,394  (0)
@DetroitPistons|Detroit Pistons|March 23, 2020|949,566  (+25)|17,500  (-3)|73,626  (+6)|5,707  (+4)|1,394  (+5)
@DetroitPistons|Detroit Pistons|March 22, 2020|949,541  (-83)|17,503  (+2)|73,620  (+2)|5,703  (+3)|1,389  (0)
@DetroitPistons|Detroit Pistons|March 21, 2020|949,624  (-47)|17,501  (-2)|73,618  (+3)|5,700  (+1)|1,389  (0)
@DetroitPistons|Detroit Pistons|March 20, 2020|949,671  (-84)|17,503  (-3)|73,615  (+6)|5,699  (-1)|1,389  (+1)
@DetroitPistons|Detroit Pistons|March 19, 2020|949,755  (-91)|17,506  (0)|73,609  (+3)|5,700  (0)|1,388  (0)
@DetroitPistons|Detroit Pistons|March 18, 2020|949,846  (-149)|17,506  (-3)|73,606  (+1)|5,700  (+1)|1,388  (+1)
@DetroitPistons|Detroit Pistons|March 17, 2020|949,995  (-7)|17,509  (-3)|73,605  (+2)|5,699  (-4)|1,387  (+1)
@DetroitPistons|Detroit Pistons|March 16, 2020|950,002  (-70)|17,512  (-2)|73,603  (+2)|5,703  (+1)|1,386  (0)
