account|team|date|followers|following|tweets|lists|favourites
@Warriors|GoldenStateWarriors|April 5, 2020|6,479,163  (+410)|914  (-1)|86,628  (+10)|10,902  (-1)|11,797  (+1)
@Warriors|GoldenStateWarriors|April 4, 2020|6,478,753  (+470)|915  (0)|86,618  (+14)|10,903  (-1)|11,796  (0)
@Warriors|GoldenStateWarriors|April 3, 2020|6,478,283  (+722)|915  (0)|86,604  (+15)|10,904  (-7)|11,796  (+1)
@Warriors|GoldenStateWarriors|April 2, 2020|6,477,561  (+673)|915  (0)|86,589  (+15)|10,911  (0)|11,795  (+3)
@Warriors|GoldenStateWarriors|April 1, 2020|6,476,888  (+655)|915  (0)|86,574  (+18)|10,911  (-2)|11,792  (0)
@Warriors|GoldenStateWarriors|March 31, 2020|6,476,233  (+371)|915  (0)|86,556  (+19)|10,913  (-3)|11,792  (+3)
@Warriors|GoldenStateWarriors|March 30, 2020|6,475,862  (+671)|915  (0)|86,537  (+9)|10,916  (+2)|11,789  (+3)
@Warriors|GoldenStateWarriors|March 29, 2020|6,475,191  (+1,076)|915  (0)|86,528  (+11)|10,914  (-8)|11,786  (+2)
@Warriors|GoldenStateWarriors|March 28, 2020|6,474,115  (-7,263)|915  (0)|86,517  (+4)|10,922  (+3)|11,784  (+2)
@Warriors|GoldenStateWarriors|March 27, 2020|6,481,378  (-5,517)|915  (0)|86,513  (+23)|10,919  (+5)|11,782  (+3)
@Warriors|GoldenStateWarriors|March 26, 2020|6,486,895  (+774)|915  (0)|86,490  (+7)|10,914  (0)|11,779  (+2)
@Warriors|GoldenStateWarriors|March 25, 2020|6,486,121  (+373)|915  (0)|86,483  (+3)|10,914  (+6)|11,777  (+2)
@Warriors|GoldenStateWarriors|March 24, 2020|6,485,748  (+1,422)|915  (0)|86,480  (+10)|10,908  (+8)|11,775  (+14)
@Warriors|GoldenStateWarriors|March 23, 2020|6,484,326  (+613)|915  (0)|86,470  (+11)|10,900  (+6)|11,761  (+3)
@Warriors|GoldenStateWarriors|March 22, 2020|6,483,713  (+621)|915  (0)|86,459  (+5)|10,894  (+1)|11,758  (0)
@Warriors|GoldenStateWarriors|March 21, 2020|6,483,092  (+800)|915  (0)|86,454  (+15)|10,893  (+2)|11,758  (+4)
@Warriors|GoldenStateWarriors|March 20, 2020|6,482,292  (+120)|915  (0)|86,439  (+8)|10,891  (-1)|11,754  (+1)
