account|team|date|followers|following|tweets|lists|favourites
@HoustonRockets|Houston Rockets|April 5, 2020|3,069,308  (+257)|1,190  (-1)|4,341  (+8)|7,992  (-1)|2,358  (0)
@HoustonRockets|Houston Rockets|April 4, 2020|3,069,051  (+185)|1,191  (+1)|4,333  (+11)|7,993  (-2)|2,358  (0)
@HoustonRockets|Houston Rockets|April 3, 2020|3,068,866  (+257)|1,190  (+1)|4,322  (+9)|7,995  (0)|2,358  (+1)
@HoustonRockets|Houston Rockets|April 2, 2020|3,068,609  (+253)|1,189  (0)|4,313  (+5)|7,995  (-6)|2,357  (0)
@HoustonRockets|Houston Rockets|April 1, 2020|3,068,356  (+368)|1,189  (-1)|4,308  (+8)|8,001  (0)|2,357  (0)
@HoustonRockets|Houston Rockets|March 31, 2020|3,067,988  (+221)|1,190  (+1)|4,300  (+6)|8,001  (-3)|2,357  (+1)
@HoustonRockets|Houston Rockets|March 30, 2020|3,067,767  (+41)|1,189  (0)|4,294  (+9)|8,004  (+1)|2,356  (+3)
@HoustonRockets|Houston Rockets|March 29, 2020|3,067,726  (+328)|1,189  (0)|4,285  (+21)|8,003  (0)|2,353  (0)
@HoustonRockets|Houston Rockets|March 28, 2020|3,067,398  (-324)|1,189  (0)|4,264  (+24)|8,003  (-2)|2,353  (0)
@HoustonRockets|Houston Rockets|March 27, 2020|3,067,722  (-788)|1,189  (0)|4,240  (+21)|8,005  (0)|2,353  (+1)
@HoustonRockets|Houston Rockets|March 26, 2020|3,068,510  (+357)|1,189  (0)|4,219  (+24)|8,005  (-3)|2,352  (0)
@HoustonRockets|Houston Rockets|March 25, 2020|3,068,153  (+454)|1,189  (0)|4,195  (+21)|8,008  (+1)|2,352  (0)
@HoustonRockets|Houston Rockets|March 24, 2020|3,067,699  (+416)|1,189  (0)|4,174  (+33)|8,007  (+7)|2,352  (+1)
@HoustonRockets|Houston Rockets|March 23, 2020|3,067,283  (+514)|1,189  (0)|4,141  (+7)|8,000  (+3)|2,351  (0)
@HoustonRockets|Houston Rockets|March 22, 2020|3,066,769  (+321)|1,189  (0)|4,134  (+3)|7,997  (+3)|2,351  (+1)
@HoustonRockets|Houston Rockets|March 21, 2020|3,066,448  (+441)|1,189  (0)|4,131  (+2)|7,994  (+4)|2,350  (0)
@HoustonRockets|Houston Rockets|March 20, 2020|3,066,007  (+140)|1,189  (0)|4,129  (+4)|7,990  (+2)|2,350  (-1)
@HoustonRockets|Houston Rockets|March 19, 2020|3,065,867  (-246)|1,189  (-1)|4,125  (+12)|7,988  (+1)|2,351  (-1)
@HoustonRockets|Houston Rockets|March 18, 2020|3,066,113  (-151)|1,190  (0)|4,113  (+1)|7,987  (+3)|2,352  (0)
@HoustonRockets|Houston Rockets|March 17, 2020|3,066,264  (+214)|1,190  (+1)|4,112  (0)|7,984  (-3)|2,352  (0)
@HoustonRockets|Houston Rockets|March 16, 2020|3,066,050  (+341)|1,189  (-1)|4,112  (0)|7,987  (+2)|2,352  (0)
@HoustonRockets|Houston Rockets|March 15, 2020|3,065,709  (+462)|1,190  (0)|4,112  (0)|7,985  (0)|2,352  (0)
@HoustonRockets|Houston Rockets|March 14, 2020|3,065,247  (+685)|1,190  (0)|4,112  (0)|7,985  (+3)|2,352  (0)
@HoustonRockets|Houston Rockets|March 13, 2020|3,064,562  (+920)|1,190  (0)|4,112  (+1)|7,982  (+2)|2,352  (0)
@HoustonRockets|Houston Rockets|March 12, 2020|3,063,642  (+1,328)|1,190  (0)|4,111  (0)|7,980  (+2)|2,352  (-2)
@HoustonRockets|Houston Rockets|March 11, 2020|3,062,314  (+641)|1,190  (+2)|4,111  (+42)|7,978  (+1)|2,354  (0)
@HoustonRockets|Houston Rockets|March 10, 2020|3,061,673  (+552)|1,188  (-1)|4,069  (+7)|7,977  (-2)|2,354  (0)
