account|team|date|followers|following|tweets|lists|favourites
@Pacers|Indiana Pacers|April 5, 2020|1,261,628  (+59)|2,943  (-1)|57,821  (+3)|5,960  (0)|9,033  (+2)
@Pacers|Indiana Pacers|April 4, 2020|1,261,569  (+119)|2,944  (+14)|57,818  (-10)|5,960  (-1)|9,031  (+4)
@Pacers|Indiana Pacers|April 3, 2020|1,261,450  (+51)|2,930  (0)|57,828  (+11)|5,961  (-2)|9,027  (+1)
@Pacers|Indiana Pacers|April 2, 2020|1,261,399  (+101)|2,930  (0)|57,817  (+10)|5,963  (-3)|9,026  (+3)
@Pacers|Indiana Pacers|April 1, 2020|1,261,298  (+53)|2,930  (0)|57,807  (+7)|5,966  (+1)|9,023  (0)
@Pacers|Indiana Pacers|March 31, 2020|1,261,245  (-45)|2,930  (+1)|57,800  (-63)|5,965  (-2)|9,023  (+1)
@Pacers|Indiana Pacers|March 30, 2020|1,261,290  (+20)|2,929  (-1)|57,863  (+2)|5,967  (+3)|9,022  (0)
@Pacers|Indiana Pacers|March 29, 2020|1,261,270  (+124)|2,930  (0)|57,861  (+4)|5,964  (-6)|9,022  (0)
@Pacers|Indiana Pacers|March 28, 2020|1,261,146  (-30)|2,930  (0)|57,857  (+39)|5,970  (+2)|9,022  (+5)
@Pacers|Indiana Pacers|March 27, 2020|1,261,176  (+61)|2,930  (0)|57,818  (+10)|5,968  (+3)|9,017  (+3)
@Pacers|Indiana Pacers|March 26, 2020|1,261,115  (+161)|2,930  (-1)|57,808  (+5)|5,965  (-2)|9,014  (0)
@Pacers|Indiana Pacers|March 25, 2020|1,260,954  (+112)|2,931  (0)|57,803  (+8)|5,967  (-1)|9,014  (+3)
@Pacers|Indiana Pacers|March 24, 2020|1,260,842  (+49)|2,931  (0)|57,795  (+11)|5,968  (+6)|9,011  (+3)
@Pacers|Indiana Pacers|March 23, 2020|1,260,793  (+93)|2,931  (+1)|57,784  (+2)|5,962  (+2)|9,008  (+1)
@Pacers|Indiana Pacers|March 22, 2020|1,260,700  (-63)|2,930  (-1)|57,782  (+6)|5,960  (0)|9,007  (-2)
@Pacers|Indiana Pacers|March 21, 2020|1,260,763  (+54)|2,931  (0)|57,776  (+1)|5,960  (0)|9,009  (+2)
@Pacers|Indiana Pacers|March 20, 2020|1,260,709  (+7)|2,931  (0)|57,775  (+3)|5,960  (0)|9,007  (0)
@Pacers|Indiana Pacers|March 19, 2020|1,260,702  (-65)|2,931  (0)|57,772  (+3)|5,960  (+2)|9,007  (0)
@Pacers|Indiana Pacers|March 18, 2020|1,260,767  (-17)|2,931  (0)|57,769  (+2)|5,958  (-4)|9,007  (0)
@Pacers|Indiana Pacers|March 17, 2020|1,260,784  (+29)|2,931  (0)|57,767  (0)|5,962  (+4)|9,007  (-1)
@Pacers|Indiana Pacers|March 16, 2020|1,260,755  (+84)|2,931  (0)|57,767  (-1)|5,958  (-4)|9,008  (-2)
@Pacers|Indiana Pacers|March 15, 2020|1,260,671  (+225)|2,931  (+1)|57,768  (0)|5,962  (+3)|9,010  (0)
@Pacers|Indiana Pacers|March 14, 2020|1,260,446  (+215)|2,930  (0)|57,768  (+1)|5,959  (0)|9,010  (-4)
@Pacers|Indiana Pacers|March 13, 2020|1,260,231  (+361)|2,930  (0)|57,767  (+1)|5,959  (-1)|9,014  (0)
@Pacers|Indiana Pacers|March 12, 2020|1,259,870  (+337)|2,930  (0)|57,766  (+11)|5,960  (+2)|9,014  (+2)
@Pacers|Indiana Pacers|March 11, 2020|1,259,533  (+209)|2,930  (0)|57,755  (+35)|5,958  (-1)|9,012  (+4)
@Pacers|Indiana Pacers|March 10, 2020|1,259,324  (+152)|2,930  (-1)|57,720  (+8)|5,959  (+3)|9,008  (0)
@Pacers|Indiana Pacers|March 9, 2020|1,259,172  (+164)|2,931  (-1)|57,712  (+38)|5,956  (+2)|9,008  (+3)
@Pacers|Indiana Pacers|March 8, 2020|1,259,008  (+130)|2,932  (0)|57,674  (+7)|5,954  (0)|9,005  (0)
@Pacers|Indiana Pacers|March 7, 2020|1,258,878  (+193)|2,932  (0)|57,667  (+33)|5,954  (+2)|9,005  (+3)
@Pacers|Indiana Pacers|March 6, 2020|1,258,685  (+236)|2,932  (0)|57,634  (+8)|5,952  (+2)|9,002  (+1)
@Pacers|Indiana Pacers|March 5, 2020|1,258,449  (+190)|2,932  (0)|57,626  (+24)|5,950  (+3)|9,001  (+1)
@Pacers|Indiana Pacers|March 4, 2020|1,258,259  (+277)|2,932  (0)|57,602  (+8)|5,947  (+1)|9,000  (-1)
@Pacers|Indiana Pacers|March 3, 2020|1,257,982  (+285)|2,932  (0)|57,594  (+35)|5,946  (+1)|9,001  (+6)
