account|team|date|followers|following|tweets|lists|favourites
@LAClippers|LA Clippers|April 5, 2020|1,627,647  (+331)|553  (0)|56,198  (+9)|7,103  (+1)|14,468  (+2)
@LAClippers|LA Clippers|April 4, 2020|1,627,316  (+324)|553  (0)|56,189  (+7)|7,102  (-3)|14,466  (+5)
@LAClippers|LA Clippers|April 3, 2020|1,626,992  (+402)|553  (0)|56,182  (+8)|7,105  (-5)|14,461  (+2)
@LAClippers|LA Clippers|April 2, 2020|1,626,590  (+424)|553  (0)|56,174  (+4)|7,110  (0)|14,459  (+4)
@LAClippers|LA Clippers|April 1, 2020|1,626,166  (+385)|553  (0)|56,170  (+2)|7,110  (-2)|14,455  (+4)
@LAClippers|LA Clippers|March 31, 2020|1,625,781  (+263)|553  (0)|56,168  (+12)|7,112  (-2)|14,451  (+1)
@LAClippers|LA Clippers|March 30, 2020|1,625,518  (+493)|553  (0)|56,156  (+1)|7,114  (+4)|14,450  (+1)
@LAClippers|LA Clippers|March 29, 2020|1,625,025  (+551)|553  (0)|56,155  (+7)|7,110  (-5)|14,449  (0)
@LAClippers|LA Clippers|March 28, 2020|1,624,474  (-1,191)|553  (0)|56,148  (+8)|7,115  (+4)|14,449  (0)
@LAClippers|LA Clippers|March 27, 2020|1,625,665  (-588)|553  (0)|56,140  (+5)|7,111  (+2)|14,449  (+1)
@LAClippers|LA Clippers|March 26, 2020|1,626,253  (+585)|553  (0)|56,135  (+8)|7,109  (-3)|14,448  (0)
@LAClippers|LA Clippers|March 25, 2020|1,625,668  (+600)|553  (0)|56,127  (0)|7,112  (+5)|14,448  (0)
@LAClippers|LA Clippers|March 24, 2020|1,625,068  (+571)|553  (0)|56,127  (+6)|7,107  (+8)|14,448  (+1)
@LAClippers|LA Clippers|March 23, 2020|1,624,497  (+583)|553  (0)|56,121  (0)|7,099  (+2)|14,447  (-3)
@LAClippers|LA Clippers|March 22, 2020|1,623,914  (+519)|553  (0)|56,121  (+2)|7,097  (0)|14,450  (+1)
@LAClippers|LA Clippers|March 21, 2020|1,623,395  (+585)|553  (0)|56,119  (+14)|7,097  (+4)|14,449  (+6)
@LAClippers|LA Clippers|March 20, 2020|1,622,810  (+450)|553  (+1)|56,105  (+1)|7,093  (-1)|14,443  (-2)
@LAClippers|LA Clippers|March 19, 2020|1,622,360  (+210)|552  (0)|56,104  (+2)|7,094  (+2)|14,445  (0)
@LAClippers|LA Clippers|March 18, 2020|1,622,150  (+361)|552  (0)|56,102  (0)|7,092  (+5)|14,445  (-1)
@LAClippers|LA Clippers|March 17, 2020|1,621,789  (+498)|552  (0)|56,102  (-1)|7,087  (+1)|14,446  (-1)
@LAClippers|LA Clippers|March 16, 2020|1,621,291  (+590)|552  (0)|56,103  (0)|7,086  (-4)|14,447  (0)
@LAClippers|LA Clippers|March 15, 2020|1,620,701  (+708)|552  (0)|56,103  (-8)|7,090  (+3)|14,447  (+2)
@LAClippers|LA Clippers|March 14, 2020|1,619,993  (+784)|552  (0)|56,111  (+1)|7,087  (0)|14,445  (-1)
@LAClippers|LA Clippers|March 13, 2020|1,619,209  (+1,124)|552  (0)|56,110  (+1)|7,087  (+6)|14,446  (-1)
@LAClippers|LA Clippers|March 12, 2020|1,618,085  (+937)|552  (0)|56,109  (+8)|7,081  (-3)|14,447  (+1)
@LAClippers|LA Clippers|March 11, 2020|1,617,148  (+593)|552  (0)|56,101  (+33)|7,084  (0)|14,446  (+3)
@LAClippers|LA Clippers|March 10, 2020|1,616,555  (+743)|552  (+1)|56,068  (+3)|7,084  (-1)|14,443  (0)
@LAClippers|LA Clippers|March 9, 2020|1,615,812  (+1,134)|551  (0)|56,065  (+31)|7,085  (+7)|14,443  (+1)
@LAClippers|LA Clippers|March 8, 2020|1,614,678  (+676)|551  (0)|56,034  (+5)|7,078  (+4)|14,442  (+4)
@LAClippers|LA Clippers|March 7, 2020|1,614,002  (+841)|551  (+1)|56,029  (+12)|7,074  (+3)|14,438  (0)
@LAClippers|LA Clippers|March 6, 2020|1,613,161  (+692)|550  (+2)|56,017  (+36)|7,071  (+1)|14,438  (+3)
@LAClippers|LA Clippers|March 5, 2020|1,612,469  (+582)|548  (0)|55,981  (+10)|7,070  (+1)|14,435  (+3)
@LAClippers|LA Clippers|March 4, 2020|1,611,887  (+728)|548  (0)|55,971  (+26)|7,069  (+2)|14,432  (+6)
@LAClippers|LA Clippers|March 3, 2020|1,611,159  (+605)|548  (-1)|55,945  (+16)|7,067  (+7)|14,426  (+3)
@LAClippers|LA Clippers|March 2, 2020|1,610,554  (+724)|549  (0)|55,929  (+39)|7,060  (-1)|14,423  (+1)
@LAClippers|LA Clippers|March 1, 2020|1,609,830  (+773)|549  (-1)|55,890  (+12)|7,061  (+2)|14,422  (-6)
@LAClippers|LA Clippers|February 29, 2020|1,609,057  (+638)|550  (+1)|55,878  (+43)|7,059  (+1)|14,428  (+10)
@LAClippers|LA Clippers|February 28, 2020|1,608,419  (+508)|549  (0)|55,835  (+10)|7,058  (-1)|14,418  (+1)
@LAClippers|LA Clippers|February 27, 2020|1,607,911  (+505)|549  (+1)|55,825  (+34)|7,059  (-4)|14,417  (+3)
@LAClippers|LA Clippers|February 26, 2020|1,607,406  (+816)|548  (+1)|55,791  (+16)|7,063  (0)|14,414  (+9)
@LAClippers|LA Clippers|February 25, 2020|1,606,590  (+117)|547  (0)|55,775  (+28)|7,063  (+4)|14,405  (+1)
@LAClippers|LA Clippers|February 24, 2020|1,606,473  (+643)|547  (+1)|55,747  (0)|7,059  (0)|14,404  (-6)
@LAClippers|LA Clippers|February 23, 2020|1,605,830  (+704)|546  (-1)|55,747  (+23)|7,059  (+1)|14,410  (0)
@LAClippers|LA Clippers|February 22, 2020|1,605,126  (+580)|547  (0)|55,724  (+15)|7,058  (-2)|14,410  (+2)
@LAClippers|LA Clippers|February 21, 2020|1,604,546  (+654)|547  (+1)|55,709  (+20)|7,060  (+3)|14,408  (0)
@LAClippers|LA Clippers|February 20, 2020|1,603,892  (+576)|546  (0)|55,689  (+2)|7,057  (+2)|14,408  (+2)
@LAClippers|LA Clippers|February 19, 2020|1,603,316  (+612)|546  (+1)|55,687  (+1)|7,055  (+2)|14,406  (0)
@LAClippers|LA Clippers|February 18, 2020|1,602,704  (+683)|545  (0)|55,686  (+5)|7,053  (+4)|14,406  (0)
@LAClippers|LA Clippers|February 17, 2020|1,602,021  (+913)|545  (0)|55,681  (+24)|7,049  (+5)|14,406  (+2)
@LAClippers|LA Clippers|February 16, 2020|1,601,108  (+703)|545  (0)|55,657  (+11)|7,044  (0)|14,404  (+2)
@LAClippers|LA Clippers|February 15, 2020|1,600,405  (+575)|545  (0)|55,646  (+8)|7,044  (+2)|14,402  (-1)
@LAClippers|LA Clippers|February 14, 2020|1,599,830  (+770)|545  (0)|55,638  (+32)|7,042  (+8)|14,403  (-20)
@LAClippers|LA Clippers|February 13, 2020|1,599,060  (+793)|545  (0)|55,606  (+2)|7,034  (+3)|14,423  (0)
@LAClippers|LA Clippers|February 12, 2020|1,598,267  (+904)|545  (0)|55,604  (+23)|7,031  (0)|14,423  (+2)
@LAClippers|LA Clippers|February 11, 2020|1,597,363  (+879)|545  (0)|55,581  (+14)|7,031  (+3)|14,421  (+1)
@LAClippers|LA Clippers|February 10, 2020|1,596,484  (+950)|545  (0)|55,567  (+28)|7,028  (+3)|14,420  (-1)
@LAClippers|LA Clippers|February 9, 2020|1,595,534  (+1,182)|545  (0)|55,539  (+20)|7,025  (+1)|14,421  (+2)
@LAClippers|LA Clippers|February 8, 2020|1,594,352  (+1,066)|545  (0)|55,519  (+6)|7,024  (-4)|14,419  (0)
@LAClippers|LA Clippers|February 7, 2020|1,593,286  (+1,500)|545  (+2)|55,513  (+15)|7,028  (+9)|14,419  (+8)
@LAClippers|LA Clippers|February 6, 2020|1,591,786  (+906)|543  (0)|55,498  (+35)|7,019  (+6)|14,411  (+3)
