account|team|date|followers|following|tweets|lists|favourites
@Lakers|Los Angeles Lakers|April 6, 2020|8,868,021  (+4,862)|73  (0)|65,156  (+22)|22,270  (-2)|10,001  (+10)
@Lakers|Los Angeles Lakers|April 5, 2020|8,863,159  (+5,676)|73  (0)|65,134  (+3)|22,272  (-7)|9,991  (0)
@Lakers|Los Angeles Lakers|April 4, 2020|8,857,483  (+6,517)|73  (0)|65,131  (+4)|22,279  (-1)|9,991  (+3)
@Lakers|Los Angeles Lakers|April 3, 2020|8,850,966  (+7,498)|73  (-1)|65,127  (+15)|22,280  (-6)|9,988  (+10)
@Lakers|Los Angeles Lakers|April 2, 2020|8,843,468  (+6,812)|74  (0)|65,112  (+29)|22,286  (-1)|9,978  (+2)
@Lakers|Los Angeles Lakers|April 1, 2020|8,836,656  (+6,455)|74  (0)|65,083  (+9)|22,287  (-4)|9,976  (+2)
@Lakers|Los Angeles Lakers|March 31, 2020|8,830,201  (+6,432)|74  (0)|65,074  (+47)|22,291  (-1)|9,974  (+33)
@Lakers|Los Angeles Lakers|March 30, 2020|8,823,769  (+7,555)|74  (0)|65,027  (+8)|22,292  (-4)|9,941  (0)
@Lakers|Los Angeles Lakers|March 29, 2020|8,816,214  (+5,813)|74  (0)|65,019  (+19)|22,296  (-3)|9,941  (+3)
@Lakers|Los Angeles Lakers|March 28, 2020|8,810,401  (+2,878)|74  (0)|65,000  (+11)|22,299  (-1)|9,938  (+4)
@Lakers|Los Angeles Lakers|March 27, 2020|8,807,523  (+5,672)|74  (0)|64,989  (+17)|22,300  (-7)|9,934  (+8)
@Lakers|Los Angeles Lakers|March 26, 2020|8,801,851  (+6,807)|74  (0)|64,972  (+8)|22,307  (+1)|9,926  (+4)
@Lakers|Los Angeles Lakers|March 25, 2020|8,795,044  (+6,901)|74  (0)|64,964  (+22)|22,306  (+9)|9,922  (+22)
@Lakers|Los Angeles Lakers|March 24, 2020|8,788,143  (+6,668)|74  (0)|64,942  (+13)|22,297  (+11)|9,900  (+7)
