account|team|date|followers|following|tweets|lists|favourites
@MemGrizz|Memphis Grizzlies|April 5, 2020|1,097,682  (+46)|7,310  (+2)|61,650  (+5)|5,718  (+2)|17,382  (0)
@MemGrizz|Memphis Grizzlies|April 4, 2020|1,097,636  (+66)|7,308  (-2)|61,645  (+59)|5,716  (-3)|17,382  (+4)
@MemGrizz|Memphis Grizzlies|April 3, 2020|1,097,570  (+150)|7,310  (-1)|61,586  (+10)|5,719  (-2)|17,378  (-1)
@MemGrizz|Memphis Grizzlies|April 2, 2020|1,097,420  (+66)|7,311  (-1)|61,576  (+46)|5,721  (-2)|17,379  (+4)
@MemGrizz|Memphis Grizzlies|April 1, 2020|1,097,354  (+156)|7,312  (+2)|61,530  (+18)|5,723  (-1)|17,375  (+5)
@MemGrizz|Memphis Grizzlies|March 31, 2020|1,097,198  (-5)|7,310  (+2)|61,512  (+47)|5,724  (0)|17,370  (+41)
@MemGrizz|Memphis Grizzlies|March 30, 2020|1,097,203  (-45)|7,308  (+8)|61,465  (+7)|5,724  (+2)|17,329  (+3)
@MemGrizz|Memphis Grizzlies|March 29, 2020|1,097,248  (+38)|7,300  (+14)|61,458  (+39)|5,722  (-2)|17,326  (+19)
@MemGrizz|Memphis Grizzlies|March 28, 2020|1,097,210  (+38)|7,286  (+4)|61,419  (+10)|5,724  (0)|17,307  (+7)
@MemGrizz|Memphis Grizzlies|March 27, 2020|1,097,172  (-58)|7,282  (+23)|61,409  (+28)|5,724  (+1)|17,300  (+19)
@MemGrizz|Memphis Grizzlies|March 26, 2020|1,097,230  (+93)|7,259  (0)|61,381  (+66)|5,723  (-1)|17,281  (-2)
@MemGrizz|Memphis Grizzlies|March 25, 2020|1,097,137  (+99)|7,259  (0)|61,315  (+49)|5,724  (-1)|17,283  (+30)
@MemGrizz|Memphis Grizzlies|March 24, 2020|1,097,038  (+126)|7,259  (0)|61,266  (+8)|5,725  (+9)|17,253  (+1)
@MemGrizz|Memphis Grizzlies|March 23, 2020|1,096,912  (+198)|7,259  (+4)|61,258  (+9)|5,716  (+4)|17,252  (+4)
@MemGrizz|Memphis Grizzlies|March 22, 2020|1,096,714  (+32)|7,255  (-2)|61,249  (+84)|5,712  (+1)|17,248  (+17)
@MemGrizz|Memphis Grizzlies|March 21, 2020|1,096,682  (+75)|7,257  (+4)|61,165  (+10)|5,711  (+1)|17,231  (+18)
@MemGrizz|Memphis Grizzlies|March 20, 2020|1,096,607  (+153)|7,253  (-1)|61,155  (+8)|5,710  (0)|17,213  (0)
@MemGrizz|Memphis Grizzlies|March 19, 2020|1,096,454  (-6)|7,254  (0)|61,147  (+1)|5,710  (0)|17,213  (0)
@MemGrizz|Memphis Grizzlies|March 18, 2020|1,096,460  (+77)|7,254  (-2)|61,146  (0)|5,710  (+2)|17,213  (0)
@MemGrizz|Memphis Grizzlies|March 17, 2020|1,096,383  (+180)|7,256  (+1)|61,146  (0)|5,708  (-4)|17,213  (-1)
@MemGrizz|Memphis Grizzlies|March 16, 2020|1,096,203  (+172)|7,255  (-1)|61,146  (+4)|5,712  (+1)|17,214  (0)
@MemGrizz|Memphis Grizzlies|March 15, 2020|1,096,031  (+303)|7,256  (-1)|61,142  (0)|5,711  (0)|17,214  (0)
@MemGrizz|Memphis Grizzlies|March 14, 2020|1,095,728  (+422)|7,257  (-3)|61,142  (0)|5,711  (+1)|17,214  (-3)
@MemGrizz|Memphis Grizzlies|March 13, 2020|1,095,306  (+413)|7,260  (-1)|61,142  (0)|5,710  (+2)|17,217  (0)
@MemGrizz|Memphis Grizzlies|March 12, 2020|1,094,893  (+634)|7,261  (0)|61,142  (+2)|5,708  (+1)|17,217  (-1)
@MemGrizz|Memphis Grizzlies|March 11, 2020|1,094,259  (+236)|7,261  (+3)|61,140  (+43)|5,707  (-1)|17,218  (+10)
@MemGrizz|Memphis Grizzlies|March 10, 2020|1,094,023  (+235)|7,258  (0)|61,097  (+18)|5,708  (-2)|17,208  (-1)
@MemGrizz|Memphis Grizzlies|March 9, 2020|1,093,788  (+257)|7,258  (-1)|61,079  (+9)|5,710  (+2)|17,209  (+1)
@MemGrizz|Memphis Grizzlies|March 8, 2020|1,093,531  (+278)|7,259  (-1)|61,070  (+66)|5,708  (0)|17,208  (+9)
@MemGrizz|Memphis Grizzlies|March 7, 2020|1,093,253  (+325)|7,260  (0)|61,004  (+21)|5,708  (-1)|17,199  (+4)
@MemGrizz|Memphis Grizzlies|March 6, 2020|1,092,928  (+313)|7,260  (+2)|60,983  (+11)|5,709  (+1)|17,195  (+5)
@MemGrizz|Memphis Grizzlies|March 5, 2020|1,092,615  (+288)|7,258  (+2)|60,972  (+60)|5,708  (+1)|17,190  (+14)
@MemGrizz|Memphis Grizzlies|March 4, 2020|1,092,327  (+374)|7,256  (-2)|60,912  (+9)|5,707  (+4)|17,176  (+2)
@MemGrizz|Memphis Grizzlies|March 3, 2020|1,091,953  (+413)|7,258  (+2)|60,903  (+57)|5,703  (0)|17,174  (+4)
@MemGrizz|Memphis Grizzlies|March 2, 2020|1,091,540  (+434)|7,256  (-1)|60,846  (+9)|5,703  (+10)|17,170  (+5)
@MemGrizz|Memphis Grizzlies|March 1, 2020|1,091,106  (+688)|7,257  (-1)|60,837  (+56)|5,693  (0)|17,165  (+3)
@MemGrizz|Memphis Grizzlies|February 29, 2020|1,090,418  (+431)|7,258  (+1)|60,781  (+43)|5,693  (-1)|17,162  (+8)
@MemGrizz|Memphis Grizzlies|February 28, 2020|1,089,987  (+327)|7,257  (+3)|60,738  (+18)|5,694  (+3)|17,154  (-1)
@MemGrizz|Memphis Grizzlies|February 27, 2020|1,089,660  (+453)|7,254  (-1)|60,720  (+34)|5,691  (-4)|17,155  (+5)
@MemGrizz|Memphis Grizzlies|February 26, 2020|1,089,207  (+406)|7,255  (0)|60,686  (+13)|5,695  (-2)|17,150  (-2)
@MemGrizz|Memphis Grizzlies|February 25, 2020|1,088,801  (+478)|7,255  (-1)|60,673  (+37)|5,697  (+1)|17,152  (+6)
@MemGrizz|Memphis Grizzlies|February 24, 2020|1,088,323  (+402)|7,256  (-3)|60,636  (+7)|5,696  (+2)|17,146  (+1)
@MemGrizz|Memphis Grizzlies|February 23, 2020|1,087,921  (+470)|7,259  (0)|60,629  (+7)|5,694  (+3)|17,145  (0)
@MemGrizz|Memphis Grizzlies|February 22, 2020|1,087,451  (+389)|7,259  (+3)|60,622  (+38)|5,691  (+1)|17,145  (+10)
@MemGrizz|Memphis Grizzlies|February 21, 2020|1,087,062  (+365)|7,256  (+26)|60,584  (+44)|5,690  (-2)|17,135  (+21)
@MemGrizz|Memphis Grizzlies|February 20, 2020|1,086,697  (+266)|7,230  (-2)|60,540  (+12)|5,692  (+4)|17,114  (+1)
@MemGrizz|Memphis Grizzlies|February 19, 2020|1,086,431  (+323)|7,232  (+2)|60,528  (+6)|5,688  (-1)|17,113  (+8)
@MemGrizz|Memphis Grizzlies|February 18, 2020|1,086,108  (+318)|7,230  (+2)|60,522  (+10)|5,689  (+5)|17,105  (+1)
@MemGrizz|Memphis Grizzlies|February 17, 2020|1,085,790  (+540)|7,228  (-3)|60,512  (+5)|5,684  (+5)|17,104  (0)
@MemGrizz|Memphis Grizzlies|February 16, 2020|1,085,250  (+520)|7,231  (+2)|60,507  (+2)|5,679  (+2)|17,104  (+1)
@MemGrizz|Memphis Grizzlies|February 15, 2020|1,084,730  (+444)|7,229  (+3)|60,505  (+38)|5,677  (-3)|17,103  (+6)
@MemGrizz|Memphis Grizzlies|February 14, 2020|1,084,286  (+363)|7,226  (0)|60,467  (+17)|5,680  (0)|17,097  (-2)
@MemGrizz|Memphis Grizzlies|February 13, 2020|1,083,923  (+644)|7,226  (+1)|60,450  (+77)|5,680  (+7)|17,099  (+13)
@MemGrizz|Memphis Grizzlies|February 12, 2020|1,083,279  (+479)|7,225  (-1)|60,373  (+14)|5,673  (+3)|17,086  (+1)
@MemGrizz|Memphis Grizzlies|February 11, 2020|1,082,800  (+555)|7,226  (-1)|60,359  (+8)|5,670  (+3)|17,085  (0)
@MemGrizz|Memphis Grizzlies|February 10, 2020|1,082,245  (+666)|7,227  (+2)|60,351  (+59)|5,667  (0)|17,085  (+14)
@MemGrizz|Memphis Grizzlies|February 9, 2020|1,081,579  (+610)|7,225  (-2)|60,292  (+7)|5,667  (+3)|17,071  (+4)
@MemGrizz|Memphis Grizzlies|February 8, 2020|1,080,969  (+837)|7,227  (+4)|60,285  (+33)|5,664  (+1)|17,067  (+6)
@MemGrizz|Memphis Grizzlies|February 7, 2020|1,080,132  (+769)|7,223  (+6)|60,252  (+19)|5,663  (+4)|17,061  (+13)
@MemGrizz|Memphis Grizzlies|February 6, 2020|1,079,363  (+960)|7,217  (-2)|60,233  (+61)|5,659  (+2)|17,048  (+19)
@MemGrizz|Memphis Grizzlies|February 5, 2020|1,078,403  (+607)|7,219  (+1)|60,172  (+20)|5,657  (+9)|17,029  (+2)
