account|team|date|followers|following|tweets|lists|favourites
@MiamiHEAT|Miami HEAT|April 6, 2020|4,728,185  (-74)|145,070  (-19)|60,471  (+17)|11,480  (0)|1,125  (+3)
@MiamiHEAT|Miami HEAT|April 5, 2020|4,728,259  (-79)|145,089  (-14)|60,454  (+11)|11,480  (-6)|1,122  (+1)
@MiamiHEAT|Miami HEAT|April 4, 2020|4,728,338  (-48)|145,103  (-7)|60,443  (+17)|11,486  (0)|1,121  (+1)
@MiamiHEAT|Miami HEAT|April 3, 2020|4,728,386  (+2)|145,110  (-20)|60,426  (+8)|11,486  (-6)|1,120  (0)
@MiamiHEAT|Miami HEAT|April 2, 2020|4,728,384  (-54)|145,130  (-13)|60,418  (+20)|11,492  (+1)|1,120  (0)
@MiamiHEAT|Miami HEAT|April 1, 2020|4,728,438  (+6)|145,143  (-3)|60,398  (+7)|11,491  (+2)|1,120  (0)
@MiamiHEAT|Miami HEAT|March 31, 2020|4,728,432  (-412)|145,146  (-12)|60,391  (+7)|11,489  (-4)|1,120  (+1)
@MiamiHEAT|Miami HEAT|March 30, 2020|4,728,844  (-19)|145,158  (-8)|60,384  (+4)|11,493  (0)|1,119  (0)
@MiamiHEAT|Miami HEAT|March 29, 2020|4,728,863  (-422)|145,166  (-15)|60,380  (+28)|11,493  (-9)|1,119  (+1)
@MiamiHEAT|Miami HEAT|March 28, 2020|4,729,285  (-3,492)|145,181  (-18)|60,352  (+13)|11,502  (+2)|1,118  (+2)
@MiamiHEAT|Miami HEAT|March 27, 2020|4,732,777  (-2,175)|145,199  (-2)|60,339  (+5)|11,500  (+1)|1,116  (0)
@MiamiHEAT|Miami HEAT|March 26, 2020|4,734,952  (+73)|145,201  (-10)|60,334  (+21)|11,499  (-3)|1,116  (+2)
@MiamiHEAT|Miami HEAT|March 25, 2020|4,734,879  (-30)|145,211  (-13)|60,313  (+5)|11,502  (+6)|1,114  (+1)
@MiamiHEAT|Miami HEAT|March 24, 2020|4,734,909  (+28)|145,224  (-8)|60,308  (+21)|11,496  (+4)|1,113  (+8)
