account|team|date|followers|following|tweets|lists|favourites
@Bucks|Milwaukee Bucks|April 5, 2020|1,236,162  (+343)|5,697  (0)|124,698  (+8)|6,127  (0)|18,281  (+7)
@Bucks|Milwaukee Bucks|April 4, 2020|1,235,819  (+370)|5,697  (-1)|124,690  (+17)|6,127  (-5)|18,274  (+12)
@Bucks|Milwaukee Bucks|April 3, 2020|1,235,449  (+389)|5,698  (-2)|124,673  (+9)|6,132  (+6,132)|18,262  (+10)
@Bucks|Milwaukee Bucks|April 2, 2020|1,235,060  (+477)|5,700  (0)|124,664  (+25)|0  (-6,135)|18,252  (+4)
@Bucks|Milwaukee Bucks|April 1, 2020|1,234,583  (+449)|5,700  (+2)|124,639  (+8)|6,135  (-3)|18,248  (+10)
@Bucks|Milwaukee Bucks|March 31, 2020|1,234,134  (+264)|5,698  (0)|124,631  (+5)|6,138  (+4)|18,238  (+7)
@Bucks|Milwaukee Bucks|March 30, 2020|1,233,870  (+391)|5,698  (+1)|124,626  (+13)|6,134  (+2)|18,231  (+6)
@Bucks|Milwaukee Bucks|March 29, 2020|1,233,479  (+478)|5,697  (+1)|124,613  (+8)|6,132  (-10)|18,225  (+6)
@Bucks|Milwaukee Bucks|March 28, 2020|1,233,001  (+278)|5,696  (-2)|124,605  (+3)|6,142  (+3)|18,219  (+1)
@Bucks|Milwaukee Bucks|March 27, 2020|1,232,723  (+419)|5,698  (0)|124,602  (+7)|6,139  (+3)|18,218  (+2)
@Bucks|Milwaukee Bucks|March 26, 2020|1,232,304  (+543)|5,698  (0)|124,595  (+30)|6,136  (-2)|18,216  (+37)
@Bucks|Milwaukee Bucks|March 25, 2020|1,231,761  (+551)|5,698  (0)|124,565  (+11)|6,138  (+6)|18,179  (+11)
@Bucks|Milwaukee Bucks|March 24, 2020|1,231,210  (+356)|5,698  (+3)|124,554  (+19)|6,132  (+4)|18,168  (+27)
@Bucks|Milwaukee Bucks|March 23, 2020|1,230,854  (+439)|5,695  (0)|124,535  (-2)|6,128  (+1)|18,141  (0)
@Bucks|Milwaukee Bucks|March 22, 2020|1,230,415  (+294)|5,695  (+2)|124,537  (+29)|6,127  (0)|18,141  (+29)
@Bucks|Milwaukee Bucks|March 21, 2020|1,230,121  (+525)|5,693  (+5)|124,508  (+15)|6,127  (+1)|18,112  (+11)
@Bucks|Milwaukee Bucks|March 20, 2020|1,229,596  (+512)|5,688  (+1)|124,493  (+7)|6,126  (-1)|18,101  (+4)
@Bucks|Milwaukee Bucks|March 19, 2020|1,229,084  (+386)|5,687  (0)|124,486  (+5)|6,127  (+2)|18,097  (+3)
@Bucks|Milwaukee Bucks|March 18, 2020|1,228,698  (+429)|5,687  (-1)|124,481  (+9)|6,125  (-3)|18,094  (+6)
@Bucks|Milwaukee Bucks|March 17, 2020|1,228,269  (+406)|5,688  (+1)|124,472  (+5)|6,128  (+5)|18,088  (+3)
@Bucks|Milwaukee Bucks|March 16, 2020|1,227,863  (+492)|5,687  (-1)|124,467  (+1)|6,123  (-1)|18,085  (+1)
@Bucks|Milwaukee Bucks|March 15, 2020|1,227,371  (+641)|5,688  (-1)|124,466  (+4)|6,124  (+4)|18,084  (+4)
@Bucks|Milwaukee Bucks|March 14, 2020|1,226,730  (+673)|5,689  (0)|124,462  (+4)|6,120  (+1)|18,080  (+3)
@Bucks|Milwaukee Bucks|March 13, 2020|1,226,057  (+933)|5,689  (+1)|124,458  (+5)|6,119  (+2)|18,077  (+2)
@Bucks|Milwaukee Bucks|March 12, 2020|1,225,124  (+881)|5,688  (0)|124,453  (+10)|6,117  (+3)|18,075  (+2)
@Bucks|Milwaukee Bucks|March 11, 2020|1,224,243  (+642)|5,688  (0)|124,443  (+10)|6,114  (+1)|18,073  (+6)
@Bucks|Milwaukee Bucks|March 10, 2020|1,223,601  (+650)|5,688  (0)|124,433  (+31)|6,113  (+3)|18,067  (+2)
@Bucks|Milwaukee Bucks|March 9, 2020|1,222,951  (+615)|5,688  (+1)|124,402  (+13)|6,110  (-1)|18,065  (-1)
@Bucks|Milwaukee Bucks|March 8, 2020|1,222,336  (+606)|5,687  (-1)|124,389  (+10)|6,111  (-2)|18,066  (0)
@Bucks|Milwaukee Bucks|March 7, 2020|1,221,730  (+873)|5,688  (+1)|124,379  (+37)|6,113  (0)|18,066  (+2)
@Bucks|Milwaukee Bucks|March 6, 2020|1,220,857  (+658)|5,687  (-1)|124,342  (+16)|6,113  (+5)|18,064  (+7)
@Bucks|Milwaukee Bucks|March 5, 2020|1,220,199  (+720)|5,688  (+6)|124,326  (+50)|6,108  (0)|18,057  (+10)
@Bucks|Milwaukee Bucks|March 4, 2020|1,219,479  (+868)|5,682  (-1)|124,276  (+8)|6,108  (+3)|18,047  (+21)
@Bucks|Milwaukee Bucks|March 3, 2020|1,218,611  (+925)|5,683  (0)|124,268  (+35)|6,105  (+5)|18,026  (+4)
@Bucks|Milwaukee Bucks|March 2, 2020|1,217,686  (+1,132)|5,683  (0)|124,233  (+37)|6,100  (-1)|18,022  (+4)
@Bucks|Milwaukee Bucks|March 1, 2020|1,216,554  (+1,004)|5,683  (0)|124,196  (+7)|6,101  (+2)|18,018  (+7)
@Bucks|Milwaukee Bucks|February 29, 2020|1,215,550  (+923)|5,683  (-1)|124,189  (+47)|6,099  (+3)|18,011  (+10)
@Bucks|Milwaukee Bucks|February 28, 2020|1,214,627  (+740)|5,684  (0)|124,142  (+10)|6,096  (-1)|18,001  (+6)
@Bucks|Milwaukee Bucks|February 27, 2020|1,213,887  (+919)|5,684  (-1)|124,132  (+11)|6,097  (-2)|17,995  (-2)
