account|team|date|followers|following|tweets|lists|favourites
@NYKnicks|NEW YORK KNICKS|April 5, 2020|2,175,683  (+120)|264  (0)|51,016  (+14)|10,318  (-3)|1,189  (+3)
@NYKnicks|NEW YORK KNICKS|April 4, 2020|2,175,563  (+60)|264  (0)|51,002  (+23)|10,321  (0)|1,186  (+3)
@NYKnicks|NEW YORK KNICKS|April 3, 2020|2,175,503  (+101)|264  (0)|50,979  (+23)|10,321  (-5)|1,183  (+4)
@NYKnicks|NEW YORK KNICKS|April 2, 2020|2,175,402  (+106)|264  (0)|50,956  (+25)|10,326  (-3)|1,179  (+3)
@NYKnicks|NEW YORK KNICKS|April 1, 2020|2,175,296  (+182)|264  (0)|50,931  (+22)|10,329  (-2)|1,176  (+16)
@NYKnicks|NEW YORK KNICKS|March 31, 2020|2,175,114  (-90)|264  (0)|50,909  (+5)|10,331  (-10)|1,160  (+3)
@NYKnicks|NEW YORK KNICKS|March 30, 2020|2,175,204  (+96)|264  (0)|50,904  (+4)|10,341  (+4)|1,157  (+9)
@NYKnicks|NEW YORK KNICKS|March 29, 2020|2,175,108  (+310)|264  (0)|50,900  (+2)|10,337  (0)|1,148  (+1)
@NYKnicks|NEW YORK KNICKS|March 28, 2020|2,174,798  (-1,575)|264  (+1)|50,898  (+4)|10,337  (0)|1,147  (0)
@NYKnicks|NEW YORK KNICKS|March 27, 2020|2,176,373  (-1,832)|263  (-1)|50,894  (0)|10,337  (0)|1,147  (+1)
@NYKnicks|NEW YORK KNICKS|March 26, 2020|2,178,205  (-142)|264  (0)|50,894  (+1)|10,337  (-2)|1,146  (+2)
@NYKnicks|NEW YORK KNICKS|March 25, 2020|2,178,347  (+58)|264  (+1)|50,893  (0)|10,339  (+1)|1,144  (+2)
@NYKnicks|NEW YORK KNICKS|March 24, 2020|2,178,289  (-17)|263  (0)|50,893  (0)|10,338  (+8)|1,142  (0)
@NYKnicks|NEW YORK KNICKS|March 23, 2020|2,178,306  (-53)|263  (-1)|50,893  (+1)|10,330  (+3)|1,142  (0)
@NYKnicks|NEW YORK KNICKS|March 22, 2020|2,178,359  (-110)|264  (0)|50,892  (0)|10,327  (-1)|1,142  (0)
@NYKnicks|NEW YORK KNICKS|March 21, 2020|2,178,469  (+9)|264  (0)|50,892  (0)|10,328  (-2)|1,142  (0)
@NYKnicks|NEW YORK KNICKS|March 20, 2020|2,178,460  (-231)|264  (0)|50,892  (0)|10,330  (+2)|1,142  (0)
@NYKnicks|NEW YORK KNICKS|March 19, 2020|2,178,691  (-168)|264  (0)|50,892  (0)|10,328  (0)|1,142  (+1)
@NYKnicks|NEW YORK KNICKS|March 18, 2020|2,178,859  (-146)|264  (0)|50,892  (0)|10,328  (+1)|1,141  (+3)
@NYKnicks|NEW YORK KNICKS|March 17, 2020|2,179,005  (+39)|264  (0)|50,892  (+5)|10,327  (-1)|1,138  (+2)
@NYKnicks|NEW YORK KNICKS|March 16, 2020|2,178,966  (-85)|264  (0)|50,887  (0)|10,328  (-5)|1,136  (0)
@NYKnicks|NEW YORK KNICKS|March 15, 2020|2,179,051  (+187)|264  (0)|50,887  (0)|10,333  (+4)|1,136  (+1)
@NYKnicks|NEW YORK KNICKS|March 14, 2020|2,178,864  (+226)|264  (0)|50,887  (+1)|10,329  (+1)|1,135  (0)
@NYKnicks|NEW YORK KNICKS|March 13, 2020|2,178,638  (+255)|264  (0)|50,886  (+1)|10,328  (-1)|1,135  (+1)
@NYKnicks|NEW YORK KNICKS|March 12, 2020|2,178,383  (+303)|264  (0)|50,885  (+22)|10,329  (+1)|1,134  (+4)
@NYKnicks|NEW YORK KNICKS|March 11, 2020|2,178,080  (+124)|264  (0)|50,863  (+25)|10,328  (+2)|1,130  (0)
@NYKnicks|NEW YORK KNICKS|March 10, 2020|2,177,956  (+174)|264  (0)|50,838  (+12)|10,326  (-4)|1,130  (0)
@NYKnicks|NEW YORK KNICKS|March 9, 2020|2,177,782  (+88)|264  (0)|50,826  (+32)|10,330  (+3)|1,130  (+8)
@NYKnicks|NEW YORK KNICKS|March 8, 2020|2,177,694  (+22)|264  (0)|50,794  (+11)|10,327  (-2)|1,122  (0)
@NYKnicks|NEW YORK KNICKS|March 7, 2020|2,177,672  (+98)|264  (0)|50,783  (+26)|10,329  (+1)|1,122  (+4)
@NYKnicks|NEW YORK KNICKS|March 6, 2020|2,177,574  (+217)|264  (0)|50,757  (+4)|10,328  (+3)|1,118  (+1)
@NYKnicks|NEW YORK KNICKS|March 5, 2020|2,177,357  (+120)|264  (-1)|50,753  (+31)|10,325  (+1)|1,117  (+1)
@NYKnicks|NEW YORK KNICKS|March 4, 2020|2,177,237  (+343)|265  (+1)|50,722  (+5)|10,324  (0)|1,116  (+1)
@NYKnicks|NEW YORK KNICKS|March 3, 2020|2,176,894  (+336)|264  (+1)|50,717  (+41)|10,324  (+1)|1,115  (+7)
@NYKnicks|NEW YORK KNICKS|March 2, 2020|2,176,558  (+168)|263  (0)|50,676  (+12)|10,323  (+5)|1,108  (+2)
@NYKnicks|NEW YORK KNICKS|March 1, 2020|2,176,390  (+271)|263  (0)|50,664  (+35)|10,318  (0)|1,106  (+1)
@NYKnicks|NEW YORK KNICKS|February 29, 2020|2,176,119  (+171)|263  (0)|50,629  (+7)|10,318  (-1)|1,105  (+4)
@NYKnicks|NEW YORK KNICKS|February 28, 2020|2,175,948  (+45)|263  (0)|50,622  (+25)|10,319  (-1)|1,101  (+4)
@NYKnicks|NEW YORK KNICKS|February 27, 2020|2,175,903  (+66)|263  (0)|50,597  (+26)|10,320  (-3)|1,097  (+1)
@NYKnicks|NEW YORK KNICKS|February 26, 2020|2,175,837  (+77)|263  (-1)|50,571  (+7)|10,323  (0)|1,096  (+1)
@NYKnicks|NEW YORK KNICKS|February 25, 2020|2,175,760  (+202)|264  (0)|50,564  (+26)|10,323  (+3)|1,095  (0)
@NYKnicks|NEW YORK KNICKS|February 24, 2020|2,175,558  (+231)|264  (0)|50,538  (+8)|10,320  (+2)|1,095  (0)
@NYKnicks|NEW YORK KNICKS|February 23, 2020|2,175,327  (+329)|264  (0)|50,530  (+8)|10,318  (+1)|1,095  (+6)
@NYKnicks|NEW YORK KNICKS|February 22, 2020|2,174,998  (+229)|264  (0)|50,522  (+25)|10,317  (+2)|1,089  (+1)
@NYKnicks|NEW YORK KNICKS|February 21, 2020|2,174,769  (+189)|264  (0)|50,497  (+9)|10,315  (+2)|1,088  (+3)
@NYKnicks|NEW YORK KNICKS|February 20, 2020|2,174,580  (+193)|264  (0)|50,488  (+5)|10,313  (-1)|1,085  (+2)
@NYKnicks|NEW YORK KNICKS|February 19, 2020|2,174,387  (+173)|264  (0)|50,483  (+4)|10,314  (+1)|1,083  (0)
@NYKnicks|NEW YORK KNICKS|February 18, 2020|2,174,214  (+318)|264  (0)|50,479  (+2)|10,313  (+5)|1,083  (+1)
@NYKnicks|NEW YORK KNICKS|February 17, 2020|2,173,896  (+526)|264  (0)|50,477  (+5)|10,308  (+7)|1,082  (0)
@NYKnicks|NEW YORK KNICKS|February 16, 2020|2,173,370  (+257)|264  (0)|50,472  (+9)|10,301  (0)|1,082  (+1)
@NYKnicks|NEW YORK KNICKS|February 15, 2020|2,173,113  (+212)|264  (0)|50,463  (+28)|10,301  (+5)|1,081  (+7)
@NYKnicks|NEW YORK KNICKS|February 14, 2020|2,172,901  (+138)|264  (0)|50,435  (+9)|10,296  (0)|1,074  (+2)
@NYKnicks|NEW YORK KNICKS|February 13, 2020|2,172,763  (+294)|264  (0)|50,426  (+23)|10,296  (+8)|1,072  (+4)
@NYKnicks|NEW YORK KNICKS|February 12, 2020|2,172,469  (+283)|264  (0)|50,403  (+14)|10,288  (0)|1,068  (+3)
@NYKnicks|NEW YORK KNICKS|February 11, 2020|2,172,186  (+354)|264  (0)|50,389  (+31)|10,288  (-1)|1,065  (+1)
@NYKnicks|NEW YORK KNICKS|February 10, 2020|2,171,832  (+366)|264  (0)|50,358  (+35)|10,289  (+4)|1,064  (+3)
@NYKnicks|NEW YORK KNICKS|February 9, 2020|2,171,466  (+366)|264  (0)|50,323  (+36)|10,285  (-1)|1,061  (+4)
@NYKnicks|NEW YORK KNICKS|February 8, 2020|2,171,100  (+432)|264  (0)|50,287  (+9)|10,286  (+1)|1,057  (0)
@NYKnicks|NEW YORK KNICKS|February 7, 2020|2,170,668  (+594)|264  (0)|50,278  (+27)|10,285  (+2)|1,057  (0)
@NYKnicks|NEW YORK KNICKS|February 6, 2020|2,170,074  (+437)|264  (0)|50,251  (+6)|10,283  (+5)|1,057  (+3)
@NYKnicks|NEW YORK KNICKS|February 5, 2020|2,169,637  (+447)|264  (0)|50,245  (+2)|10,278  (+9)|1,054  (0)
@NYKnicks|NEW YORK KNICKS|February 4, 2020|2,169,190  (+218)|264  (0)|50,243  (+36)|10,269  (+2)|1,054  (+2)
@NYKnicks|NEW YORK KNICKS|February 3, 2020|2,168,972  (+339)|264  (0)|50,207  (+6)|10,267  (+8)|1,052  (+3)
@NYKnicks|NEW YORK KNICKS|February 2, 2020|2,168,633  (+200)|264  (0)|50,201  (+26)|10,259  (+2)|1,049  (+2)
@NYKnicks|NEW YORK KNICKS|February 1, 2020|2,168,433  (+380)|264  (0)|50,175  (+9)|10,257  (-1)|1,047  (+4)
