account|team|date|followers|following|tweets|lists|favourites
@PelicansNBA|New Orleans Pelicans|April 5, 2020|1,082,659  (+133)|396  (0)|67,983  (+1)|5,539  (+2)|17,990  (-1)
@PelicansNBA|New Orleans Pelicans|April 4, 2020|1,082,526  (+138)|396  (0)|67,982  (+2)|5,537  (-2)|17,991  (-1)
@PelicansNBA|New Orleans Pelicans|April 3, 2020|1,082,388  (+155)|396  (0)|67,980  (+12)|5,539  (+2)|17,992  (+5)
@PelicansNBA|New Orleans Pelicans|April 2, 2020|1,082,233  (+171)|396  (+1)|67,968  (+15)|5,537  (-7)|17,987  (-1)
@PelicansNBA|New Orleans Pelicans|April 1, 2020|1,082,062  (+198)|395  (0)|67,953  (+20)|5,544  (-5)|17,988  (+1)
@PelicansNBA|New Orleans Pelicans|March 31, 2020|1,081,864  (+54)|395  (0)|67,933  (+15)|5,549  (-1)|17,987  (+4)
@PelicansNBA|New Orleans Pelicans|March 30, 2020|1,081,810  (+76)|395  (0)|67,918  (+25)|5,550  (+3)|17,983  (+8)
@PelicansNBA|New Orleans Pelicans|March 29, 2020|1,081,734  (+195)|395  (-1)|67,893  (+12)|5,547  (-2)|17,975  (+22)
@PelicansNBA|New Orleans Pelicans|March 28, 2020|1,081,539  (+13)|396  (0)|67,881  (+38)|5,549  (-3)|17,953  (+18)
@PelicansNBA|New Orleans Pelicans|March 27, 2020|1,081,526  (+122)|396  (0)|67,843  (+9)|5,552  (0)|17,935  (+2)
@PelicansNBA|New Orleans Pelicans|March 26, 2020|1,081,404  (+281)|396  (+1)|67,834  (+13)|5,552  (-2)|17,933  (+5)
@PelicansNBA|New Orleans Pelicans|March 25, 2020|1,081,123  (+231)|395  (0)|67,821  (+34)|5,554  (-1)|17,928  (+6)
@PelicansNBA|New Orleans Pelicans|March 24, 2020|1,080,892  (+360)|395  (0)|67,787  (+14)|5,555  (+7)|17,922  (-9)
@PelicansNBA|New Orleans Pelicans|March 23, 2020|1,080,532  (+318)|395  (+1)|67,773  (+37)|5,548  (+6)|17,931  (+11)
@PelicansNBA|New Orleans Pelicans|March 22, 2020|1,080,214  (+233)|394  (+1)|67,736  (+44)|5,542  (+2)|17,920  (+17)
@PelicansNBA|New Orleans Pelicans|March 21, 2020|1,079,981  (+317)|393  (0)|67,692  (+17)|5,540  (+4)|17,903  (+10)
@PelicansNBA|New Orleans Pelicans|March 20, 2020|1,079,664  (+353)|393  (+1)|67,675  (+11)|5,536  (+2)|17,893  (+1)
@PelicansNBA|New Orleans Pelicans|March 19, 2020|1,079,311  (+137)|392  (0)|67,664  (+19)|5,534  (0)|17,892  (+5)
@PelicansNBA|New Orleans Pelicans|March 18, 2020|1,079,174  (+355)|392  (-1)|67,645  (+5)|5,534  (+3)|17,887  (0)
@PelicansNBA|New Orleans Pelicans|March 17, 2020|1,078,819  (+417)|393  (0)|67,640  (+4)|5,531  (-4)|17,887  (+1)
@PelicansNBA|New Orleans Pelicans|March 16, 2020|1,078,402  (+337)|393  (0)|67,636  (+3)|5,535  (+2)|17,886  (+1)
@PelicansNBA|New Orleans Pelicans|March 15, 2020|1,078,065  (+533)|393  (0)|67,633  (0)|5,533  (-1)|17,885  (-1)
@PelicansNBA|New Orleans Pelicans|March 14, 2020|1,077,532  (+726)|393  (+1)|67,633  (+3)|5,534  (0)|17,886  (-1)
@PelicansNBA|New Orleans Pelicans|March 13, 2020|1,076,806  (+825)|392  (0)|67,630  (+4)|5,534  (+3)|17,887  (+1)
@PelicansNBA|New Orleans Pelicans|March 12, 2020|1,075,981  (+1,142)|392  (0)|67,626  (+4)|5,531  (+4)|17,886  (-1)
@PelicansNBA|New Orleans Pelicans|March 11, 2020|1,074,839  (+562)|392  (0)|67,622  (+14)|5,527  (-2)|17,887  (+2)
@PelicansNBA|New Orleans Pelicans|March 10, 2020|1,074,277  (+621)|392  (0)|67,608  (+5)|5,529  (+1)|17,885  (0)
@PelicansNBA|New Orleans Pelicans|March 9, 2020|1,073,656  (+645)|392  (0)|67,603  (+17)|5,528  (-1)|17,885  (+7)
@PelicansNBA|New Orleans Pelicans|March 8, 2020|1,073,011  (+709)|392  (0)|67,586  (+29)|5,529  (+1)|17,878  (+1)
@PelicansNBA|New Orleans Pelicans|March 7, 2020|1,072,302  (+751)|392  (+2)|67,557  (+56)|5,528  (-1)|17,877  (+32)
@PelicansNBA|New Orleans Pelicans|March 6, 2020|1,071,551  (+536)|390  (0)|67,501  (+13)|5,529  (+3)|17,845  (+1)
@PelicansNBA|New Orleans Pelicans|March 5, 2020|1,071,015  (+745)|390  (0)|67,488  (+36)|5,526  (0)|17,844  (+1)
@PelicansNBA|New Orleans Pelicans|March 4, 2020|1,070,270  (+813)|390  (0)|67,452  (+41)|5,526  (+5)|17,843  (0)
@PelicansNBA|New Orleans Pelicans|March 3, 2020|1,069,457  (+512)|390  (0)|67,411  (+14)|5,521  (-3)|17,843  (+3)
@PelicansNBA|New Orleans Pelicans|March 2, 2020|1,068,945  (+816)|390  (+1)|67,397  (+60)|5,524  (+15)|17,840  (+22)
@PelicansNBA|New Orleans Pelicans|March 1, 2020|1,068,129  (+718)|389  (+1)|67,337  (+21)|5,509  (-1)|17,818  (+26)
@PelicansNBA|New Orleans Pelicans|February 29, 2020|1,067,411  (+662)|388  (0)|67,316  (+42)|5,510  (-2)|17,792  (+11)
@PelicansNBA|New Orleans Pelicans|February 28, 2020|1,066,749  (+503)|388  (0)|67,274  (+21)|5,512  (+3)|17,781  (+7)
@PelicansNBA|New Orleans Pelicans|February 27, 2020|1,066,246  (+565)|388  (-11)|67,253  (+12)|5,509  (0)|17,774  (-1)
@PelicansNBA|New Orleans Pelicans|February 26, 2020|1,065,681  (+672)|399  (0)|67,241  (+35)|5,509  (-8)|17,775  (+1)
@PelicansNBA|New Orleans Pelicans|February 25, 2020|1,065,009  (+591)|399  (0)|67,206  (+15)|5,517  (+8)|17,774  (+5)
@PelicansNBA|New Orleans Pelicans|February 24, 2020|1,064,418  (+750)|399  (0)|67,191  (+67)|5,509  (0)|17,769  (+8)
@PelicansNBA|New Orleans Pelicans|February 23, 2020|1,063,668  (+656)|399  (+1)|67,124  (+4)|5,509  (0)|17,761  (-1)
@PelicansNBA|New Orleans Pelicans|February 22, 2020|1,063,012  (+788)|398  (0)|67,120  (+31)|5,509  (-6)|17,762  (-3)
@PelicansNBA|New Orleans Pelicans|February 21, 2020|1,062,224  (+490)|398  (0)|67,089  (+11)|5,515  (+7)|17,765  (+6)
@PelicansNBA|New Orleans Pelicans|February 20, 2020|1,061,734  (+473)|398  (0)|67,078  (+15)|5,508  (+1)|17,759  (+5)
@PelicansNBA|New Orleans Pelicans|February 19, 2020|1,061,261  (+519)|398  (0)|67,063  (+3)|5,507  (+2)|17,754  (-1)
@PelicansNBA|New Orleans Pelicans|February 18, 2020|1,060,742  (+513)|398  (0)|67,060  (+8)|5,505  (+7)|17,755  (+2)
@PelicansNBA|New Orleans Pelicans|February 17, 2020|1,060,229  (+776)|398  (-1)|67,052  (+17)|5,498  (0)|17,753  (+1)
@PelicansNBA|New Orleans Pelicans|February 16, 2020|1,059,453  (+688)|399  (0)|67,035  (+1)|5,498  (0)|17,752  (0)
@PelicansNBA|New Orleans Pelicans|February 15, 2020|1,058,765  (+547)|399  (0)|67,034  (+17)|5,498  (+2)|17,752  (+3)
@PelicansNBA|New Orleans Pelicans|February 14, 2020|1,058,218  (+713)|399  (0)|67,017  (+67)|5,496  (+7)|17,749  (+16)
@PelicansNBA|New Orleans Pelicans|February 13, 2020|1,057,505  (+745)|399  (+2)|66,950  (+16)|5,489  (+4)|17,733  (+16)
@PelicansNBA|New Orleans Pelicans|February 12, 2020|1,056,760  (+967)|397  (+1)|66,934  (+55)|5,485  (+1)|17,717  (-3)
@PelicansNBA|New Orleans Pelicans|February 11, 2020|1,055,793  (+746)|396  (+1)|66,879  (+19)|5,484  (-1)|17,720  (+10)
