account|team|date|followers|following|tweets|lists|favourites
@okcthunder|OKC THUNDER|April 5, 2020|2,796,067  (+65)|977  (0)|32,685  (+5)|8,172  (+1)|1,957  (-3)
@okcthunder|OKC THUNDER|April 4, 2020|2,796,002  (+37)|977  (0)|32,680  (+4)|8,171  (-1)|1,960  (+2)
@okcthunder|OKC THUNDER|April 3, 2020|2,795,965  (+165)|977  (0)|32,676  (+4)|8,172  (0)|1,958  (+12)
@okcthunder|OKC THUNDER|April 2, 2020|2,795,800  (+140)|977  (0)|32,672  (+7)|8,172  (-5)|1,946  (+17)
@okcthunder|OKC THUNDER|April 1, 2020|2,795,660  (+179)|977  (0)|32,665  (+5)|8,177  (+2)|1,929  (+2)
@okcthunder|OKC THUNDER|March 31, 2020|2,795,481  (-31)|977  (0)|32,660  (+2)|8,175  (-4)|1,927  (+3)
@okcthunder|OKC THUNDER|March 30, 2020|2,795,512  (-148)|977  (0)|32,658  (+3)|8,179  (+3)|1,924  (0)
@okcthunder|OKC THUNDER|March 29, 2020|2,795,660  (+177)|977  (0)|32,655  (+3)|8,176  (-2)|1,924  (+1)
@okcthunder|OKC THUNDER|March 28, 2020|2,795,483  (-235)|977  (0)|32,652  (+12)|8,178  (-5)|1,923  (0)
@okcthunder|OKC THUNDER|March 27, 2020|2,795,718  (-719)|977  (+1)|32,640  (+3)|8,183  (0)|1,923  (+1)
@okcthunder|OKC THUNDER|March 26, 2020|2,796,437  (+46)|976  (0)|32,637  (+5)|8,183  (-1)|1,922  (+3)
@okcthunder|OKC THUNDER|March 25, 2020|2,796,391  (+160)|976  (0)|32,632  (+4)|8,184  (-1)|1,919  (0)
@okcthunder|OKC THUNDER|March 24, 2020|2,796,231  (+120)|976  (0)|32,628  (+5)|8,185  (+9)|1,919  (0)
@okcthunder|OKC THUNDER|March 23, 2020|2,796,111  (+166)|976  (0)|32,623  (+2)|8,176  (+7)|1,919  (0)
@okcthunder|OKC THUNDER|March 22, 2020|2,795,945  (-59)|976  (0)|32,621  (+2)|8,169  (+2)|1,919  (0)
@okcthunder|OKC THUNDER|March 21, 2020|2,796,004  (+51)|976  (-1)|32,619  (+3)|8,167  (+4)|1,919  (+2)
@okcthunder|OKC THUNDER|March 20, 2020|2,795,953  (+32)|977  (0)|32,616  (+2)|8,163  (+1)|1,917  (0)
@okcthunder|OKC THUNDER|March 19, 2020|2,795,921  (-439)|977  (0)|32,614  (+5)|8,162  (0)|1,917  (+1)
@okcthunder|OKC THUNDER|March 18, 2020|2,796,360  (-119)|977  (0)|32,609  (+1)|8,162  (+3)|1,916  (0)
@okcthunder|OKC THUNDER|March 17, 2020|2,796,479  (-68)|977  (0)|32,608  (+2)|8,159  (-5)|1,916  (0)
@okcthunder|OKC THUNDER|March 16, 2020|2,796,547  (-68)|977  (0)|32,606  (0)|8,164  (-1)|1,916  (0)
@okcthunder|OKC THUNDER|March 15, 2020|2,796,615  (+239)|977  (0)|32,606  (0)|8,165  (-1)|1,916  (0)
@okcthunder|OKC THUNDER|March 14, 2020|2,796,376  (+313)|977  (0)|32,606  (0)|8,166  (+4)|1,916  (0)
@okcthunder|OKC THUNDER|March 13, 2020|2,796,063  (+253)|977  (0)|32,606  (+1)|8,162  (0)|1,916  (0)
@okcthunder|OKC THUNDER|March 12, 2020|2,795,810  (+896)|977  (0)|32,605  (+7)|8,162  (+6)|1,916  (0)
@okcthunder|OKC THUNDER|March 11, 2020|2,794,914  (+177)|977  (0)|32,598  (+5)|8,156  (-2)|1,916  (0)
@okcthunder|OKC THUNDER|March 10, 2020|2,794,737  (+169)|977  (0)|32,593  (+2)|8,158  (-3)|1,916  (0)
@okcthunder|OKC THUNDER|March 9, 2020|2,794,568  (+255)|977  (0)|32,591  (+32)|8,161  (0)|1,916  (+3)
@okcthunder|OKC THUNDER|March 8, 2020|2,794,313  (+1)|977  (0)|32,559  (+11)|8,161  (+4)|1,913  (+2)
@okcthunder|OKC THUNDER|March 7, 2020|2,794,312  (+147)|977  (0)|32,548  (+29)|8,157  (+4)|1,911  (+3)
@okcthunder|OKC THUNDER|March 6, 2020|2,794,165  (+208)|977  (0)|32,519  (+7)|8,153  (+6)|1,908  (+4)
@okcthunder|OKC THUNDER|March 5, 2020|2,793,957  (+20)|977  (+1)|32,512  (+29)|8,147  (+2)|1,904  (+2)
@okcthunder|OKC THUNDER|March 4, 2020|2,793,937  (+239)|976  (+1)|32,483  (+19)|8,145  (+3)|1,902  (+2)
@okcthunder|OKC THUNDER|March 3, 2020|2,793,698  (+245)|975  (0)|32,464  (+5)|8,142  (+3)|1,900  (0)
@okcthunder|OKC THUNDER|March 2, 2020|2,793,453  (+239)|975  (0)|32,459  (+5)|8,139  (+5)|1,900  (0)
@okcthunder|OKC THUNDER|March 1, 2020|2,793,214  (+422)|975  (0)|32,454  (+4)|8,134  (+3)|1,900  (0)
@okcthunder|OKC THUNDER|February 29, 2020|2,792,792  (+255)|975  (0)|32,450  (+14)|8,131  (-5)|1,900  (0)
@okcthunder|OKC THUNDER|February 28, 2020|2,792,537  (+226)|975  (0)|32,436  (+32)|8,136  (+3)|1,900  (+3)
@okcthunder|OKC THUNDER|February 27, 2020|2,792,311  (+224)|975  (0)|32,404  (+6)|8,133  (0)|1,897  (0)
@okcthunder|OKC THUNDER|February 26, 2020|2,792,087  (+212)|975  (0)|32,398  (+26)|8,133  (-2)|1,897  (+1)
@okcthunder|OKC THUNDER|February 25, 2020|2,791,875  (+359)|975  (0)|32,372  (+5)|8,135  (0)|1,896  (0)
